RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$459416,9188321
2,0,01810,Phil Mickelson,$206367,4746457
3,0,06522,Ernie Els,$173470,3469405
4,0,09011,David Duval,$129623,2462845
5,0,02170,Hal Sutton,$122457,3061444
6,0,12660,Jesper Parnevik,$120667,2413345
7,0,01968,Nick Price,$100246,1804432
8,0,06567,Vijay Singh,$98993,2573834
9,0,01677,Tom Lehman,$98499,2068498
10,0,01706,Davis Love III,$93510,2337764
11,0,10423,Mike Weir,$90993,2547828
12,0,10944,Thomas Bjørn,$90460,814147
13,0,02010,Loren Roberts,$80511,1932279
14,0,20229,Stewart Cink,$80360,2169727
15,0,01042,Paul Azinger,$79856,1597139
16,0,10809,Jim Furyk,$77620,1940518
17,0,20029,Notah Begay III,$75805,1819323
18,0,10885,Robert Allenby,$75718,1968685
19,0,02214,Kirk Triplett,$74997,2099942
20,0,10860,Justin Leonard,$72266,2023464
21,0,21959,Ted Purdy,$72000,72000
22,0,01553,John Huston,$70943,1631694
23,0,20098,Stuart Appleby,$68425,1642221
24,0,21209,Sergio Garcia,$65896,1054337
25,0,12823,Carlos Franco,$64607,1550591
26,0,02206,David Toms,$64582,2002068
27,0,07457,Steve Flesch,$63305,2025780
28,0,02239,Scott Verplank,$62415,1747642
29,0,01161,Mark Calcavecchia,$60797,1702316
30,0,02246,Duffy Waldorf,$60195,1384507
31,0,06350,Bob May,$59912,1557720
32,0,08993,Franklin Langham,$57319,1604952
33,0,01796,Mark McNulty,$56345,56345
34,0,06251,Chris DiMarco,$55824,1842221
35,0,01797,Rocco Mediate,$55011,1320278
36,0,01226,Fred Couples,$52116,990215
37,0,01707,Steve Lowery,$51460,1543818
38,0,01943,Chris Perry,$50423,1563115
39,0,20763,Pierre Fulke,$50293,100587
40,0,23621,Rory Sabbatini,$48559,1262534
41,0,01876,Greg Norman,$48375,580510
42,0,01527,Scott Hoch,$47203,1368887
43,0,12680,Shigeki Maruyama,$46427,1207103
44,0,08635,Colin Montgomerie,$45449,409043
45,0,07007,Stephen Sear,$45000,90000
46,0,01945,Kenny Perry,$44469,889381
47,0,19958,Miguel Angel Jiménez,$44440,488848
48,0,02245,Grant Waite,$43953,1142788
49,0,06575,Dudley Hart,$43673,1048166
50,0,01724,Jeff Maggert,$42175,1138749
51,0,02256,Tom Watson,$39602,158408
52,0,10649,Tom Scherrer,$38290,1263585
53,0,20593,Greg Chalmers,$37980,1063455
54,0,10881,Brian Kontak,$37950,37950
55,0,06431,Jean Van de Velde,$35193,774249
56,0,06036,Scott Dunlap,$34674,1040244
57,0,01927,Dennis Paulson,$34465,896098
58,0,01329,Brad Faxon,$34464,999460
59,0,01559,Hale Irwin,$34066,34066
60,0,01723,Andrew Magee,$33360,867372
61,0,20766,Padraig Harrington,$33164,265312
62,0,01024,Billy Andrade,$32413,1004826
63,0,20094,Jonathan Kaye,$32239,1096130
64,0,08537,J.P. Hayes,$32232,838053
65,0,01175,Jim Carter,$32144,964345
66,0,01771,Blaine McCallister,$32132,963973
67,0,19904,Paul Lawrie,$31216,249735
68,0,12388,Michael Clark II,$30529,854821
69,0,08375,Paul Stankowski,$30441,669709
70,0,20385,Dean Robertson,$30366,30366
71,0,02133,Craig Stadler,$30083,631752
72,0,01619,Skip Kendall,$29597,947118
73,0,20396,Lee Westwood,$29330,293302
74,0,11032,Frank Lickliter II,$28682,889153
75,0,01577,Lee Janzen,$27915,753709
76,0,02104,Jeff Sluman,$27418,877390
77,0,06595,Kevin Sutherland,$26986,728635
78,0,06373,José María Olazábal,$26747,320970
79,0,12782,Tim Herron,$26140,731924
80,0,01599,Steve Jones,$26098,548069
81,0,19881,Robert Damron,$25877,724579
82,0,01381,Fred Funk,$25865,827691
83,0,01320,Bob Estes,$25652,538706
84,0,19825,Darren Clarke,$25411,254114
85,0,21805,Harrison Frazar,$25355,608534
86,0,01761,Len Mattiace,$24612,762979
87,0,08075,Jerry Kelly,$24523,784753
88,0,06004,Stephen Ames,$24106,747311
89,0,20127,Chris Riley,$23596,660707
90,0,12645,Brent Geiberger,$23538,564918
91,0,01185,Brandel Chamblee,$23519,493905
92,0,01203,Russ Cochran,$23344,583605
93,0,01926,Steve Pate,$23202,649674
94,0,01920,Craig Parry,$23059,507308
95,0,20095,Carl Paulson,$22484,741995
96,0,01887,Mark O'Meara,$22332,424308
97,0,20387,Jarmo Sandelin,$22143,66431
98,0,23349,Charles Warren,$22056,22056
99,0,08931,Glen Day,$22044,617241
100,0,01307,Joel Edwards,$22014,638421
101,0,06621,Joe Durant,$21888,612882
102,0,01905,Joe Ozaki,$21850,393316
103,0,20939,Keiichiro Fukabori,$21450,64350
104,0,23125,Brad Elder,$20609,700737
105,0,06012,Greg Kraft,$20586,597021
106,0,10821,Toshi Izawa,$20500,20500
107,0,01418,Bill Glasson,$20473,552795
108,0,01098,Jay Don Blake,$20348,590109
109,0,01685,J.L. Lewis,$20347,610432
110,0,21961,Charles Howell III,$20271,263532
111,0,01633,Tom Kite,$20267,121604
111,0,01823,Larry Mize,$20267,425623
