RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,01810,Phil Mickelson,26.29,388,1476
2,0,01706,Davis Love III,25.19,340,1350
3,0,08793,Tiger Woods,24.93,341,1368
4,0,02206,David Toms,24.48,423,1728
5,0,09011,David Duval,24.35,320,1314
6,0,01945,Kenny Perry,24.22,388,1602
7,0,01161,Mark Calcavecchia,24.12,343,1422
8,0,06251,Chris DiMarco,24.11,447,1854
9,0,06567,Vijay Singh,24.09,399,1656
10,0,10585,Scott McCarron,23.94,405,1692
11,0,02104,Jeff Sluman,23.56,441,1872
12,0,11032,Frank Lickliter II,23.37,429,1836
13,0,21209,Sergio Garcia,23.33,252,1080
14,0,01249,John Daly,23.31,344,1476
15,0,02239,Scott Verplank,23.20,405,1746
16,0,01797,Rocco Mediate,23.03,286,1242
17,0,01677,Tom Lehman,23.00,327,1422
18,0,12652,Cameron Beckman,22.90,408,1782
19,0,21961,Charles Howell III,22.75,348,1530
20,0,01320,Bob Estes,22.73,360,1584
21,0,02106,Chris Smith,22.62,399,1764
22,0,10809,Jim Furyk,22.60,358,1584
23,0,01527,Scott Hoch,22.55,341,1512
24,0,01666,Bernhard Langer,22.50,247,1098
25,0,20229,Stewart Cink,22.45,392,1746
26,0,07457,Steve Flesch,22.43,432,1926
27,0,20098,Stuart Appleby,22.39,395,1764
28,0,07749,Brett Quigley,22.22,252,1134
29,0,02223,Bob Tway,22.17,423,1908
30,0,06004,Stephen Ames,22.16,335,1512
31,0,06575,Dudley Hart,22.15,299,1350
32,0,10860,Justin Leonard,22.11,394,1782
33,0,19846,Brian Gay,22.07,445,2016
34,0,01766,Billy Mayfair,22.06,397,1800
35,0,01457,Jay Haas,21.91,284,1296
36,0,01203,Russ Cochran,21.84,287,1314
36,0,01219,John Cook,21.84,346,1584
38,0,02214,Kirk Triplett,21.82,326,1494
39,0,20127,Chris Riley,21.78,392,1800
40,0,01307,Joel Edwards,21.77,388,1782
41,0,20566,Kaname Yokoo,21.74,317,1458
42,0,01042,Paul Azinger,21.73,309,1422
43,0,01619,Skip Kendall,21.71,422,1944
44,0,06595,Kevin Sutherland,21.66,382,1764
45,0,20593,Greg Chalmers,21.60,346,1602
45,0,06621,Joe Durant,21.60,311,1440
47,0,01577,Lee Janzen,21.56,357,1656
47,0,08075,Jerry Kelly,21.56,392,1818
49,0,20094,Jonathan Kaye,21.53,434,2016
49,0,08375,Paul Stankowski,21.53,341,1584
51,0,01329,Brad Faxon,21.52,337,1566
52,0,21805,Harrison Frazar,21.49,325,1512
52,0,12660,Jesper Parnevik,21.49,352,1638
54,0,06573,Brandt Jobe,21.45,363,1692
54,0,12680,Shigeki Maruyama,21.45,363,1692
56,0,01724,Jeff Maggert,21.43,324,1512
56,0,02257,Brian Watts,21.43,216,1008
58,0,01707,Steve Lowery,21.42,374,1746
59,0,01941,Tom Pernice Jr.,21.41,393,1836
60,0,21949,Joe Ogilvie,21.40,416,1944
61,0,06527,Steve Stricker,21.37,250,1170
62,0,01139,Olin Browne,21.35,369,1728
63,0,01378,David Frost,21.33,334,1566
64,0,01226,Fred Couples,21.32,261,1224
64,0,10423,Mike Weir,21.32,330,1548
66,0,12823,Carlos Franco,21.26,333,1566
67,0,06613,Tommy Tolles,21.25,329,1548
68,0,20043,Edward Fryatt,21.22,340,1602
69,0,06522,Ernie Els,21.20,229,1080
70,0,01920,Craig Parry,21.08,239,1134
71,0,06034,Marco Dawson,21.05,216,1026
72,0,22892,Jason Gore,21.04,303,1440
73,0,11011,Mike Sposa,21.03,352,1674
74,0,22046,Geoff Ogilvy,21.02,227,1080
75,0,10885,Robert Allenby,20.96,400,1908
75,0,01024,Billy Andrade,20.96,298,1422
75,0,02101,Joey Sindelar,20.96,249,1188
78,0,01098,Jay Don Blake,20.95,362,1728
79,0,01553,John Huston,20.93,226,1080
80,0,01475,Donnie Hammond,20.92,192,918
81,0,02110,Jerry Smith,20.88,357,1710
82,0,20436,Garrett Willis,20.87,323,1548
83,0,07003,David Berganio Jr.,20.85,274,1314
83,0,01381,Fred Funk,20.85,439,2106
83,0,06332,Neal Lancaster,20.85,394,1890
83,0,23621,Rory Sabbatini,20.85,259,1242
87,0,24357,K.J. Choi,20.83,345,1656
87,0,08931,Glen Day,20.83,315,1512
89,0,02170,Hal Sutton,20.70,354,1710
90,0,06350,Bob May,20.69,298,1440
90,0,02245,Grant Waite,20.69,283,1368
92,0,12645,Brent Geiberger,20.68,294,1422
93,0,01968,Nick Price,20.65,275,1332
94,0,19817,Michael Muehr,20.59,341,1656
95,0,10565,Ian Leggatt,20.57,311,1512
96,0,06036,Scott Dunlap,20.53,292,1422
97,0,01175,Jim Carter,20.52,373,1818
98,0,01938,David Peoples,20.49,343,1674
99,0,08057,Brian Wilson,20.48,317,1548
100,0,06090,Jim McGovern,20.46,232,1134
101,0,20498,Briny Baird,20.39,378,1854
102,0,23614,Rich Beem,20.35,326,1602
103,0,02099,Scott Simpson,20.32,267,1314
104,0,23353,J.J. Henry,20.30,307,1512
104,0,22122,Andrew McLardy,20.30,274,1350
106,0,01771,Blaine McCallister,20.28,292,1440
107,0,07547,Craig Kanada,20.23,284,1404
108,0,06373,José María Olazábal,20.21,171,846
109,0,08545,Glen Hnatiuk,20.19,367,1818
110,0,10912,Craig Perks,20.18,276,1368
111,0,06809,Bob Burns,20.16,323,1602
