RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,21528,Henrik Stenson,1.244,54.733,44
2,0,10809,Jim Furyk,1.081,56.200,52
3,0,25364,Paul Casey,.991,62.461,63
4,0,29926,Danny Lee,.718,71.792,100
5,0,22405,Justin Rose,.692,33.924,49
6,0,25900,Lucas Glover,.691,49.722,72
7,0,25804,Bubba Watson,.684,38.329,56
8,0,24490,George McNeill,.645,57.401,89
9,0,32839,Hideki Matsuyama,.637,44.617,70
10,0,33122,Russell Knox,.622,54.146,87
11,0,34046,Jordan Spieth,.618,40.776,66
12,0,24024,Zach Johnson,.605,42.346,70
13,0,29518,Brendan Steele,.600,45.627,76
14,0,32102,Rickie Fowler,.590,33.658,57
15,0,29221,Webb Simpson,.582,37.224,64
16,0,30925,Dustin Johnson,.579,31.252,54
17,0,23983,Luke Donald,.573,30.959,54
18,0,25198,Francesco Molinari,.572,24.606,43
19,0,24507,Jason Bohn,.561,48.838,87
19,0,20229,Stewart Cink,.561,37.026,66
21,0,23320,Ryan Palmer,.529,28.556,54
22,0,40026,Daniel Berger,.526,43.686,83
23,0,28132,Tyrone Van Aswegen,.471,19.796,42
24,0,21209,Sergio Garcia,.468,16.838,36
25,0,28089,Jason Day,.461,26.260,57
26,0,35532,Tom Hoge,.456,29.611,65
27,0,30852,Ryo Ishikawa,.436,32.671,75
28,0,24924,Bill Haas,.422,29.975,71
29,0,28486,Michael Putnam,.420,28.559,68
29,0,06567,Vijay Singh,.420,28.960,69
31,0,20691,Greg Owen,.407,16.270,40
32,0,25686,Jason Dufner,.399,19.149,48
33,0,26329,Louis Oosthuizen,.397,18.679,47
34,0,33141,Keegan Bradley,.389,24.879,64
35,0,33448,Justin Thomas,.385,36.987,96
36,0,25396,Kevin Na,.381,27.046,71
37,0,23621,Rory Sabbatini,.375,24.747,66
38,0,27933,John Merrick,.358,20.760,58
39,0,32200,Roberto Castro,.347,12.500,36
40,0,20848,Ángel Cabrera,.336,14.119,42
41,0,25632,Jimmy Walker,.334,21.387,64
42,0,27436,Graham DeLaet,.328,17.715,54
43,0,37454,Whee Kim,.324,18.153,56
44,0,30926,Chris Kirk,.302,16.891,56
44,0,27936,Martin Laird,.302,22.049,73
46,0,26476,Chez Reavie,.298,14.893,50
47,0,20396,Lee Westwood,.292,9.332,32
48,0,31557,Jim Herman,.285,21.973,77
49,0,33418,Shawn Stefani,.283,24.932,88
50,0,35541,John Peterson,.276,21.285,77
51,0,33413,Ben Martin,.268,20.673,77
52,0,22892,Jason Gore,.266,15.407,58
53,0,34360,Patrick Reed,.263,19.986,76
54,0,10885,Robert Allenby,.260,13.242,51
55,0,27141,J.B. Holmes,.253,16.717,66
56,0,25720,Chad Collins,.246,15.497,63
56,0,26596,Ryan Moore,.246,14.989,61
58,0,26758,David Hearn,.243,20.660,85
59,0,27095,Nick Watney,.238,19.293,81
60,0,24138,Ian Poulter,.235,11.297,48
61,0,31323,Gary Woodland,.227,12.285,54
62,0,29725,Tony Finau,.224,20.610,92
62,0,25818,Scott Piercy,.224,18.599,83
62,0,25240,D.A. Points,.224,12.988,58
65,0,34099,Harris English,.207,18.241,88
66,0,23108,Matt Kuchar,.202,15.529,77
67,0,36689,Brooks Koepka,.200,12.999,65
68,0,21961,Charles Howell III,.199,19.740,99
68,0,26851,Marc Leishman,.199,10.752,54
70,0,23638,Brendon de Jonge,.196,18.042,92
71,0,25834,Daniel Summerhays,.194,17.241,89
72,0,12510,Chad Campbell,.192,17.491,91
72,0,06522,Ernie Els,.192,7.473,39
74,0,24361,Pat Perez,.187,15.502,83
75,0,27466,Spencer Levin,.181,15.008,83
76,0,34431,Robert Streb,.175,16.789,96
77,0,24357,K.J. Choi,.153,8.720,57
78,0,29289,S.Y. Noh,.147,7.920,54
79,0,34265,Will Wilcox,.144,5.899,41
80,0,29478,Kevin Kisner,.141,13.217,94
81,0,12716,Charley Hoffman,.137,10.407,76
81,0,29420,Billy Horschel,.137,10.026,73
83,0,30927,Brendon Todd,.136,10.314,76
84,0,32448,James Hahn,.135,10.536,78
85,0,27770,Camilo Villegas,.133,9.854,74
86,0,27963,Chris Stroud,.132,8.959,68
87,0,29222,Billy Hurley III,.114,7.164,63
87,0,24502,Adam Scott,.114,3.660,32
89,0,20472,Alex Cejka,.113,8.966,79
90,0,34264,Hudson Swafford,.109,9.051,83
91,0,26289,Boo Weekley,.108,7.227,67
92,0,26951,Johnson Wagner,.106,6.048,57
93,0,31193,Jim Renner,.085,4.756,56
94,0,22046,Geoff Ogilvy,.082,2.870,35
95,0,34262,Jon Curran,.077,4.995,65
96,0,31202,William McGirt,.060,5.820,97
97,0,25274,Steven Bowditch,.056,4.961,88
97,0,34261,Scott Langley,.056,4.443,79
99,0,23623,Bo Van Pelt,.054,3.507,65
100,0,28475,Jeff Overton,.041,3.073,75
101,0,25345,Carl Pettersson,.035,3.347,96
102,0,29479,Scott Brown,.031,2.498,81
103,0,20104,Ken Duke,.025,1.921,78
104,0,01810,Phil Mickelson,.022,1.207,55
105,0,35539,Luke Guthrie,.020,1.394,68
106,0,30711,Colt Knost,.017,1.266,74
107,0,34409,David Lingmerth,.013,.928,74
107,0,21878,Mark Wilson,.013,1.086,81
109,0,27214,Kevin Streelman,.005,.379,73
110,0,22056,Cameron Percy,-.002,-.113,58
111,0,30944,Jason Kokrak,-.014,-1.123,80
112,0,02206,David Toms,-.028,-1.566,55
113,0,08075,Jerry Kelly,-.052,-3.429,66
114,0,30692,Scott Stallings,-.053,-2.610,49
115,0,33419,Cameron Tringale,-.054,-4.280,79
116,0,20157,Retief Goosen,-.056,-3.347,60
117,0,28679,Fabián Gómez,-.057,-3.901,69
118,0,24846,Ricky Barnes,-.072,-4.546,63
119,0,28307,Matt Every,-.074,-4.153,56
120,0,29476,Kyle Reifers,-.084,-6.715,80
121,0,30946,Alex Prugh,-.085,-6.119,72
122,0,23353,J.J. Henry,-.088,-6.692,76
123,0,32366,Kevin Chappell,-.105,-7.910,75
124,0,20771,Steven Alker,-.114,-5.710,50
125,0,34174,John Huh,-.120,-10.666,89
126,0,34256,Andrew Putnam,-.132,-7.112,54
126,0,26331,Charl Schwartzel,-.132,-5.425,41
128,0,28780,Nicholas Thompson,-.139,-9.719,70
129,0,28500,Martin Flores,-.142,-11.209,79
130,0,28023,Byron Smith,-.149,-6.403,43
131,0,25369,Jamie Donaldson,-.150,-4.785,32
