RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,46442,Maverick McNealy,100.00,25,25
1,0,24138,Ian Poulter,100.00,27,27
3,0,35891,Cameron Smith,98.18,55,54
4,0,34256,Andrew Putnam,97.14,35,34
5,0,28252,Seamus Power,96.97,33,32
6,0,26758,David Hearn,96.67,30,29
7,0,26329,Louis Oosthuizen,96.30,27,26
8,0,21209,Sergio Garcia,95.83,48,46
8,0,46717,Viktor Hovland,95.83,48,46
10,0,39975,Michael Kim,95.65,23,22
11,0,34099,Harris English,95.45,44,42
12,0,34466,Peter Malnati,95.00,40,38
12,0,39953,Chase Seiffert,95.00,20,19
14,0,23108,Matt Kuchar,94.59,37,35
15,0,34314,Sebastian Cappelen,94.12,17,16
15,0,27349,Alex Noren,94.12,51,48
17,0,19846,Brian Gay,93.94,33,31
18,0,32662,Michael Gligic,93.55,31,29
19,0,32757,Patton Kizzire,93.33,60,56
20,0,30927,Brendon Todd,93.02,43,40
21,0,33410,Andrew Landry,92.86,28,26
21,0,24361,Pat Perez,92.86,42,39
21,0,33486,Roger Sloan,92.86,42,39
24,0,30925,Dustin Johnson,92.68,41,38
24,0,01810,Phil Mickelson,92.68,41,38
24,0,49771,J.T. Poston,92.68,41,38
27,0,34431,Robert Streb,92.50,40,37
28,0,32640,Troy Merritt,92.45,53,49
29,0,23983,Luke Donald,92.31,26,24
29,0,46402,Talor Gooch,92.31,52,48
29,0,31323,Gary Woodland,92.31,39,36
32,0,52375,Doug Ghim,92.16,51,47
33,0,34363,Tyrrell Hatton,92.00,25,23
34,0,23320,Ryan Palmer,91.89,37,34
35,0,31560,Brian Stuard,91.84,49,45
36,0,27214,Kevin Streelman,91.53,59,54
37,0,47959,Bryson DeChambeau,91.49,47,43
37,0,47993,Denny McCarthy,91.49,47,43
37,0,23621,Rory Sabbatini,91.49,47,43
37,0,34264,Hudson Swafford,91.49,47,43
41,0,27649,Brandt Snedeker,91.11,45,41
42,0,36801,Mark Hubbard,90.91,44,40
43,0,26499,Rafa Cabrera Bello,90.63,32,29
44,0,39324,J.J. Spaun,90.32,31,28
45,0,35506,Mackenzie Hughes,90.24,41,37
45,0,28237,Rory McIlroy,90.24,41,37
47,0,25364,Paul Casey,90.00,40,36
47,0,30911,Tommy Fleetwood,90.00,20,18
47,0,33399,Adam Hadwin,90.00,50,45
50,0,30944,Jason Kokrak,89.66,58,52
50,0,32333,Kevin Tway,89.66,29,26
50,0,35658,Kris Ventura,89.66,29,26
53,0,22371,Aaron Baddeley,89.47,19,17
54,0,48081,Xander Schauffele,89.36,47,42
55,0,49766,Hank Lebioda,89.29,28,25
55,0,35617,Martin Trainer,89.29,28,25
57,0,33122,Russell Knox,89.13,46,41
58,0,40026,Daniel Berger,89.09,55,49
59,0,45526,Abraham Ancer,88.89,45,40
59,0,20229,Stewart Cink,88.89,45,40
59,0,27330,Josh Teater,88.89,18,16
59,0,33419,Cameron Tringale,88.89,54,48
63,0,46550,Brandon Hagy,88.57,35,31
63,0,53165,Doc Redman,88.57,35,31
65,0,31557,Jim Herman,88.46,26,23
65,0,35230,Nelson Ledesma,88.46,26,23
65,0,33667,Carlos Ortiz,88.46,52,46
65,0,46970,Jon Rahm,88.46,52,46
69,0,52372,Cameron Champ,88.37,43,38
70,0,45609,Tyler Duncan,88.24,34,30
70,0,35461,Beau Hossler,88.24,34,30
70,0,36689,Brooks Koepka,88.24,51,45
73,0,45486,Joaquin Niemann,88.14,59,52
74,0,40006,Erik van Rooyen,88.10,42,37
75,0,40098,Matt Fitzpatrick,87.88,33,29
76,0,25493,Nick Taylor,87.72,57,50
76,0,37189,Harold Varner III,87.72,57,50
78,0,26851,Marc Leishman,87.50,40,35
78,0,22405,Justin Rose,87.50,24,21
78,0,30692,Scott Stallings,87.50,40,35
78,0,51894,Vince Whaley,87.50,40,35
78,0,32139,Danny Willett,87.50,16,14
78,0,56278,Matthew Wolff,87.50,32,28
84,0,21961,Charles Howell III,87.18,39,34
84,0,31420,Anirban Lahiri,87.18,39,34
86,0,34046,Jordan Spieth,87.04,54,47
87,0,35310,Lanto Griffin,86.96,46,40
88,0,29479,Scott Brown,86.67,45,39
88,0,22056,Cameron Percy,86.67,45,39
88,0,26331,Charl Schwartzel,86.67,45,39
88,0,20396,Lee Westwood,86.67,30,26
92,0,46435,Austin Cook,86.49,37,32
92,0,29420,Billy Horschel,86.49,37,32
94,0,26476,Chez Reavie,86.36,44,38
95,0,25900,Lucas Glover,86.21,58,50
96,0,25632,Jimmy Walker,86.11,36,31
97,0,49960,Sepp Straka,86.00,50,43
98,0,19803,Ryan Armour,85.71,42,36
98,0,33404,Chris Baker,85.71,21,18
98,0,47504,Sam Burns,85.71,49,42
98,0,29908,C.T. Pan,85.71,35,30
102,0,35449,Adam Long,85.37,41,35
103,0,29725,Tony Finau,85.19,54,46
104,0,49964,Aaron Wise,85.11,47,40
105,0,28089,Jason Day,85.00,40,34
105,0,33448,Justin Thomas,85.00,60,51
105,0,48887,Matt Wallace,85.00,20,17
108,0,34174,John Huh,84.85,33,28
109,0,51766,Wyndham Clark,84.78,46,39
110,0,56762,Will Gordon,84.62,39,33
110,0,33204,Shane Lowry,84.62,39,33
112,0,46046,Scottie Scheffler,84.51,71,60
113,0,49298,Kramer Hickok,84.38,32,27
114,0,24357,K.J. Choi,84.21,19,16
115,0,37455,Si Woo Kim,84.13,63,53
116,0,27556,Ted Potter Jr.,83.87,31,26
116,0,37275,Sam Ryder,83.87,31,26
116,0,23325,Vaughn Taylor,83.87,31,26
119,0,29970,Dylan Frittelli,83.78,37,31
120,0,35532,Tom Hoge,83.75,80,67
121,0,27974,Sung Kang,83.67,49,41
122,0,33490,Bo Hoag,83.33,48,40
122,0,27141,J.B. Holmes,83.33,24,20
122,0,32791,K.H. Lee,83.33,54,45
122,0,40042,Tyler McCumber,83.33,30,25
122,0,36871,Matthew NeSmith,83.33,48,40
122,0,36699,Patrick Rodgers,83.33,54,45
122,0,29518,Brendan Steele,83.33,36,30
129,0,33141,Keegan Bradley,83.08,65,54
130,0,33948,Byeong Hun An,82.98,47,39
131,0,39546,Keith Mitchell,82.93,41,34
131,0,25804,Bubba Watson,82.93,41,34
133,0,29535,Brice Garnett,82.86,35,29
134,0,30110,Kyle Stanley,82.69,52,43
135,0,12716,Charley Hoffman,82.61,46,38
136,0,35450,Patrick Cantlay,82.50,40,33
136,0,24502,Adam Scott,82.50,40,33
138,0,33597,Harry Higgs,82.22,45,37
139,0,33120,Mark Anderson,82.14,28,23
140,0,30926,Chris Kirk,81.82,33,27
140,0,28775,Nate Lashley,81.82,22,18
140,0,50525,Collin Morikawa,81.82,55,45
143,0,34360,Patrick Reed,81.63,49,40
144,0,39971,Sungjae Im,81.54,65,53
145,0,47347,Adam Schenk,81.40,43,35
145,0,47483,Will Zalatoris,81.40,43,35
147,0,32070,Rafael Campos,81.25,32,26
147,0,29974,Branden Grace,81.25,32,26
147,0,35104,Tom Lewis,81.25,32,26
147,0,24140,Sean O'Hair,81.25,16,13
151,0,27770,Camilo Villegas,81.08,37,30
152,0,27644,Brian Harman,81.03,58,47
153,0,28420,Ryan Brehm,80.95,21,17
153,0,24924,Bill Haas,80.95,21,17
155,0,27554,Scott Harrington,80.65,31,25
155,0,29926,Danny Lee,80.65,31,25
157,0,32150,Michael Thompson,80.49,41,33
157,0,27064,Jhonattan Vegas,80.49,41,33
159,0,29478,Kevin Kisner,80.00,35,28
159,0,48822,Sebastián Muñoz,80.00,50,40
159,0,46441,Robby Shelton,80.00,55,44
162,0,32839,Hideki Matsuyama,79.71,69,55
163,0,45157,Cam Davis,79.63,54,43
164,0,32448,James Hahn,79.55,44,35
165,0,47128,Richy Werenski,79.49,39,31
166,0,34076,Joel Dahmen,79.17,48,38
166,0,29221,Webb Simpson,79.17,48,38
166,0,48119,Ben Taylor,79.17,24,19
166,0,23623,Bo Van Pelt,79.17,24,19
170,0,32618,Rhein Gibson,78.95,19,15
170,0,26300,Matt Jones,78.95,57,45
170,0,27095,Nick Watney,78.95,19,15
173,0,34098,Russell Henley,78.57,56,44
173,0,25396,Kevin Na,78.57,42,33
173,0,27942,Rob Oppenheim,78.57,42,33
173,0,32254,Xinjun Zhang,78.57,28,22
177,0,30163,Henrik Norlander,78.26,46,36
178,0,25686,Jason Dufner,78.05,41,32
179,0,24781,Hunter Mahan,77.78,18,14
180,0,29268,Bronson Burgoon,77.42,31,24
180,0,39977,Max Homa,77.42,31,24
182,0,28679,Fabián Gómez,77.27,22,17
183,0,32816,Satoshi Kodaira,76.92,26,20
184,0,32102,Rickie Fowler,76.60,47,36
185,0,27936,Martin Laird,76.32,38,29
186,0,25818,Scott Piercy,76.19,42,32
187,0,34563,Chesson Hadley,75.68,37,28
188,0,31646,Emiliano Grillo,74.36,39,29
189,0,33413,Ben Martin,73.68,19,14
190,0,39997,Corey Conners,73.47,49,36
191,0,48045,Michael Gellerman,71.43,14,10
192,0,34255,Joseph Bramlett,70.73,41,29
193,0,27129,Luke List,70.37,54,38
194,0,24024,Zach Johnson,68.97,29,20
195,0,34213,Grayson Murray,68.42,19,13
196,0,23788,D.J. Trahan,63.64,22,14
