RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,06621,Joe Durant,71.10,1075,1512,-0.20
2,0,10885,Robert Allenby,70.40,1356,1926,-0.24
3,0,21805,Harrison Frazar,70.34,823,1170,-0.20
4,0,01553,John Huston,70.30,658,936,-0.26
5,0,20498,Briny Baird,70.00,1323,1890,-0.21
6,0,10733,Kent Jones,69.71,778,1116,-0.24
7,0,24781,Hunter Mahan,69.61,1065,1530,-0.24
8,0,02002,John Riegger,69.49,838,1206,-0.23
9,0,23353,J.J. Henry,69.19,1345,1944,-0.21
10,0,20645,John Senden,69.08,1144,1656,-0.22
11,0,01320,Bob Estes,68.69,1088,1584,-0.22
12,0,06567,Vijay Singh,68.45,961,1404,-0.25
13,0,12510,Chad Campbell,68.44,1158,1692,-0.27
13,0,24490,George McNeill,68.44,1195,1746,-0.26
15,0,28158,Steve Marino,68.36,1415,2070,-0.26
16,0,27095,Nick Watney,68.23,1179,1728,-0.26
17,0,06595,Kevin Sutherland,68.20,1203,1764,-0.25
18,0,07867,Woody Austin,68.15,1288,1890,-0.23
19,0,01766,Billy Mayfair,68.12,1263,1854,-0.21
20,0,24924,Bill Haas,68.07,1164,1710,-0.27
21,0,24358,Robert Garrigus,68.02,1102,1620,-0.26
22,0,20105,Jeff Gove,67.87,562,828,-0.19
22,0,08845,Scott Sterling,67.87,1014,1494,-0.21
22,0,26289,Boo Weekley,67.87,1014,1494,-0.22
25,0,27933,John Merrick,67.72,1097,1620,-0.23
26,0,27963,Chris Stroud,67.63,913,1350,-0.22
27,0,25804,Bubba Watson,67.60,1156,1710,-0.24
28,0,24024,Zach Johnson,67.59,1022,1512,-0.23
29,0,20574,Mathew Goggin,67.58,1107,1638,-0.25
30,0,01945,Kenny Perry,67.47,1178,1746,-0.26
31,0,27214,Kevin Streelman,67.44,1311,1944,-0.25
32,0,27120,Troy Matteson,67.38,1140,1692,-0.23
33,0,02223,Bob Tway,67.36,776,1152,-0.31
34,0,23623,Bo Van Pelt,67.30,1175,1746,-0.23
