RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,30911,Tommy Fleetwood,2.560,297.3,116.125,112,0218103047
2,0,28237,Rory McIlroy,2.551,303.3,118.884,189,0216303048
3,0,32139,Danny Willett,2.541,286.7,112.836,101,0226302984
4,0,33141,Keegan Bradley,2.538,290.4,114.396,176,0226502835
4,0,25493,Nick Taylor,2.538,279.6,110.178,169,0210902817
6,0,39324,J.J. Spaun,2.535,283.4,111.805,158,0227902758
7,0,49960,Sepp Straka,2.534,287.7,113.521,204,0196402784
8,0,33449,Zack Sucher,2.533,284.0,112.120,81,0235702789
9,0,29268,Bronson Burgoon,2.530,281.8,111.401,143,0225202816
9,0,35449,Adam Long,2.530,279.6,110.518,254,0217002854
11,7,29221,Webb Simpson,2.528,280.9,111.118,182,0222002901
12,-1,35461,Beau Hossler,2.526,290.3,114.932,204,0200502814
13,1,30925,Dustin Johnson,2.525,301.9,119.564,148,0042603242
14,-2,32448,James Hahn,2.524,281.9,111.691,107,0191002811
15,-2,33948,Byeong Hun An,2.523,286.9,113.683,224,0044203035
16,-1,28307,Matt Every,2.521,281.9,111.791,132,0216006395
16,-1,30944,Jason Kokrak,2.521,297.0,117.803,190,0043602915
18,-1,45157,Cam Davis,2.520,298.2,118.352,138,0226502844
19,0,32102,Rickie Fowler,2.516,286.0,113.688,139,0215502842
20,0,48887,Matt Wallace,2.515,289.7,115.200,141,0027702834
21,0,46435,Austin Cook,2.514,278.5,110.779,182,0224902769
22,3,47959,Bryson DeChambeau,2.513,314.1,125.003,188,0040203004
22,0,27330,Josh Teater,2.513,280.9,111.780,100,0228202812
22,0,23623,Bo Van Pelt,2.513,277.2,110.273,130,0229602725
22,0,49964,Aaron Wise,2.513,289.1,115.049,109,0209002740
26,4,35891,Cameron Smith,2.512,282.1,112.305,181,0205902853
27,0,33410,Andrew Landry,2.511,273.1,108.782,221,0209302729
27,3,46970,Jon Rahm,2.511,297.1,118.332,209,0044102948
29,-1,33399,Adam Hadwin,2.510,280.9,111.907,205,0030902744
29,-1,29926,Danny Lee,2.510,287.2,114.400,209,0203502831
31,8,46717,Viktor Hovland,2.508,283.7,113.145,240,0222302874
32,0,52375,Doug Ghim,2.506,278.6,111.183,87,0217402704
33,0,34563,Chesson Hadley,2.505,282.7,112.858,136,0204702832
34,0,35230,Nelson Ledesma,2.504,283.6,113.285,78,0222502755
34,0,34046,Jordan Spieth,2.504,285.6,114.050,151,0030902917
34,0,56278,Matthew Wolff,2.504,303.8,121.320,221,0030102861
37,0,37189,Harold Varner III,2.503,282.8,113.005,199,0030802824
38,0,27974,Sung Kang,2.502,286.6,114.578,192,0031603016
39,0,26329,Louis Oosthuizen,2.501,281.1,112.413,138,0042202840
40,1,33486,Roger Sloan,2.500,283.2,113.293,117,0215502738
41,2,29970,Dylan Frittelli,2.497,283.2,113.410,231,0217202772
41,2,32640,Troy Merritt,2.497,278.2,111.399,185,0077102779
43,-1,32839,Hideki Matsuyama,2.496,288.6,115.630,240,0201803027
44,1,25632,Jimmy Walker,2.494,286.5,114.873,119,0218302737
45,1,33120,Mark Anderson,2.493,274.6,110.157,102,0215102759
45,3,50525,Collin Morikawa,2.493,283.1,113.565,244,0214902792
45,1,47128,Richy Werenski,2.493,278.3,111.621,180,0206002761
48,1,35450,Patrick Cantlay,2.491,288.4,115.787,140,0202002827
48,1,26758,David Hearn,2.491,262.3,105.260,125,0217702753
48,1,27649,Brandt Snedeker,2.491,271.0,108.789,187,0046502869
51,1,35617,Martin Trainer,2.490,296.5,119.084,117,0201302798
52,2,23108,Matt Kuchar,2.487,271.0,108.983,162,0216202834
53,2,32757,Patton Kizzire,2.486,283.5,114.039,141,0223402727
53,5,23320,Ryan Palmer,2.486,284.7,114.541,212,0202602823
53,2,22405,Justin Rose,2.486,286.9,115.370,130,0217302780
56,-1,33448,Justin Thomas,2.485,288.8,116.232,168,0044803042
57,2,26476,Chez Reavie,2.482,267.7,107.834,203,0206805041
58,4,34363,Tyrrell Hatton,2.480,284.4,114.680,145,0042702940
59,2,46441,Robby Shelton,2.479,274.4,110.694,215,0219002771
60,2,34255,Joseph Bramlett,2.478,282.8,114.116,96,0205302724
60,0,35506,Mackenzie Hughes,2.478,285.3,115.138,248,0211702846
60,2,28775,Nate Lashley,2.478,271.4,109.533,133,0223302747
60,2,01810,Phil Mickelson,2.478,290.1,117.089,125,0197602857
64,2,47504,Sam Burns,2.477,294.0,118.667,189,0053802679
64,2,27963,Chris Stroud,2.477,271.5,109.613,143,0214302732
66,2,26499,Rafa Cabrera Bello,2.476,272.2,109.940,156,0060902897
66,2,28679,Fabián Gómez,2.476,268.3,108.356,131,0205202656
66,2,23325,Vaughn Taylor,2.476,265.5,107.204,171,0206102773
66,2,32150,Michael Thompson,2.476,272.0,109.835,224,0215502729
66,2,25349,Tim Wilkinson,2.476,264.5,106.852,98,0029802789
71,2,25364,Paul Casey,2.475,287.9,116.353,155,0040902880
71,2,24924,Bill Haas,2.475,281.7,113.789,112,0205702796
71,2,27644,Brian Harman,2.475,271.8,109.811,283,0122202946
74,2,49766,Hank Lebioda,2.474,277.9,112.319,137,0223302778
74,2,49771,J.T. Poston,2.474,279.7,113.054,211,0209802702
74,2,48119,Ben Taylor,2.474,284.8,115.075,88,0223602667
77,2,29535,Brice Garnett,2.472,272.9,110.403,153,0211402687
77,2,31420,Anirban Lahiri,2.472,275.1,111.263,67,0216302773
77,2,27936,Martin Laird,2.472,282.6,114.323,97,0224702717
77,2,27214,Kevin Streelman,2.472,279.0,112.855,224,0202702766
81,3,31646,Emiliano Grillo,2.471,281.2,113.786,162,0215602718
82,3,34098,Russell Henley,2.470,271.4,109.866,216,0217702802
82,3,36689,Brooks Koepka,2.470,296.5,120.025,127,0216102789
84,7,34099,Harris English,2.469,285.4,115.608,254,0217202776
85,2,34314,Sebastian Cappelen,2.468,286.7,116.153,126,0187902774
85,2,19846,Brian Gay,2.468,269.5,109.209,207,0195302741
85,-6,29420,Billy Horschel,2.468,280.5,113.667,232,0029002940
88,1,32791,K.H. Lee,2.467,278.2,112.739,208,0199802762
88,1,36871,Matthew NeSmith,2.467,281.9,114.262,164,0198602792
90,1,28089,Jason Day,2.466,289.9,117.583,138,0219802752
90,1,24024,Zach Johnson,2.466,270.9,109.888,171,0210102761
90,1,29518,Brendan Steele,2.466,288.8,117.112,177,0028902729
93,2,33204,Shane Lowry,2.465,282.9,114.758,126,0042102943
93,2,40042,Tyler McCumber,2.465,298.8,121.200,89,0216102722
95,2,34466,Peter Malnati,2.463,276.3,112.211,169,0222202730
96,2,25818,Scott Piercy,2.462,274.8,111.595,154,0211202773
96,2,23621,Rory Sabbatini,2.462,270.1,109.748,190,0209902761
98,2,29908,C.T. Pan,2.461,269.6,109.530,145,0178902790
99,2,21407,Arjun Atwal,2.460,266.4,108.270,80,0196402675
99,2,34021,Bud Cauley,2.460,273.7,111.250,203,0218502720
99,2,22056,Cameron Percy,2.460,270.6,109.989,105,0219002722
102,2,51766,Wyndham Clark,2.459,294.8,119.928,156,0179602745
103,3,34076,Joel Dahmen,2.458,274.7,111.790,223,0211602764
103,3,45609,Tyler Duncan,2.458,269.0,109.423,246,0207202740
105,3,39997,Corey Conners,2.457,283.6,115.428,200,0029402906
106,3,39971,Sungjae Im,2.455,283.6,115.513,309,0051802839
106,4,47993,Denny McCarthy,2.455,277.0,112.862,204,0058402696
106,4,31560,Brian Stuard,2.455,258.4,105.239,230,0199202787
109,4,21961,Charles Howell III,2.454,286.8,116.855,171,0203202981
109,4,39953,Chase Seiffert,2.454,272.9,111.207,112,0207002744
111,4,35732,Wes Roach,2.453,272.4,111.047,69,0222602802
111,4,48081,Xander Schauffele,2.453,288.4,117.540,227,0193702972
113,4,33404,Chris Baker,2.452,275.2,112.221,124,0216502659
113,10,46046,Scottie Scheffler,2.452,285.8,116.540,262,0041502856
113,4,23788,D.J. Trahan,2.452,275.8,112.481,98,0212802763
116,3,28420,Ryan Brehm,2.450,304.6,124.311,111,0216502703
116,3,33597,Harry Higgs,2.450,285.7,116.605,265,0212202787
116,3,35532,Tom Hoge,2.450,274.3,111.970,223,0217102726
116,3,27556,Ted Potter Jr.,2.450,275.1,112.286,127,0206202665
120,3,32366,Kevin Chappell,2.449,285.0,116.370,131,0212502713
120,3,34213,Grayson Murray,2.449,297.6,121.500,104,0041002693
122,4,12716,Charley Hoffman,2.448,278.4,113.766,175,0029302737
123,4,39977,Max Homa,2.447,290.4,118.683,205,0206402746
124,4,33667,Carlos Ortiz,2.446,284.8,116.419,211,0044802750
125,4,33122,Russell Knox,2.445,277.6,113.554,179,0213002767
125,4,53165,Doc Redman,2.445,280.5,114.736,249,0214402807
127,4,29479,Scott Brown,2.444,272.7,111.566,175,0211602697
128,6,29478,Kevin Kisner,2.442,273.4,111.958,209,0208502886
128,4,27095,Nick Watney,2.442,288.3,118.050,123,0207502657
130,3,33490,Bo Hoag,2.440,271.8,111.402,164,0199902719
131,3,35658,Kris Ventura,2.439,294.9,120.889,89,0207102686
132,8,45526,Abraham Ancer,2.437,272.3,111.723,226,0001303240
132,4,24502,Adam Scott,2.437,288.1,118.229,114,0046602801
132,4,34431,Robert Streb,2.437,275.4,113.018,89,0225502671
135,3,49298,Kramer Hickok,2.435,272.8,112.040,125,0223202729
135,3,30163,Henrik Norlander,2.435,275.1,112.991,171,0171502733
137,3,30110,Kyle Stanley,2.434,265.6,109.150,161,0187802798
138,4,40009,Dominic Bozzelli,2.433,276.1,113.489,65,0208902611
139,4,40058,Zac Blair,2.432,262.7,107.997,169,0210702709
139,4,37455,Si Woo Kim,2.432,276.0,113.470,235,0191802771
139,4,39546,Keith Mitchell,2.432,291.0,119.645,156,0172202732
142,4,26300,Matt Jones,2.431,279.6,115.017,204,0016602723
143,4,40098,Matt Fitzpatrick,2.429,273.1,112.430,160,0045402826
143,4,25572,Graeme McDowell,2.429,268.2,110.390,112,0049802814
143,4,30927,Brendon Todd,2.429,260.6,107.289,285,0008902732
146,4,27554,Scott Harrington,2.428,294.2,121.165,165,0209502829
147,4,25686,Jason Dufner,2.427,265.9,109.544,194,0207902744
148,4,24361,Pat Perez,2.423,281.8,116.303,134,0028102725
149,4,36699,Patrick Rodgers,2.422,290.0,119.745,260,0154002742
150,4,30692,Scott Stallings,2.421,276.8,114.333,147,0198102841
151,4,32618,Rhein Gibson,2.420,281.9,116.502,103,0163802706
151,4,27349,Alex Noren,2.420,285.3,117.889,151,0210902710
153,4,19803,Ryan Armour,2.418,256.6,106.104,168,0212902695
154,4,48045,Michael Gellerman,2.417,275.2,113.839,90,0213502641
155,4,22371,Aaron Baddeley,2.414,268.8,111.373,160,0213102638
155,4,56762,Will Gordon,2.414,303.7,125.792,64,0204002855
155,4,33413,Ben Martin,2.414,271.4,112.428,71,0208002728
158,4,31323,Gary Woodland,2.413,293.4,121.589,149,0202602780
159,9,29725,Tony Finau,2.412,294.4,122.052,214,0133702784
159,4,10809,Jim Furyk,2.412,253.8,105.245,127,0032902723
161,3,51894,Vince Whaley,2.411,282.8,117.297,90,0204702658
162,3,20229,Stewart Cink,2.410,279.1,115.812,177,0214402670
162,3,21209,Sergio Garcia,2.410,287.7,119.389,105,0043302951
162,3,25900,Lucas Glover,2.410,273.5,113.492,162,0192902958
165,4,33419,Cameron Tringale,2.406,287.9,119.679,219,0213902716
165,4,25804,Bubba Watson,2.406,293.2,121.881,146,0033702990
167,4,32254,Xinjun Zhang,2.405,279.5,116.220,218,0202202684
168,5,46402,Talor Gooch,2.401,284.0,118.280,216,0208802794
168,5,37275,Sam Ryder,2.401,281.7,117.341,198,0030502668
170,2,48822,Sebastián Muñoz,2.400,285.5,118.971,262,0030602863
171,4,27064,Jhonattan Vegas,2.396,291.5,121.637,117,0028602637
172,5,25396,Kevin Na,2.392,271.3,113.410,228,0044002830
173,3,27129,Luke List,2.391,295.7,123.680,192,0192402676
174,10,40026,Daniel Berger,2.390,276.4,115.682,213,0190602736
175,3,32662,Michael Gligic,2.389,287.1,120.161,131,0214002633
176,3,46550,Brandon Hagy,2.388,299.3,125.314,125,0177702713
177,3,29484,Peter Uihlein,2.387,289.0,121.070,84,0202802609
178,3,36801,Mark Hubbard,2.386,268.2,112.398,288,0003802680
178,11,26851,Marc Leishman,2.386,274.9,115.217,142,0016402867
178,3,32333,Kevin Tway,2.386,289.2,121.198,116,0040202590
181,2,29974,Branden Grace,2.385,272.6,114.324,114,0186402938
182,2,26596,Ryan Moore,2.383,259.6,108.935,138,0018402655
182,2,24138,Ian Poulter,2.383,261.8,109.869,154,0017602686
184,3,46442,Maverick McNealy,2.382,274.5,115.233,208,0176202831
185,5,35310,Lanto Griffin,2.379,284.0,119.400,202,0016102814
186,7,31557,Jim Herman,2.369,267.7,112.983,175,0203702628
187,4,52372,Cameron Champ,2.368,300.8,126.998,202,0001902880
187,8,28252,Seamus Power,2.368,278.9,117.791,84,0194502640
