RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,06527,Steve Stricker,4.28,295,69
2,0,23983,Luke Donald,4.24,284,67
3,0,29221,Webb Simpson,4.23,415,98
4,0,30925,Dustin Johnson,4.20,298,71
5,0,27095,Nick Watney,4.10,316,77
6,0,32102,Rickie Fowler,4.09,331,81
7,0,22371,Aaron Baddeley,4.08,314,77
7,0,27141,J.B. Holmes,4.08,216,53
9,0,24781,Hunter Mahan,4.06,361,89
10,0,28089,Jason Day,4.01,293,73
11,0,12716,Charley Hoffman,4.00,368,92
11,0,30110,Kyle Stanley,4.00,392,98
13,0,31323,Gary Woodland,3.96,368,93
14,0,25562,Andres Romero,3.95,304,77
15,0,23108,Matt Kuchar,3.94,347,88
15,0,02206,David Toms,3.94,307,78
17,0,25804,Bubba Watson,3.91,309,79
18,0,24358,Robert Garrigus,3.87,321,83
19,0,27936,Martin Laird,3.86,293,76
19,0,01810,Phil Mickelson,3.86,297,77
21,0,25274,Steven Bowditch,3.84,330,86
22,0,25396,Kevin Na,3.83,322,84
22,0,22046,Geoff Ogilvy,3.83,253,66
24,0,27064,Jhonattan Vegas,3.82,321,84
25,0,11123,Chris Couch,3.81,278,73
26,0,24502,Adam Scott,3.80,224,59
27,0,30926,Chris Kirk,3.79,330,87
27,0,26476,Chez Reavie,3.79,349,92
29,0,23638,Brendon de Jonge,3.78,397,105
29,0,30750,Tommy Gainey,3.78,393,104
29,0,06573,Brandt Jobe,3.78,378,100
29,0,24361,Pat Perez,3.78,287,76
29,0,27649,Brandt Snedeker,3.78,321,85
34,0,20848,Ángel Cabrera,3.76,188,50
34,0,21731,Freddie Jacobson,3.76,346,92
34,0,23800,Bryce Molder,3.76,308,82
34,0,25345,Carl Pettersson,3.76,357,95
34,0,23621,Rory Sabbatini,3.76,320,85
34,0,26289,Boo Weekley,3.76,248,66
40,0,28158,Steve Marino,3.74,284,76
40,0,20645,John Senden,3.74,352,94
42,0,29910,Blake Adams,3.73,433,116
42,0,21753,Brian Davis,3.73,392,105
42,0,25818,Scott Piercy,3.73,291,78
42,0,06567,Vijay Singh,3.73,295,79
46,0,24924,Bill Haas,3.71,341,92
47,0,33141,Keegan Bradley,3.69,336,91
47,0,20157,Retief Goosen,3.69,181,49
47,0,24604,Hunter Haas,3.69,354,96
47,0,28620,Aron Price,3.69,214,58
47,0,22405,Justin Rose,3.69,284,77
52,0,25686,Jason Dufner,3.68,287,78
52,0,23548,Bill Lunde,3.68,339,92
54,0,26679,Kevin Stadler,3.67,323,88
55,0,20160,Charlie Wi,3.66,304,83
56,0,25900,Lucas Glover,3.65,270,74
56,0,01577,Lee Janzen,3.65,226,62
56,0,23320,Ryan Palmer,3.65,292,80
59,0,20229,Stewart Cink,3.64,255,70
59,0,19846,Brian Gay,3.64,328,90
61,0,25240,D.A. Points,3.63,323,89
61,0,26331,Charl Schwartzel,3.63,203,56
61,0,27330,Josh Teater,3.63,377,104
64,0,25572,Graeme McDowell,3.62,170,47
64,0,27933,John Merrick,3.62,257,71
66,0,33413,Ben Martin,3.61,267,74
66,0,24490,George McNeill,3.61,249,69
66,0,26596,Ryan Moore,3.61,271,75
66,0,22913,John Rollins,3.61,307,85
70,0,27120,Troy Matteson,3.60,328,91
71,0,24507,Jason Bohn,3.59,266,74
71,0,23409,James Driscoll,3.59,255,71
71,0,01766,Billy Mayfair,3.59,337,94
74,0,27466,Spencer Levin,3.58,405,113
74,0,23623,Bo Van Pelt,3.58,322,90
