RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,46046,Scottie Scheffler,67.90,3463,51
2,0,51977,Max Greyserman,68.27,2253,33
3,0,52513,Carson Young,68.40,1368,20
4,0,51997,Andrew Novak,68.64,1922,28
5,0,58168,Davis Thompson,68.67,2060,30
6,0,52215,Robert MacIntyre,68.73,2062,30
7,0,54591,Ben Griffin,68.78,2476,36
8,0,35461,Beau Hossler,68.82,1927,28
9,0,35310,Lanto Griffin,68.87,1033,15
10,0,29535,Brice Garnett,68.91,758,11
10,0,48081,Xander Schauffele,68.91,3790,55
12,0,51349,Nico Echavarria,69.04,1657,24
13,0,52375,Doug Ghim,69.07,2072,30
14,0,45242,Kevin Yu,69.08,1727,25
15,0,12716,Charley Hoffman,69.10,1451,21
16,0,32757,Patton Kizzire,69.13,1590,23
17,0,46442,Maverick McNealy,69.14,2420,35
17,0,27330,Josh Teater,69.14,484,7
19,0,27064,Jhonattan Vegas,69.23,1800,26
20,0,51894,Vince Whaley,69.25,1662,24
21,0,32791,K.H. Lee,69.27,1524,22
22,0,50525,Collin Morikawa,69.29,3326,48
23,0,60004,Jacob Bridgeman,69.33,2080,30
24,0,46414,Aaron Rai,69.34,2427,35
25,0,34587,Chan Kim,69.35,1803,26
26,0,59095,Chris Gotterup,69.43,972,14
26,0,47679,Victor Perez,69.43,1597,23
28,0,40250,Taylor Pendrith,69.49,2432,35
29,0,51890,Greyson Sigg,69.50,1529,22
30,0,51634,Sahith Theegala,69.51,3406,49
31,0,39327,Ben Silverman,69.53,1182,17
31,0,52666,Sami Valimaki,69.53,1321,19
33,0,27349,Alex Noren,69.54,1947,28
34,0,55893,Sam Stevens,69.56,2226,32
35,0,57900,Chandler Phillips,69.58,1670,24
36,0,33448,Justin Thomas,69.63,2437,35
37,0,35506,Mackenzie Hughes,69.64,2507,36
38,0,34563,Chesson Hadley,69.69,906,13
38,0,39971,Sungjae Im,69.69,2927,42
38,0,30163,Henrik Norlander,69.69,1812,26
41,0,52514,Trace Crowe,69.70,1394,20
41,0,55182,Tom Kim,69.70,2579,37
43,0,54576,Patrick Fishburn,69.71,1673,24
44,0,35532,Tom Hoge,69.74,2650,38
45,0,59836,Pierceson Coody,69.75,1395,20
46,0,33399,Adam Hadwin,69.76,1744,25
46,0,37275,Sam Ryder,69.76,1744,25
48,0,37455,Si Woo Kim,69.77,2442,35
48,0,40162,Justin Lower,69.77,2163,31
48,0,46340,Alex Smalley,69.77,2163,31
51,0,52955,Ludvig Ãberg,69.78,2791,40
51,0,40026,Daniel Berger,69.78,1605,23
51,0,39546,Keith Mitchell,69.78,1605,23
51,0,54783,Dylan Wu,69.78,1256,18
55,0,33653,Thomas Detry,69.79,2024,29
55,0,57366,Cameron Young,69.79,2652,38
57,0,47993,Denny McCarthy,69.82,2304,33
58,0,34255,Joseph Bramlett,69.83,1676,24
58,0,59143,Mac Meissner,69.83,1257,18
60,0,48699,Callum Tarren,69.87,1048,15
60,0,40006,Erik van Rooyen,69.87,2096,30
62,0,29420,Billy Horschel,69.89,2446,35
62,0,48153,Matthieu Pavon,69.89,1887,27
64,0,36801,Mark Hubbard,69.90,2097,30
64,0,32839,Hideki Matsuyama,69.90,2726,39
66,0,39324,J.J. Spaun,69.93,1049,15
67,0,27936,Martin Laird,69.94,1189,17
67,0,33204,Shane Lowry,69.94,2378,34
69,0,56630,Akshay Bhatia,69.95,3008,43
69,0,50497,Adrien Dumont de Chassart,69.95,1399,20
71,0,28420,Ryan Brehm,70.00,210,3
71,0,30911,Tommy Fleetwood,70.00,2450,35
71,0,34098,Russell Henley,70.00,2520,36
71,0,51696,Rico Hoey,70.00,2030,29
75,0,29725,Tony Finau,70.02,3081,44
75,0,28237,Rory McIlroy,70.02,3011,43
77,0,24502,Adam Scott,70.03,2381,34
78,0,27214,Kevin Streelman,70.04,1611,23
79,0,32367,Jorge Campillo,70.05,1331,19
80,0,52372,Cameron Champ,70.06,1121,16
80,0,51766,Wyndham Clark,70.06,2522,36
80,0,38991,Alejandro Tosti,70.06,1261,18
83,0,45522,Christiaan Bezuidenhout,70.07,2102,30
84,0,34099,Harris English,70.09,2453,35
84,0,27139,David Skinns,70.09,1612,23
86,0,37378,Min Woo Lee,70.11,1963,28
87,0,36699,Patrick Rodgers,70.12,2384,34
88,0,50484,Hayden Springer,70.13,1683,24
89,0,33948,Byeong Hun An,70.15,2385,34
90,0,36799,Stephan Jaeger,70.18,2807,40
91,0,57362,Austin Eckroat,70.21,2387,34
92,0,57975,Harry Hall,70.22,1615,23
93,0,28252,Seamus Power,70.23,2177,31
94,0,47504,Sam Burns,70.24,3161,45
94,0,46717,Viktor Hovland,70.24,1756,25
96,0,47420,Jake Knapp,70.28,2038,29
96,0,34046,Jordan Spieth,70.28,2249,32
98,0,48084,Wesley Bryan,70.29,984,14
98,0,49771,J.T. Poston,70.29,2460,35
100,0,47988,Nick Hardy,70.30,703,10
100,0,36884,Ben Kohles,70.30,2109,30
102,0,33141,Keegan Bradley,70.31,2461,35
103,0,36326,David Lipsky,70.32,1336,19
104,0,40058,Zac Blair,70.33,1688,24
104,0,47591,Eric Cole,70.33,3024,43
104,0,24024,Zach Johnson,70.33,844,12
107,0,35450,Patrick Cantlay,70.35,2603,37
108,0,33408,Tyson Alexander,70.36,985,14
108,0,34021,Bud Cauley,70.36,985,14
108,0,39975,Michael Kim,70.36,1759,25
111,0,46113,Ryan McCormick,70.37,1337,19
112,0,59442,Parker Coody,70.38,1126,16
113,0,60067,Joe Highsmith,70.39,1619,23
114,0,25900,Lucas Glover,70.41,2746,39
114,0,27644,Brian Harman,70.41,2746,39
114,0,28775,Nate Lashley,70.41,1197,17
114,0,40115,Adam Svensson,70.41,1901,27
118,0,48887,Matt Wallace,70.44,1127,16
119,0,48867,Matti Schmid,70.46,1691,24
119,0,47483,Will Zalatoris,70.46,2607,37
121,0,51287,Ryo Hisatsune,70.47,1198,17
122,0,54628,Lee Hodges,70.50,1974,28
122,0,32640,Troy Merritt,70.50,1833,26
122,0,32333,Kevin Tway,70.50,1410,20
125,0,47995,Davis Riley,70.56,1129,16
126,0,30927,Brendon Todd,70.60,2471,35
127,0,59866,Nick Dunlap,70.62,2401,34
127,0,29908,C.T. Pan,70.62,1483,21
127,0,26476,Chez Reavie,70.62,918,13
130,0,36871,Matt NeSmith,70.63,1130,16
130,0,25493,Nick Taylor,70.63,2260,32
132,0,40098,Matt Fitzpatrick,70.65,2614,37
132,0,60767,Blaine Hale Jr.,70.65,1201,17
132,0,47983,Chad Ramey,70.65,1413,20
135,0,39997,Corey Conners,70.66,2897,41
136,0,47663,Kevin Dougherty,70.68,1343,19
137,0,50095,Austin Smotherman,70.71,495,7
138,0,30926,Chris Kirk,70.72,2546,36
139,0,34076,Joel Dahmen,70.73,1839,26
139,0,23108,Matt Kuchar,70.73,1556,22
139,0,52374,Brandon Wu,70.73,1061,15
142,0,39977,Max Homa,70.81,2266,32
143,0,49960,Sepp Straka,70.86,2551,36
144,0,32070,Rafael Campos,70.87,1630,23
145,0,32102,Rickie Fowler,70.88,2410,34
145,0,48119,Ben Taylor,70.88,1134,16
147,0,50493,Justin Suh,70.90,1489,21
147,0,35617,Martin Trainer,70.90,709,10
149,0,46441,Robby Shelton,70.92,1773,25
150,0,45609,Tyler Duncan,70.94,1206,17
151,0,55454,Carl Yuan,70.95,1419,20
152,0,28089,Jason Day,71.00,2343,33
152,0,31646,Emiliano Grillo,71.00,2343,33
152,0,55789,Taylor Montgomery,71.00,1065,15
155,0,29936,Ryan Fox,71.03,2202,31
