RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,08793,Tiger Woods,9.90,29,293
2,0,01527,Scott Hoch,10.20,25,245
3,0,06350,Bob May,10.26,31,302
4,0,20127,Chris Riley,10.44,40,383
5,0,20157,Retief Goosen,10.65,23,216
6,0,02104,Jeff Sluman,11.03,46,417
7,0,06567,Vijay Singh,11.35,42,370
8,0,10201,Matt Gogel,11.38,28,246
9,0,01381,Fred Funk,11.51,48,417
10,0,06373,José María Olazábal,11.57,25,216
11,0,06251,Chris DiMarco,11.74,48,409
11,0,01569,Peter Jacobsen,11.74,25,213
13,0,01553,John Huston,11.75,43,366
14,0,22293,Heath Slocum,11.76,36,306
15,0,01361,Dan Forsman,11.82,35,296
16,0,10809,Jim Furyk,11.89,34,286
17,0,01968,Nick Price,11.93,29,243
18,0,12652,Cameron Beckman,11.97,37,309
19,0,02214,Kirk Triplett,12.12,36,297
20,0,01938,David Peoples,12.21,47,385
21,0,12823,Carlos Franco,12.23,46,376
22,0,06621,Joe Durant,12.41,33,266
23,0,02010,Loren Roberts,12.42,40,322
24,0,19824,Craig Barlow,12.44,24,193
25,0,20548,Hidemichi Tanaka,12.68,45,355
26,0,10565,Ian Leggatt,12.87,44,342
27,0,02206,David Toms,13.00,55,423
28,0,06617,Brian Henninger,13.04,30,230
29,0,08075,Jerry Kelly,13.07,46,352
30,0,01761,Len Mattiace,13.11,48,366
31,0,19846,Brian Gay,13.13,55,419
32,0,02223,Bob Tway,13.20,45,341
33,0,22913,John Rollins,13.30,60,451
34,0,01706,Davis Love III,13.33,44,330
34,0,02133,Craig Stadler,13.33,32,240
36,0,10425,Jay Williamson,13.42,40,298
37,0,23338,David Gossett,13.43,45,335
38,0,20229,Stewart Cink,13.44,43,320
39,0,20634,Peter Lonard,13.49,46,341
40,0,02239,Scott Verplank,13.60,48,353
41,0,01132,Mark Brooks,13.65,40,293
42,0,23353,J.J. Henry,13.66,44,322
43,0,24357,K.J. Choi,13.73,46,335
44,0,08545,Glen Hnatiuk,13.75,44,320
45,0,21961,Charles Howell III,13.79,59,428
46,0,01920,Craig Parry,13.81,33,239
47,0,24925,Jonathan Byrd,13.86,51,368
47,0,01941,Tom Pernice Jr.,13.86,47,339
