RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,40058,Zac Blair,32.5,107,329,+1.68
2,0,40026,Daniel Berger,35.0,84,240,+1.07
3,0,36801,Mark Hubbard,35.2,137,389,+1.82
4,0,52374,Brandon Wu,36.5,124,340,+2.10
5,0,45609,Tyler Duncan,37.8,99,262,+1.82
6,0,27330,Josh Teater,38.1,77,202,+2.60
7,0,32640,Troy Merritt,38.2,108,283,+0.65
8,0,47663,Kevin Dougherty,38.5,109,283,+1.74
8,0,47988,Nick Hardy,38.5,161,418,+1.12
10,0,39997,Corey Conners,38.9,144,370,+1.32
11,0,30911,Tommy Fleetwood,39.3,97,247,+1.13
11,0,47483,Will Zalatoris,39.3,119,303,+1.09
13,0,32757,Patton Kizzire,39.5,107,271,+1.59
14,0,50493,Justin Suh,39.8,127,319,+1.18
15,0,51696,Rico Hoey,40.6,138,340,+0.65
16,0,33653,Thomas Detry,40.7,146,359,+0.68
17,0,50525,Collin Morikawa,40.9,110,269,+1.09
18,0,51287,Ryo Hisatsune,41.1,136,331,+0.96
18,0,47993,Denny McCarthy,41.1,161,392,+1.24
20,0,37378,Min Woo Lee,41.2,138,335,+1.23
21,0,24502,Adam Scott,41.3,142,344,+0.85
22,0,54576,Patrick Fishburn,41.4,125,302,+0.96
23,0,37212,Paul Barjon,41.5,108,260,+2.13
24,0,35532,Tom Hoge,41.9,208,496,+1.01
24,0,33486,Roger Sloan,41.9,116,277,+0.52
26,0,51766,Wyndham Clark,42.0,146,348,+1.10
26,0,12716,Charley Hoffman,42.0,153,364,+1.44
28,0,46717,Viktor Hovland,42.1,115,273,-0.52
28,0,48117,Kurt Kitayama,42.1,152,361,+0.46
30,0,55182,Tom Kim,42.2,141,334,+1.35
31,0,32102,Rickie Fowler,42.5,147,346,+1.70
32,0,28089,Jason Day,42.7,129,302,+0.70
32,0,32839,Hideki Matsuyama,42.7,149,349,+0.60
34,0,48699,Callum Tarren,42.8,164,383,+2.26
35,0,24024,Zach Johnson,42.9,84,196,+1.07
36,0,51070,Vincent Norrman,43.0,110,256,+2.82
36,0,49771,J.T. Poston,43.0,156,363,+1.99
36,0,39324,J.J. Spaun,43.0,163,379,+0.43
39,0,59095,Chris Gotterup,43.1,183,425,+0.05
40,0,54591,Ben Griffin,43.5,216,497,E
41,0,50484,Hayden Springer,43.6,139,319,+0.94
42,0,28237,Rory McIlroy,43.9,137,312,+0.07
42,0,30163,Henrik Norlander,43.9,98,223,E
44,0,54421,Garrick Higgo,44.0,160,364,+1.25
44,0,22405,Justin Rose,44.0,118,268,+2.37
44,0,34046,Jordan Spieth,44.0,133,302,+1.28
44,0,51634,Sahith Theegala,44.0,205,466,+0.34
44,0,45242,Kevin Yu,44.0,157,357,+0.64
49,0,59836,Pierceson Coody,44.4,161,363,+0.68
49,0,39327,Ben Silverman,44.4,158,356,-0.51
51,0,31323,Gary Woodland,44.5,185,416,+0.76
52,0,29478,Kevin Kisner,44.6,108,242,+2.31
52,0,47347,Adam Schenk,44.6,193,433,+0.88
54,0,34021,Bud Cauley,44.7,117,262,+0.51
54,0,48081,Xander Schauffele,44.7,156,349,+0.77
54,0,46340,Alex Smalley,44.7,143,320,+1.47
54,0,35617,Martin Trainer,44.7,114,255,+1.58
58,0,51977,Max Greyserman,44.8,167,373,+0.66
58,0,46442,Maverick McNealy,44.8,188,420,-0.05
60,0,49947,Taylor Moore,45.0,215,478,+0.33
60,0,40006,Erik van Rooyen,45.0,171,380,+1.11
62,0,32366,Kevin Chappell,45.1,107,237,+0.65
62,0,49960,Sepp Straka,45.1,120,266,+1.83
62,0,52666,Sami Valimaki,45.1,133,295,+2.11
65,0,51997,Andrew Novak,45.2,185,409,+0.97
66,0,34099,Harris English,45.3,168,371,+1.49
66,0,36699,Patrick Rodgers,45.3,222,490,+0.90
68,0,52215,Robert MacIntyre,45.4,161,355,+0.12
68,0,47983,Chad Ramey,45.4,153,337,+1.50
70,0,47806,Raul Pereda,45.5,101,222,+1.78
70,0,34256,Andrew Putnam,45.5,157,345,+0.45
72,0,46441,Robby Shelton,45.6,165,362,+1.82
72,0,27214,Kevin Streelman,45.6,129,283,+1.86
74,0,25900,Lucas Glover,45.9,147,320,+1.29
75,0,46414,Aaron Rai,46.0,121,263,+0.91
75,0,48119,Ben Taylor,46.0,155,337,+2.39
77,0,59866,Nick Dunlap,46.1,178,386,+0.90
77,0,50095,Austin Smotherman,46.1,88,191,E
79,0,47504,Sam Burns,46.3,155,335,+1.42
79,0,35310,Lanto Griffin,46.3,142,307,+2.04
79,0,40115,Adam Svensson,46.3,217,469,+1.29
82,0,33408,Tyson Alexander,46.8,178,380,+1.40
82,0,29535,Brice Garnett,46.8,81,173,+2.59
84,0,34076,Joel Dahmen,46.9,153,326,+0.92
84,0,25493,Nick Taylor,46.9,179,382,+1.12
86,0,54628,Lee Hodges,47.0,181,385,+2.76
86,0,57366,Cameron Young,47.0,182,387,+1.26
88,0,57362,Austin Eckroat,47.1,156,331,+1.99
89,0,37455,Si Woo Kim,47.2,163,345,+1.04
89,0,36871,Matt NeSmith,47.2,153,324,+2.29
91,0,45157,Cam Davis,47.3,177,374,+1.98
92,0,22371,Aaron Baddeley,47.4,161,340,+1.30
93,0,30926,Chris Kirk,47.6,148,311,+1.15
93,0,51890,Greyson Sigg,47.6,150,315,+1.20
95,0,33968,Thorbjørn Olesen,47.9,115,240,+0.96
96,0,52453,Nicolai Højgaard,48.0,135,281,+2.30
97,0,29908,C.T. Pan,48.1,130,270,+1.46
98,0,33948,Byeong Hun An,48.2,199,413,+0.70
99,0,52955,Ludvig Åberg,48.4,162,335,+1.30
99,0,60767,Blaine Hale Jr.,48.4,121,250,+1.49
99,0,40250,Taylor Pendrith,48.4,194,401,+0.88
99,0,38991,Alejandro Tosti,48.4,182,376,+0.27
103,0,37275,Sam Ryder,48.6,144,296,+2.08
104,0,60004,Jacob Bridgeman,48.7,167,343,+1.20
104,0,27770,Camilo Villegas,48.7,129,265,+1.86
106,0,34466,Peter Malnati,48.8,207,424,+1.79
107,0,26476,Chez Reavie,49.0,124,253,+1.21
108,0,47679,Victor Perez,49.1,164,334,+1.40
108,0,48867,Matti Schmid,49.1,163,332,+1.60
110,0,56630,Akshay Bhatia,49.2,181,368,+1.38
111,0,52513,Carson Young,49.3,149,302,+0.54
112,0,29936,Ryan Fox,49.4,212,429,+1.70
112,0,28252,Seamus Power,49.4,202,409,+1.14
114,0,55708,Hayden Buckley,49.5,138,279,+2.25
114,0,39977,Max Homa,49.5,196,396,+1.68
114,0,35506,Mackenzie Hughes,49.5,243,491,+0.66
114,0,36799,Stephan Jaeger,49.5,182,368,+1.21
118,0,31646,Emiliano Grillo,49.6,179,361,+0.95
118,0,48319,Tom Whitney,49.6,123,248,+2.03
120,0,55789,Taylor Montgomery,49.7,168,338,+0.83
121,0,51349,Nico Echavarria,49.8,165,331,+2.85
122,0,52372,Cameron Champ,50.2,126,251,+0.24
122,0,36884,Ben Kohles,50.2,145,289,+2.34
122,0,36326,David Lipsky,50.2,156,311,+2.76
122,0,55893,Sam Stevens,50.2,226,450,+0.62
126,0,50497,Adrien Dumont de Chassart,50.3,176,350,+2.16
126,0,27349,Alex Noren,50.3,151,300,+0.66
128,0,34255,Joseph Bramlett,50.6,213,421,+0.75
129,0,45522,Christiaan Bezuidenhout,50.8,197,388,+1.93
130,0,58168,Davis Thompson,50.9,205,403,+0.63
131,0,39971,Sungjae Im,51.0,195,382,+1.03
131,0,26596,Ryan Moore,51.0,133,261,+1.50
133,0,48153,Matthieu Pavon,51.1,138,270,+1.30
134,0,33141,Keegan Bradley,51.3,183,357,+1.37
134,0,39975,Michael Kim,51.3,195,380,+1.03
136,0,56149,Wilson Furr,51.4,144,280,+0.69
136,0,57900,Chandler Phillips,51.4,188,366,+1.17
136,0,55454,Carl Yuan,51.4,149,290,+1.95
