RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
124,0,57362,Austin Eckroat,22.83%,247,1082
124,0,39327,Ben Silverman,22.83%,221,968
127,0,34021,Bud Cauley,22.76%,150,659
128,0,46441,Robby Shelton,22.75%,192,844
129,0,56149,Wilson Furr,22.74%,128,563
130,0,32070,Rafael Campos,22.69%,123,542
131,0,54783,Dylan Wu,22.68%,208,917
132,0,27214,Kevin Streelman,22.53%,171,759
133,0,25493,Nick Taylor,22.50%,225,1000
134,0,46340,Alex Smalley,22.49%,168,747
135,0,50095,Austin Smotherman,22.36%,110,492
136,0,48319,Tom Whitney,22.34%,147,658
137,0,34256,Andrew Putnam,22.27%,224,1006
138,0,30927,Brendon Todd,22.24%,276,1241
139,0,54421,Garrick Higgo,22.22%,172,774
139,0,46113,Ryan McCormick,22.22%,122,549
141,0,34563,Chesson Hadley,22.19%,174,784
142,0,51287,Ryo Hisatsune,22.14%,207,935
143,0,30911,Tommy Fleetwood,22.13%,197,890
144,0,27936,Martin Laird,22.09%,165,747
145,0,36884,Ben Kohles,22.03%,228,1035
146,0,54628,Lee Hodges,21.96%,262,1193
147,0,22371,Aaron Baddeley,21.91%,163,744
147,0,34466,Peter Malnati,21.91%,181,826
149,0,52215,Robert MacIntyre,21.88%,170,777
150,0,52374,Brandon Wu,21.81%,176,807
151,0,52453,Nicolai Højgaard,21.78%,120,551
152,0,28775,Nate Lashley,21.77%,182,836
152,0,27349,Alex Noren,21.77%,170,781
154,0,29420,Billy Horschel,21.75%,189,869
155,0,37212,Paul Barjon,21.55%,114,529
156,0,47663,Kevin Dougherty,21.53%,132,613
157,0,48153,Matthieu Pavon,21.47%,152,708
158,0,33968,Thorbjørn Olesen,21.40%,104,486
158,0,55454,Carl Yuan,21.40%,144,673
160,0,40115,Adam Svensson,21.39%,284,1328
161,0,47483,Will Zalatoris,21.28%,160,752
162,0,27330,Josh Teater,21.14%,100,473
163,0,50497,Adrien Dumont de Chassart,21.10%,150,711
164,0,27649,Brandt Snedeker,21.08%,141,669
165,0,23108,Matt Kuchar,21.00%,193,919
166,0,59095,Chris Gotterup,20.95%,155,740
167,0,55708,Hayden Buckley,20.91%,170,813
168,0,28420,Ryan Brehm,20.83%,115,552
169,0,60767,Blaine Hale Jr.,20.72%,92,444
170,0,40058,Zac Blair,20.59%,210,1020
171,0,29478,Kevin Kisner,20.52%,126,614
172,0,59442,Parker Coody,20.30%,120,591
173,0,26596,Ryan Moore,20.29%,183,902
174,0,45609,Tyler Duncan,20.24%,151,746
174,0,48119,Ben Taylor,20.24%,133,657
176,0,36871,Matt NeSmith,20.12%,165,820
177,0,23320,Ryan Palmer,19.91%,92,462
178,0,27770,Camilo Villegas,19.85%,107,539
179,0,48699,Callum Tarren,19.76%,130,658
180,0,35617,Martin Trainer,19.43%,95,489
181,0,51890,Greyson Sigg,19.11%,172,900
182,0,51070,Vincent Norrman,18.98%,112,590
183,0,47806,Raul Pereda,18.29%,79,432
184,0,34374,Erik Barnes,17.98%,96,534
