RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,01132,Mark Brooks,3,3
1,0,08545,Glen Hnatiuk,3,6
1,0,08793,Tiger Woods,3,4
4,0,10885,Robert Allenby,2,2
4,0,20498,Briny Baird,2,3
4,0,06809,Bob Burns,2,5
4,0,12760,Danny Ellis,2,2
4,0,06522,Ernie Els,2,2
4,0,01418,Bill Glasson,2,2
4,0,01527,Scott Hoch,2,3
4,0,01766,Billy Mayfair,2,3
4,0,01771,Blaine McCallister,2,2
4,0,01941,Tom Pernice Jr.,2,3
4,0,08375,Paul Stankowski,2,3
4,0,02214,Kirk Triplett,2,2
4,0,02218,Ted Tryba,2,2
4,0,02245,Grant Waite,2,2
18,0,20098,Stuart Appleby,1,1
18,0,01157,Tom Byrum,1,2
18,0,19972,José Coceres,1,3
18,0,19881,Robert Damron,1,3
18,0,08931,Glen Day,1,3
18,0,06036,Scott Dunlap,1,1
18,0,06621,Joe Durant,1,4
18,0,01320,Bob Estes,1,2
18,0,22051,Ben Ferguson,1,1
18,0,21805,Harrison Frazar,1,2
18,0,20043,Edward Fryatt,1,1
18,0,19846,Brian Gay,1,1
18,0,10201,Matt Gogel,1,1
18,0,01487,Jeff Hart,1,1
18,0,23353,J.J. Henry,1,3
18,0,21007,Gabriel Hjertstedt,1,1
18,0,01553,John Huston,1,2
18,0,08633,Per-Ulrik Johansson,1,1
18,0,10733,Kent Jones,1,1
18,0,07547,Craig Kanada,1,2
18,0,20094,Jonathan Kaye,1,1
18,0,01619,Skip Kendall,1,1
18,0,01666,Bernhard Langer,1,1
18,0,10565,Ian Leggatt,1,1
18,0,01706,Davis Love III,1,3
18,0,01707,Steve Lowery,1,2
18,0,01724,Jeff Maggert,1,1
18,0,01761,Len Mattiace,1,1
18,0,06090,Jim McGovern,1,1
18,0,08339,Spike McRoy,1,3
18,0,06515,Shaun Micheel,1,3
18,0,01823,Larry Mize,1,3
18,0,12753,David Morland IV,1,3
18,0,08535,Gary Nicklaus,1,2
18,0,10457,Frank Nobilo,1,1
18,0,01887,Mark O'Meara,1,2
18,0,22046,Geoff Ogilvy,1,1
18,0,01926,Steve Pate,1,2
18,0,23621,Rory Sabbatini,1,2
18,0,06567,Vijay Singh,1,3
18,0,02104,Jeff Sluman,1,3
18,0,11011,Mike Sposa,1,1
18,0,06595,Kevin Sutherland,1,3
18,0,02170,Hal Sutton,1,3
18,0,02206,David Toms,1,2
18,0,02223,Bob Tway,1,1
18,0,02239,Scott Verplank,1,2
18,0,08057,Brian Wilson,1,2
