RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,06527,Steve Stricker,27.15,1697,6250,2,6
2,0,06522,Ernie Els,26.94,1846,6850,2,6
3,0,29718,Anthony Kim,25.60,1216,4750,1,4
4,0,01810,Phil Mickelson,23.96,1629,6800,1,5
5,0,28237,Rory McIlroy,22.71,1101,4850,1,5
6,0,10809,Jim Furyk,21.54,1691,7850,2,6
7,0,22405,Justin Rose,19.54,1593,8150,2,4
8,0,27770,Camilo Villegas,19.11,1213,6350,1,6
9,0,20157,Retief Goosen,18.58,1068,5750,0,8
10,0,25364,Paul Casey,18.54,992,5350,0,5
11,0,25804,Bubba Watson,18.38,1498,8150,1,4
12,0,24781,Hunter Mahan,17.26,1528,8850,2,3
13,0,23135,Tim Clark,16.88,1409,8350,1,6
14,0,24138,Ian Poulter,16.86,733,4350,1,2
15,0,30925,Dustin Johnson,16.31,1362,8350,1,5
16,0,10885,Robert Allenby,16.01,1169,7300,0,4
17,0,23983,Luke Donald,15.89,1089,6850,0,5
18,0,23541,Ben Crane,15.61,1304,8350,1,5
19,0,28475,Jeff Overton,15.52,1536,9900,0,6
20,0,23108,Matt Kuchar,15.37,1437,9350,0,9
21,0,02256,Tom Watson,15.25,92,600,0
22,0,24024,Zach Johnson,14.27,1191,8350,1,2
23,0,24502,Adam Scott,13.73,940,6850,1,2
24,0,08793,Tiger Woods,13.26,431,3250,0,2
25,0,27141,J.B. Holmes,13.25,1153,8700,0,3
26,0,23623,Bo Van Pelt,13.18,1272,9650,0,6
27,0,22046,Geoff Ogilvy,12.83,815,6350,1,1
28,0,01928,Corey Pavin,12.36,433,3500,0,2
29,0,24357,K.J. Choi,12.30,922,7500,0,2
30,0,27095,Nick Watney,11.78,984,8350,0,6
31,0,24924,Bill Haas,11.64,1025,8800,1,2
32,0,06515,Shaun Micheel,11.33,595,5250,0,3
33,0,32102,Rickie Fowler,11.30,1147,10150,0,5
34,0,23320,Ryan Palmer,11.22,1071,9550,1,3
35,0,25345,Carl Pettersson,10.88,1142,10500,1,4
36,0,21731,Freddie Jacobson,10.87,826,7600,0,3
37,0,12602,Dean Wilson,10.85,434,4000,0,1
38,0,28089,Jason Day,10.80,988,9150,1,3
39,0,26596,Ryan Moore,10.76,893,8300,0,4
40,0,24507,Jason Bohn,10.71,926,8650,1,2
41,0,20766,Padraig Harrington,10.43,662,6350,0,5
42,0,01677,Tom Lehman,10.20,204,2000,0
43,0,24140,Sean O'Hair,9.70,858,8850,0,3
44,0,25396,Kevin Na,9.69,804,8300,0,3
45,0,23325,Vaughn Taylor,9.58,824,8600,0,5
46,0,22293,Heath Slocum,9.57,722,7550,0,3
47,0,02239,Scott Verplank,9.41,786,8350,0,3
48,0,24846,Ricky Barnes,9.29,947,10200,0,6
48,0,02206,David Toms,9.29,748,8050,0,1
50,0,23638,Brendon de Jonge,9.12,1035,11350,0,6
51,0,26882,Michael Sim,9.03,573,6350,0,3
52,0,25900,Lucas Glover,8.90,743,8350,0,3
53,0,20098,Stuart Appleby,8.66,957,11050,1,3
54,0,24663,Y.E. Yang,8.64,678,7850,0,2
55,0,27649,Brandt Snedeker,8.47,813,9600,0,4
56,0,26851,Marc Leishman,8.44,738,8750,0,2
57,0,28158,Steve Marino,8.21,636,7750,0,2
58,0,20229,Stewart Cink,8.12,678,8350,0,3
59,0,23800,Bryce Molder,7.79,748,9600,0,6
60,0,21961,Charles Howell III,7.77,746,9600,0,4
61,0,19846,Brian Gay,7.68,714,9300,0,2
62,0,20848,Ángel Cabrera,7.66,524,6850,0,2
63,0,01313,Steve Elkington,7.61,571,7500,0,3
64,0,06004,Stephen Ames,7.41,548,7400,0,1
65,0,21528,Henrik Stenson,7.39,321,4350,0,1
