RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,21961,Charles Howell III,$1520632,1520632
2,0,23108,Matt Kuchar,$572669,572669
3,0,20585,Niclas Fasth,$544418,610418
4,0,10821,Toshi Izawa,$469180,519180
5,0,20848,Ángel Cabrera,$337105,337105
6,0,19825,Darren Clarke,$330870,705870
7,0,12510,Chad Campbell,$259200,259200
8,0,20218,Shingo Katayama,$254685,254685
9,0,20766,Padraig Harrington,$240426,348426
10,0,02300,Ian Woosnam,$225878,225878
11,0,20400,Michael Campbell,$213192,326192
12,0,23800,Bryce Molder,$211105,211105
13,0,20935,Toru Taniguchi,$187914,587914
14,0,10944,Thomas Bjørn,$125780,163780
15,0,08635,Colin Montgomerie,$102762,402762
16,0,24502,Adam Scott,$93026,93026
17,0,06197,Michael Allen,$91734,91734
18,0,24956,Mikko Ilonen,$91194,91194
19,0,20634,Peter Lonard,$91172,91172
20,0,23983,Luke Donald,$80747,80747
21,0,20396,Lee Westwood,$76821,76821
22,0,06220,Jaxon Brigman,$61500,61500
23,0,20472,Alex Cejka,$57310,57310
23,0,20832,Raphael Jacquelin,$57310,57310
23,0,11246,Des Smyth,$57310,57310
26,0,12461,Paul McGinley,$57079,133079
27,0,02020,Eduardo Romero,$54374,54374
28,0,02191,Tim Thelen,$51780,51780
29,0,08385,Omar Uresti,$47450,47450
30,0,22293,Heath Slocum,$45670,45670
31,0,19905,Andrew Coltart,$44317,119317
32,0,20691,Greg Owen,$43630,43630
33,0,20474,Phillip Price,$41406,113406
34,0,12389,Barry Lane,$35763,35763
35,0,22405,Justin Rose,$30756,30756
35,0,20937,Nicolas Vanhootegem,$30756,30756
37,0,12602,Dean Wilson,$30055,30055
38,0,20992,Kazuhiko Hosokawa,$29944,29944
39,0,23903,Stephen Gangluff,$22476,22476
40,0,01668,Jeffrey Lankford,$21775,21775
41,0,20763,Pierre Fulke,$21630,604630
42,0,21180,Tony Carolan,$20698,20698
43,0,06741,Gene Fieger,$19573,19573
44,0,22371,Aaron Baddeley,$19435,19435
45,0,20569,Richard Green,$19312,19312
45,0,19904,Paul Lawrie,$19312,69312
47,0,23157,Richard Johnson,$18029,18029
48,0,12626,Joey Gullion,$16200,16200
49,0,20548,Hidemichi Tanaka,$15363,65363
50,0,24739,Katsumune Imai,$14318,14318
51,0,19983,Andy Oldcorn,$14250,14250
51,0,02065,Rick Schuller,$14250,14250
53,0,21878,Mark Wilson,$13727,13727
54,0,20791,Mark Johnson,$13600,13600
55,0,25632,Jimmy Walker,$13164,13164
56,0,11653,Paul Curry,$12793,12793
57,0,01118,Gordon Brand Jr.,$12016,12016
58,0,23857,Neil Cheetham,$11873,11873
59,0,23355,Alexandre Balicki,$11766,11766
59,0,12662,Thomas Levet,$11766,11766
61,0,20624,David Smail,$11659,11659
62,0,21098,Scott Henderson,$11551,11551
63,0,01948,Tim Petrovic,$11443,11443
64,0,25190,Jeff Quinney,$11400,11400
65,0,01039,Perry Arthur,$10317,10317
66,0,20378,Mathias Grönberg,$8863,33863
66,0,24511,Thongchai Jaidee,$8863,8863
66,0,23533,Anthony Kang,$8863,8863
66,0,20601,Gary Orr,$8863,58863
70,0,25364,Paul Casey,$8580,8580
71,0,20771,Steven Alker,$8550,8550
72,0,24925,Jonathan Byrd,$8400,8400
73,0,12661,Todd Barranger,$7700,7700
74,0,25791,Michael Christensen,$7616,7616
75,0,19822,Bobby Cochran,$7455,7455
76,0,06791,Mark Wurtz,$7388,7388
77,0,25052,Derek Gillespie,$7296,7296
78,0,24355,Kevin Blanton,$7264,7264
79,0,08083,Michael Combs,$7208,7208
79,0,23409,James Driscoll,$7208,7208
79,0,22873,Todd Fanning,$7208,7208
82,0,22290,Rob Bradley,$7000,7000
83,0,02196,Robert Thompson,$6936,6936
84,0,23739,Ryan Dillon,$6534,6534
85,0,25900,Lucas Glover,$6180,6180
86,0,07363,Craig Bowden,$6107,6107
87,0,22621,Ben Curtis,$6020,6020
88,0,25374,David Stephens,$5950,5950
89,0,20271,Chris Zambri,$5600,5600
90,0,01824,Yoshinori Mizumaki,$5520,5520
91,0,10195,Tim Conley,$3680,3680
