RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,22293,Heath Slocum,+.600,55,+33.00
2,0,10809,Jim Furyk,+.608,51,+31.00
3,0,21209,Sergio Garcia,+.621,29,+18.00
4,0,25349,Tim Wilkinson,+.656,96,+63.00
5,0,28089,Jason Day,+.659,44,+29.00
6,0,26596,Ryan Moore,+.683,60,+41.00
7,0,24924,Bill Haas,+.702,84,+59.00
8,0,27556,Ted Potter Jr.,+.707,58,+41.00
9,0,23320,Ryan Palmer,+.712,66,+47.00
9,0,34431,Robert Streb,+.712,52,+37.00
11,0,21753,Brian Davis,+.713,94,+67.00
12,0,34099,Harris English,+.721,86,+62.00
13,0,31560,Brian Stuard,+.722,79,+57.00
14,0,20098,Stuart Appleby,+.726,117,+85.00
15,0,30927,Brendon Todd,+.731,108,+79.00
16,0,33122,Russell Knox,+.737,76,+56.00
17,0,06522,Ernie Els,+.741,85,+63.00
18,0,30926,Chris Kirk,+.743,105,+78.00
19,0,27963,Chris Stroud,+.744,82,+61.00
20,0,32839,Hideki Matsuyama,+.745,51,+38.00
21,0,28259,Sangmoon Bae,+.757,70,+53.00
21,0,08075,Jerry Kelly,+.757,74,+56.00
23,0,25396,Kevin Na,+.763,80,+61.00
23,0,34265,Will Wilcox,+.763,38,+29.00
25,0,01810,Phil Mickelson,+.768,56,+43.00
26,0,27466,Spencer Levin,+.769,65,+50.00
26,0,25345,Carl Pettersson,+.769,91,+70.00
28,0,27649,Brandt Snedeker,+.772,79,+61.00
29,0,23541,Ben Crane,+.773,97,+75.00
29,0,27330,Josh Teater,+.773,88,+68.00
31,0,29221,Webb Simpson,+.774,93,+72.00
32,0,29926,Danny Lee,+.779,68,+53.00
33,0,28500,Martin Flores,+.782,78,+61.00
34,0,34261,Scott Langley,+.784,102,+80.00
35,0,25572,Graeme McDowell,+.786,56,+44.00
36,0,19846,Brian Gay,+.788,85,+67.00
36,0,23108,Matt Kuchar,+.788,66,+52.00
38,0,25720,Chad Collins,+.789,90,+71.00
39,0,20498,Briny Baird,+.790,62,+49.00
39,0,24781,Hunter Mahan,+.790,81,+64.00
41,0,20229,Stewart Cink,+.791,91,+72.00
42,0,27141,J.B. Holmes,+.792,96,+76.00
43,0,23353,J.J. Henry,+.793,92,+73.00
43,0,26851,Marc Leishman,+.793,87,+69.00
43,0,25834,Daniel Summerhays,+.793,82,+65.00
46,0,24024,Zach Johnson,+.795,83,+66.00
47,0,35539,Luke Guthrie,+.800,95,+76.00
48,0,07867,Woody Austin,+.803,76,+61.00
48,0,30944,Jason Kokrak,+.803,61,+49.00
48,0,27936,Martin Laird,+.803,66,+53.00
51,0,20396,Lee Westwood,+.804,56,+45.00
52,0,24357,K.J. Choi,+.805,77,+62.00
53,0,26329,Louis Oosthuizen,+.806,36,+29.00
54,0,28307,Matt Every,+.807,83,+67.00
54,0,20645,John Senden,+.807,83,+67.00
56,0,12510,Chad Campbell,+.808,52,+42.00
56,0,35139,Richard Lee,+.808,78,+63.00
58,0,21731,Freddie Jacobson,+.813,96,+78.00
59,0,29425,Andrew Svoboda,+.814,70,+57.00
60,0,29420,Billy Horschel,+.815,81,+66.00
61,0,31202,William McGirt,+.817,82,+67.00
61,0,34360,Patrick Reed,+.817,104,+85.00
63,0,20160,Charlie Wi,+.819,94,+77.00
63,0,31323,Gary Woodland,+.819,72,+59.00
65,0,20104,Ken Duke,+.821,67,+55.00
66,0,33461,Morgan Hoffmann,+.823,147,+121.00
66,0,34046,Jordan Spieth,+.823,96,+79.00
68,0,24494,Erik Compton,+.826,86,+71.00
68,0,33419,Cameron Tringale,+.826,115,+95.00
70,0,10423,Mike Weir,+.827,104,+86.00
71,0,33413,Ben Martin,+.829,76,+63.00
72,0,29740,Brad Fritsch,+.830,47,+39.00
72,0,21961,Charles Howell III,+.830,88,+73.00
72,0,02206,David Toms,+.830,53,+44.00
75,0,24502,Adam Scott,+.837,49,+41.00
76,0,26331,Charl Schwartzel,+.839,62,+52.00
77,0,25686,Jason Dufner,+.841,44,+37.00
77,0,26956,Bronson La'Cassie,+.841,44,+37.00
77,0,25240,D.A. Points,+.841,82,+69.00
80,0,22405,Justin Rose,+.843,51,+43.00
80,0,27770,Camilo Villegas,+.843,108,+91.00
82,0,01706,Davis Love III,+.844,77,+65.00
82,0,25632,Jimmy Walker,+.844,77,+65.00
84,0,10860,Justin Leonard,+.845,103,+87.00
84,0,32333,Kevin Tway,+.845,58,+49.00
84,0,21878,Mark Wilson,+.845,71,+60.00
87,0,22621,Ben Curtis,+.846,91,+77.00
88,0,23983,Luke Donald,+.852,61,+52.00
89,0,22371,Aaron Baddeley,+.853,95,+81.00
89,0,20157,Retief Goosen,+.853,95,+81.00
91,0,29222,Billy Hurley III,+.857,63,+54.00
92,0,32366,Kevin Chappell,+.859,85,+73.00
93,0,25444,Justin Hicks,+.863,80,+69.00
93,0,24138,Ian Poulter,+.863,51,+44.00
95,0,32200,Roberto Castro,+.864,81,+70.00
96,0,35300,Andrew Loupe,+.868,91,+79.00
97,0,27214,Kevin Streelman,+.871,70,+61.00
98,0,29479,Scott Brown,+.872,86,+75.00
99,0,10885,Robert Allenby,+.873,63,+55.00
100,0,22378,Trevor Immelman,+.877,73,+64.00
101,0,24846,Ricky Barnes,+.878,74,+65.00
101,0,23409,James Driscoll,+.878,82,+72.00
103,0,27408,Martin Kaymer,+.879,66,+58.00
104,0,23638,Brendon de Jonge,+.880,83,+73.00
105,0,23135,Tim Clark,+.881,84,+74.00
106,0,25274,Steven Bowditch,+.883,94,+83.00
106,0,28092,D.H. Lee,+.883,60,+53.00
106,0,25804,Bubba Watson,+.883,60,+53.00
109,0,28475,Jeff Overton,+.885,78,+69.00
110,0,24925,Jonathan Byrd,+.886,70,+62.00
111,0,32150,Michael Thompson,+.888,80,+71.00
112,0,26758,David Hearn,+.891,101,+90.00
112,0,23800,Bryce Molder,+.891,92,+82.00
114,0,29478,Kevin Kisner,+.897,87,+78.00
115,0,34098,Russell Henley,+.898,98,+88.00
116,0,27436,Graham DeLaet,+.899,69,+62.00
117,0,27895,Jonas Blixt,+.901,71,+64.00
117,0,24358,Robert Garrigus,+.901,81,+73.00
119,0,26679,Kevin Stadler,+.903,62,+56.00
