RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,20848,Ángel Cabrera,103' 5",Phoenix Open,4,17 - Par 4
2,0,20472,Alex Cejka,96' 2",Northern Trust,1,9 - Par 4 -
3,0,21961,Charles Howell III,88' 5",BMW Champ,4,12 - Par 3
4,0,10423,Mike Weir,85' 2",Crowne Plaza,2,13 - Par 3
5,0,33413,Ben Martin,83' 2",The McGladrey,2,15 - Par 5
6,0,27141,J.B. Holmes,79' 4",Phoenix Open,4,12 - Par 3
7,0,23497,Tag Ridings,77' 2",Texas Open,3,8 - Par 5 -
8,0,24925,Jonathan Byrd,76' 2",Phoenix Open,2,8 - Par 4 -
9,0,21407,Arjun Atwal,76' 1",The Greenbrier,2,11 - Par 4
10,0,22122,Andrew McLardy,76' 0",St. Jude,2,17 - Par 4
11,0,27120,Troy Matteson,75' 10",THE PLAYERS,2,18 - Par 4
12,0,25818,Scott Piercy,75' 8",Viking Classic,3,18 - Par 5
13,0,06527,Steve Stricker,75' 5",John Deere Clas,3,1 - Par 4 -
14,0,32640,Troy Merritt,74' 7",Shell Houston,4,13 - Par 5
15,0,29718,Anthony Kim,73' 8",Honda Classic,1,12 - Par 4
16,0,28679,Fabián Gómez,73' 4",Zurich Classic,3,12 - Par 4
17,0,27330,Josh Teater,72' 11",Zurich Classic,2,3 - Par 3 -
18,0,23638,Brendon de Jonge,70' 8",Sony Open,1,1 - Par 4 -
19,0,23409,James Driscoll,70' 5",AT&T Pebble,4,5 - Par 3 -
20,0,26951,Johnson Wagner,69' 11",The Greenbrier,2,10 - Par 4
21,0,35550,Matthew Swan,69' 8",Viking Classic,2,18 - Par 5
22,0,22046,Geoff Ogilvy,69' 7",Deutsche Bank,4,3 - Par 3 -
23,0,27064,Jhonattan Vegas,69' 4",Texas Open,3,18 - Par 5
24,0,20645,John Senden,68' 8",The Greenbrier,3,17 - Par 5
25,0,25240,D.A. Points,68' 5",AT&T National,4,9 - Par 5 -
26,0,34072,Will Strickler,67' 9",HP Byron Nelson,4,8 - Par 4 -
27,0,27466,Spencer Levin,67' 7",Children's MNHC,4,18 - Par 4
28,0,25457,Alexandre Rocha,67' 6",HP Byron Nelson,2,8 - Par 4 -
29,0,01766,Billy Mayfair,67' 3",Viking Classic,3,18 - Par 5
30,0,26331,Charl Schwartzel,67' 1",Arnold Palmer,3,14 - Par 3
31,0,06573,Brandt Jobe,66' 5",Travelers Champ,2,12 - Par 4
32,0,31401,Zack Miller,65' 9",Transitions Chp,2,3 - Par 4 -
33,0,01928,Corey Pavin,65' 5",THE PLAYERS,2,14 - Par 4
34,0,06004,Stephen Ames,64' 9",Arnold Palmer,2,14 - Par 3
35,0,23108,Matt Kuchar,64' 1",BMW Champ,4,7 - Par 4 -
36,0,20593,Greg Chalmers,64' 1",J. Timberlake,1,8 - Par 3 -
37,0,24024,Zach Johnson,63' 10",Travelers Champ,2,17 - Par 4
38,0,25900,Lucas Glover,63' 6",Wells Fargo,2,10 - Par 5
39,0,12782,Tim Herron,63' 6",The McGladrey,2,13 - Par 4
40,0,29478,Kevin Kisner,62' 9",The Greenbrier,1,9 - Par 4 -
41,0,32876,Martin Piller,62' 6",Texas Open,3,4 - Par 4 -
42,0,24507,Jason Bohn,62' 6",Children's MNHC,1,3 - Par 3 -
43,0,06567,Vijay Singh,62' 4",Northern Trust,3,13 - Par 4
44,0,07457,Steve Flesch,62' 1",Reno-Tahoe Open,3,6 - Par 4 -
45,0,01313,Steve Elkington,61' 7",Frys.com Open,1,14 - Par 4
46,0,01941,Tom Pernice Jr.,61' 6",Children's MNHC,3,18 - Par 4
47,0,26851,Marc Leishman,61' 2",Shell Houston,4,9 - Par 3 -
48,0,26420,Richard Johnson,60' 11",The McGladrey,1,18 - Par 4
49,0,28475,Jeff Overton,60' 9",Wells Fargo,2,7 - Par 5 -
50,0,27963,Chris Stroud,60' 8",Frys.com Open,4,18 - Par 4
51,0,25936,Alex Aragon,60' 5",Reno-Tahoe Open,2,1 - Par 4 -
52,0,01577,Lee Janzen,60' 2",Wyndham Champ.,1,10 - Par 4
53,0,24781,Hunter Mahan,60' 1",Deutsche Bank,4,16 - Par 3
54,0,23349,Charles Warren,59' 11",Wells Fargo,2,13 - Par 3
55,0,23541,Ben Crane,59' 8",Deutsche Bank,1,14 - Par 4
56,0,22378,Trevor Immelman,59' 7",Northern Trust,2,13 - Par 4
57,0,33419,Cameron Tringale,59' 4",Honda Classic,1,10 - Par 4
58,0,32150,Michael Thompson,59' 4",J. Timberlake,3,12 - Par 4
59,0,02206,David Toms,59' 2",Zurich Classic,3,9 - Par 3 -
60,0,27649,Brandt Snedeker,59' 2",Travelers Champ,2,17 - Par 4
61,0,24140,Sean O'Hair,59' 1",THE PLAYERS,4,2 - Par 5 -
62,0,20229,Stewart Cink,59' 0",WGC-Bridgestone,1,2 - Par 5 -
63,0,24604,Hunter Haas,58' 6",Northern Trust,2,13 - Par 4
64,0,19970,Robert Karlsson,58' 5",Memorial Tourn,4,1 - Par 4 -
65,0,06522,Ernie Els,58' 2",Memorial Tourn,1,1 - Par 4 -
66,0,02239,Scott Verplank,58' 1",Travelers Champ,4,3 - Par 4 -
67,0,25632,Jimmy Walker,58' 0",Crowne Plaza,4,17 - Par 4
68,0,20095,Carl Paulson,58' 0",Reno-Tahoe Open,1,11 - Par 3
69,0,28486,Michael Putnam,57' 11",St. Jude,4,5 - Par 4 -
70,0,21350,Ryuji Imada,57' 11",The McGladrey,2,13 - Par 4
71,0,31193,Jim Renner,57' 6",Shell Houston,3,9 - Par 3 -
72,0,24912,Will MacKenzie,57' 4",John Deere Clas,3,13 - Par 4
73,0,27974,Sung Kang,57' 3",John Deere Clas,2,2 - Par 5 -
74,0,29420,Billy Horschel,57' 3",The McGladrey,1,1 - Par 4 -
75,0,06251,Chris DiMarco,57' 0",AT&T National,4,1 - Par 4 -
76,0,24358,Robert Garrigus,56' 11",Hyundai T of C,3,18 - Par 5
77,0,32333,Kevin Tway,56' 11",Travelers Champ,2,12 - Par 4
78,0,30946,Alex Prugh,56' 8",John Deere Clas,2,2 - Par 5 -
