RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,21528,Henrik Stenson,10,2,8
2,0,27436,Graham DeLaet,12,9,3
3,0,29420,Billy Horschel,15,11,4
3,0,34264,Hudson Swafford,15,4,11
5,0,27064,Jhonattan Vegas,19,12,7
6,0,24502,Adam Scott,20,10,10
7,0,28237,Rory McIlroy,22,16,6
8,0,25444,Justin Hicks,29,27,2
9,0,23353,J.J. Henry,32,27,5
10,0,26679,Kevin Stadler,33,24,9
11,0,32366,Kevin Chappell,34,6,28
12,0,26289,Boo Weekley,35,15,20
13,0,25900,Lucas Glover,38,1,37
13,0,25804,Bubba Watson,38,14,24
15,0,27095,Nick Watney,44,12,32
16,0,12510,Chad Campbell,45,44,1
16,0,21209,Sergio Garcia,45,31,14
18,0,24781,Hunter Mahan,49,3,46
19,0,34099,Harris English,50,33,17
20,0,24924,Bill Haas,51,36,15
21,0,33141,Keegan Bradley,54,8,46
22,0,27933,John Merrick,55,36,19
23,0,33122,Russell Knox,60,38,22
24,0,26596,Ryan Moore,61,38,23
24,0,34265,Will Wilcox,61,19,42
26,0,29425,Andrew Svoboda,62,44,18
26,0,23623,Bo Van Pelt,62,46,16
28,0,30110,Kyle Stanley,64,20,44
29,0,33418,Shawn Stefani,66,6,60
30,0,26329,Louis Oosthuizen,72,18,54
31,0,30925,Dustin Johnson,73,52,21
32,0,10809,Jim Furyk,74,62,12
32,0,20645,John Senden,74,49,25
34,0,31323,Gary Woodland,78,27,51
35,0,31557,Jim Herman,80,25,55
35,0,28780,Nicholas Thompson,80,34,46
37,0,24024,Zach Johnson,82,51,31
37,0,33413,Ben Martin,82,20,62
39,0,27936,Martin Laird,83,25,58
40,0,02206,David Toms,94,81,13
41,0,12716,Charley Hoffman,96,61,35
42,0,23108,Matt Kuchar,97,57,40
42,0,24912,Will MacKenzie,97,27,70
44,0,28486,Michael Putnam,98,62,36
45,0,29518,Brendan Steele,101,48,53
46,0,23320,Ryan Palmer,103,57,46
47,0,22405,Justin Rose,106,65,41
48,0,22293,Heath Slocum,109,76,33
49,0,34431,Robert Streb,111,42,69
50,0,32334,Charlie Beljan,116,34,82
51,0,25834,Daniel Summerhays,118,76,42
52,0,27770,Camilo Villegas,120,81,39
53,0,21961,Charles Howell III,121,95,26
54,0,23638,Brendon de Jonge,125,22,103
55,0,29479,Scott Brown,127,38,89
55,0,20104,Ken Duke,127,93,34
57,0,35541,John Peterson,131,60,71
57,0,25345,Carl Pettersson,131,85,46
59,0,37273,Derek Ernst,133,5,128
59,0,27330,Josh Teater,133,47,86
61,0,25364,Paul Casey,136,71,65
62,0,27408,Martin Kaymer,137,38,99
62,0,32150,Michael Thompson,137,69,68
64,0,26758,David Hearn,138,83,55
65,0,24358,Robert Garrigus,140,56,84
66,0,32102,Rickie Fowler,142,42,100
67,0,20848,Ángel Cabrera,144,54,90
68,0,29222,Billy Hurley III,146,83,63
69,0,36689,Brooks Koepka,147,57,90
69,0,32839,Hideki Matsuyama,147,31,116
69,0,25632,Jimmy Walker,147,119,28
72,0,29221,Webb Simpson,149,72,77
73,0,30944,Jason Kokrak,150,76,74
74,0,29740,Brad Fritsch,152,65,87
75,0,25572,Graeme McDowell,153,88,65
76,0,25686,Jason Dufner,154,95,59
76,0,27214,Kevin Streelman,154,17,137
78,0,20229,Stewart Cink,156,99,57
79,0,26851,Marc Leishman,159,79,80
80,0,10885,Robert Allenby,164,137,27
80,0,27556,Ted Potter Jr.,164,79,85
82,0,34021,Bud Cauley,165,135,30
82,0,27963,Chris Stroud,165,85,80
84,0,01724,Jeff Maggert,166,99,67
85,0,24490,George McNeill,167,106,61
85,0,29289,S.Y. Noh,167,129,38
85,0,33419,Cameron Tringale,167,122,45
88,0,34174,John Huh,168,62,106
89,0,01706,Davis Love III,170,70,100
90,0,28089,Jason Day,171,53,118
91,0,28500,Martin Flores,172,120,52
92,0,34098,Russell Henley,178,22,156
92,0,30926,Chris Kirk,178,49,129
94,0,29926,Danny Lee,179,75,104
94,0,35732,Wes Roach,179,67,112
96,0,26331,Charl Schwartzel,180,54,126
97,0,06567,Vijay Singh,181,108,73
98,0,29478,Kevin Kisner,187,111,76
99,0,24925,Jonathan Byrd,189,94,95
99,0,08075,Jerry Kelly,189,118,71
101,0,20396,Lee Westwood,191,68,123
102,0,29461,Jamie Lovemark,193,99,94
103,0,31560,Brian Stuard,194,72,122
104,0,23135,Tim Clark,195,85,110
105,0,32333,Kevin Tway,206,99,107
106,0,24507,Jason Bohn,208,111,97
107,0,22378,Trevor Immelman,215,138,77
108,0,01810,Phil Mickelson,217,138,79
109,0,25396,Kevin Na,218,120,98
110,0,23621,Rory Sabbatini,219,145,74
111,0,27466,Spencer Levin,220,111,109
112,0,31202,William McGirt,222,117,105
