RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,46970,Jon Rahm,3,1,2
2,0,50525,Collin Morikawa,15,10,5
3,0,21209,Sergio Garcia,16,5,11
4,0,33141,Keegan Bradley,17,5,12
5,0,31646,Emiliano Grillo,20,17,3
6,0,39997,Corey Conners,21,8,13
7,0,27936,Martin Laird,26,8,18
8,0,40026,Daniel Berger,27,20,7
9,0,39971,Sungjae Im,31,4,27
10,0,36871,Matthew NeSmith,37,33,4
11,0,30944,Jason Kokrak,38,14,24
12,0,25364,Paul Casey,39,10,29
13,0,46717,Viktor Hovland,41,7,34
14,0,52375,Doug Ghim,42,26,16
15,0,35450,Patrick Cantlay,43,33,10
15,0,32448,James Hahn,43,13,30
17,0,30163,Henrik Norlander,45,20,25
18,0,46046,Scottie Scheffler,47,2,45
19,0,27214,Kevin Streelman,48,25,23
20,0,45486,Joaquin Niemann,53,18,35
20,0,34264,Hudson Swafford,53,3,50
22,0,49964,Aaron Wise,59,50,9
23,0,48081,Xander Schauffele,61,28,33
24,0,29221,Webb Simpson,64,43,21
25,0,45526,Abraham Ancer,68,46,22
26,0,30110,Kyle Stanley,73,59,14
27,0,27064,Jhonattan Vegas,77,47,30
28,0,48045,Michael Gellerman,80,75,5
29,0,34255,Joseph Bramlett,81,53,28
30,0,25804,Bubba Watson,82,33,49
31,0,32839,Hideki Matsuyama,88,19,69
31,0,24140,Sean O'Hair,88,40,48
33,0,47504,Sam Burns,92,40,52
33,0,33122,Russell Knox,92,84,8
35,0,26329,Louis Oosthuizen,95,38,57
36,0,49298,Kramer Hickok,96,50,46
36,0,47483,Will Zalatoris,96,79,17
38,0,30925,Dustin Johnson,99,20,79
39,0,36689,Brooks Koepka,100,53,47
40,0,33204,Shane Lowry,101,63,38
41,0,20229,Stewart Cink,102,84,18
41,0,33667,Carlos Ortiz,102,33,69
43,0,52372,Cameron Champ,106,15,91
43,0,29535,Brice Garnett,106,63,43
43,0,27129,Luke List,106,70,36
46,0,34098,Russell Henley,107,89,18
46,0,47347,Adam Schenk,107,48,59
48,0,34099,Harris English,110,10,100
48,0,12716,Charley Hoffman,110,59,51
50,0,37189,Harold Varner III,111,57,54
51,0,37275,Sam Ryder,114,70,44
52,0,28089,Jason Day,116,37,79
53,0,29268,Bronson Burgoon,120,83,37
54,0,48822,Sebastián Muñoz,123,44,79
55,0,28252,Seamus Power,124,84,40
56,0,28237,Rory McIlroy,125,26,99
57,0,47959,Bryson DeChambeau,126,63,63
58,0,31557,Jim Herman,128,49,79
58,0,29420,Billy Horschel,128,42,86
60,0,56762,Will Gordon,129,69,60
61,0,33413,Ben Martin,131,52,79
62,0,25900,Lucas Glover,133,56,77
62,0,27330,Josh Teater,133,61,72
62,0,33419,Cameron Tringale,133,75,58
65,0,33486,Roger Sloan,137,105,32
66,0,23320,Ryan Palmer,141,31,110
67,0,32757,Patton Kizzire,147,92,55
67,0,53165,Doc Redman,147,53,94
69,0,26331,Charl Schwartzel,152,78,74
70,0,33490,Bo Hoag,153,138,15
70,0,29518,Brendan Steele,153,38,115
72,0,21961,Charles Howell III,154,92,62
72,0,49960,Sepp Straka,154,79,75
74,0,37455,Si Woo Kim,155,58,97
74,0,46442,Maverick McNealy,155,70,85
76,0,49766,Hank Lebioda,158,132,26
77,0,46402,Talor Gooch,159,63,96
78,0,40042,Tyler McCumber,161,28,133
79,0,26476,Chez Reavie,162,98,64
80,0,22056,Cameron Percy,164,163,1
80,0,40006,Erik van Rooyen,164,16,148
82,0,34076,Joel Dahmen,165,44,121
83,0,25493,Nick Taylor,168,63,105
84,0,39324,J.J. Spaun,169,109,60
85,0,28420,Ryan Brehm,170,114,56
86,0,40098,Matt Fitzpatrick,171,24,147
87,0,19803,Ryan Armour,172,101,71
88,0,29725,Tony Finau,173,107,66
89,0,30926,Chris Kirk,175,137,38
90,0,33404,Chris Baker,176,75,101
91,0,34363,Tyrrell Hatton,178,20,158
92,0,30692,Scott Stallings,180,140,40
93,0,32791,K.H. Lee,181,31,150
94,0,33448,Justin Thomas,185,133,52
95,0,31560,Brian Stuard,186,109,77
96,0,39953,Chase Seiffert,190,114,76
97,0,22405,Justin Rose,191,98,93
98,0,36699,Patrick Rodgers,194,128,66
99,0,32333,Kevin Tway,195,130,65
100,0,45157,Cam Davis,199,79,120
100,0,32150,Michael Thompson,199,89,110
102,0,27554,Scott Harrington,202,28,174
103,0,32662,Michael Gligic,203,119,84
104,0,25818,Scott Piercy,204,98,106
105,0,33120,Mark Anderson,206,164,42
106,0,29908,C.T. Pan,209,114,95
107,0,27644,Brian Harman,210,61,149
107,0,39546,Keith Mitchell,210,73,137
109,0,29478,Kevin Kisner,211,84,127
110,0,26758,David Hearn,212,125,87
111,0,32816,Satoshi Kodaira,217,95,122
112,0,35104,Tom Lewis,221,112,109
113,0,45609,Tyler Duncan,223,73,150
114,0,34174,John Huh,226,114,112
114,0,20396,Lee Westwood,226,95,131
116,0,56278,Matthew Wolff,229,101,128
117,0,35891,Cameron Smith,233,130,103
118,0,25686,Jason Dufner,234,142,92
118,0,26300,Matt Jones,234,133,101
120,0,30927,Brendon Todd,236,107,129
121,0,35461,Beau Hossler,237,119,118
122,0,24024,Zach Johnson,238,165,73
122,0,47993,Denny McCarthy,238,84,154
122,0,24361,Pat Perez,238,150,88
125,0,29479,Scott Brown,240,105,135
125,0,39977,Max Homa,240,82,158
127,0,35310,Lanto Griffin,242,118,124
127,0,24502,Adam Scott,242,125,117
129,0,29926,Danny Lee,243,112,131
130,0,32102,Rickie Fowler,245,89,156
131,0,30911,Tommy Fleetwood,246,101,145
132,0,35658,Kris Ventura,249,63,186
133,0,33410,Andrew Landry,250,92,158
134,0,23108,Matt Kuchar,257,143,114
135,0,36801,Mark Hubbard,259,133,126
136,0,23983,Luke Donald,263,195,68
136,0,28775,Nate Lashley,263,150,113
138,0,48887,Matt Wallace,266,109,157
138,0,31323,Gary Woodland,266,95,171
140,0,35449,Adam Long,269,101,168
141,0,24924,Bill Haas,270,173,97
141,0,34256,Andrew Putnam,270,180,90
143,0,48119,Ben Taylor,272,183,89
143,0,23325,Vaughn Taylor,272,138,134
145,0,26851,Marc Leishman,273,170,103
146,0,46435,Austin Cook,275,133,142
147,0,29970,Dylan Frittelli,278,125,153
148,0,25396,Kevin Na,280,128,152
148,0,23623,Bo Van Pelt,280,155,125
150,0,51766,Wyndham Clark,287,122,165
150,0,31420,Anirban Lahiri,287,150,137
152,0,32070,Rafael Campos,288,124,164
153,0,46550,Brandon Hagy,291,122,169
153,0,27095,Nick Watney,291,172,119
155,0,27770,Camilo Villegas,292,185,107
156,0,23788,D.J. Trahan,293,185,108
157,0,51894,Vince Whaley,296,173,123
158,0,33399,Adam Hadwin,299,119,180
159,0,35230,Nelson Ledesma,300,184,116
160,0,32640,Troy Merritt,303,167,136
160,0,23621,Rory Sabbatini,303,173,130
162,0,27649,Brandt Snedeker,304,161,143
163,0,34046,Jordan Spieth,306,167,139
164,0,47128,Richy Werenski,307,146,161
165,0,34563,Chesson Hadley,308,169,139
166,0,33597,Harry Higgs,312,149,163
166,0,27349,Alex Noren,312,145,167
168,0,34431,Robert Streb,318,177,141
169,0,35506,Mackenzie Hughes,321,176,145
170,0,24357,K.J. Choi,322,150,172
170,0,49771,J.T. Poston,322,140,182
172,0,34213,Grayson Murray,323,146,177
172,0,27942,Rob Oppenheim,323,161,162
174,0,33948,Byeong Hun An,325,159,166
175,0,01810,Phil Mickelson,326,157,169
176,0,34360,Patrick Reed,328,144,184
177,0,26499,Rafa Cabrera Bello,330,155,175
177,0,35532,Tom Hoge,330,154,176
179,0,29974,Branden Grace,332,188,144
180,0,24138,Ian Poulter,336,146,190
181,0,22371,Aaron Baddeley,345,190,155
182,0,32139,Danny Willett,349,157,192
183,0,35617,Martin Trainer,355,159,196
184,0,27141,J.B. Holmes,358,165,193
185,0,34314,Sebastian Cappelen,360,171,189
185,0,32254,Xinjun Zhang,360,179,181
187,0,28679,Fabián Gómez,363,181,182
188,0,34466,Peter Malnati,365,192,173
189,0,27556,Ted Potter Jr.,371,193,178
190,0,24781,Hunter Mahan,372,177,195
190,0,46441,Robby Shelton,372,185,187
192,0,32618,Rhein Gibson,374,196,178
193,0,27974,Sung Kang,376,191,185
193,0,25632,Jimmy Walker,376,182,194
195,0,19846,Brian Gay,379,188,191
196,0,39975,Michael Kim,382,194,188
