RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,01724,Jeff Maggert,14.12,621.22,44
2,0,21878,Mark Wilson,13.94,864.31,62
3,0,26758,David Hearn,13.51,1242.88,92
4,0,34021,Bud Cauley,13.41,657.27,49
5,0,02206,David Toms,13.37,762.03,57
6,0,28780,Nicholas Thompson,13.21,937.75,71
7,0,24140,Sean O'Hair,13.19,817.89,62
8,0,28089,Jason Day,13.07,365.95,28
9,0,23541,Ben Crane,13.04,1108.75,85
10,0,24024,Zach Johnson,12.99,1182.24,91
11,0,23135,Tim Clark,12.96,855.16,66
12,0,29926,Danny Lee,12.92,865.97,67
13,0,01810,Phil Mickelson,12.88,644.14,50
14,0,24912,Will MacKenzie,12.81,1025.01,80
15,0,27895,Jonas Blixt,12.79,486.11,38
16,0,12716,Charley Hoffman,12.77,1059.71,83
17,0,33461,Morgan Hoffmann,12.75,1160.27,91
18,0,01706,Davis Love III,12.72,725.23,57
19,0,30926,Chris Kirk,12.70,1079.67,85
20,0,24781,Hunter Mahan,12.63,985.08,78
21,0,22293,Heath Slocum,12.61,807.33,64
22,0,06522,Ernie Els,12.57,817.28,65
23,0,21753,Brian Davis,12.56,1155.81,92
24,0,19846,Brian Gay,12.47,810.63,65
24,0,32448,James Hahn,12.47,910.05,73
26,0,29221,Webb Simpson,12.43,907.52,73
27,0,06567,Vijay Singh,12.40,905.08,73
28,0,29461,Jamie Lovemark,12.38,544.62,44
29,0,27141,J.B. Holmes,12.33,813.93,66
30,0,30750,Tommy Gainey,12.22,745.37,61
30,0,34563,Chesson Hadley,12.22,977.58,80
32,0,27120,Troy Matteson,12.11,605.43,50
33,0,34174,John Huh,12.06,856.44,71
33,0,25349,Tim Wilkinson,12.06,940.68,78
35,0,23320,Ryan Palmer,12.03,818.02,68
36,0,32839,Hideki Matsuyama,12.02,805.47,67
37,0,35732,Wes Roach,12.01,648.29,54
37,0,22405,Justin Rose,12.01,648.58,54
39,0,25345,Carl Pettersson,11.99,1090.82,91
40,0,33141,Keegan Bradley,11.96,777.31,65
40,0,26329,Louis Oosthuizen,11.96,322.90,27
42,0,23108,Matt Kuchar,11.94,943.17,79
43,0,10885,Robert Allenby,11.93,763.26,64
43,0,28092,D.H. Lee,11.93,584.36,49
45,0,20157,Retief Goosen,11.91,1048.15,88
46,0,08075,Jerry Kelly,11.84,840.45,71
47,0,35139,Richard Lee,11.78,812.48,69
48,0,22621,Ben Curtis,11.77,824.00,70
48,0,27436,Graham DeLaet,11.77,647.58,55
48,0,23623,Bo Van Pelt,11.77,859.39,73
51,0,30110,Kyle Stanley,11.75,869.33,74
52,0,27963,Chris Stroud,11.73,856.05,73
53,0,25240,D.A. Points,11.70,632.05,54
54,0,25632,Jimmy Walker,11.69,830.17,71
55,0,23983,Luke Donald,11.68,490.42,42
56,0,28475,Jeff Overton,11.65,803.55,69
57,0,27644,Brian Harman,11.64,1234.03,106
58,0,27330,Josh Teater,11.63,930.49,80
59,0,29535,Brice Garnett,11.61,952.23,82
60,0,29479,Scott Brown,11.59,950.00,82
60,0,33419,Cameron Tringale,11.59,1228.87,106
62,0,24924,Bill Haas,11.58,938.00,81
62,0,28132,Tyrone Van Aswegen,11.58,532.87,46
64,0,34409,David Lingmerth,11.56,809.35,70
65,0,30692,Scott Stallings,11.54,738.35,64
66,0,28307,Matt Every,11.53,761.18,66
66,0,28237,Rory McIlroy,11.53,553.26,48
66,0,27649,Brandt Snedeker,11.53,772.62,67
