RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,123.70,6432.24,52
2,0,32334,Charlie Beljan,123.16,8867.70,72
3,0,35300,Andrew Loupe,122.81,5894.84,48
4,0,31323,Gary Woodland,122.50,8084.98,66
5,0,36689,Brooks Koepka,122.33,4893.06,40
6,0,27064,Jhonattan Vegas,121.74,8156.39,67
7,0,28237,Rory McIlroy,121.56,5834.78,48
8,0,30925,Dustin Johnson,121.34,4975.07,41
9,0,30944,Jason Kokrak,120.57,7234.35,60
10,0,21528,Henrik Stenson,120.36,3249.72,27
11,0,21209,Sergio Garcia,119.83,4433.53,37
12,0,27436,Graham DeLaet,119.80,6708.52,56
13,0,24502,Adam Scott,119.58,6457.57,54
14,0,27141,J.B. Holmes,119.45,7883.61,66
15,0,29461,Jamie Lovemark,119.44,5255.38,44
16,0,24358,Robert Garrigus,119.41,8358.53,70
17,0,34264,Hudson Swafford,119.32,6324.15,53
18,0,37273,Derek Ernst,119.21,7271.66,61
19,0,34099,Harris English,119.02,7617.34,64
20,0,32333,Kevin Tway,118.93,5708.50,48
21,0,21961,Charles Howell III,118.58,11976.49,101
22,0,34431,Robert Streb,118.53,8297.38,70
23,0,20848,Ángel Cabrera,118.42,7934.37,67
24,0,29289,S.Y. Noh,118.38,8878.35,75
25,0,26300,Matt Jones,118.27,8278.76,70
26,0,26331,Charl Schwartzel,118.21,6146.78,52
27,0,34265,Will Wilcox,118.06,5076.47,43
28,0,22378,Trevor Immelman,118.02,7907.61,67
29,0,32102,Rickie Fowler,117.91,7428.46,63
30,0,25364,Paul Casey,117.80,5183.08,44
31,0,20229,Stewart Cink,117.78,8008.87,68
32,0,22371,Aaron Baddeley,117.54,6817.39,58
33,0,27095,Nick Watney,117.53,6581.95,56
34,0,28089,Jason Day,117.49,3289.62,28
35,0,23320,Ryan Palmer,117.24,7972.16,68
36,0,29518,Brendan Steele,117.23,8675.21,74
37,0,28500,Martin Flores,117.14,8668.10,74
38,0,25632,Jimmy Walker,117.06,8311.43,71
39,0,27408,Martin Kaymer,117.05,6086.65,52
40,0,33141,Keegan Bradley,116.94,7600.93,65
41,0,30692,Scott Stallings,116.68,7467.52,64
42,0,32366,Kevin Chappell,116.64,10497.22,90
42,0,22913,John Rollins,116.64,7464.80,64
44,0,25900,Lucas Glover,116.60,5829.98,50
45,0,26851,Marc Leishman,116.55,8158.33,70
46,0,12716,Charley Hoffman,116.44,9664.46,83
47,0,25274,Steven Bowditch,116.30,9419.99,81
48,0,28486,Michael Putnam,116.25,10811.00,93
49,0,24140,Sean O'Hair,116.10,7198.08,62
50,0,33418,Shawn Stefani,116.07,6499.64,56
51,0,24846,Ricky Barnes,115.98,9162.43,79
52,0,34360,Patrick Reed,115.90,7881.08,68
53,0,24490,George McNeill,115.87,7995.11,69
54,0,24361,Pat Perez,115.73,8795.44,76
55,0,30852,Ryo Ishikawa,115.70,6710.42,58
56,0,01810,Phil Mickelson,115.62,5781.14,50
57,0,30110,Kyle Stanley,115.52,8664.11,75
58,0,20396,Lee Westwood,115.48,4850.31,42
59,0,26329,Louis Oosthuizen,115.44,3116.81,27
60,0,20645,John Senden,115.27,10489.31,91
61,0,27936,Martin Laird,115.26,5301.83,46
62,0,25562,Andres Romero,115.20,7026.92,61
63,0,25191,Gonzalo Fernandez-Castaño,115.05,8628.63,75
64,0,33413,Ben Martin,114.95,7126.94,62
65,0,28132,Tyrone Van Aswegen,114.94,5287.08,46
66,0,23638,Brendon de Jonge,114.91,11031.08,96
67,0,28307,Matt Every,114.86,7695.56,67
68,0,31557,Jim Herman,114.76,5508.37,48
69,0,01706,Davis Love III,114.74,6540.18,57
69,0,22405,Justin Rose,114.74,6196.00,54
71,0,23409,James Driscoll,114.58,6072.93,53
72,0,21731,Freddie Jacobson,114.51,8931.60,78
73,0,27120,Troy Matteson,114.36,5717.93,50
74,0,34098,Russell Henley,114.23,9023.95,79
75,0,32839,Hideki Matsuyama,114.21,7652.15,67
76,0,29740,Brad Fritsch,114.08,4220.98,37
77,0,22046,Geoff Ogilvy,114.01,8094.43,71
78,0,33461,Morgan Hoffmann,114.00,10374.18,91
78,0,27770,Camilo Villegas,114.00,10716.23,94
80,0,27330,Josh Teater,113.96,9116.55,80
81,0,30750,Tommy Gainey,113.75,6938.67,61
82,0,23353,J.J. Henry,113.72,8529.09,75
83,0,26679,Kevin Stadler,113.67,7615.57,67
83,0,32150,Michael Thompson,113.67,6706.26,59
85,0,29420,Billy Horschel,113.65,7842.18,69
86,0,24924,Bill Haas,113.60,9201.60,81
87,0,26289,Boo Weekley,113.53,6244.05,55
88,0,32448,James Hahn,113.52,8286.62,73
89,0,28259,Sangmoon Bae,113.48,7716.58,68
90,0,27214,Kevin Streelman,113.38,7596.34,67
91,0,29425,Andrew Svoboda,113.26,8494.50,75
92,0,24925,Jonathan Byrd,113.13,7579.79,67
