RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,29718,Anthony Kim,35.77,298,833
2,0,20850,Daniel Chopra,33.53,338,1008
3,0,08793,Tiger Woods,33.25,253,761
4,0,28089,Jason Day,33.12,204,616
5,0,06004,Stephen Ames,32.89,300,912
5,0,21805,Harrison Frazar,32.89,345,1049
7,0,30925,Dustin Johnson,32.80,326,994
7,0,21949,Joe Ogilvie,32.80,305,930
9,0,01810,Phil Mickelson,32.74,238,727
10,0,22371,Aaron Baddeley,32.66,227,695
11,0,24781,Hunter Mahan,32.42,367,1132
12,0,23623,Bo Van Pelt,32.28,356,1103
13,0,20070,Matt Bettencourt,32.19,358,1112
14,0,06527,Steve Stricker,32.17,304,945
15,0,27936,Martin Laird,32.10,268,835
16,0,21753,Brian Davis,32.09,369,1150
17,0,01226,Fred Couples,32.00,208,650
18,0,26498,Matt Weibring,31.89,221,693
19,0,23135,Tim Clark,31.88,299,938
20,0,24925,Jonathan Byrd,31.82,343,1078
21,0,27095,Nick Watney,31.76,324,1020
22,0,28087,Kris Blanks,31.73,204,643
22,0,12716,Charley Hoffman,31.73,369,1163
24,0,25900,Lucas Glover,31.69,348,1098
24,0,22046,Geoff Ogilvy,31.69,264,833
26,0,20593,Greg Chalmers,31.64,287,907
27,0,25804,Bubba Watson,31.50,264,838
28,0,23108,Matt Kuchar,31.47,298,947
29,0,29221,Webb Simpson,31.37,331,1055
30,0,21959,Ted Purdy,31.35,347,1107
31,0,10860,Justin Leonard,31.27,343,1097
31,0,25396,Kevin Na,31.27,314,1004
33,0,20160,Charlie Wi,31.21,334,1070
34,0,27141,J.B. Holmes,31.20,254,814
34,0,08075,Jerry Kelly,31.20,297,952
36,0,12602,Dean Wilson,31.18,280,898
37,0,23983,Luke Donald,31.13,268,861
37,0,24361,Pat Perez,31.13,254,816
39,0,22405,Justin Rose,31.08,258,830
40,0,26695,Michael Letzig,31.02,330,1064
41,0,24449,Parker McLachlin,30.97,231,746
41,0,28475,Jeff Overton,30.97,301,972
43,0,24490,George McNeill,30.90,283,916
44,0,23325,Vaughn Taylor,30.88,302,978
44,0,10423,Mike Weir,30.88,294,952
46,0,20848,Ángel Cabrera,30.86,187,606
46,0,26596,Ryan Moore,30.86,312,1011
48,0,24140,Sean O'Hair,30.85,286,927
49,0,25562,Andres Romero,30.68,204,665
50,0,25818,Scott Piercy,30.67,295,962
51,0,23621,Rory Sabbatini,30.61,288,941
52,0,27214,Kevin Streelman,30.55,340,1113
53,0,24663,Y.E. Yang,30.53,287,940
54,0,01161,Mark Calcavecchia,30.42,258,848
55,0,23638,Brendon de Jonge,30.23,312,1032
55,0,26301,James Nitties,30.23,282,933
57,0,23541,Ben Crane,30.21,326,1079
58,0,10117,Bob Heintz,30.16,193,640
59,0,24924,Bill Haas,30.10,317,1053
60,0,01945,Kenny Perry,30.06,331,1101
61,0,10809,Jim Furyk,30.05,293,975
62,0,24024,Zach Johnson,30.03,336,1119
63,0,27770,Camilo Villegas,30.00,261,870
64,0,25686,Jason Dufner,29.98,310,1034
65,0,27683,Leif Olson,29.90,154,515
66,0,19846,Brian Gay,29.88,309,1034
67,0,26851,Marc Leishman,29.84,313,1049
68,0,06643,Paul Goydos,29.83,261,875
68,0,27963,Chris Stroud,29.83,309,1036
70,0,20127,Chris Riley,29.81,245,822
71,0,06621,Joe Durant,29.78,204,685
72,0,25190,Jeff Quinney,29.73,264,888
73,0,22913,John Rollins,29.71,301,1013
74,0,02239,Scott Verplank,29.70,300,1010
75,0,21731,Freddie Jacobson,29.69,274,923
76,0,27649,Brandt Snedeker,29.67,262,883
77,0,21350,Ryuji Imada,29.61,278,939
78,0,01707,Steve Lowery,29.60,283,956
79,0,09011,David Duval,29.58,181,612
79,0,31323,Gary Woodland,29.58,163,551
81,0,25240,D.A. Points,29.57,327,1106
82,0,01948,Tim Petrovic,29.52,330,1118
83,0,28780,Nicholas Thompson,29.51,334,1132
84,0,23497,Tag Ridings,29.50,154,522
85,0,12782,Tim Herron,29.46,294,998
86,0,07867,Woody Austin,29.41,290,986
86,0,23320,Ryan Palmer,29.41,270,918
88,0,27933,John Merrick,29.40,284,966
89,0,20157,Retief Goosen,29.38,240,817
90,0,20766,Padraig Harrington,29.37,210,715
90,0,28158,Steve Marino,29.37,338,1151
90,0,20572,Rod Pampling,29.37,247,841
93,0,23800,Bryce Molder,29.35,216,736
94,0,12705,Cliff Kresge,29.30,242,826
95,0,26300,Matt Jones,29.24,176,602
96,0,31416,Derek Fathauer,29.22,180,616
97,0,24138,Ian Poulter,29.20,179,613
98,0,07749,Brett Quigley,29.15,290,995
98,0,25632,Jimmy Walker,29.15,225,772
100,0,02206,David Toms,29.14,336,1153
101,0,01577,Lee Janzen,29.12,228,783
102,0,10585,Scott McCarron,29.07,311,1070
103,0,23788,D.J. Trahan,29.04,352,1212
104,0,06197,Michael Allen,29.02,242,834
105,0,20472,Alex Cejka,28.88,266,921
106,0,06595,Kevin Sutherland,28.85,328,1137
107,0,23349,Charles Warren,28.82,202,701
108,0,27060,John Mallinger,28.80,288,1000
109,0,21878,Mark Wilson,28.63,325,1135
110,0,24358,Robert Garrigus,28.59,285,997
110,0,28118,Peter Tomasulo,28.59,183,640
112,0,06522,Ernie Els,28.57,224,784
113,0,01320,Bob Estes,28.54,256,897
114,0,12510,Chad Campbell,28.49,304,1067
115,0,21209,Sergio Garcia,28.47,195,685
115,0,23718,Nathan Green,28.47,322,1131
115,0,25345,Carl Pettersson,28.47,275,966
118,0,01928,Corey Pavin,28.38,208,733
119,0,22348,Nick O'Hern,28.32,292,1031
120,0,01706,Davis Love III,28.28,295,1043
121,0,26951,Johnson Wagner,28.24,270,956
122,0,30711,Colt Knost,28.23,212,751
123,0,26289,Boo Weekley,28.11,260,925
124,0,24507,Jason Bohn,28.07,309,1101
125,0,20691,Greg Owen,28.04,316,1127
126,0,20645,John Senden,27.94,356,1274
127,0,01941,Tom Pernice Jr.,27.91,266,953
127,0,02214,Kirk Triplett,27.91,204,731
129,0,21961,Charles Howell III,27.89,306,1097
130,0,01329,Brad Faxon,27.88,155,556
131,0,22892,Jason Gore,27.80,226,813
132,0,20574,Mathew Goggin,27.78,242,871
133,0,24502,Adam Scott,27.77,163,587
134,0,22961,David Mathis,27.73,239,862
135,0,26420,Richard Johnson,27.70,274,989
136,0,23548,Bill Lunde,27.69,270,975
137,0,06567,Vijay Singh,27.59,226,819
138,0,20498,Briny Baird,27.57,290,1052
139,0,06251,Chris DiMarco,27.48,296,1077
140,0,22295,Darron Stiles,27.43,155,565
141,0,23614,Rich Beem,27.39,232,847
142,0,24503,Jeff Klauk,27.36,310,1133
143,0,27120,Troy Matteson,27.24,304,1116
144,0,20229,Stewart Cink,27.23,226,830
145,0,01035,Tommy Armour III,27.22,190,698
146,0,23048,Eric Axley,27.10,187,690
147,0,25919,Brian Vranesh,27.09,146,539
148,0,24912,Will MacKenzie,27.05,228,843
149,0,12652,Cameron Beckman,27.02,264,977
150,0,26679,Kevin Stadler,26.98,184,682
151,0,22293,Heath Slocum,26.95,297,1102
152,0,01473,Todd Hamilton,26.83,249,928
153,0,28620,Aron Price,26.75,256,957
154,0,01313,Steve Elkington,26.66,225,844
155,0,20104,Ken Duke,26.63,262,984
156,0,08845,Scott Sterling,26.55,141,531
157,0,01724,Jeff Maggert,26.49,257,970
158,0,07457,Steve Flesch,26.46,244,922
159,0,01142,Bart Bryant,26.44,161,609
160,0,22621,Ben Curtis,26.40,189,716
161,0,22548,Patrick Sheehan,26.38,139,527
162,0,26476,Chez Reavie,26.34,240,911
163,0,01797,Rocco Mediate,26.24,232,884
164,0,23778,Brad Adamonis,26.14,201,769
165,0,06539,Rick Price,26.05,149,572
166,0,24357,K.J. Choi,26.02,198,761
167,0,07223,Brian Bateman,25.94,166,640
168,0,27466,Spencer Levin,25.93,223,860
169,0,20634,Peter Lonard,25.89,247,954
170,0,10733,Kent Jones,25.88,198,765
171,0,01132,Mark Brooks,25.56,138,540
172,0,20098,Stuart Appleby,25.51,226,886
172,0,23353,J.J. Henry,25.51,290,1137
174,0,26497,Casey Wittenberg,25.26,193,764
175,0,01766,Billy Mayfair,25.08,248,989
176,0,24846,Ricky Barnes,24.90,180,723
177,0,08931,Glen Day,24.82,211,850
178,0,10885,Robert Allenby,24.80,212,855
179,0,30927,Brendon Todd,24.73,139,562
180,0,26668,Marc Turnesa,24.63,215,873
181,0,10425,Jay Williamson,24.48,189,772
182,0,06012,Greg Kraft,23.58,125,530
183,0,26881,Jarrod Lyle,23.54,157,667
184,0,01677,Tom Lehman,21.36,135,632
