RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,52955,Ludvig Åberg,75.0,900,12
2,0,58696,Peter Kuest,75.3,828,11
3,0,32333,Kevin Tway,79.0,1818,23
4,0,55708,Hayden Buckley,84.0,1512,18
5,0,46970,Jon Rahm,85.2,1278,15
6,0,51414,Brent Grant,94.5,1512,16
7,0,55789,Taylor Montgomery,96.6,1836,19
8,0,45242,Kevin Yu,98.3,1278,13
9,0,32366,Kevin Chappell,100.8,1008,10
10,0,51070,Vincent Norrman,102.0,1530,15
11,0,58168,Davis Thompson,108.0,1728,16
12,0,48867,Matti Schmid,109.4,1422,13
13,0,28420,Ryan Brehm,110.6,1548,14
14,0,59018,Ryan Gerard,111.6,1116,10
15,0,48081,Xander Schauffele,112.2,1458,13
16,0,29221,Webb Simpson,114.0,1026,9
17,0,45157,Cam Davis,117.0,1638,14
18,0,54628,Lee Hodges,120.4,1926,16
19,0,34431,Robert Streb,121.5,1458,12
20,0,46046,Scottie Scheffler,121.8,1584,13
20,0,52374,Brandon Wu,121.8,2070,17
22,0,22405,Justin Rose,122.4,1224,10
23,0,36724,Augusto Núñez,127.5,1530,12
24,0,40006,Erik van Rooyen,127.6,1404,11
25,0,51766,Wyndham Clark,131.1,1836,14
26,0,46717,Viktor Hovland,132.0,1584,12
27,0,56762,Will Gordon,133.2,1998,15
28,0,24502,Adam Scott,136.0,1224,9
29,0,56630,Akshay Bhatia,137.5,1512,11
29,0,30692,Scott Stallings,137.5,1512,11
31,0,29908,C.T. Pan,137.6,963,7
32,0,52453,Nicolai Hojgaard,138.0,828,6
33,0,27129,Luke List,138.5,1800,13
34,0,33204,Shane Lowry,139.5,1116,8
35,0,39977,Max Homa,140.7,1548,11
36,0,35461,Beau Hossler,141.4,1980,14
37,0,35617,Martin Trainer,141.8,1134,8
38,0,23320,Ryan Palmer,142.2,1422,10
39,0,54421,Garrick Higgo,142.6,1854,13
40,0,48084,Wesley Bryan,144.0,864,6
40,0,35532,Tom Hoge,144.0,1872,13
40,0,46340,Alex Smalley,144.0,2016,14
40,0,33448,Justin Thomas,144.0,1296,9
44,0,33948,Byeong Hun An,145.4,1890,13
