RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 2 PUTTS,TOTAL ROUNDS
1,0,23452,Nicolas Colsaerts,11.23,528,47
1,0,06567,Vijay Singh,11.23,685,61
3,0,23353,J.J. Henry,11.22,909,81
4,0,24846,Ricky Barnes,11.06,774,70
5,0,37273,Derek Ernst,10.95,635,58
6,0,33869,Eric Meierdierks,10.93,503,46
7,0,32698,Bobby Gates,10.89,490,45
8,0,24358,Robert Garrigus,10.85,705,65
9,0,28455,Will Claxton,10.84,683,63
9,0,29425,Andrew Svoboda,10.84,477,44
11,0,24502,Adam Scott,10.83,650,60
11,0,20645,John Senden,10.83,845,78
13,0,20572,Rod Pampling,10.79,453,42
14,0,22378,Trevor Immelman,10.77,743,69
15,0,20229,Stewart Cink,10.76,764,71
16,0,26289,Boo Weekley,10.73,1073,100
17,0,06573,Brandt Jobe,10.71,621,58
17,0,24140,Sean O'Hair,10.71,600,56
17,0,25804,Bubba Watson,10.71,782,73
20,0,30852,Ryo Ishikawa,10.69,748,70
21,0,30163,Henrik Norlander,10.68,726,68
22,0,22961,David Mathis,10.67,715,67
22,0,21878,Mark Wilson,10.67,555,52
24,0,32334,Charlie Beljan,10.66,661,62
24,0,25900,Lucas Glover,10.66,693,65
26,0,31557,Jim Herman,10.65,586,55
27,0,01116,Michael Bradley,10.63,553,52
27,0,21528,Henrik Stenson,10.63,680,64
29,0,27095,Nick Watney,10.62,913,86
30,0,24399,Scott Gardiner,10.61,626,59
31,0,23497,Tag Ridings,10.60,689,65
32,0,12510,Chad Campbell,10.59,805,76
32,0,27408,Martin Kaymer,10.59,614,58
32,0,30110,Kyle Stanley,10.59,752,71
35,0,24924,Bill Haas,10.58,889,84
35,0,22913,John Rollins,10.58,772,73
37,0,34021,Bud Cauley,10.57,666,63
37,0,23788,D.J. Trahan,10.57,486,46
37,0,23623,Bo Van Pelt,10.57,740,70
40,0,25444,Justin Hicks,10.55,791,75
41,0,10885,Robert Allenby,10.54,590,56
41,0,31323,Gary Woodland,10.54,949,90
43,0,31560,Brian Stuard,10.53,779,74
43,0,26951,Johnson Wagner,10.53,632,60
45,0,24024,Zach Johnson,10.52,873,83
45,0,27933,John Merrick,10.52,831,79
45,0,20691,Greg Owen,10.52,747,71
45,0,26679,Kevin Stadler,10.52,831,79
49,0,20848,Ángel Cabrera,10.51,767,73
49,0,10809,Jim Furyk,10.51,820,78
51,0,27330,Josh Teater,10.50,861,82
52,0,24781,Hunter Mahan,10.49,892,85
53,0,22621,Ben Curtis,10.47,597,57
54,0,27436,Graham DeLaet,10.46,983,94
54,0,36884,Ben Kohles,10.46,743,71
54,0,26476,Chez Reavie,10.46,753,72
57,0,23638,Brendon de Jonge,10.45,1149,110
57,0,27503,Steve LeBrun,10.45,648,62
57,0,24361,Pat Perez,10.45,721,69
57,0,29518,Brendan Steele,10.45,857,82
61,0,27120,Troy Matteson,10.44,689,66
62,0,27214,Kevin Streelman,10.42,896,86
63,0,29289,S.Y. Noh,10.40,697,67
64,0,20766,Padraig Harrington,10.39,509,49
64,0,34431,Robert Streb,10.39,738,71
66,0,29479,Scott Brown,10.38,675,65
66,0,24490,George McNeill,10.38,706,68
68,0,26331,Charl Schwartzel,10.37,705,68
69,0,06522,Ernie Els,10.35,642,62
69,0,34174,John Huh,10.35,911,88
69,0,25345,Carl Pettersson,10.35,828,80
72,0,27936,Martin Laird,10.34,703,68
73,0,33141,Keegan Bradley,10.33,899,87
73,0,30925,Dustin Johnson,10.33,723,70
73,0,10213,Dicky Pride,10.33,692,67
76,0,24663,Y.E. Yang,10.32,578,56
77,0,32200,Roberto Castro,10.31,1000,97
78,0,21209,Sergio Garcia,10.29,648,63
79,0,22405,Justin Rose,10.28,617,60
80,0,32150,Michael Thompson,10.27,678,66
80,0,28780,Nicholas Thompson,10.27,1017,99
82,0,31202,William McGirt,10.25,769,75
83,0,29420,Billy Horschel,10.24,983,96
84,0,28679,Fabián Gómez,10.23,665,65
84,0,22056,Cameron Percy,10.23,675,66
84,0,20396,Lee Westwood,10.23,706,69
87,0,32448,James Hahn,10.22,756,74
87,0,29221,Webb Simpson,10.22,899,88
89,0,29740,Brad Fritsch,10.21,786,77
89,0,35139,Richard Lee,10.21,786,77
89,0,26497,Casey Wittenberg,10.21,715,70
92,0,34261,Scott Langley,10.20,765,75
92,0,33419,Cameron Tringale,10.20,816,80
94,0,26851,Marc Leishman,10.19,785,77
94,0,25818,Scott Piercy,10.19,764,75
96,0,32366,Kevin Chappell,10.18,814,80
96,0,24357,K.J. Choi,10.18,855,84
96,0,28092,D.H. Lee,10.18,662,65
99,0,30711,Colt Knost,10.17,661,65
100,0,24507,Jason Bohn,10.16,711,70
100,0,08075,Jerry Kelly,10.16,762,75
100,0,27770,Camilo Villegas,10.16,762,75
103,0,25834,Daniel Summerhays,10.14,842,83
104,0,23108,Matt Kuchar,10.13,881,87
104,0,33418,Shawn Stefani,10.13,638,63
106,0,25572,Graeme McDowell,10.12,496,49
107,0,25632,Jimmy Walker,10.11,849,84
108,0,30750,Tommy Gainey,10.10,848,84
109,0,25686,Jason Dufner,10.08,776,77
109,0,24138,Ian Poulter,10.08,534,53
111,0,23135,Tim Clark,10.05,613,61
111,0,23320,Ryan Palmer,10.05,794,79
113,0,26300,Matt Jones,10.04,833,83
113,0,25336,Alistair Presnell,10.04,572,57
115,0,28475,Jeff Overton,10.03,782,78
116,0,27644,Brian Harman,10.02,852,85
116,0,19970,Robert Karlsson,10.02,521,52
116,0,27129,Luke List,10.02,611,61
116,0,02206,David Toms,10.02,441,44
116,0,28310,Lee Williams,10.02,601,60
121,0,20104,Ken Duke,10.01,871,87
122,0,22046,Geoff Ogilvy,10.00,570,57
122,0,22295,Darron Stiles,10.00,490,49
124,0,34098,Russell Henley,9.99,779,78
124,0,12716,Charley Hoffman,9.99,839,84
124,0,21099,David Lynn,9.99,689,69
127,0,24227,Justin Bolli,9.98,549,55
127,0,12782,Tim Herron,9.98,449,45
127,0,25240,D.A. Points,9.98,868,87
127,0,08793,Tiger Woods,9.98,599,60
131,0,34099,Harris English,9.97,947,95
