RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
1,0,29221,Webb Simpson,-152,4.48,1475
2,0,21961,Charles Howell III,-143,4.56,1615
2,0,27466,Spencer Levin,-143,4.57,1665
4,0,30110,Kyle Stanley,-138,4.54,1500
5,0,25804,Bubba Watson,-132,4.49,1290
6,0,27330,Josh Teater,-130,4.60,1605
7,0,23638,Brendon de Jonge,-127,4.61,1630
8,0,29910,Blake Adams,-122,4.67,1825
9,0,33419,Cameron Tringale,-121,4.63,1655
10,0,29518,Brendan Steele,-119,4.58,1400
10,0,23623,Bo Van Pelt,-119,4.56,1345
12,0,24781,Hunter Mahan,-116,4.58,1370
13,0,01810,Phil Mickelson,-115,4.54,1240
14,0,24924,Bill Haas,-113,4.60,1415
15,0,06573,Brandt Jobe,-112,4.65,1585
16,0,25396,Kevin Na,-110,4.58,1325
16,0,06527,Steve Stricker,-110,4.49,1075
18,0,23108,Matt Kuchar,-109,4.58,1295
18,0,01766,Billy Mayfair,-109,4.63,1475
20,0,12716,Charley Hoffman,-108,4.65,1525
21,0,25345,Carl Pettersson,-107,4.62,1405
22,0,24358,Robert Garrigus,-106,4.60,1315
22,0,23548,Bill Lunde,-106,4.65,1520
24,0,31323,Gary Woodland,-105,4.63,1430
25,0,21753,Brian Davis,-104,4.68,1650
26,0,33141,Keegan Bradley,-103,4.63,1385
26,0,11123,Chris Couch,-103,4.56,1165
26,0,22913,John Rollins,-103,4.61,1315
26,0,20645,John Senden,-103,4.65,1485
30,0,25274,Steven Bowditch,-102,4.61,1305
31,0,27649,Brandt Snedeker,-101,4.60,1265
31,0,27064,Jhonattan Vegas,-101,4.61,1285
31,0,27095,Nick Watney,-101,4.57,1170
34,0,32698,Bobby Gates,-100,4.62,1330
35,0,25900,Lucas Glover,-99,4.54,1080
35,0,28679,Fabián Gómez,-99,4.63,1355
35,0,27963,Chris Stroud,-99,4.63,1350
35,0,02206,David Toms,-99,4.59,1195
35,0,23788,D.J. Trahan,-99,4.64,1380
40,0,22371,Aaron Baddeley,-98,4.59,1200
40,0,24925,Jonathan Byrd,-98,4.60,1240
40,0,24604,Hunter Haas,-98,4.69,1565
43,0,28475,Jeff Overton,-97,4.64,1350
44,0,32102,Rickie Fowler,-95,4.61,1225
45,0,30750,Tommy Gainey,-94,4.70,1580
45,0,23353,J.J. Henry,-94,4.69,1530
45,0,23320,Ryan Palmer,-94,4.63,1285
45,0,26679,Kevin Stadler,-94,4.67,1430
49,0,12510,Chad Campbell,-93,4.68,1475
49,0,24024,Zach Johnson,-93,4.60,1160
49,0,26881,Jarrod Lyle,-93,4.64,1305
49,0,25240,D.A. Points,-93,4.67,1405
49,0,22405,Justin Rose,-93,4.62,1235
54,0,28089,Jason Day,-92,4.57,1075
54,0,23983,Luke Donald,-92,4.55,1015
54,0,23621,Rory Sabbatini,-92,4.65,1305
57,0,19846,Brian Gay,-91,4.67,1365
57,0,23497,Tag Ridings,-91,4.66,1330
59,0,20593,Greg Chalmers,-90,4.67,1345
59,0,08075,Jerry Kelly,-90,4.62,1195
59,0,27936,Martin Laird,-90,4.64,1245
62,0,28087,Kris Blanks,-89,4.69,1440
62,0,10809,Jim Furyk,-89,4.65,1270
62,0,27214,Kevin Streelman,-89,4.68,1400
62,0,21878,Mark Wilson,-89,4.66,1320
66,0,31202,William McGirt,-88,4.72,1545
66,0,22348,Nick O'Hern,-88,4.69,1410
66,0,30692,Scott Stallings,-88,4.66,1300
69,0,06251,Chris DiMarco,-87,4.70,1430
69,0,30926,Chris Kirk,-87,4.67,1325
69,0,26476,Chez Reavie,-87,4.70,1450
69,0,23325,Vaughn Taylor,-87,4.69,1385
73,0,07457,Steve Flesch,-86,4.67,1285
73,0,21731,Freddie Jacobson,-86,4.68,1345
73,0,06567,Vijay Singh,-86,4.64,1210
76,0,28158,Steve Marino,-85,4.65,1200
76,0,20160,Charlie Wi,-85,4.67,1290
78,0,24507,Jason Bohn,-84,4.64,1180
78,0,30925,Dustin Johnson,-84,4.63,1130
80,0,30946,Alex Prugh,-83,4.69,1320
81,0,27120,Troy Matteson,-82,4.72,1490
82,0,10860,Justin Leonard,-81,4.68,1275
83,0,22378,Trevor Immelman,-80,4.68,1255
83,0,26851,Marc Leishman,-80,4.70,1350
85,0,25686,Jason Dufner,-79,4.66,1155
85,0,35087,Bio Kim,-79,4.65,1130
85,0,25562,Andres Romero,-79,4.65,1140
85,0,26289,Boo Weekley,-79,4.61,1020
89,0,20070,Matt Bettencourt,-78,4.70,1290
89,0,01948,Tim Petrovic,-78,4.72,1395
91,0,20229,Stewart Cink,-77,4.67,1165
91,0,23800,Bryce Molder,-77,4.70,1290
93,0,24357,K.J. Choi,-76,4.67,1160
93,0,27141,J.B. Holmes,-76,4.57,885
93,0,26300,Matt Jones,-76,4.68,1195
93,0,27933,John Merrick,-76,4.63,1030
97,0,12782,Tim Herron,-75,4.70,1265
97,0,22293,Heath Slocum,-75,4.71,1310
97,0,08375,Paul Stankowski,-75,4.69,1220
100,0,32366,Kevin Chappell,-74,4.70,1230
100,0,31557,Jim Herman,-74,4.66,1095
100,0,31401,Zack Miller,-74,4.73,1355
100,0,25818,Scott Piercy,-74,4.69,1210
100,0,24502,Adam Scott,-74,4.56,835
100,0,25632,Jimmy Walker,-74,4.68,1150
106,0,27974,Sung Kang,-73,4.62,965
106,0,21949,Joe Ogilvie,-73,4.68,1155
