RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
120,0,35544,Andrew Yun,45' 4",76,3446.667,+15.00
123,0,37278,Nicholas Lindheim,45' 5",103,4681.583,+22.00
123,0,28252,Seamus Power,45' 5",151,6862.083,+8.00
125,0,24140,Sean O'Hair,45' 6",105,4773.667,+19.00
125,0,25632,Jimmy Walker,45' 6",126,5733.833,+27.00
127,0,26499,Rafa Cabrera Bello,45' 7",67,3053.083,+7.00
127,0,35421,Brandon Harkins,45' 7",172,7847.083,+19.00
127,0,34046,Jordan Spieth,45' 7",104,4744.250,+6.00
130,0,35450,Patrick Cantlay,45' 8",103,4706.500,+2.00
130,0,34256,Andrew Putnam,45' 8",133,6078.750,+7.00
130,0,34431,Robert Streb,45' 8",156,7126.417,+18.00
133,0,39954,Cody Gribble,45' 10",110,5038.250,+15.00
134,0,21528,Henrik Stenson,45' 11",43,1973.083,-2.00
135,0,31416,Derek Fathauer,46' 1",122,5620.333,+20.00
135,0,35879,Kelly Kraft,46' 1",131,6039.167,+37.00
137,0,29478,Kevin Kisner,46' 2",108,4986.667,+15.00
138,0,46501,Ollie Schniederjans,46' 4",180,8340.417,+29.00
139,0,29725,Tony Finau,46' 5",162,7523.833,+17.00
139,0,28679,Fabián Gómez,46' 5",136,6310.083,+23.00
139,0,26951,Johnson Wagner,46' 5",82,3807.833,+10.00
142,0,40009,Dominic Bozzelli,46' 6",107,4979.833,+1.00
142,0,31420,Anirban Lahiri,46' 6",120,5581.750,+22.00
144,0,35545,Blayne Barber,46' 7",116,5398.833,+18.00
144,0,30911,Tommy Fleetwood,46' 7",92,4286.500,+20.00
144,0,34264,Hudson Swafford,46' 7",63,2936.833,-5.00
147,0,29926,Danny Lee,46' 8",99,4618.917,+8.00
147,0,34358,Jonathan Randolph,46' 8",112,5223.583,+21.00
149,0,48084,Wesley Bryan,46' 10",121,5666.333,+18.00
150,0,34021,Bud Cauley,46' 11",70,3282.750,+5.00
150,0,23353,J.J. Henry,46' 11",102,4781.750,+17.00
150,0,36799,Stephan Jaeger,46' 11",129,6049.667,+6.00
153,0,27958,Ryan Blaum,47' 0",152,7138.917,+19.00
154,0,33419,Cameron Tringale,47' 1",121,5693.750,+28.00
155,0,25686,Jason Dufner,47' 2",88,4147.583,+1.00
155,0,37189,Harold Varner III,47' 2",148,6982.167,+25.00
