RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,01226,Fred Couples,27.83,1344187,4830000
2,0,01219,John Cook,24.50,1165605,4758000
3,0,01706,Davis Love III,21.61,1191629,5514000
4,0,01355,Raymond Floyd,21.49,741918,3453000
5,0,01968,Nick Price,20.46,1135773,5550000
6,0,01326,Nick Faldo,20.22,345168,1707000
7,0,01633,Tom Kite,19.04,957444,5028000
8,0,01876,Greg Norman,18.83,676442,3592000
9,0,01042,Paul Azinger,18.49,929863,5028000
10,0,01928,Corey Pavin,18.06,980933,5433000
11,0,01690,Bruce Lietzke,16.96,703805,4150000
12,0,01887,Mark O'Meara,15.47,759648,4911000
13,0,01329,Brad Faxon,14.49,812093,5604000
14,0,01313,Steve Elkington,13.95,746352,5352000
15,0,01378,David Frost,13.34,717883,5383000
16,0,01361,Dan Forsman,12.28,763189,6216000
17,0,01072,Chip Beck,12.00,689703,5748000
18,0,01577,Lee Janzen,11.77,795279,6756000
19,0,02104,Jeff Sluman,11.50,729027,6342000
20,0,02246,Duffy Waldorf,10.82,582119,5379000
21,0,01385,Jim Gallagher Jr.,10.64,638314,6000000
21,0,01457,Jay Haas,10.64,632627,5946000
23,0,01132,Mark Brooks,9.96,629753,6324000
24,0,01677,Tom Lehman,9.58,579093,6044000
25,0,01306,David Edwards,9.50,515070,5419000
26,0,01133,Billy Ray Brown,9.33,485151,5199000
27,0,01938,David Peoples,9.28,539531,5815000
28,0,01200,Keith Clearwater,9.25,609272,6589000
29,0,01360,Anders Forsbrand,9.10,50531,555000
30,0,02133,Craig Stadler,8.84,487459,5514000
31,0,02049,Gene Sauers,8.81,434566,4933000
32,0,01235,Ben Crenshaw,8.76,439070,5014000
33,0,02256,Tom Watson,8.73,299818,3435000
34,0,01920,Craig Parry,8.68,241900,2786000
35,0,01331,Rick Fehr,8.20,433003,5280000
36,0,06567,Vijay Singh,7.92,70680,892000
37,0,06204,Jeff Barlow,7.78,4200,54000
38,0,01553,John Huston,7.72,515452,6679000
39,0,01129,Bill Britton,7.53,391699,5203000
40,0,01418,Bill Glasson,7.52,283764,3771000
41,0,01249,John Daly,7.48,387455,5181000
42,0,01926,Steve Pate,7.30,472625,6477000
43,0,02242,Lanny Wadkins,7.23,366836,5073000
44,0,02322,Richard Zokol,7.09,311908,4397000
45,0,01724,Jeff Maggert,7.03,377407,5365000
46,0,02146,Payne Stewart,6.93,334738,4830000
47,0,01610,Yoshinori Kaneko,6.79,59900,882000
48,0,01444,Ken Green,6.64,360397,5424000
49,0,08635,Colin Montgomerie,6.50,98045,1509000
50,0,01381,Fred Funk,6.49,416930,6423000
51,0,01161,Mark Calcavecchia,6.45,377233,5847000
52,0,01823,Larry Mize,6.42,316428,4929000
53,0,01049,Ian Baker-Finch,6.41,261816,4083000
54,0,02010,Loren Roberts,6.20,338673,5463000
55,0,02101,Joey Sindelar,6.11,395353,6468000
56,0,01796,Mark McNulty,5.93,46171,779000
57,0,01098,Jay Don Blake,5.87,299298,5100000
58,0,01797,Rocco Mediate,5.86,301895,5154000
59,0,01510,Nolan Henke,5.81,326386,5622000
60,0,01837,Gil Morgan,5.66,272958,4821000
61,0,01203,Russ Cochran,5.54,326289,5892000
62,0,01810,Phil Mickelson,5.21,171713,3299000
63,0,01261,Jay Delsing,5.20,296740,5702000
64,0,02267,D.A. Weibring,4.97,253018,5091000
65,0,01096,Phil Blackmar,4.92,242783,4938000
66,0,01905,Joe Ozaki,4.87,75946,1558000
67,0,01723,Andrew Magee,4.86,285946,5883000
67,0,08973,Wayne Riley,4.86,62163,1278000
69,0,01278,Andy Dillard,4.84,38567,797000
69,0,01475,Donnie Hammond,4.84,197084,4073000
71,0,02225,Howard Twitty,4.70,264042,5617000
72,0,01682,Wayne Levi,4.69,237935,5077000
73,0,01030,Isao Aoki,4.52,11400,252000
74,0,01771,Blaine McCallister,4.51,261187,5797000
75,0,01883,Christy O'Connor,4.49,21020,468000
76,0,01960,Don Pooley,4.43,135682,3065000
77,0,06575,Dudley Hart,4.37,254903,5838000
78,0,01388,Robert Gamez,4.26,215648,5059000
79,0,01549,Mike Hulbert,4.23,279577,6612000
80,0,01496,Jeff Hawkes,4.19,10550,252000
81,0,01468,Gary Hallberg,4.18,236629,5658000
82,0,01323,Brad Fabel,4.17,220494,5293000
83,0,02294,Willie Wood,4.15,57748,1391000
84,0,07569,Mark Carnevale,4.12,220921,5365000
85,0,02067,Ted Schulz,4.03,259204,6432000
86,0,01353,Bruce Fleisher,4.02,236515,5887000
87,0,02159,Curtis Strange,3.99,150639,3777000
88,0,01435,Wayne Grady,3.97,183360,4614000
89,0,01871,Mike Nicolette,3.95,22065,558000
90,0,02135,Mike Standly,3.76,213711,5679000
91,0,01945,Kenny Perry,3.75,190454,5085000
92,0,01946,Peter Persons,3.60,203625,5661000
93,0,01024,Billy Andrade,3.52,202509,5748000
94,0,01014,Fulton Allem,3.51,209982,5977000
95,0,02007,Larry Rinker,3.50,163953,4680000
96,0,02190,Doug Tewell,3.48,159855,4599000
97,0,02279,Mark Wiebe,3.47,174763,5031000
98,0,01592,Tony Johnstone,3.45,25800,748000
98,0,02300,Ian Woosnam,3.45,52045,1509000
100,0,01143,Brad Bryant,3.43,227529,6630000
100,0,01717,Sandy Lyle,3.43,73458,2139000
102,0,01288,Ed Dougherty,3.42,237525,6949000
103,0,02099,Scott Simpson,3.41,155283,4550000
104,0,02214,Kirk Triplett,3.39,175867,5190000
105,0,01958,Dan Pohl,3.36,131485,3915000
106,0,01320,Bob Estes,3.31,190777,5766000
107,0,06633,Gary Webb,3.24,6413,198000
108,0,02321,Fuzzy Zoeller,3.23,125002,3866000
109,0,02298,Jim Woodward,3.22,161300,5013000
110,0,06373,José María Olazábal,3.21,63428,1977000
110,0,06725,Tom Wargo,3.21,9000,280000
112,0,01196,Brian Claar,3.19,192254,6036000
113,0,01971,Dillard Pruitt,3.18,189604,5964000
114,0,01975,Tom Purtzer,3.17,166721,5262000
115,0,01051,Seve Ballesteros,3.14,39206,1247000
115,0,01307,Joel Edwards,3.14,107263,3420000
117,0,01779,Gary McCord,3.12,64502,2070000
118,0,01666,Bernhard Langer,3.10,41210,1329000
119,0,01557,John Inman,3.07,173827,5661000
120,0,01755,Dick Mast,3.06,150847,4923000
121,0,01607,Brian Kamm,3.01,20020,666000
122,0,02111,Mike Smith,3.00,178964,5972000
123,0,02090,Tom Sieckmann,2.99,173424,5792000
124,0,01609,Jim Kane,2.97,16481,555000
125,0,01303,Bob Eastwood,2.95,83818,2844000
126,0,06054,Sean Pacetti,2.93,5275,180000
127,0,01766,Billy Mayfair,2.89,191878,6639000
127,0,01864,Larry Nelson,2.89,94930,3282000
129,0,01006,John Adams,2.84,173069,6098000
130,0,01414,Bob Gilder,2.76,170761,6180000
131,0,06090,Jim McGovern,2.75,169888,6188000
132,0,01783,Mark McCumber,2.74,136653,4983000
133,0,02224,Greg Twiggs,2.63,74761,2840000
134,0,01522,Lon Hinkle,2.59,91854,3546000
134,0,01527,Scott Hoch,2.59,84797,3273000
136,0,01060,Dave Barr,2.55,118859,4653000
136,0,01906,Masashi Jumbo Ozaki,2.55,13906,545000
138,0,02131,Mike Springer,2.53,144315,5697000
138,0,02206,David Toms,2.53,148712,5877000
140,0,06128,Steve Lamontagne,2.51,132498,5283000
141,0,01093,Ronnie Black,2.50,129386,5175000
141,0,10457,Frank Nobilo,2.50,7000,280000
143,0,01736,Roger Maltbie,2.47,109741,4442000
144,0,06522,Ernie Els,2.46,18420,748000
145,0,01996,Mike Reid,2.43,121376,5000000
146,0,01550,Ed Humenik,2.39,149337,6237000
147,0,06969,Mike Tschetter,2.35,9712,414000
148,0,01499,Mark Hayes,2.27,50324,2214000
149,0,01408,Kelly Gibson,2.26,137984,6111000
149,0,01493,Mike Harwood,2.26,48269,2139000
149,0,02303,Robert Wrenn,2.26,127729,5643000
152,0,01533,P.H. Horgan III,2.25,123684,5499000
152,0,01559,Hale Irwin,2.25,98208,4371000
154,0,06044,Scott Gump,2.23,148695,6666000
155,0,02167,Mike Sullivan,2.22,115440,5193000
156,0,06034,Marco Dawson,2.19,113464,5175000
156,0,01701,Bob Lohr,2.19,128306,5869000
158,0,01858,Tommy Nakajima,2.16,16951,784000
159,0,08471,Darryl Donovan,2.15,5903,275000
160,0,01846,Jodie Mudd,2.14,88081,4122000
161,0,02095,Larry Silveira,2.13,66697,3132000
162,0,06332,Neal Lancaster,2.11,146867,6967000
163,0,01346,Ed Fiori,2.08,124536,5985000
164,0,01984,Sam Randolph,2.07,49085,2376000
165,0,01469,Dan Halldorson,2.06,119002,5774000
166,0,01284,Mike Donald,2.05,117252,5715000
167,0,01678,Bob Lendzion,2.00,3600,180000
168,0,06284,Jim Hallet,1.97,135063,6867000
169,0,01458,Jerry Haas,1.96,60793,3096000
170,0,06124,Patrick Burke,1.95,101513,5216000
171,0,01569,Peter Jacobsen,1.88,106100,5658000
172,0,01707,Steve Lowery,1.87,22608,1206000
173,0,01725,John Mahaffey,1.85,101512,5491000
173,0,01931,Rick Pearson,1.85,3332,180000
175,0,01572,Mark James,1.84,5162,280000
176,0,01185,Brandel Chamblee,1.82,97921,5378000
176,0,01390,Buddy Gardner,1.82,113394,6219000
178,0,02100,Tim Simpson,1.81,85313,4725000
178,0,02196,Robert Thompson,1.81,9864,545000
180,0,01374,Robin Freeman,1.79,101642,5679000
181,0,01201,Lennie Clements,1.78,30121,1692000
181,0,07571,Uly Grisette,1.78,6580,369000
183,0,01157,Tom Byrum,1.75,94398,5409000
183,0,02185,Lance Ten Broeck,1.75,113617,6494000
185,0,09071,David Gilford,1.72,8847,514000
186,0,01719,Roger MacKay,1.69,12675,748000
187,0,08277,Greg Lesher,1.68,84817,5058000
188,0,01998,Jack Renner,1.67,13511,810000
189,0,01376,Bob Friend,1.65,93337,5661000
190,0,06012,Greg Kraft,1.60,88823,5553000
191,0,06072,Greg Whisman,1.59,83321,5256000
192,0,06040,John Ross,1.58,85540,5427000
192,0,02313,Bruce Zabriski,1.58,86275,5463000
194,0,02033,Dave Rummells,1.56,95202,6102000
195,0,01139,Olin Browne,1.49,84152,5643000
195,0,08537,J.P. Hayes,1.49,72830,4878000
197,0,06527,Steve Stricker,1.47,5550,378000
198,0,01964,Greg Powers,1.45,10473,720000
199,0,01154,Bill Buttner,1.43,6187,432000
200,0,06401,Marty Schiene,1.41,2791,198000
201,0,06751,Chris Tucker,1.40,92536,6597000
202,0,01142,Bart Bryant,1.38,52075,3762000
203,0,01033,George Archer,1.37,3700,270000
204,0,01970,Bob Proben,1.36,2442,180000
205,0,01191,Barry Cheesman,1.34,721,54000
206,0,02076,Peter Senior,1.32,3687,280000
207,0,07327,Steven Richardson,1.31,15737,1203000
208,0,06573,Brandt Jobe,1.29,6340,491000
208,0,01748,Doug Martin,1.29,77204,5967000
210,0,01001,Tommy Aaron,1.27,3440,270000
211,0,01156,Curt Byrum,1.26,31449,2502000
211,0,01214,Frank Conner,1.26,74784,5931000
211,0,10041,Wayne DeFrancesco,1.26,2486,198000
211,0,01266,Clark Dennis,1.26,12935,1026000
211,0,06585,Jerry Foltz,1.26,4994,396000
211,0,08633,Per-Ulrik Johansson,1.26,2265,180000
217,0,02186,Brian Tennyson,1.24,38614,3114000
218,0,01106,Jim Booros,1.23,663,54000
218,0,02257,Brian Watts,1.23,663,54000
220,0,01489,Steve Hart,1.22,69124,5679000
221,0,01560,David Ishii,1.21,2604,216000
221,0,01849,Bill Murchison,1.21,2170,180000
223,0,02311,Kim Young,1.20,55048,4599000
224,0,01835,Tommy Moore,1.17,630,54000
225,0,06142,Mitch Adcock,1.15,58394,5067000
225,0,01040,Emlyn Aubrey,1.15,58086,5067000
225,0,06094,Milan Swilor,1.15,2691,234000
228,0,07201,Kevin Fairfield,1.09,1970,180000
228,0,01815,Johnny Miller,1.09,4312,396000
230,0,02223,Bob Tway,1.08,47632,4411000
231,0,01220,Chris Cookson,1.07,576,54000
231,0,01239,Michael Cunning,1.07,58732,5499000
231,0,01949,Mark Pfeil,1.07,2495,234000
231,0,02008,Lee Rinker,1.07,3000,280000
231,0,02217,Dennis Trixler,1.07,576,54000
231,0,06577,John Wilson,1.07,576,54000
237,0,01495,Morris Hatalsky,1.06,55041,5175000
238,0,10315,Hunt Gilliland,1.04,1504,144000
238,0,02160,Ron Streck,1.04,9917,954000
240,0,01901,Jay Overton,1.03,4755,460000
240,0,08963,Steve Ridge,1.03,558,54000
240,0,02115,Taylor Smith,1.03,2232,216000
243,0,01413,Larry Gilbert,1.02,11700,1144000
244,0,02241,Bobby Wadkins,1.00,30381,3051000
245,0,01943,Chris Perry,.99,53943,5445000
245,0,02292,Bob Wolcott,.99,68358,6890000
247,0,01892,Aki Ohmachi,.98,7384,756000
247,0,06048,Dicky Thompson,.98,47770,4869000
249,0,01981,Ronan Rafferty,.92,11868,1292000
250,0,01648,Billy Kratzert,.90,16438,1836000
251,0,01197,Bobby Clampett,.89,29175,3285000
252,0,02226,Tray Tyner,.86,44152,5117000
253,0,01068,Andy Bean,.85,30798,3627000
254,0,01035,Tommy Armour III,.83,47218,5661000
254,0,02238,Steven Veriato,.83,2325,280000
256,0,07501,Todd Smith,.80,2250,280000
257,0,01978,Fran Quinn,.79,36155,4577000
257,0,02023,Clarence Rose,.79,10488,1323000
259,0,06122,Greg Hickman,.78,38941,4982000
259,0,01944,Harold Perry,.78,2175,280000
261,0,01305,Danny Edwards,.77,10852,1413000
261,0,01869,Jack Nicklaus,.77,14868,1923000
263,0,08583,Ken McDonald,.76,2137,280000
264,0,01168,David Canipe,.75,40894,5463000
264,0,01330,David Feherty,.75,11668,1563000
266,0,02201,Jim Thorpe,.74,28235,3834000
266,0,02215,Paul Trittler,.74,3311,450000
268,0,06150,Carl Cooper,.73,38400,5229000
269,0,01425,Ernie Gonzalez,.68,5485,810000
270,0,01891,David Ogrin,.67,33971,5049000
270,0,02002,John Riegger,.67,33980,5067000
