RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,23800,Bryce Molder,31.2,110,353,+1.09
2,0,28475,Jeff Overton,32.0,103,322,+1.75
3,0,34261,Scott Langley,34.3,91,265,+1.32
4,0,24461,Thomas Aiken,34.4,65,189,E
5,0,30692,Scott Stallings,34.9,124,355,+1.05
6,0,12716,Charley Hoffman,36.1,154,427,+2.21
7,0,21961,Charles Howell III,39.1,202,517,+0.99
8,0,25198,Francesco Molinari,39.4,114,289,+1.05
9,0,46440,Smylie Kaufman,39.5,179,453,+0.17
9,0,02206,David Toms,39.5,94,238,+1.06
11,0,34174,John Huh,39.6,134,338,+1.94
12,0,25818,Scott Piercy,39.8,140,352,+1.29
13,0,28092,D.H. Lee,40.2,99,246,+3.33
13,0,10213,Dicky Pride,40.2,74,184,+1.76
15,0,40026,Daniel Berger,40.4,173,428,+1.33
15,0,36801,Mark Hubbard,40.4,164,406,+1.52
17,0,29974,Branden Grace,40.5,105,259,+0.86
17,0,37454,Whee Kim,40.5,135,333,+1.93
17,0,34360,Patrick Reed,40.5,192,474,+1.20
20,0,22371,Aaron Baddeley,40.6,176,433,+0.97
21,0,24357,K.J. Choi,40.7,129,317,+1.40
22,0,27747,Hiroshi Iwata,40.9,156,381,+2.12
23,0,26300,Matt Jones,41.0,151,368,+1.79
23,0,21878,Mark Wilson,41.0,105,256,+2.10
25,0,29518,Brendan Steele,41.2,150,364,+2.07
26,0,24490,George McNeill,41.7,103,247,+2.82
27,0,26289,Boo Weekley,41.9,130,310,+1.62
28,0,23320,Ryan Palmer,42.0,185,441,+0.43
29,0,06522,Ernie Els,42.1,147,349,+1.29
30,0,35879,Kelly Kraft,42.2,100,237,+2.20
30,0,27942,Rob Oppenheim,42.2,130,308,+2.54
32,0,37273,Derek Ernst,42.6,98,230,+2.14
33,0,35891,Cameron Smith,42.9,112,261,+1.96
34,0,29268,Bronson Burgoon,43.2,168,389,+1.61
35,0,28679,Fabián Gómez,43.3,166,383,+2.65
36,0,32200,Roberto Castro,43.8,161,368,+1.55
36,0,36699,Patrick Rodgers,43.8,175,400,+1.49
38,0,37455,Si Woo Kim,44.3,227,512,+1.50
39,0,29745,Tyler Aldridge,44.4,175,394,+1.94
39,0,34466,Peter Malnati,44.4,176,396,+2.56
39,0,22405,Justin Rose,44.4,120,270,+1.00
42,0,32618,Rhein Gibson,44.6,128,287,+2.03
42,0,30925,Dustin Johnson,44.6,162,363,+0.68
44,0,20098,Stuart Appleby,44.7,153,342,+0.59
45,0,27436,Graham DeLaet,44.8,142,317,+1.13
46,0,10809,Jim Furyk,45.0,81,180,+2.59
46,0,26758,David Hearn,45.0,170,378,+2.18
46,0,25892,Steve Wheatcroft,45.0,163,362,+1.60
49,0,27895,Jonas Blixt,45.2,174,385,+2.24
49,0,24924,Bill Haas,45.2,149,330,+1.14
49,0,28237,Rory McIlroy,45.2,112,248,+0.09
49,0,25493,Nick Taylor,45.2,170,376,+2.24
53,0,25720,Chad Collins,45.4,173,381,+1.50
53,0,26331,Charl Schwartzel,45.4,148,326,+1.08
53,0,37189,Harold Varner III,45.4,199,438,+1.96
56,0,26851,Marc Leishman,45.6,162,355,+1.67
57,0,25632,Jimmy Walker,45.7,223,488,+0.94
58,0,32757,Patton Kizzire,45.8,201,439,+0.85
58,0,27936,Martin Laird,45.8,194,424,+1.49
58,0,35732,Wes Roach,45.8,109,238,+3.12
58,0,30110,Kyle Stanley,45.8,176,384,+1.65
62,0,33410,Andrew Landry,45.9,68,148,+3.09
63,0,25572,Graeme McDowell,46.0,92,200,+2.07
64,0,29725,Tony Finau,46.1,228,495,+1.18
64,0,22046,Geoff Ogilvy,46.1,124,269,+0.73
66,0,34098,Russell Henley,46.2,160,346,+1.88
67,0,30926,Chris Kirk,46.3,175,378,+0.63
67,0,35300,Andrew Loupe,46.3,217,469,+1.06
69,0,24846,Ricky Barnes,46.4,224,483,+1.16
69,0,24140,Sean O'Hair,46.4,209,450,+1.39
71,0,28158,Steve Marino,46.5,145,312,+2.62
72,0,29476,Kyle Reifers,46.6,214,459,+1.54
73,0,40058,Zac Blair,46.7,156,334,+1.28
73,0,30711,Colt Knost,46.7,122,261,+1.48
73,0,31202,William McGirt,46.7,193,413,+0.78
76,0,34046,Jordan Spieth,46.8,154,329,+0.39
77,0,32366,Kevin Chappell,46.9,198,422,+0.86
77,0,32839,Hideki Matsuyama,46.9,142,303,+0.56
79,0,27770,Camilo Villegas,47.1,220,467,+3.00
80,0,24358,Robert Garrigus,47.2,158,335,+1.08
81,0,27129,Luke List,47.4,200,422,+0.75
82,0,20645,John Senden,47.6,204,429,+1.13
83,0,20104,Ken Duke,47.8,119,249,+1.43
83,0,35532,Tom Hoge,47.8,186,389,+2.53
83,0,32640,Troy Merritt,47.8,174,364,+1.78
86,0,20691,Greg Owen,48.1,185,385,+2.00
86,0,27064,Jhonattan Vegas,48.1,224,466,+0.76
88,0,25686,Jason Dufner,48.2,201,417,+0.95
89,0,23108,Matt Kuchar,48.3,174,360,+1.67
89,0,26596,Ryan Moore,48.3,143,296,+1.54
