RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,31560,Brian Stuard,1.07,9,840,+0.78
2,0,45526,Abraham Ancer,1.13,6,531,+1.33
3,0,10809,Jim Furyk,1.30,8,615,+1.00
4,0,24461,Thomas Aiken,1.50,10,667,+0.20
5,0,20572,Rod Pampling,1.55,8,516,+1.00
6,0,40058,Zac Blair,1.59,18,1129,+0.17
7,0,37454,Whee Kim,1.66,15,901,+0.73
8,0,30711,Colt Knost,1.82,18,990,+0.61
9,0,31202,William McGirt,1.88,23,1226,+0.30
10,0,25572,Graeme McDowell,1.90,12,630,+1.08
11,0,08075,Jerry Kelly,1.92,16,833,+0.69
11,0,29926,Danny Lee,1.92,19,990,+0.58
13,0,26476,Chez Reavie,1.98,21,1059,+0.57
14,0,31557,Jim Herman,2.12,21,991,+0.86
15,0,29222,Billy Hurley III,2.19,18,822,+0.83
16,0,32839,Hideki Matsuyama,2.22,18,809,-0.06
17,0,12510,Chad Campbell,2.25,25,1113,+0.44
17,0,20104,Ken Duke,2.25,15,667,+0.67
17,0,02206,David Toms,2.25,17,754,+0.35
20,0,34174,John Huh,2.38,26,1094,+0.77
21,0,25198,Francesco Molinari,2.40,19,792,+0.74
21,0,25396,Kevin Na,2.40,23,960,+0.26
23,0,23541,Ben Crane,2.41,22,914,+0.55
23,0,23621,Rory Sabbatini,2.41,13,539,+1.00
23,0,06527,Steve Stricker,2.41,15,622,+0.67
26,0,33413,Ben Martin,2.42,27,1118,+0.74
26,0,29485,Brett Stegmaier,2.42,25,1034,+0.60
28,0,35545,Blayne Barber,2.43,25,1029,+0.84
29,0,23353,J.J. Henry,2.46,21,855,+0.81
29,0,10213,Dicky Pride,2.46,14,570,+0.43
31,0,33204,Shane Lowry,2.52,13,515,+0.46
32,0,33122,Russell Knox,2.53,23,909,+0.39
33,0,33410,Andrew Landry,2.60,12,462,+0.92
33,0,29221,Webb Simpson,2.60,21,809,+0.86
35,0,27466,Spencer Levin,2.62,30,1146,+0.57
36,0,35451,Scott Pinckney,2.64,26,985,+0.38
37,0,22892,Jason Gore,2.65,22,830,+1.00
38,0,32200,Roberto Castro,2.68,33,1230,+0.36
39,0,23108,Matt Kuchar,2.71,29,1070,+0.41
