RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,01553,John Huston,155
2,0,09011,David Duval,243
3,0,01706,Davis Love III,254
4,0,01226,Fred Couples,307
5,0,02239,Scott Verplank,308
6,0,10809,Jim Furyk,315
7,0,02170,Hal Sutton,321
8,0,01619,Skip Kendall,339
9,0,02223,Bob Tway,343
10,0,01599,Steve Jones,353
11,0,01185,Brandel Chamblee,368
12,0,06527,Steve Stricker,376
13,0,07457,Steve Flesch,382
14,0,08793,Tiger Woods,388
15,0,01577,Lee Janzen,391
16,0,01042,Paul Azinger,393
16,0,08931,Glen Day,393
18,0,01161,Mark Calcavecchia,401
19,0,01361,Dan Forsman,403
20,0,20229,Stewart Cink,410
21,0,01766,Billy Mayfair,416
22,0,19881,Robert Damron,420
23,0,02214,Kirk Triplett,425
24,0,01527,Scott Hoch,446
25,0,01035,Tommy Armour III,461
26,0,06621,Joe Durant,470
26,0,10860,Justin Leonard,470
28,0,01063,Ben Bates,485
28,0,01724,Jeff Maggert,485
30,0,01943,Chris Perry,490
31,0,06567,Vijay Singh,491
32,0,01320,Bob Estes,493
33,0,01823,Larry Mize,501
34,0,01945,Kenny Perry,511
35,0,08375,Paul Stankowski,522
36,0,01941,Tom Pernice Jr.,524
37,0,06004,Stephen Ames,525
38,0,01723,Andrew Magee,531
39,0,01968,Nick Price,538
40,0,02146,Payne Stewart,554
41,0,02133,Craig Stadler,556
42,0,01249,John Daly,561
42,0,01266,Clark Dennis,561
44,0,01381,Fred Funk,567
44,0,06012,Greg Kraft,567
46,0,01810,Phil Mickelson,576
47,0,01797,Rocco Mediate,578
48,0,12782,Tim Herron,582
49,0,01926,Steve Pate,587
50,0,10585,Scott McCarron,589
51,0,02246,Duffy Waldorf,590
52,0,06575,Dudley Hart,592
53,0,02206,David Toms,593
54,0,12645,Brent Geiberger,601
55,0,06522,Ernie Els,608
56,0,01677,Tom Lehman,609
57,0,01203,Russ Cochran,612
58,0,21805,Harrison Frazar,614
59,0,02010,Loren Roberts,619
60,0,11032,Frank Lickliter II,620
61,0,02321,Fuzzy Zoeller,632
62,0,01887,Mark O'Meara,633
63,0,01891,David Ogrin,637
64,0,06643,Paul Goydos,645
65,0,01569,Peter Jacobsen,648
66,0,07749,Brett Quigley,654
67,0,02104,Jeff Sluman,655
68,0,07101,Dave Stockton Jr.,663
69,0,01920,Craig Parry,664
70,0,02101,Joey Sindelar,665
71,0,01771,Blaine McCallister,670
72,0,01175,Jim Carter,671
73,0,01761,Len Mattiace,673
74,0,06595,Kevin Sutherland,675
74,0,06078,Esteban Toledo,675
76,0,01457,Jay Haas,677
77,0,06617,Brian Henninger,679
78,0,02218,Ted Tryba,680
79,0,01408,Kelly Gibson,685
80,0,06251,Chris DiMarco,693
81,0,01331,Rick Fehr,694
82,0,01261,Jay Delsing,696
83,0,01098,Jay Don Blake,697
83,0,01905,Joe Ozaki,697
85,0,20099,Doug Barron,699
86,0,01334,Keith Fergus,710
87,0,20094,Jonathan Kaye,715
88,0,12660,Jesper Parnevik,721
89,0,20098,Stuart Appleby,724
89,0,01468,Gary Hallberg,724
89,0,08385,Omar Uresti,724
92,0,08993,Franklin Langham,725
93,0,08537,J.P. Hayes,728
94,0,01219,John Cook,733
95,0,02159,Curtis Strange,736
96,0,01191,Barry Cheesman,739
97,0,01533,P.H. Horgan III,740
97,0,01685,J.L. Lewis,740
99,0,02007,Larry Rinker,746
100,0,01510,Nolan Henke,749
101,0,06332,Neal Lancaster,757
102,0,06613,Tommy Tolles,758
103,0,02279,Mark Wiebe,761
104,0,02245,Grant Waite,762
105,0,01024,Billy Andrade,763
106,0,10962,Bradley Hughes,765
107,0,01707,Steve Lowery,768
108,0,08553,Lee Porter,771
109,0,01282,Trevor Dodds,775
110,0,02023,Clarence Rose,778
111,0,06090,Jim McGovern,787
112,0,01376,Bob Friend,809
113,0,01353,Bruce Fleisher,810
114,0,02131,Mike Springer,812
115,0,01302,R.W. Eaks,816
116,0,02267,D.A. Weibring,821
117,0,01475,Donnie Hammond,823
118,0,01705,Tim Loustalot,824
119,0,07569,Mark Carnevale,830
120,0,06581,David Sutherland,834
121,0,02002,John Riegger,839
122,0,01748,Doug Martin,841
123,0,01157,Tom Byrum,847
124,0,06044,Scott Gump,851
125,0,01323,Brad Fabel,854
126,0,10423,Mike Weir,855
127,0,01139,Olin Browne,858
128,0,02008,Lee Rinker,860
129,0,01329,Brad Faxon,864
130,0,02106,Chris Smith,875
131,0,19824,Craig Barlow,880
131,0,21584,Richie Coughlan,880
133,0,02294,Willie Wood,890
134,0,01132,Mark Brooks,891
135,0,10457,Frank Nobilo,936
136,0,01116,Michael Bradley,938
137,0,07753,Kevin Wentworth,941
138,0,08075,Jerry Kelly,947
