RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,21660,Jason Schultz,24.62,65,16
2,0,12660,Jesper Parnevik,22.69,119,27
3,0,06643,Paul Goydos,20.00,60,12
3,0,21731,Freddie Jacobson,20.00,85,17
5,0,08931,Glen Day,19.80,101,20
6,0,01810,Phil Mickelson,19.12,68,13
7,0,24449,Parker McLachlin,18.57,70,13
8,0,20127,Chris Riley,18.33,60,11
9,0,23621,Rory Sabbatini,18.18,77,14
10,0,06034,Marco Dawson,17.65,85,15
11,0,01928,Corey Pavin,17.58,91,16
12,0,24925,Jonathan Byrd,17.57,74,13
13,0,24457,Jaco Van Zyl,17.50,40,7
14,0,25345,Carl Pettersson,17.24,116,20
15,0,06373,José María Olazábal,16.67,42,7
16,0,21350,Ryuji Imada,16.33,98,16
17,0,10809,Jim Furyk,16.30,92,15
17,0,26596,Ryan Moore,16.30,92,15
19,0,01035,Tommy Armour III,16.28,86,14
19,0,23614,Rich Beem,16.28,86,14
21,0,27770,Camilo Villegas,16.09,87,14
22,0,01707,Steve Lowery,16.05,81,13
23,0,21753,Brian Davis,15.84,101,16
24,0,08793,Tiger Woods,15.79,57,9
25,0,23325,Vaughn Taylor,15.63,96,15
26,0,25686,Jason Dufner,15.57,122,19
27,0,12510,Chad Campbell,15.24,105,16
28,0,20766,Padraig Harrington,15.22,46,7
29,0,01313,Steve Elkington,15.15,99,15
29,0,01473,Todd Hamilton,15.15,66,10
31,0,24140,Sean O'Hair,15.09,106,16
32,0,23613,Rich Barcelo,15.07,73,11
32,0,22046,Geoff Ogilvy,15.07,73,11
34,0,06621,Joe Durant,14.88,121,18
35,0,21633,Steve Allan,14.86,74,11
36,0,20472,Alex Cejka,14.85,101,15
37,0,01724,Jeff Maggert,14.81,108,16
38,0,23788,D.J. Trahan,14.75,122,18
39,0,06515,Shaun Micheel,14.68,109,16
40,0,25190,Jeff Quinney,14.66,116,17
41,0,10213,Dicky Pride,14.61,89,13
42,0,07547,Craig Kanada,14.41,118,17
43,0,19803,Ryan Armour,14.29,147,21
43,0,25900,Lucas Glover,14.29,105,15
