RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,5,02170,Hal Sutton,12,5,7
2,6,01385,Jim Gallagher Jr.,13,11,2
3,8,01837,Gil Morgan,16,6,10
4,8,01042,Paul Azinger,17,4,13
5,5,01876,Greg Norman,18,1,17
6,3,01690,Bruce Lietzke,20,19,1
7,9,01035,Tommy Armour III,24,13,11
8,6,01945,Kenny Perry,27,2,25
8,13,02100,Tim Simpson,27,15,12
10,16,01725,John Mahaffey,32,28,4
10,9,02133,Craig Stadler,32,3,29
12,8,02033,Dave Rummells,33,26,7
13,9,01418,Bill Glasson,37,17,20
14,15,02321,Fuzzy Zoeller,45,23,22
15,12,02146,Payne Stewart,47,12,35
16,20,01143,Brad Bryant,48,17,31
16,14,02118,J.C. Snead,48,43,5
18,17,01133,Billy Ray Brown,51,24,27
19,23,02067,Ted Schulz,53,32,21
20,24,01797,Rocco Mediate,55,41,14
21,10,01098,Jay Don Blake,57,19,38
21,10,01771,Blaine McCallister,57,10,47
23,28,01783,Mark McCumber,60,46,14
24,19,01060,Dave Barr,61,58,3
24,30,01510,Nolan Henke,61,43,18
24,15,01569,Peter Jacobsen,61,8,53
24,17,01975,Tom Purtzer,61,24,37
28,10,01926,Steve Pate,62,13,49
29,21,01161,Mark Calcavecchia,66,21,45
29,16,01226,Fred Couples,66,16,50
31,15,01014,Fulton Allem,67,9,58
32,28,01682,Wayne Levi,69,60,9
32,17,01958,Dan Pohl,69,7,62
34,24,02190,Doug Tewell,75,36,39
35,24,06284,Jim Hallet,77,54,23
36,27,01527,Scott Hoch,78,32,46
36,17,01549,Mike Hulbert,78,36,42
36,25,01633,Tom Kite,78,49,29
39,22,02246,Duffy Waldorf,86,31,55
40,31,02225,Howard Twitty,100,57,43
41,25,01938,David Peoples,101,77,24
42,23,01151,Clark Burroughs,104,72,32
43,24,01706,Davis Love III,108,36,72
44,28,02279,Mark Wiebe,109,42,67
45,32,01723,Andrew Magee,110,29,81
45,27,02101,Joey Sindelar,110,56,54
47,34,02159,Curtis Strange,111,59,52
48,45,01049,Ian Baker-Finch,112,50,62
48,31,01313,Steve Elkington,112,73,39
48,22,01968,Nick Price,112,29,83
51,48,01282,Trevor Dodds,115,87,28
52,23,02049,Gene Sauers,118,27,91
52,27,02303,Robert Wrenn,118,43,75
54,28,01941,Tom Pernice Jr.,120,87,33
55,34,01475,Donnie Hammond,125,60,65
55,38,01846,Jodie Mudd,125,54,71
57,38,02322,Richard Zokol,128,78,50
58,26,02087,Don Shirey Jr.,130,124,6
59,45,01006,John Adams,131,71,60
60,30,01203,Russ Cochran,132,46,86
60,23,01766,Billy Mayfair,132,22,110
60,47,02186,Brian Tennyson,132,66,66
63,28,01864,Larry Nelson,135,32,103
64,46,01390,Buddy Gardner,136,69,67
65,46,01201,Lennie Clements,138,122,16
66,33,02185,Lance Ten Broeck,139,120,19
67,38,01444,Ken Green,140,50,90
67,50,01559,Hale Irwin,140,104,36
69,23,02241,Bobby Wadkins,142,78,64
70,48,01435,Wayne Grady,148,87,61
70,27,01777,John McComish,148,40,108
72,27,01200,Keith Clearwater,149,70,79
73,38,01639,Kenny Knox,151,50,101
74,33,01468,Gary Hallberg,152,60,92
74,21,01599,Steve Jones,152,32,120
76,35,01884,Mac O'Grady,155,112,43
77,50,01306,David Edwards,156,82,74
78,50,01522,Lon Hinkle,160,84,76
79,37,02195,Leonard Thompson,162,66,96
80,34,01175,Jim Carter,163,36,127
81,28,01068,Andy Bean,168,50,118
81,43,01072,Chip Beck,168,66,102
83,37,01469,Dan Halldorson,171,87,84
84,53,02242,Lanny Wadkins,173,125,48
85,51,02148,Ray Stewart,176,117,59
86,36,01156,Curt Byrum,177,110,67
86,49,01346,Ed Fiori,177,99,78
88,37,02223,Bob Tway,180,74,106
89,107,01564,David Jackson,183,97,86
90,53,01326,Nick Faldo,187,46,141
91,46,01378,David Frost,188,65,123
91,70,01877,Tim Norris,188,107,81
93,39,01499,Mark Hayes,191,118,73
93,107,02010,Loren Roberts,191,134,57
