RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,39997,Corey Conners,32' 6",40129.750,1234,1 Under
2,0,26476,Chez Reavie,33' 0",41287.750,1252,1 Under
3,0,10809,Jim Furyk,33' 1",33628.417,1017,1 Under
4,0,19803,Ryan Armour,33' 3",44606.500,1340,1 Under
4,0,25686,Jason Dufner,33' 3",33799.917,1017,Under
4,0,23325,Vaughn Taylor,33' 3",48500.083,1459,1 Under
7,0,33122,Russell Knox,33' 5",35225.167,1055,1 Under
8,0,34563,Chesson Hadley,33' 7",35827.833,1068,Under
9,0,40115,Adam Svensson,33' 8",33080.083,983,1 Under
10,0,33141,Keegan Bradley,34' 0",40658.667,1196,Under
10,0,45486,Joaquin Niemann,34' 0",48576.917,1429,1 Under
10,0,26329,Louis Oosthuizen,34' 0",29090.250,855,Under
13,0,28775,Nate Lashley,34' 2",33602.917,984,1 Under
14,0,31560,Brian Stuard,34' 3",47183.000,1379,1 Under
15,0,46402,Talor Gooch,34' 4",29324.333,855,1 Under
15,0,12716,Charley Hoffman,34' 4",28631.083,833,Under
17,0,25364,Paul Casey,34' 5",33851.917,984,1 Under
17,0,33399,Adam Hadwin,34' 5",37812.167,1098,1 Under
17,0,32839,Hideki Matsuyama,34' 5",44956.500,1305,1 Under
17,0,27330,Josh Teater,34' 5",32680.750,949,1 Under
21,0,25900,Lucas Glover,34' 6",49959.417,1448,1 Under
21,0,34098,Russell Henley,34' 6",37678.333,1092,1 Under
21,0,30786,Brady Schnell,34' 6",24070.750,697,Under
24,0,45526,Abraham Ancer,34' 7",44001.500,1272,1 Under
24,0,36689,Brooks Koepka,34' 7",35579.250,1029,1 Under
24,0,33410,Andrew Landry,34' 7",39951.417,1156,1 Under
24,0,32640,Troy Merritt,34' 7",34485.333,998,1 Under
24,0,30110,Kyle Stanley,34' 7",34006.917,983,Under
29,0,29268,Bronson Burgoon,34' 8",28941.083,835,Under
29,0,32200,Roberto Castro,34' 8",38462.583,1109,1 Under
29,0,28237,Rory McIlroy,34' 8",35297.917,1018,2 Under
32,0,31646,Emiliano Grillo,34' 9",34187.750,984,Under
32,0,30946,Alex Prugh,34' 9",35363.250,1017,Under
34,0,20472,Alex Cejka,34' 10",24855.667,714,Over
35,0,35532,Tom Hoge,34' 11",44726.167,1281,Under
35,0,26596,Ryan Moore,34' 11",39154.333,1122,1 Under
35,0,27214,Kevin Streelman,34' 11",42941.083,1231,1 Under
35,0,33448,Justin Thomas,34' 11",34844.000,997,1 Under
39,0,45609,Tyler Duncan,35' 0",40553.917,1159,Under
39,0,33418,Shawn Stefani,35' 0",38687.833,1105,1 Under
39,0,27095,Nick Watney,35' 0",43026.667,1229,1 Under
42,0,24024,Zach Johnson,35' 1",33179.250,946,Under
42,0,35449,Adam Long,35' 1",42370.000,1209,Under
42,0,31323,Gary Woodland,35' 1",40548.167,1155,1 Under
45,0,46435,Austin Cook,35' 2",33190.000,943,Under
45,0,34076,Joel Dahmen,35' 2",47644.583,1355,Under
45,0,34363,Tyrrell Hatton,35' 2",26313.583,748,Under
45,0,22405,Justin Rose,35' 2",30320.917,862,1 Under
49,0,33486,Roger Sloan,35' 3",44045.667,1249,1 Under
50,0,37454,Whee Kim,35' 5",29522.917,834,Over
50,0,30944,Jason Kokrak,35' 5",47415.667,1338,1 Under
50,0,24502,Adam Scott,35' 5",27896.000,788,1 Under
50,0,49960,Sepp Straka,35' 5",36794.083,1038,1 Under
54,0,35450,Patrick Cantlay,35' 6",36125.083,1018,1 Under
54,0,29478,Kevin Kisner,35' 6",45070.917,1269,1 Under
54,0,23108,Matt Kuchar,35' 6",41881.667,1180,1 Under
54,0,26851,Marc Leishman,35' 6",36056.583,1016,1 Under
54,0,25818,Scott Piercy,35' 6",44307.167,1249,1 Under
59,0,40098,Matt Fitzpatrick,35' 7",23536.833,662,Under
59,0,31557,Jim Herman,35' 7",24187.833,679,Under
59,0,39327,Ben Silverman,35' 7",35354.500,994,Under
59,0,29518,Brendan Steele,35' 7",32413.583,911,Under
63,0,21209,Sergio Garcia,35' 8",24093.583,676,Under
63,0,39977,Max Homa,35' 8",44033.500,1234,Under
63,0,49766,Hank Lebioda,35' 8",37022.000,1038,1 Under
63,0,27556,Ted Potter Jr.,35' 8",38116.750,1069,Under
63,0,29221,Webb Simpson,35' 8",43850.917,1230,1 Under
63,0,37189,Harold Varner III,35' 8",47170.083,1324,1 Under
69,0,32102,Rickie Fowler,35' 9",39977.000,1117,1 Under
69,0,26758,David Hearn,35' 9",21781.500,609,Under
69,0,23320,Ryan Palmer,35' 9",32523.500,909,1 Under
69,0,37340,Chase Wright,35' 9",36477.000,1020,1 Under
73,0,45157,Cam Davis,35' 11",36588.000,1018,1 Under
74,0,29926,Danny Lee,36' 0",46006.667,1278,Under
74,0,24138,Ian Poulter,36' 0",28208.000,784,1 Under
74,0,35732,Wes Roach,36' 0",31429.583,873,1 Under
74,0,30692,Scott Stallings,36' 0",43765.000,1216,Under
74,0,32139,Danny Willett,36' 0",31988.500,889,Under
79,0,27644,Brian Harman,36' 1",45589.667,1262,1 Under
79,0,34261,Scott Langley,36' 1",41340.583,1147,Over
79,0,46970,Jon Rahm,36' 1",34109.667,946,1 Under
79,0,37275,Sam Ryder,36' 1",38601.083,1070,1 Under
79,0,35891,Cameron Smith,36' 1",34051.250,943,Under
84,0,30925,Dustin Johnson,36' 2",36082.750,997,1 Under
84,0,25198,Francesco Molinari,36' 2",27031.167,748,Under
84,0,49771,J.T. Poston,36' 2",56717.417,1568,1 Under
84,0,29223,Sam Saunders,36' 2",43188.583,1195,Under
88,0,35421,Brandon Harkins,36' 3",44455.083,1227,Under
88,0,01810,Phil Mickelson,36' 3",32081.000,884,Under
90,0,49303,Anders Albertson,36' 4",33949.583,934,Under
90,0,49298,Kramer Hickok,36' 4",38127.667,1050,Under
90,0,47990,Kyle Jones,36' 4",35219.500,969,Under
90,0,32150,Michael Thompson,36' 4",42106.333,1158,1 Under
94,0,27895,Jonas Blixt,36' 5",41655.167,1145,Under
94,0,34021,Bud Cauley,36' 5",48110.000,1322,1 Under
94,0,30911,Tommy Fleetwood,36' 5",32300.500,886,1 Under
94,0,28679,Fabián Gómez,36' 5",31330.917,860,Under
94,0,31420,Anirban Lahiri,36' 5",38136.917,1047,Under
99,0,29725,Tony Finau,36' 6",42033.083,1152,1 Under
99,0,19846,Brian Gay,36' 6",46914.417,1285,Under
101,0,33948,Byeong Hun An,36' 7",39719.500,1085,1 Under
101,0,47959,Bryson DeChambeau,36' 7",43104.167,1178,1 Under
101,0,29535,Brice Garnett,36' 7",42512.167,1161,1 Under
101,0,34466,Peter Malnati,36' 7",49774.250,1362,1 Under
101,0,29908,C.T. Pan,36' 7",39255.250,1074,Under
101,0,47128,Richy Werenski,36' 7",47654.917,1303,1 Under
107,0,29479,Scott Brown,36' 8",44544.083,1215,Under
108,0,28089,Jason Day,36' 9",30821.750,838,1 Under
108,0,39954,Cody Gribble,36' 9",37867.167,1030,Over
108,0,34256,Andrew Putnam,36' 9",36809.333,1001,1 Under
108,0,34431,Robert Streb,36' 9",39433.833,1072,Under
108,0,34264,Hudson Swafford,36' 9",30801.917,839,Under
108,0,33419,Cameron Tringale,36' 9",33499.417,911,1 Under
108,0,27064,Jhonattan Vegas,36' 9",39855.917,1084,1 Under
115,0,32791,K.H. Lee,36' 10",40967.667,1111,Under
115,0,46601,Trey Mullinax,36' 10",41369.083,1122,Under
115,0,24361,Pat Perez,36' 10",26930.000,731,Under
115,0,23621,Rory Sabbatini,36' 10",49880.167,1355,1 Under
119,0,24925,Jonathan Byrd,36' 11",23749.333,644,Under
119,0,27141,J.B. Holmes,36' 11",31624.833,856,Under
119,0,29420,Billy Horschel,36' 11",45544.500,1235,1 Under
119,0,27936,Martin Laird,36' 11",48149.250,1304,1 Under
119,0,48822,Sebastián Muñoz,36' 11",42218.000,1144,1 Under
119,0,47347,Adam Schenk,36' 11",54190.583,1467,1 Under
125,0,21528,Henrik Stenson,37' 0",27927.250,755,Under
126,0,23353,J.J. Henry,37' 1",27222.333,734,Over
126,0,27974,Sung Kang,37' 1",46245.333,1246,Under
126,0,32757,Patton Kizzire,37' 1",35059.583,945,Under
126,0,33667,Carlos Ortiz,37' 1",47610.417,1284,1 Under
126,0,25632,Jimmy Walker,37' 1",37950.750,1023,Under
131,0,40026,Daniel Berger,37' 2",38971.667,1049,Under
