RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.401,0.816,1.269,0.316,62
2,0,48081,Xander Schauffele,1.431,0.557,0.678,0.195,69
3,0,32839,Hideki Matsuyama,1.386,0.306,0.499,0.580,64
4,0,29725,Tony Finau,1.330,0.161,0.808,0.360,71
5,0,33448,Justin Thomas,1.240,0.135,0.639,0.466,60
6,0,28237,Rory McIlroy,1.239,0.730,0.260,0.248,62
7,0,48117,Kurt Kitayama,1.171,0.446,0.608,0.118,70
8,0,39546,Keith Mitchell,1.152,0.615,0.531,0.006,76
9,0,46414,Aaron Rai,1.131,0.303,0.676,0.152,75
10,0,39997,Corey Conners,1.130,0.411,0.776,-0.057,78
11,0,50525,Collin Morikawa,1.082,0.417,0.292,0.374,69
12,0,52375,Doug Ghim,1.062,0.413,0.659,-0.011,79
13,0,58168,Davis Thompson,1.018,0.280,0.306,0.432,80
14,0,37455,Si Woo Kim,0.980,0.280,0.506,0.193,78
15,0,52955,Ludvig Ãberg,0.929,0.502,0.434,-0.008,66
16,0,34587,Chan Kim,0.920,0.242,0.354,0.323,71
17,0,25900,Lucas Glover,0.861,-0.017,0.710,0.168,77
18,0,27064,Jhonattan Vegas,0.846,0.611,0.433,-0.198,61
19,0,27349,Alex Noren,0.798,0.118,0.286,0.394,60
20,0,51997,Andrew Novak,0.789,0.159,0.430,0.200,77
21,0,59143,Mac Meissner,0.762,0.184,0.405,0.172,65
22,0,33204,Shane Lowry,0.733,0.234,0.531,-0.033,61
23,0,40026,Daniel Berger,0.691,0.385,0.218,0.087,60
24,0,34255,Joseph Bramlett,0.688,0.355,0.103,0.230,72
25,0,51634,Sahith Theegala,0.687,0.350,0.272,0.064,85
26,0,46442,Maverick McNealy,0.685,0.391,-0.080,0.374,79
27,0,51696,Rico Hoey,0.677,0.586,0.155,-0.064,67
28,0,50095,Austin Smotherman,0.665,0.236,0.456,-0.027,38
29,0,39971,Sungjae Im,0.662,0.344,0.054,0.264,79
30,0,34098,Russell Henley,0.646,0.014,0.343,0.289,64
31,0,30163,Henrik Norlander,0.626,0.034,0.571,0.021,49
32,0,45242,Kevin Yu,0.624,0.539,0.319,-0.233,66
33,0,34076,Joel Dahmen,0.620,0.278,0.486,-0.144,73
34,0,30911,Tommy Fleetwood,0.618,0.302,0.099,0.218,64
35,0,26596,Ryan Moore,0.593,-0.048,0.427,0.214,64
36,0,37378,Min Woo Lee,0.588,0.690,-0.213,0.111,59
37,0,51890,Greyson Sigg,0.581,-0.066,0.414,0.234,66
38,0,33948,Byeong Hun An,0.579,0.404,0.181,-0.006,66
39,0,51766,Wyndham Clark,0.556,0.420,0.075,0.061,62
40,0,40115,Adam Svensson,0.547,0.059,0.344,0.145,100
41,0,24502,Adam Scott,0.540,0.321,0.114,0.104,62
42,0,30926,Chris Kirk,0.532,0.266,0.155,0.110,67
43,0,47504,Sam Burns,0.507,0.265,0.173,0.069,66
44,0,27644,Brian Harman,0.497,0.083,0.322,0.092,79
45,0,29908,C.T. Pan,0.496,-0.023,0.159,0.360,57
45,0,57366,Cameron Young,0.496,0.375,0.116,0.005,72
47,0,34021,Bud Cauley,0.488,0.176,0.161,0.150,51
48,0,33141,Keegan Bradley,0.482,0.173,0.301,0.008,71
49,0,54591,Ben Griffin,0.478,-0.120,0.327,0.271,91
50,0,57362,Austin Eckroat,0.473,0.333,0.395,-0.243,78
51,0,32757,Patton Kizzire,0.455,-0.062,0.458,0.059,53
52,0,55182,Tom Kim,0.452,0.132,0.263,0.057,72
53,0,46717,Viktor Hovland,0.451,0.507,0.458,-0.514,52
54,0,35532,Tom Hoge,0.446,-0.062,0.754,-0.247,91
55,0,35450,Patrick Cantlay,0.430,0.187,0.024,0.218,55
56,0,39324,J.J. Spaun,0.424,-0.016,0.469,-0.029,73
57,0,52215,Robert MacIntyre,0.404,0.288,-0.051,0.166,63
58,0,56630,Akshay Bhatia,0.403,0.188,0.264,-0.048,79
58,0,54576,Patrick Fishburn,0.403,0.616,-0.083,-0.130,56
60,0,57975,Harry Hall,0.392,-0.181,0.167,0.406,71
61,0,36799,Stephan Jaeger,0.382,0.309,-0.086,0.159,73
62,0,12716,Charley Hoffman,0.357,0.135,0.170,0.052,61
63,0,47679,Victor Perez,0.356,0.084,0.305,-0.033,61
64,0,32367,Jorge Campillo,0.352,-0.096,0.157,0.290,42
65,0,28252,Seamus Power,0.336,0.059,0.238,0.039,89
66,0,60067,Joe Highsmith,0.294,0.066,0.061,0.167,58
67,0,29420,Billy Horschel,0.289,0.146,0.007,0.136,67
68,0,40250,Taylor Pendrith,0.288,0.149,0.186,-0.047,71
69,0,36801,Mark Hubbard,0.280,0.054,0.249,-0.024,88
70,0,29535,Brice Garnett,0.275,-0.173,0.185,0.263,43
71,0,34046,Jordan Spieth,0.271,0.500,-0.204,-0.024,63
72,0,48887,Matt Wallace,0.248,-0.246,0.225,0.268,58
73,0,55893,Sam Stevens,0.235,0.433,-0.296,0.098,80
74,0,49771,J.T. Poston,0.234,-0.011,0.012,0.233,77
75,0,49960,Sepp Straka,0.223,0.253,0.303,-0.333,66
76,0,51287,Ryo Hisatsune,0.206,0.041,0.181,-0.016,70
77,0,47483,Will Zalatoris,0.197,0.128,0.197,-0.127,59
78,0,28775,Nate Lashley,0.188,-0.243,0.212,0.219,62
79,0,45522,Christiaan Bezuidenhout,0.181,-0.233,0.237,0.177,72
80,0,50484,Hayden Springer,0.180,0.269,-0.119,0.031,56
81,0,25493,Nick Taylor,0.175,-0.120,0.243,0.051,76
82,0,39327,Ben Silverman,0.167,0.097,-0.008,0.078,71
83,0,40006,Erik van Rooyen,0.157,0.278,0.095,-0.216,70
84,0,29221,Webb Simpson,0.155,-0.100,-0.321,0.576,49
85,0,57900,Chandler Phillips,0.131,0.005,0.101,0.026,75
86,0,52513,Carson Young,0.128,0.301,0.153,-0.327,74
87,0,51977,Max Greyserman,0.121,0.180,0.013,-0.072,64
88,0,39975,Michael Kim,0.100,-0.239,0.311,0.027,63
89,0,47988,Nick Hardy,0.098,0.253,0.223,-0.378,76
90,0,35461,Beau Hossler,0.097,0.086,-0.374,0.385,79
91,0,26476,Chez Reavie,0.094,-0.437,0.394,0.137,56
92,0,54628,Lee Hodges,0.093,-0.023,0.363,-0.247,86
93,0,32640,Troy Merritt,0.088,-0.123,0.163,0.049,58
94,0,36699,Patrick Rodgers,0.083,0.189,-0.191,0.086,89
95,0,46340,Alex Smalley,0.067,0.352,-0.086,-0.198,59
96,0,52453,Nicolai HÃ¸jgaard,0.056,0.013,0.359,-0.316,45
97,0,32791,K.H. Lee,0.054,0.118,-0.233,0.168,68
98,0,48867,Matti Schmid,0.051,0.259,0.035,-0.243,63
99,0,48084,Wesley Bryan,0.040,0.047,-0.142,0.135,35
100,0,48319,Tom Whitney,0.035,0.197,0.231,-0.392,50
101,0,47591,Eric Cole,0.030,-0.346,0.204,0.172,96
102,0,40058,Zac Blair,0.027,-0.294,0.110,0.210,74
103,0,49947,Taylor Moore,0.020,0.261,-0.289,0.048,88
104,0,47993,Denny McCarthy,0.018,-0.324,-0.017,0.358,79
105,0,31323,Gary Woodland,0.009,0.053,0.268,-0.312,72
106,0,34256,Andrew Putnam,0.007,-0.485,0.212,0.280,75
107,0,35310,Lanto Griffin,-0.004,0.204,0.168,-0.377,58
108,0,40098,Matt Fitzpatrick,-0.011,0.036,-0.122,0.075,62
109,0,36326,David Lipsky,-0.013,-0.415,0.263,0.139,58
110,0,60004,Jacob Bridgeman,-0.027,-0.251,0.084,0.140,60
111,0,39977,Max Homa,-0.029,-0.383,0.145,0.208,69
112,0,27214,Kevin Streelman,-0.033,0.064,-0.053,-0.044,57
113,0,35506,Mackenzie Hughes,-0.037,-0.289,-0.192,0.444,84
114,0,29936,Ryan Fox,-0.049,0.175,0.008,-0.232,69
115,0,33399,Adam Hadwin,-0.051,-0.002,-0.053,0.004,71
116,0,59095,Chris Gotterup,-0.056,0.253,-0.419,0.109,66
117,0,28089,Jason Day,-0.058,0.132,-0.343,0.153,59
118,0,54783,Dylan Wu,-0.059,-0.287,0.180,0.048,70
119,0,51349,Nico Echavarria,-0.061,-0.029,0.030,-0.062,70
120,0,59442,Parker Coody,-0.066,-0.148,0.242,-0.159,48
121,0,27139,David Skinns,-0.077,-0.234,0.270,-0.113,68
122,0,31646,Emiliano Grillo,-0.079,0.057,0.272,-0.408,77
123,0,24024,Zach Johnson,-0.103,-0.099,-0.121,0.117,43
124,0,23108,Matt Kuchar,-0.107,-0.228,-0.124,0.245,67
125,0,33486,Roger Sloan,-0.111,-0.348,0.098,0.139,54
126,0,47663,Kevin Dougherty,-0.124,0.766,-0.518,-0.372,50
127,0,34099,Harris English,-0.132,0.095,-0.325,0.097,78
128,0,48153,Matthieu Pavon,-0.138,0.027,0.249,-0.414,53
129,0,52514,Trace Crowe,-0.148,-0.134,-0.069,0.055,53
129,0,36884,Ben Kohles,-0.148,0.015,0.169,-0.332,73
131,0,59866,Nick Dunlap,-0.149,-0.245,0.205,-0.109,64
131,0,40162,Justin Lower,-0.149,-0.234,0.166,-0.081,83
133,0,33968,ThorbjÃ¸rn Olesen,-0.150,-0.372,0.022,0.200,40
134,0,45157,Cam Davis,-0.172,-0.109,-0.105,0.041,72
135,0,55454,Carl Yuan,-0.177,0.230,-0.359,-0.048,54
136,0,32333,Kevin Tway,-0.217,0.177,-0.565,0.171,45
137,0,47420,Jake Knapp,-0.241,-0.045,0.001,-0.197,69
138,0,52666,Sami Valimaki,-0.272,0.067,-0.036,-0.303,57
139,0,37275,Sam Ryder,-0.295,-0.332,0.263,-0.227,60
140,0,36871,Matt NeSmith,-0.297,-0.020,-0.065,-0.213,62
141,0,38991,Alejandro Tosti,-0.300,0.547,-0.602,-0.244,61
142,0,33653,Thomas Detry,-0.301,0.120,-0.196,-0.226,65
143,0,27129,Luke List,-0.306,0.103,-0.160,-0.250,66
144,0,34563,Chesson Hadley,-0.312,0.062,-0.154,-0.220,61
145,0,52374,Brandon Wu,-0.320,-0.478,-0.006,0.164,63
146,0,32102,Rickie Fowler,-0.346,-0.180,-0.117,-0.049,68
147,0,32366,Kevin Chappell,-0.357,-0.112,-0.307,0.063,41
148,0,27936,Martin Laird,-0.382,-0.357,-0.328,0.303,58
149,0,46441,Robby Shelton,-0.388,-0.577,-0.162,0.351,66
150,0,45609,Tyler Duncan,-0.400,0.264,-0.541,-0.124,56
151,0,51070,Vincent Norrman,-0.420,0.214,-0.313,-0.322,46
152,0,32070,Rafael Campos,-0.434,-0.180,0.061,-0.315,44
153,0,47347,Adam Schenk,-0.437,0.188,-0.531,-0.094,81
154,0,23320,Ryan Palmer,-0.461,0.125,-0.475,-0.111,36
155,0,55708,Hayden Buckley,-0.462,0.069,-0.298,-0.233,60
155,0,47983,Chad Ramey,-0.462,-0.116,-0.402,0.056,69
157,0,22405,Justin Rose,-0.467,-0.061,-0.377,-0.029,53
158,0,52372,Cameron Champ,-0.470,0.883,-0.716,-0.637,49
159,0,30927,Brendon Todd,-0.521,-0.398,-0.423,0.300,89
160,0,56149,Wilson Furr,-0.526,-0.102,-0.399,-0.025,46
161,0,27330,Josh Teater,-0.559,-0.122,-0.360,-0.077,38
162,0,59836,Pierceson Coody,-0.579,0.072,-0.378,-0.273,62
163,0,48699,Callum Tarren,-0.618,-0.344,-0.092,-0.182,58
164,0,54421,Garrick Higgo,-0.649,-0.184,-0.377,-0.088,63
165,0,50188,S.H. Kim,-0.668,-0.206,-0.626,0.164,90
166,0,51894,Vince Whaley,-0.694,-0.620,-0.337,0.263,54
167,0,34466,Peter Malnati,-0.836,-0.589,-0.308,0.061,68
168,0,50493,Justin Suh,-0.914,-0.203,-0.523,-0.187,62
169,0,47995,Davis Riley,-0.919,-0.360,-0.486,-0.074,70
170,0,50497,Adrien Dumont de Chassart,-0.942,-0.336,-0.379,-0.227,58
171,0,46113,Ryan McCormick,-0.955,-0.520,-0.151,-0.284,47
172,0,28420,Ryan Brehm,-0.973,0.103,-0.555,-0.521,46
173,0,22371,Aaron Baddeley,-0.986,-1.031,-0.359,0.404,59
174,0,48119,Ben Taylor,-1.180,-0.675,-0.644,0.139,54
175,0,33408,Tyson Alexander,-1.197,-0.806,-0.468,0.077,61
176,0,60767,Blaine Hale Jr.,-1.201,-0.384,-0.157,-0.661,38
177,0,27770,Camilo Villegas,-1.268,-0.960,-0.251,-0.057,44
