RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
1,0,47959,Bryson DeChambeau,314.1,112767.6,359
2,0,28420,Ryan Brehm,304.6,53608.8,176
3,0,56278,Matthew Wolff,303.8,68664.7,226
4,0,56762,Will Gordon,303.7,21867.3,72
5,0,28237,Rory McIlroy,303.3,63080.8,208
6,0,30925,Dustin Johnson,301.9,46195.9,153
7,0,52372,Cameron Champ,300.8,62258.6,207
8,0,46550,Brandon Hagy,299.3,38608.9,129
9,0,40042,Tyler McCumber,298.8,52286.8,175
10,0,45157,Cam Davis,298.2,45026.5,151
11,0,34213,Grayson Murray,297.6,61306.9,206
12,0,30911,Tommy Fleetwood,297.3,35076.3,118
13,3,46970,Jon Rahm,297.1,63875.6,215
14,-1,30944,Jason Kokrak,297.0,119391.1,402
15,-1,36689,Brooks Koepka,296.5,39133.6,132
15,-1,35617,Martin Trainer,296.5,35881.9,121
17,0,27129,Luke List,295.7,57953.8,196
18,0,35658,Kris Ventura,294.9,40691.9,138
19,0,51766,Wyndham Clark,294.8,47764.8,162
20,2,29725,Tony Finau,294.4,64183.9,218
21,-1,27554,Scott Harrington,294.2,50020.1,170
22,-1,47504,Sam Burns,294.0,122887.0,418
23,0,31323,Gary Woodland,293.4,44882.7,153
24,0,25804,Bubba Watson,293.2,145432.1,496
25,0,27064,Jhonattan Vegas,291.5,62672.9,215
26,0,39546,Keith Mitchell,291.0,46851.5,161
27,0,33141,Keegan Bradley,290.4,52561.3,181
27,0,39977,Max Homa,290.4,61266.3,211
29,0,35461,Beau Hossler,290.3,106831.9,368
30,0,01810,Phil Mickelson,290.1,37715.7,130
31,0,36699,Patrick Rodgers,290.0,76858.9,265
32,0,28089,Jason Day,289.9,41455.8,143
33,0,48887,Matt Wallace,289.7,101701.0,351
34,0,32333,Kevin Tway,289.2,61021.1,211
35,0,49964,Aaron Wise,289.1,32672.1,113
36,1,29484,Peter Uihlein,289.0,47970.6,166
37,2,29518,Brendan Steele,288.8,97621.8,338
37,0,33448,Justin Thomas,288.8,49959.7,173
39,-4,32839,Hideki Matsuyama,288.6,70697.1,245
40,0,35450,Patrick Cantlay,288.4,101525.3,352
40,1,48081,Xander Schauffele,288.4,66901.3,232
42,-1,27095,Nick Watney,288.3,37770.1,131
43,0,24502,Adam Scott,288.1,34280.1,119
44,0,25364,Paul Casey,287.9,46070.0,160
44,0,33419,Cameron Tringale,287.9,64775.7,225
46,1,21209,Sergio Garcia,287.7,31940.0,111
46,1,49960,Sepp Straka,287.7,59839.6,208
48,2,29926,Danny Lee,287.2,61456.8,214
49,2,32662,Michael Gligic,287.1,39908.4,139
50,2,33948,Byeong Hun An,286.9,147453.2,514
50,2,22405,Justin Rose,286.9,83473.5,291
52,2,21961,Charles Howell III,286.8,103237.2,360
53,2,34314,Sebastian Cappelen,286.7,37843.7,132
53,2,32139,Danny Willett,286.7,33828.0,118
55,2,27974,Sung Kang,286.6,56469.8,197
56,2,25632,Jimmy Walker,286.5,79929.3,279
57,2,32102,Rickie Fowler,286.0,93821.8,328
58,7,46046,Scottie Scheffler,285.8,76588.2,268
59,2,33597,Harry Higgs,285.7,76849.8,269
60,2,34046,Jordan Spieth,285.6,117937.8,413
61,-1,48822,Sebastián Muñoz,285.5,107637.0,377
62,3,34099,Harris English,285.4,73631.9,258
63,0,35506,Mackenzie Hughes,285.3,72192.3,253
63,0,27349,Alex Noren,285.3,104716.8,367
65,2,32366,Kevin Chappell,285.0,38471.4,135
66,2,33667,Carlos Ortiz,284.8,126730.3,445
66,2,48119,Ben Taylor,284.8,26197.3,92
68,2,23320,Ryan Palmer,284.7,62639.4,220
69,7,34363,Tyrrell Hatton,284.4,42944.6,151
69,1,47347,Adam Schenk,284.4,54037.8,190
71,1,46402,Talor Gooch,284.0,61902.2,218
71,9,35310,Lanto Griffin,284.0,91455.4,322
71,1,33449,Zack Sucher,284.0,50271.9,177
74,9,46717,Viktor Hovland,283.7,165705.2,584
75,-1,39997,Corey Conners,283.6,58131.9,205
75,4,39971,Sungjae Im,283.6,185783.9,655
75,-1,35230,Nelson Ledesma,283.6,23826.4,84
78,-2,32757,Patton Kizzire,283.5,42525.3,150
79,-1,39324,J.J. Spaun,283.4,45918.4,162
80,0,29970,Dylan Frittelli,283.2,66843.6,236
80,0,33486,Roger Sloan,283.2,87791.5,310
82,2,50525,Collin Morikawa,283.1,70503.3,249
83,2,33204,Shane Lowry,282.9,85723.6,303
84,2,34255,Joseph Bramlett,282.8,28565.5,101
84,2,37189,Harold Varner III,282.8,126423.2,447
84,2,51894,Vince Whaley,282.8,42421.9,150
87,2,34563,Chesson Hadley,282.7,39576.3,140
88,2,27936,Martin Laird,282.6,28829.6,102
89,10,35891,Cameron Smith,282.1,117634.9,417
90,1,28307,Matt Every,281.9,38897.9,138
90,1,32618,Rhein Gibson,281.9,30730.2,109
90,1,32448,James Hahn,281.9,48203.6,171
90,1,36871,Matt NeSmith,281.9,47915.4,170
94,1,29268,Bronson Burgoon,281.8,76085.1,270
94,1,24361,Pat Perez,281.8,85959.8,305
96,1,24924,Bill Haas,281.7,32955.3,117
96,1,37275,Sam Ryder,281.7,57183.5,203
98,2,31646,Emiliano Grillo,281.2,46963.9,167
99,2,26329,Louis Oosthuizen,281.1,102889.2,366
100,7,29221,Webb Simpson,280.9,109829.7,391
101,1,33399,Adam Hadwin,280.8,137335.5,489
101,1,27330,Josh Teater,280.8,59540.2,212
103,-1,29420,Billy Horschel,280.5,67035.7,239
103,2,53165,Doc Redman,280.5,71251.9,254
105,11,45486,Joaquin Niemann,279.9,57661.9,206
106,1,49771,J.T. Poston,279.7,132317.0,473
107,2,26300,Matt Jones,279.6,145389.4,520
107,2,35449,Adam Long,279.6,72427.9,259
107,2,25493,Nick Taylor,279.6,99548.4,356
110,2,32254,Xinjun Zhang,279.5,62049.0,222
111,3,20229,Stewart Cink,279.1,50800.0,182
112,3,27214,Kevin Streelman,279.0,130298.6,467
113,3,28252,Seamus Power,278.9,25099.7,90
114,4,52375,Doug Ghim,278.6,25914.2,93
115,4,46435,Austin Cook,278.5,105565.5,379
116,4,12716,Charley Hoffman,278.4,112213.4,403
117,4,47128,Richy Werenski,278.3,51201.3,184
118,4,32791,K.H. Lee,278.2,59524.4,214
118,4,32640,Troy Merritt,278.2,123803.8,445
120,4,49766,Hank Lebioda,277.9,39456.6,142
121,4,33122,Russell Knox,277.6,50807.6,183
122,4,23623,Bo Van Pelt,277.2,73446.4,265
123,4,47993,Denny McCarthy,277.0,119958.0,433
124,4,30692,Scott Stallings,276.8,42633.9,154
125,8,40026,Daniel Berger,276.4,123016.2,445
126,3,34466,Peter Malnati,276.3,107216.6,388
127,3,40009,Dominic Bozzelli,276.1,40583.6,147
128,3,37455,Si Woo Kim,276.0,66236.8,240
129,3,23788,D.J. Trahan,275.8,28402.8,103
130,4,34431,Robert Streb,275.4,52883.5,192
131,4,34360,Patrick Reed,275.3,66893.8,243
132,3,33404,Chris Baker,275.2,35219.8,128
132,3,48045,Michael Gellerman,275.2,25868.2,94
134,4,31420,Anirban Lahiri,275.1,19805.5,72
134,4,30163,Henrik Norlander,275.1,48148.1,175
134,4,27556,Ted Potter Jr.,275.1,37966.3,138
137,11,26851,Marc Leishman,274.9,40403.4,147
138,3,25818,Scott Piercy,274.8,108820.8,396
139,3,34076,Joel Dahmen,274.7,150005.0,546
