RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,47959,Bryson DeChambeau,140' 4",391' 6",359
2,0,33141,Keegan Bradley,126' 10",2955' 3",181
3,0,28237,Rory McIlroy,126' 3",6260' 0",208
4,0,32448,James Hahn,125' 3",1421' 1",171
5,0,30944,Jason Kokrak,125' 0",241' 7",402
6,0,29926,Danny Lee,124' 7",6665',214
7,0,45157,Cam Davis,123' 2",8601' 2",151
8,0,46970,Jon Rahm,123' 1",6467' 4",215
9,0,01810,Phil Mickelson,120' 7",5676' 4",130
10,0,35449,Adam Long,120' 5",1189' 9",259
11,0,30911,Tommy Fleetwood,119' 9",4129' 5",118
12,0,24361,Pat Perez,118' 5",6126' 2",305
13,0,27974,Sung Kang,118' 1",3255' 7",197
14,0,56278,Matthew Wolff,117' 6",6564' 3",226
15,0,35230,Nelson Ledesma,117' 3",9850' 5",84
16,0,36689,Brooks Koepka,117' 1",5458' 9",132
17,0,32366,Kevin Chappell,116' 8",5751' 9",135
18,0,32102,Rickie Fowler,116' 6",8202' 6",328
19,0,51766,Wyndham Clark,116' 1",8798',162
20,0,33486,Roger Sloan,115' 8",5850',310
21,1,32139,Danny Willett,115' 4",3612' 0",118
22,1,39324,J.J. Spaun,115' 2",8656' 7",162
23,-2,30925,Dustin Johnson,115' 1",7604' 2",153
24,0,33948,Byeong Hun An,114' 10",9013' 4",514
25,0,22405,Justin Rose,114' 8",3356',291
26,0,48887,Matt Wallace,114' 2",63' 4",351
27,0,35506,Mackenzie Hughes,114' 1",8862' 5",253
28,0,35461,Beau Hossler,113' 5",1859' 3",369
28,0,32640,Troy Merritt,113' 5",487' 8",445
30,0,40042,Tyler McCumber,113' 2",9797' 4",175
31,0,32757,Patton Kizzire,113' 0",6949',150
32,0,25632,Jimmy Walker,112' 10",1473' 7",279
33,0,27349,Alex Noren,112' 0",1100',367
33,0,27330,Josh Teater,112' 0",3752' 8",212
35,0,24924,Bill Haas,111' 9",3076' 7",117
36,2,50525,Collin Morikawa,111' 6",7769' 1",249
37,3,46717,Viktor Hovland,111' 2",4914' 7",584
