RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,06573,Brandt Jobe,80' 7",80.583,1
1,0,23034,Brent Schwarzrock,80' 7",80.583,1
3,0,06595,Kevin Sutherland,80' 1",80.083,1
4,0,01810,Phil Mickelson,69' 6",69.500,1
5,0,12782,Tim Herron,69' 2",69.167,1
6,0,10425,Jay Williamson,67' 6",134.917,2
7,0,10809,Jim Furyk,67' 0",67.000,1
8,0,01569,Peter Jacobsen,66' 5",66.417,1
9,0,23036,Chris Anderson,64' 9",64.750,1
10,0,07867,Woody Austin,63' 11",63.917,1
11,0,08075,Jerry Kelly,61' 7",61.583,1
11,0,01941,Tom Pernice Jr.,61' 7",61.583,1
13,0,01677,Tom Lehman,60' 0",60.000,1
14,0,01945,Kenny Perry,59' 7",59.583,1
15,0,22621,Ben Curtis,58' 4",58.333,1
16,0,08123,Jeff Brehaut,55' 11",55.917,1
17,0,23614,Rich Beem,55' 7",55.583,1
18,0,02104,Jeff Sluman,54' 5",54.417,1
19,0,06332,Neal Lancaster,54' 0",107.917,2
20,0,21739,Aaron Barber,53' 5",53.417,1
21,0,11032,Frank Lickliter II,52' 8",52.667,1
22,0,20472,Alex Cejka,52' 6",52.500,1
23,0,22371,Aaron Baddeley,51' 4",102.583,2
24,0,01707,Steve Lowery,50' 0",100.000,2
25,0,24925,Jonathan Byrd,48' 0",95.917,2
26,0,01761,Len Mattiace,47' 10",47.833,1
27,0,12660,Jesper Parnevik,47' 9",47.750,1
28,0,01724,Jeff Maggert,46' 11",140.750,3
29,0,20029,Notah Begay III,46' 10",140.583,3
30,0,20436,Garrett Willis,45' 10",91.583,2
31,0,02170,Hal Sutton,44' 3",44.250,1
32,0,20094,Jonathan Kaye,44' 2",44.167,1
33,0,19824,Craig Barlow,43' 6",86.917,2
34,0,02049,Gene Sauers,43' 0",85.917,2
35,0,20634,Peter Lonard,42' 3",42.250,1
36,0,10585,Scott McCarron,40' 8",40.667,1
37,0,02246,Duffy Waldorf,40' 7",40.583,1
38,0,01388,Robert Gamez,39' 11",39.917,1
39,0,02002,John Riegger,39' 3",39.250,1
40,0,20572,Rod Pampling,39' 0",39.000,1
41,0,07101,Dave Stockton Jr.,38' 8",38.667,1
42,0,22046,Geoff Ogilvy,38' 4",76.583,2
43,0,06004,Stephen Ames,36' 7",73.083,2
44,0,06809,Bob Burns,36' 4",72.583,2
45,0,08931,Glen Day,35' 8",35.667,1
46,0,01928,Corey Pavin,35' 1",35.083,1
47,0,02239,Scott Verplank,34' 11",34.917,1
48,0,23621,Rory Sabbatini,31' 7",94.833,3
49,0,11011,Mike Sposa,30' 9",30.750,1
50,0,19846,Brian Gay,29' 6",29.500,1
51,0,01161,Mark Calcavecchia,29' 0",29.000,1
52,0,01249,John Daly,28' 11",28.917,1
53,0,20566,Kaname Yokoo,27' 10",27.833,1
54,0,12661,Todd Barranger,25' 9",51.500,2
55,0,12680,Shigeki Maruyama,21' 10",43.667,2
56,0,20498,Briny Baird,20' 11",41.833,2
57,0,12823,Carlos Franco,20' 4",20.333,1
58,0,10733,Kent Jones,19' 8",19.667,1
59,0,01723,Andrew Magee,17' 2",17.167,1
60,0,06581,David Sutherland,16' 3",16.250,1
61,0,20568,Anthony Painter,14' 9",14.750,1
62,0,06522,Ernie Els,14' 6",14.500,1
63,0,20098,Stuart Appleby,14' 0",14.000,1
64,0,21209,Sergio Garcia,13' 0",13.000,1
65,0,02214,Kirk Triplett,12' 2",24.333,2
66,0,07749,Brett Quigley,7' 0",7.000,1
67,0,21878,Mark Wilson,5' 5",5.417,1
