RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,08793,Tiger Woods,9.69,10867051,112177452
2,0,01810,Phil Mickelson,4.01,5819987,145177452
3,0,25562,Andres Romero,3.44,798414,23177452
4,0,24512,Simon Dyson,3.25,227500,7000000
5,0,06527,Steve Stricker,3.04,4663076,153277452
6,0,23621,Rory Sabbatini,2.99,4550040,152277452
7,0,21209,Sergio Garcia,2.85,3721184,130777452
8,0,24357,K.J. Choi,2.79,4587857,164477452
8,0,10809,Jim Furyk,2.79,4154046,148677452
10,0,06567,Vijay Singh,2.70,4728375,175177452
11,0,24502,Adam Scott,2.61,3413184,130677452
12,0,24024,Zach Johnson,2.60,3922336,150577452
13,0,22405,Justin Rose,2.54,2705874,106577452
14,0,06522,Ernie Els,2.42,2705715,111577452
15,0,22371,Aaron Baddeley,2.27,3441118,151777452
16,0,20766,Padraig Harrington,2.16,2658281,123177452
17,0,23135,Tim Clark,2.14,2615151,122000000
18,0,02239,Scott Verplank,2.13,3114287,145877452
19,0,22046,Geoff Ogilvy,2.00,2943201,147277452
20,0,21528,Henrik Stenson,1.78,1897554,106377452
21,0,07867,Woody Austin,1.77,2887592,163600000
21,0,01161,Mark Calcavecchia,1.77,2993330,168977452
23,0,20848,Ángel Cabrera,1.73,1661105,95777452
24,0,21961,Charles Howell III,1.70,2832089,166477452
24,0,24781,Hunter Mahan,1.70,2858994,168277452
26,0,27649,Brandt Snedeker,1.67,2836640,170300000
27,0,23983,Luke Donald,1.63,2190052,134177452
28,0,20569,Richard Green,1.55,544070,35177452
29,0,20229,Stewart Cink,1.53,2483145,161977452
30,0,26289,Boo Weekley,1.50,2613209,174677452
31,0,27776,Pelle Edberg,1.47,120458,8177452
32,0,06004,Stephen Ames,1.44,2103425,146377452
32,0,02206,David Toms,1.44,2095835,145577452
34,0,01666,Bernhard Langer,1.43,1153603,80900000
35,0,25364,Paul Casey,1.37,1012770,73677452
35,0,22293,Heath Slocum,1.37,2184377,159000000
37,0,22913,John Rollins,1.35,2488889,184577452
38,0,10423,Mike Weir,1.34,1986050,147977452
39,0,19972,José Coceres,1.33,1287841,97100000
40,0,24925,Jonathan Byrd,1.32,1854905,140377452
40,0,07457,Steve Flesch,1.32,2288897,173800000
42,0,22378,Trevor Immelman,1.30,1801646,139077452
43,0,27770,Camilo Villegas,1.29,1866959,144400000
43,0,10425,Jay Williamson,1.29,835514,64600000
45,0,21731,Freddie Jacobson,1.28,1469540,114500000
45,0,20628,Arron Oberholser,1.28,1797455,140577452
47,0,10885,Robert Allenby,1.25,2219537,177377452
48,0,23322,Brett Wetterich,1.24,2208281,178477452
49,0,10860,Justin Leonard,1.20,2079246,173177452
50,0,20645,John Senden,1.18,1899555,161077452
51,0,24138,Ian Poulter,1.17,1431389,122677452
52,0,08075,Jerry Kelly,1.16,1978032,169977452
52,0,27095,Nick Watney,1.16,1838627,158177452
54,0,20098,Stuart Appleby,1.14,1803383,157977452
54,0,24140,Sean O'Hair,1.14,1921224,167977452
56,0,21878,Mark Wilson,1.12,1637109,146000000
