RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$679190,10867052
2,0,01810,Phil Mickelson,$264544,5819988
3,0,24512,Simon Dyson,$227500,227500
4,0,06527,Steve Stricker,$202742,4663076
5,0,25562,Andres Romero,$198804,596414
6,0,23621,Rory Sabbatini,$197827,4550040
7,0,21209,Sergio Garcia,$195851,3721184
8,0,24357,K.J. Choi,$183514,4587858
9,0,10809,Jim Furyk,$180610,4154046
10,0,24502,Adam Scott,$179641,3413184
11,0,06567,Vijay Singh,$175125,4728376
12,0,24024,Zach Johnson,$170536,3922337
13,0,22405,Justin Rose,$169117,2705874
14,0,06522,Ernie Els,$169107,2705715
15,0,22371,Aaron Baddeley,$149613,3441118
16,0,20766,Padraig Harrington,$147682,2658282
17,0,23135,Tim Clark,$137639,2615151
18,0,02239,Scott Verplank,$135403,3114288
19,0,22046,Geoff Ogilvy,$133781,2943203
20,0,21528,Henrik Stenson,$126503,1897554
21,0,27776,Pelle Edberg,$120458,120458
22,0,20848,Ángel Cabrera,$118650,1661105
23,0,23983,Luke Donald,$109502,2190053
24,0,21961,Charles Howell III,$108926,2832090
25,0,07867,Woody Austin,$106948,2887596
26,0,01161,Mark Calcavecchia,$106904,2993331
27,0,24781,Hunter Mahan,$105888,2858994
28,0,20229,Stewart Cink,$99325,2483145
29,0,27649,Brandt Snedeker,$97815,2836643
30,0,02206,David Toms,$95265,2095836
31,0,06004,Stephen Ames,$91453,2103425
32,0,26289,Boo Weekley,$90110,2613211
33,0,20569,Richard Green,$89214,446070
34,0,10423,Mike Weir,$86350,1986053
35,0,22913,John Rollins,$85823,2488890
36,0,22378,Trevor Immelman,$85792,1801646
37,0,20628,Arron Oberholser,$85593,1797457
38,0,01666,Bernhard Langer,$82400,1153603
39,0,24925,Jonathan Byrd,$80648,1854906
40,0,24138,Ian Poulter,$79521,1431389
41,0,10885,Robert Allenby,$79269,2219537
42,0,23322,Brett Wetterich,$78867,2208282
43,0,22293,Heath Slocum,$78013,2184379
44,0,27770,Camilo Villegas,$77790,1866960
45,0,24236,Nick Dougherty,$75973,227921
46,0,19972,José Coceres,$75755,1287842
47,0,20098,Stuart Appleby,$75141,1803385
48,0,20157,Retief Goosen,$74599,1044386
49,0,07457,Steve Flesch,$73835,2288899
50,0,21731,Freddie Jacobson,$73477,1469540
51,0,10860,Justin Leonard,$71698,2079248
52,0,27095,Nick Watney,$70716,1838629
53,0,08075,Jerry Kelly,$70644,1978034
54,0,20645,John Senden,$70353,1899557
55,0,24140,Sean O'Hair,$68615,1921226
56,0,25345,Carl Pettersson,$65836,2040937
57,0,21878,Mark Wilson,$65484,1637112
58,0,06643,Paul Goydos,$64702,1229354
59,0,25804,Bubba Watson,$63646,1654806
60,0,20104,Ken Duke,$62164,1927101
61,0,24361,Pat Perez,$62159,1678295
62,0,06373,José María Olazábal,$61203,979249
63,0,22348,Nick O'Hern,$61017,1342390
64,0,12510,Chad Campbell,$60758,1701242
65,0,01766,Billy Mayfair,$60483,1814517
66,0,20945,Markus Brier,$60229,120458
66,0,08191,Paul Broadhurst,$60229,120458
68,0,10425,Jay Williamson,$59679,835515
69,0,29718,Anthony Kim,$59430,1545194
70,0,20572,Rod Pampling,$59038,1475970
71,0,27060,John Mallinger,$57991,1681764
72,0,25900,Lucas Glover,$57385,1664167
73,0,07223,Brian Bateman,$56820,1022763
74,0,01381,Fred Funk,$56335,1239376
75,0,12716,Charley Hoffman,$56312,1689366
76,0,25190,Jeff Quinney,$55588,1612056
77,0,26596,Ryan Moore,$55532,1554901
78,0,25364,Paul Casey,$55327,553270
79,0,06595,Kevin Sutherland,$54077,1351942
80,0,28475,Jeff Overton,$53138,1009630
81,0,01797,Rocco Mediate,$53013,1166293
82,0,29416,Andy Bare,$52142,52142
83,0,23623,Bo Van Pelt,$51972,1559180
84,0,20850,Daniel Chopra,$51620,1755109
85,0,24490,George McNeill,$50154,1504626
86,0,01945,Kenny Perry,$49900,1197618
87,0,27120,Troy Matteson,$49323,1282421
88,0,01706,Davis Love III,$48404,1016489
89,0,23718,Nathan Green,$47597,1380317
90,0,23325,Vaughn Taylor,$46905,1313353
91,0,01142,Bart Bryant,$46714,1167873
92,0,20634,Peter Lonard,$46662,1259881
93,0,01677,Tom Lehman,$46359,880824
94,0,06197,Michael Allen,$46225,1016951
95,0,21753,Brian Davis,$46043,1289207
96,0,24358,Robert Garrigus,$45000,1260009
97,0,12602,Dean Wilson,$44946,1258507
98,0,21350,Ryuji Imada,$44214,1414864
99,0,21949,Joe Ogilvie,$43198,1339153
100,0,22582,Kyle Thompson,$42900,42900
101,0,20160,Charlie Wi,$42443,1145975
102,0,23353,J.J. Henry,$41871,1088659
103,0,22379,Mark Foster,$41352,41352
104,0,22892,Jason Gore,$40962,1105985
105,0,20585,Niclas Fasth,$40465,404655
106,0,12660,Jesper Parnevik,$39822,1075216
107,0,06251,Chris DiMarco,$39600,950413
108,0,20382,Stephen Leaney,$39046,1015200
109,0,20433,Mark Hensby,$38789,969731
110,0,22792,Peter Hanson,$38719,116159
111,0,01035,Tommy Armour III,$38297,919134
112,0,28158,Steve Marino,$38037,1179164
113,0,26500,Alejandro Cañizares,$37300,111900
114,0,24912,Will MacKenzie,$37216,1116506
115,0,23788,D.J. Trahan,$36879,1106373
116,0,23349,Charles Warren,$36842,1068440
117,0,01313,Steve Elkington,$36474,911874
118,0,27141,J.B. Holmes,$36425,874215
119,0,20396,Lee Westwood,$36035,288280
120,0,12782,Tim Herron,$35229,951200
121,0,19846,Brian Gay,$34830,1114571
122,0,20472,Alex Cejka,$34732,868303
123,0,23108,Matt Kuchar,$34082,886146
124,0,01948,Tim Petrovic,$32888,1052446
125,0,06515,Shaun Micheel,$32696,948195
126,0,19970,Robert Karlsson,$32682,424870
127,0,01724,Jeff Maggert,$32522,845584
128,0,20574,Mathew Goggin,$32316,969487
129,0,24924,Bill Haas,$32248,967443
130,0,02256,Tom Watson,$32175,64350
131,0,08537,J.P. Hayes,$31814,890814
132,0,20498,Briny Baird,$31788,985453
133,0,25396,Kevin Na,$31728,856669
134,0,21633,Steve Allan,$31558,568058
135,0,01320,Bob Estes,$31358,878050
136,0,01203,Russ Cochran,$31275,31275
137,0,12652,Cameron Beckman,$31112,902257
138,0,24507,Jason Bohn,$31030,527511
139,0,23541,Ben Crane,$30916,278251
140,0,22621,Ben Curtis,$30892,772321
141,0,08993,Franklin Langham,$30720,30720
142,0,26951,Johnson Wagner,$30697,1013023
143,0,12680,Shigeki Maruyama,$30686,951288
144,0,27561,Nick Flanagan,$30507,122028
145,0,12705,Cliff Kresge,$30051,901549
146,0,23614,Rich Beem,$29953,868657
147,0,01941,Tom Pernice Jr.,$29916,927408
148,0,23129,Ross Bain,$29820,29820
149,0,12461,Paul McGinley,$28830,144151
150,0,07749,Brett Quigley,$28696,717411
151,0,19958,Miguel Angel Jiménez,$28598,142991
152,0,27963,Chris Stroud,$28046,673106
153,0,06012,Greg Kraft,$27859,278590
154,0,20859,Anders Hansen,$27130,461215
155,0,19803,Ryan Armour,$26968,862978
156,0,28670,Wonjoon Lee,$26735,26735
