RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
203,0,01577,Lee Janzen,1.84,409188,22230000
203,0,12714,Chris Tidland,1.84,339481,18450000
206,0,26881,Jarrod Lyle,1.83,390303,21294000
206,0,23320,Ryan Palmer,1.83,524987,28728000
208,0,08635,Colin Montgomerie,1.80,216988,12027450
209,0,06350,Bob May,1.77,244969,13806000
210,0,28670,Wonjoon Lee,1.73,26735,1542450
211,0,08375,Paul Stankowski,1.70,282388,16614000
212,0,23548,Bill Lunde,1.68,12093,720000
212,0,02246,Duffy Waldorf,1.68,359018,21396450
214,0,01717,Sandy Lyle,1.67,47493,2847450
215,0,12760,Danny Ellis,1.66,28770,1728000
215,0,20608,David Howell,1.66,213582,12837450
215,0,26331,Charl Schwartzel,1.66,134303,8112450
218,0,08931,Glen Day,1.63,397491,24354000
218,0,21207,José Manuel Lara,1.63,32250,1980000
220,0,08881,Tripp Isenhour,1.59,471980,29772000
221,0,20369,John Bickerton,1.56,45000,2892450
221,0,20691,Greg Owen,1.56,426601,27396000
221,0,20686,Jeev Milkha Singh,1.56,227679,14583450
224,0,25572,Graeme McDowell,1.54,52768,3432450
225,0,24663,Y.E. Yang,1.53,170980,11199450
226,0,26525,Grégory Bourdy,1.52,23393,1542450
226,0,02223,Bob Tway,1.52,456766,30024000
228,0,07363,Craig Bowden,1.50,333969,22284000
228,0,28486,Michael Putnam,1.50,422358,28146450
230,0,23821,Yusaku Miyazato,1.45,13537,936000
231,0,23613,Rich Barcelo,1.42,334244,23490000
231,0,02133,Craig Stadler,1.42,18560,1305000
233,0,24748,WC Liang,1.41,36750,2610000
233,0,23800,Bryce Molder,1.41,257593,18288000
235,0,27088,Johan Edfors,1.38,140005,10137450
236,0,23982,Jon Bevan,1.37,21080,1542450
237,0,24290,D.J. Brigman,1.35,268205,19908000
238,0,20400,Michael Campbell,1.33,159832,12027450
239,0,24980,Scott Gutschewski,1.32,252179,19170000
240,0,24184,Alastair Forsyth,1.31,20257,1542450
241,0,01553,John Huston,1.30,170569,13086000
242,0,20367,Fredrik Andersson Hed,1.29,19846,1542450
243,0,01226,Fred Couples,1.28,43085,3375000
243,0,02214,Kirk Triplett,1.28,316033,24680000
245,0,21407,Arjun Atwal,1.27,135015,10620000
245,0,01235,Ben Crenshaw,1.27,16530,1305000
245,0,02101,Joey Sindelar,1.27,310716,24462000
248,0,01042,Paul Azinger,1.26,174069,13770000
248,0,20832,Raphael Jacquelin,1.26,52418,4152450
248,0,26420,Richard Johnson,1.26,377950,30060000
248,0,02104,Jeff Sluman,1.26,273192,21753000
252,0,23048,Eric Axley,1.25,440910,35210000
253,0,11123,Chris Couch,1.23,355385,28946000
253,0,30786,Brady Schnell,1.23,9102,738000
255,0,02321,Fuzzy Zoeller,1.22,15950,1305000
256,0,21461,Kenneth Ferrie,1.21,31084,2565000
256,0,26758,David Hearn,1.21,10850,900000
258,0,22212,Craig Lile,1.20,255658,21294000
259,0,28456,Andrew Ruthkoski,1.19,19112,1602000
260,0,26956,Bronson La'Cassie,1.18,8692,738000
261,0,22951,Azuma Yano,1.17,10920,936000
262,0,12663,Phil Tataurangi,1.15,77102,6696000
263,0,21646,David Branshaw,1.14,323407,28404000
263,0,21806,Paul Gow,1.14,264149,23148000
263,0,23969,Graeme Storm,1.14,47150,4152450
266,0,09011,David Duval,1.13,71945,6372000
266,0,07941,Mike Grob,1.13,10200,900000
268,0,29476,Kyle Reifers,1.12,276369,24642000
269,0,29725,Tony Finau,1.11,7960,720000
269,0,23091,Alan Morin,1.11,11000,990000
271,0,19824,Craig Barlow,1.10,154214,14058000
271,0,01157,Tom Byrum,1.10,201507,18360000
273,0,27124,Chris Baryla,1.09,9800,900000
273,0,08123,Jeff Brehaut,1.09,202388,18558000
273,0,10875,Todd Demsey,1.09,12411,1134000
276,0,01823,Larry Mize,1.08,105740,9783000
277,0,01249,John Daly,1.07,248501,23322450
277,0,12823,Carlos Franco,1.07,108020,10062000
279,0,02215,Paul Trittler,1.06,7640,720000
280,0,01132,Mark Brooks,1.03,162838,15750000
281,0,25896,Ryan Benzel,1.02,12900,1260000
281,0,25074,Martin Rominger,1.02,11163,1098000
283,0,24459,Richard Sterne,1.01,42000,4152450
284,0,22295,Darron Stiles,1.00,215378,21564000
285,0,29720,Andres Gonzales,.99,7120,720000
286,0,27958,Ryan Blaum,.98,8800,900000
287,0,01219,John Cook,.93,119756,12906000
288,0,01887,Mark O'Meara,.92,42914,4683450
289,0,10505,Shane Bertsch,.91,39760,4392000
290,0,19825,Darren Clarke,.86,107980,12513450
