RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,10425,Jay Williamson,$835515,835515
2,0,25562,Andres Romero,$596414,798414
3,0,25364,Paul Casey,$553270,1012770
4,0,20569,Richard Green,$446070,544070
5,0,19970,Robert Karlsson,$424870,609370
6,0,20585,Niclas Fasth,$404655,813405
7,0,24236,Nick Dougherty,$227922,227922
8,0,24512,Simon Dyson,$227500,227500
9,0,12461,Paul McGinley,$144152,195152
10,0,19958,Miguel Angel Jiménez,$142991,182991
11,0,20945,Markus Brier,$120458,120458
11,0,08191,Paul Broadhurst,$120458,169458
11,0,27776,Pelle Edberg,$120458,120458
14,0,22792,Peter Hanson,$116159,116159
15,0,26500,Alejandro Cañizares,$111900,111900
16,0,20121,Todd Fischer,$92000,92000
17,0,20686,Jeev Milkha Singh,$79179,227679
18,0,26331,Charl Schwartzel,$77803,134303
19,0,20218,Shingo Katayama,$74928,194928
20,0,24663,Y.E. Yang,$53480,170980
21,0,25572,Graeme McDowell,$52768,52768
22,0,29416,Andy Bare,$52143,52143
23,0,27088,Johan Edfors,$51005,140005
24,0,25972,Pablo Martin Benavides,$45313,45313
25,0,22582,Kyle Thompson,$42900,42900
26,0,22379,Mark Foster,$41352,41352
27,0,20400,Michael Campbell,$39582,159832
28,0,10944,Thomas Bjørn,$37044,188044
29,0,08635,Colin Montgomerie,$35989,216989
30,0,21461,Kenneth Ferrie,$31084,31084
31,0,08993,Franklin Langham,$30720,30720
32,0,23129,Ross Bain,$29821,29821
33,0,30711,Colt Knost,$27483,27483
34,0,28670,Wonjoon Lee,$26736,26736
35,0,29939,Fabrizio Zanotti,$25900,25900
36,0,24083,Marcus Fraser,$25016,25016
37,0,26525,Grégory Bourdy,$23394,23394
38,0,22983,Bradley Dredge,$22533,112533
39,0,20935,Toru Taniguchi,$21594,21594
40,0,23982,Jon Bevan,$21080,21080
41,0,20832,Raphael Jacquelin,$20669,52419
42,0,24184,Alastair Forsyth,$20258,20258
43,0,20367,Fredrik Andersson Hed,$19846,19846
44,0,28456,Andrew Ruthkoski,$19112,19112
45,0,20566,Kaname Yokoo,$16640,16640
46,0,19795,Kelly Mitchum,$16326,16326
47,0,23969,Graeme Storm,$13650,47150
48,0,23821,Yusaku Miyazato,$13537,13537
49,0,07707,Mike Small,$13050,13050
50,0,25896,Ryan Benzel,$12900,12900
51,0,24846,Ricky Barnes,$12540,12540
52,0,28307,Matt Every,$12420,12420
53,0,10875,Todd Demsey,$12411,12411
54,0,06078,Esteban Toledo,$12250,12250
55,0,23548,Bill Lunde,$12093,12093
56,0,25074,Martin Rominger,$11163,11163
57,0,08725,Tom Gillis,$11152,11152
57,0,28310,Lee Williams,$11152,11152
59,0,23091,Alan Morin,$11000,11000
60,0,19883,Joe Daley,$10920,10920
60,0,22951,Azuma Yano,$10920,10920
62,0,26758,David Hearn,$10850,10850
63,0,07941,Mike Grob,$10200,10200
64,0,27124,Chris Baryla,$9800,9800
65,0,30786,Brady Schnell,$9102,9102
66,0,27958,Ryan Blaum,$8800,8800
67,0,26956,Bronson La'Cassie,$8692,8692
68,0,29725,Tony Finau,$7960,7960
69,0,02215,Paul Trittler,$7640,7640
70,0,23824,Oliver Thomson,$7630,7630
71,0,29720,Andres Gonzales,$7120,7120
