RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
157,0,20623,Gavin Coles,2.00,3,150,98.0
158,0,01887,Mark O'Meara,2.02,2,99,97.9
159,0,19825,Darren Clarke,2.04,2,98,97.9
159,0,20436,Garrett Willis,2.04,5,245,97.9
161,0,07223,Brian Bateman,2.07,3,145,97.9
161,0,08633,Per-Ulrik Johansson,2.07,4,193,97.9
163,0,10585,Scott McCarron,2.08,3,144,97.9
164,0,12388,Michael Clark II,2.10,3,143,97.9
165,0,20029,Notah Begay III,2.14,4,187,97.8
165,0,20628,Arron Oberholser,2.14,4,187,97.8
167,0,22293,Heath Slocum,2.15,5,233,97.8
168,0,23656,Jason Caron,2.16,3,139,97.8
169,0,20098,Stuart Appleby,2.17,4,184,97.8
170,0,25692,Akio Sadakata,2.20,4,182,97.8
171,0,24925,Jonathan Byrd,2.22,4,180,97.7
171,0,23177,Kenneth Staton,2.22,3,135,97.7
171,0,22295,Darron Stiles,2.22,4,180,97.7
174,0,01161,Mark Calcavecchia,2.35,4,170,97.6
175,0,10733,Kent Jones,2.38,4,168,97.6
176,0,23034,Brent Schwarzrock,2.42,3,124,97.5
177,0,12661,Todd Barranger,2.67,4,150,97.3
178,0,06581,David Sutherland,2.70,5,185,97.3
179,0,21209,Sergio Garcia,2.91,3,103,97.0
180,0,08123,Jeff Brehaut,2.93,6,205,97.0
181,0,06475,Jeff Klein,2.96,4,135,97.0
182,0,20634,Peter Lonard,2.97,6,202,97.0
183,0,20572,Rod Pampling,2.99,6,201,97.0
184,0,22046,Geoff Ogilvy,3.09,5,162,96.9
185,0,26950,John Morgan,3.13,6,192,96.8
186,0,20094,Jonathan Kaye,3.47,6,173,96.5
186,0,24361,Pat Perez,3.47,7,202,96.5
188,0,23621,Rory Sabbatini,3.55,6,169,96.4
189,0,25450,Ty Tryon,3.64,4,110,96.3
190,0,20663,Brenden Pappas,3.65,8,219,96.3
