RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,08793,Tiger Woods,+2.23,69.78,72.01
2,0,28237,Rory McIlroy,+2.16,69.63,71.79
3,0,22405,Justin Rose,+1.72,70.22,71.94
4,0,10809,Jim Furyk,+1.69,70.10,71.79
5,0,25804,Bubba Watson,+1.67,69.98,71.65
6,0,24502,Adam Scott,+1.58,70.53,72.11
7,0,25686,Jason Dufner,+1.57,69.89,71.46
8,0,23983,Luke Donald,+1.54,70.35,71.89
9,0,30925,Dustin Johnson,+1.45,70.18,71.63
9,0,23108,Matt Kuchar,+1.45,70.04,71.49
11,0,23623,Bo Van Pelt,+1.34,70.23,71.57
12,0,06527,Steve Stricker,+1.33,70.10,71.43
13,0,01810,Phil Mickelson,+1.24,70.44,71.68
13,0,26329,Louis Oosthuizen,+1.24,70.32,71.56
13,0,27649,Brandt Snedeker,+1.24,70.10,71.34
16,0,20766,Padraig Harrington,+1.18,70.54,71.72
16,0,24024,Zach Johnson,+1.18,70.20,71.38
18,0,29221,Webb Simpson,+1.15,70.14,71.29
19,0,33141,Keegan Bradley,+1.08,70.33,71.41
20,0,21209,Sergio Garcia,+1.07,70.68,71.75
20,0,24358,Robert Garrigus,+1.07,70.38,71.45
20,0,20645,John Senden,+1.07,70.35,71.42
23,0,21528,Henrik Stenson,+1.06,70.78,71.84
24,0,23638,Brendon de Jonge,+1.05,70.17,71.22
25,0,20396,Lee Westwood,+1.02,70.78,71.80
26,0,24138,Ian Poulter,+1.01,70.80,71.81
27,0,25572,Graeme McDowell,+.99,70.91,71.90
28,0,27895,Jonas Blixt,+.92,70.14,71.06
28,0,06522,Ernie Els,+.92,70.76,71.68
28,0,25345,Carl Pettersson,+.92,70.37,71.29
31,0,26596,Ryan Moore,+.89,70.54,71.43
31,0,22046,Geoff Ogilvy,+.89,70.99,71.88
33,0,23320,Ryan Palmer,+.88,70.57,71.45
34,0,24361,Pat Perez,+.87,70.61,71.48
35,0,22621,Ben Curtis,+.85,70.68,71.53
36,0,28475,Jeff Overton,+.84,70.23,71.07
36,0,06567,Vijay Singh,+.84,70.55,71.39
38,0,28089,Jason Day,+.83,70.82,71.65
38,0,29289,S.Y. Noh,+.83,70.50,71.33
40,0,24924,Bill Haas,+.79,70.76,71.55
41,0,24781,Hunter Mahan,+.78,71.01,71.79
42,0,25818,Scott Piercy,+.75,70.49,71.24
43,0,26331,Charl Schwartzel,+.72,70.85,71.57
44,0,34021,Bud Cauley,+.71,70.53,71.24
45,0,20593,Greg Chalmers,+.68,70.91,71.59
45,0,23541,Ben Crane,+.68,70.74,71.42
47,0,25632,Jimmy Walker,+.66,70.65,71.31
48,0,21961,Charles Howell III,+.64,70.68,71.32
48,0,34174,John Huh,+.64,70.75,71.39
48,0,27095,Nick Watney,+.64,70.91,71.55
51,0,20104,Ken Duke,+.62,70.37,70.99
52,0,26679,Kevin Stadler,+.61,70.78,71.39
53,0,28455,Will Claxton,+.60,70.33,70.93
53,0,01706,Davis Love III,+.60,70.72,71.32
55,0,32200,Roberto Castro,+.57,70.44,71.01
55,0,32102,Rickie Fowler,+.57,71.22,71.79
57,0,25396,Kevin Na,+.56,70.87,71.43
58,0,02206,David Toms,+.53,70.90,71.43
59,0,29910,Blake Adams,+.48,70.80,71.28
59,0,01320,Bob Estes,+.48,70.92,71.40
61,0,20691,Greg Owen,+.46,70.76,71.22
62,0,24140,Sean O'Hair,+.45,70.68,71.13
62,0,22913,John Rollins,+.45,70.75,71.20
64,0,28500,Martin Flores,+.43,70.79,71.22
65,0,24925,Jonathan Byrd,+.42,71.21,71.63
65,0,28307,Matt Every,+.42,70.88,71.30
65,0,25834,Daniel Summerhays,+.42,70.81,71.23
65,0,20160,Charlie Wi,+.42,71.20,71.62
69,0,21731,Freddie Jacobson,+.41,71.68,72.09
70,0,08725,Tom Gillis,+.40,70.96,71.36
70,0,31202,William McGirt,+.40,70.77,71.17
72,0,29420,Billy Horschel,+.39,70.22,70.61
73,0,27936,Martin Laird,+.38,71.40,71.78
74,0,34099,Harris English,+.37,70.89,71.26
75,0,27466,Spencer Levin,+.35,71.25,71.60
75,0,30110,Kyle Stanley,+.35,71.01,71.36
75,0,26951,Johnson Wagner,+.35,71.07,71.42
78,0,27436,Graham DeLaet,+.34,70.81,71.15
79,0,21753,Brian Davis,+.33,70.98,71.31
80,0,12510,Chad Campbell,+.32,70.83,71.15
80,0,24357,K.J. Choi,+.32,71.44,71.76
82,0,26851,Marc Leishman,+.29,71.38,71.67
82,0,27933,John Merrick,+.29,70.59,70.88
84,0,26758,David Hearn,+.27,70.74,71.01
84,0,27060,John Mallinger,+.27,70.86,71.13
84,0,10213,Dicky Pride,+.27,70.91,71.18
87,0,30926,Chris Kirk,+.26,70.63,70.89
88,0,19846,Brian Gay,+.25,70.71,70.96
88,0,27644,Brian Harman,+.25,70.93,71.18
90,0,27214,Kevin Streelman,+.24,70.93,71.17
91,0,27141,J.B. Holmes,+.23,71.06,71.29
91,0,23800,Bryce Molder,+.23,71.06,71.29
91,0,33419,Cameron Tringale,+.23,71.20,71.43
94,0,23353,J.J. Henry,+.21,71.06,71.27
94,0,27963,Chris Stroud,+.21,70.88,71.09
96,0,32150,Michael Thompson,+.20,71.23,71.43
97,0,27330,Josh Teater,+.19,70.88,71.07
98,0,23135,Tim Clark,+.17,71.10,71.27
99,0,22371,Aaron Baddeley,+.16,71.56,71.72
99,0,06573,Brandt Jobe,+.16,71.53,71.69
101,0,12782,Tim Herron,+.15,70.91,71.06
101,0,33122,Russell Knox,+.15,70.47,70.62
101,0,25240,D.A. Points,+.15,70.94,71.09
104,0,32366,Kevin Chappell,+.14,71.20,71.34
104,0,24490,George McNeill,+.14,71.27,71.41
106,0,23204,Gary Christian,+.12,70.74,70.86
106,0,35139,Richard Lee,+.12,70.46,70.58
108,0,30852,Ryo Ishikawa,+.11,71.73,71.84
109,0,26289,Boo Weekley,+.09,71.09,71.18
110,0,11123,Chris Couch,+.08,70.88,70.96
111,0,23325,Vaughn Taylor,+.07,70.97,71.04
112,0,27770,Camilo Villegas,+.05,70.86,70.91
113,0,22293,Heath Slocum,+.04,70.87,70.91
114,0,23718,Nathan Green,+.03,70.72,70.75
114,0,23548,Bill Lunde,+.03,70.95,70.98
114,0,01724,Jeff Maggert,+.03,70.82,70.85
114,0,20572,Rod Pampling,+.03,71.24,71.27
118,0,29926,Danny Lee,+.02,70.83,70.85
119,0,12716,Charley Hoffman,+.01,71.32,71.33
120,0,08075,Jerry Kelly,E,70.81,70.81
120,0,29476,Kyle Reifers,E,71.05,71.05
122,0,01766,Billy Mayfair,-.02,71.05,71.03
123,0,20098,Stuart Appleby,-.08,70.83,70.75
124,0,28087,Kris Blanks,-.09,71.57,71.48
125,0,24846,Ricky Barnes,-.11,71.36,71.25
126,0,23621,Rory Sabbatini,-.12,71.29,71.17
127,0,23409,James Driscoll,-.13,71.25,71.12
128,0,24663,Y.E. Yang,-.14,71.76,71.62
129,0,32698,Bobby Gates,-.15,71.22,71.07
129,0,01797,Rocco Mediate,-.15,70.90,70.75
131,0,22378,Trevor Immelman,-.16,71.92,71.76
132,0,24604,Hunter Haas,-.19,71.58,71.39
132,0,21878,Mark Wilson,-.19,71.60,71.41
134,0,27120,Troy Matteson,-.21,71.41,71.20
134,0,26476,Chez Reavie,-.21,71.51,71.30
136,0,20229,Stewart Cink,-.27,72.04,71.77
136,0,01249,John Daly,-.27,71.15,70.88
136,0,26300,Matt Jones,-.27,71.15,70.88
139,0,27302,Garth Mulroy,-.28,71.12,70.84
140,0,20574,Mathew Goggin,-.30,71.14,70.84
140,0,29478,Kevin Kisner,-.30,71.05,70.75
140,0,22961,David Mathis,-.30,71.51,71.21
143,0,30692,Scott Stallings,-.31,71.45,71.14
144,0,27064,Jhonattan Vegas,-.32,71.52,71.20
145,0,31323,Gary Woodland,-.33,72.01,71.68
146,0,19970,Robert Karlsson,-.34,71.83,71.49
147,0,24507,Jason Bohn,-.35,71.31,70.96
148,0,10885,Robert Allenby,-.39,71.82,71.43
149,0,24494,Erik Compton,-.40,71.45,71.05
150,0,32334,Charlie Beljan,-.42,70.98,70.56
150,0,20623,Gavin Coles,-.42,71.01,70.59
150,0,25562,Andres Romero,-.42,71.97,71.55
153,0,06251,Chris DiMarco,-.43,71.51,71.08
153,0,31558,J.J. Killeen,-.43,71.58,71.15
155,0,30944,Jason Kokrak,-.46,71.20,70.74
156,0,20848,Ángel Cabrera,-.47,72.04,71.57
157,0,22348,Nick O'Hern,-.52,71.66,71.14
158,0,30750,Tommy Gainey,-.53,71.57,71.04
158,0,28308,Troy Kelly,-.53,71.34,70.81
160,0,33120,Mark Anderson,-.54,71.56,71.02
160,0,29518,Brendan Steele,-.54,71.93,71.39
162,0,10860,Justin Leonard,-.55,71.69,71.14
163,0,28259,Sangmoon Bae,-.58,72.08,71.50
163,0,25892,Steve Wheatcroft,-.58,71.38,70.80
165,0,23788,D.J. Trahan,-.60,71.43,70.83
166,0,26287,Roland Thatcher,-.61,71.25,70.64
167,0,06004,Stephen Ames,-.62,71.89,71.27
168,0,21805,Harrison Frazar,-.63,71.91,71.28
169,0,12652,Cameron Beckman,-.66,71.69,71.03
170,0,06036,Scott Dunlap,-.69,71.38,70.69
171,0,27556,Ted Potter Jr.,-.72,71.82,71.10
172,0,21407,Arjun Atwal,-.74,71.43,70.69
173,0,30711,Colt Knost,-.76,71.96,71.20
174,0,28093,Miguel Angel Carballo,-.79,71.70,70.91
175,0,29479,Scott Brown,-.82,71.48,70.66
176,0,01116,Michael Bradley,-.87,71.70,70.83
176,0,30927,Brendon Todd,-.87,71.70,70.83
178,0,27797,Derek Lamely,-.88,71.72,70.84
179,0,21350,Ryuji Imada,-.90,71.87,70.97
180,0,22548,Patrick Sheehan,-.91,71.73,70.82
181,0,20850,Daniel Chopra,-1.00,71.85,70.85
182,0,24940,Edward Loar,-1.01,71.88,70.87
183,0,06034,Marco Dawson,-1.03,71.90,70.87
184,0,25457,Alexandre Rocha,-1.04,71.72,70.68
185,0,01941,Tom Pernice Jr.,-1.07,71.81,70.74
186,0,20070,Matt Bettencourt,-1.08,72.20,71.12
187,0,29222,Billy Hurley III,-1.15,72.34,71.19
188,0,23542,Tommy Biershenk,-1.32,72.40,71.08
189,0,22582,Kyle Thompson,-1.35,72.14,70.79
190,0,27974,Sung Kang,-1.51,72.66,71.15
191,0,23903,Stephen Gangluff,-1.98,72.75,70.77
