RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
158,0,47128,Richy Werenski,+.333
166,0,32640,Troy Merritt,+.357
166,0,50095,Austin Smotherman,+.357
168,0,47983,Chad Ramey,+.364
169,0,27895,Jonas Blixt,+.375
169,0,23983,Luke Donald,+.375
169,0,30911,Tommy Fleetwood,+.375
172,0,46340,Alex Smalley,+.389
173,0,32139,Danny Willett,+.400
174,0,25818,Scott Piercy,+.407
175,0,23325,Vaughn Taylor,+.417
176,0,46435,Austin Cook,+.429
176,0,52375,Doug Ghim,+.429
178,0,25686,Jason Dufner,+.438
179,0,31646,Emiliano Grillo,+.462
179,0,36852,Jim Knous,+.462
181,0,32816,Satoshi Kodaira,+.471
182,0,34076,Joel Dahmen,+.476
183,0,49960,Sepp Straka,+.500
184,0,12716,Charley Hoffman,+.529
185,0,35310,Lanto Griffin,+.538
186,0,33122,Russell Knox,+.550
187,0,37275,Sam Ryder,+.560
188,0,36871,Matthew NeSmith,+.600
189,0,10381,Curtis Thompson,+.625
190,0,21961,Charles Howell III,+.667
191,0,31557,Jim Herman,+.700
192,0,39436,Joshua Creel,+.750
193,0,48887,Matt Wallace,+.778
