RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,307.7,12616.4,41
2,0,27141,J.B. Holmes,305.2,18619.9,61
3,0,30925,Dustin Johnson,302.8,11205.1,37
4,0,01249,John Daly,301.7,7843.1,26
5,0,24358,Robert Garrigus,299.4,16468.6,55
6,0,30110,Kyle Stanley,298.6,13138.5,44
7,0,08793,Tiger Woods,296.7,9493.3,32
8,0,28237,Rory McIlroy,296.0,10655.9,36
9,0,30692,Scott Stallings,295.5,15072.7,51
10,0,32334,Charlie Beljan,293.7,7928.6,27
11,0,25818,Scott Piercy,293.3,17014.1,58
12,0,27436,Graham DeLaet,293.1,14949.8,51
13,0,27064,Jhonattan Vegas,292.7,13172.0,45
14,0,28089,Jason Day,292.0,10511.9,36
14,0,31323,Gary Woodland,292.0,8174.7,28
16,0,33141,Keegan Bradley,291.8,15465.0,53
16,0,24940,Edward Loar,291.8,8752.6,30
18,0,27936,Martin Laird,291.4,11949.4,41
19,0,23320,Ryan Palmer,291.3,17185.9,59
20,0,20848,Ángel Cabrera,290.8,7561.4,26
21,0,27330,Josh Teater,289.9,19131.7,66
21,0,27095,Nick Watney,289.9,18263.9,63
23,0,19970,Robert Karlsson,289.7,8690.4,30
24,0,32102,Rickie Fowler,289.6,13902.8,48
25,0,29289,S.Y. Noh,289.4,19102.4,66
26,0,24140,Sean O'Hair,289.1,16187.5,56
27,0,22371,Aaron Baddeley,288.8,11262.4,39
28,0,27120,Troy Matteson,288.7,17035.6,59
29,0,26329,Louis Oosthuizen,288.4,13555.6,47
30,0,33120,Mark Anderson,288.2,10375.2,36
30,0,24502,Adam Scott,288.2,10664.6,37
32,0,21805,Harrison Frazar,286.5,9742.3,34
32,0,30944,Jason Kokrak,286.5,12032.0,42
34,0,34099,Harris English,286.3,18321.7,64
35,0,01706,Davis Love III,286.2,10017.1,35
36,0,32698,Bobby Gates,286.1,16022.4,56
37,0,28500,Martin Flores,284.9,15953.3,56
37,0,20691,Greg Owen,284.9,14813.0,52
39,0,23623,Bo Van Pelt,284.8,15661.9,55
40,0,21528,Henrik Stenson,284.6,3415.6,12
41,0,24494,Erik Compton,284.5,13088.1,46
42,0,27302,Garth Mulroy,284.0,10223.6,36
43,0,25632,Jimmy Walker,283.7,16738.7,59
44,0,30750,Tommy Gainey,283.6,19854.9,70
44,0,24924,Bill Haas,283.6,16451.6,58
46,0,20850,Daniel Chopra,283.5,8503.8,30
46,0,25562,Andres Romero,283.5,12190.0,43
46,0,20396,Lee Westwood,283.5,10491.0,37
49,0,12716,Charley Hoffman,283.0,19526.9,69
49,0,06573,Brandt Jobe,283.0,9054.5,32
51,0,06522,Ernie Els,282.5,15538.3,55
52,0,32366,Kevin Chappell,282.1,14950.2,53
52,0,01810,Phil Mickelson,282.1,13257.0,47
54,0,20229,Stewart Cink,282.0,9589.4,34
54,0,26851,Marc Leishman,282.0,16918.8,60
56,0,30926,Chris Kirk,281.5,18857.3,67
56,0,22046,Geoff Ogilvy,281.5,11542.5,41
58,0,11123,Chris Couch,281.2,9278.7,33
58,0,24490,George McNeill,281.2,14620.2,52
58,0,27214,Kevin Streelman,281.2,17995.8,64
61,0,01116,Michael Bradley,281.1,7308.8,26
62,0,33419,Cameron Tringale,280.6,17396.4,62
63,0,23409,James Driscoll,280.4,13179.0,47
64,0,21961,Charles Howell III,280.2,15972.5,57
64,0,20645,John Senden,280.2,15690.0,56
64,0,26679,Kevin Stadler,280.2,14288.5,51
67,0,22405,Justin Rose,280.1,12605.6,45
68,0,27797,Derek Lamely,280.0,11478.1,41
69,0,24925,Jonathan Byrd,279.8,11190.8,40
69,0,21209,Sergio Garcia,279.8,10071.9,36
71,0,28308,Troy Kelly,279.4,10896.6,39
72,0,24361,Pat Perez,279.3,14241.9,51
73,0,20766,Padraig Harrington,278.8,8920.3,32
74,0,20070,Matt Bettencourt,278.6,10030.1,36
75,0,25345,Carl Pettersson,278.5,17825.9,64
75,0,06567,Vijay Singh,278.5,15596.9,56
77,0,26331,Charl Schwartzel,278.2,8625.2,31
78,0,24781,Hunter Mahan,277.9,15561.4,56
78,0,27770,Camilo Villegas,277.9,15842.2,57
80,0,29221,Webb Simpson,277.8,14165.5,51
81,0,29518,Brendan Steele,277.7,15553.3,56
81,0,25834,Daniel Summerhays,277.7,13608.1,49
83,0,31558,J.J. Killeen,277.6,15547.4,56
84,0,34021,Bud Cauley,277.3,21910.4,79
84,0,26287,Roland Thatcher,277.3,8596.8,31
86,0,32200,Roberto Castro,277.2,16911.9,61
87,0,29476,Kyle Reifers,277.1,15520.4,56
88,0,23353,J.J. Henry,276.8,11070.9,40
88,0,12782,Tim Herron,276.8,17995.0,65
90,0,26300,Matt Jones,276.7,8023.5,29
91,0,06527,Steve Stricker,276.5,12165.5,44
92,0,23541,Ben Crane,276.4,16032.0,58
93,0,22913,John Rollins,276.3,17408.2,63
94,0,23903,Stephen Gangluff,276.1,8282.8,30
95,0,20574,Mathew Goggin,276.0,12974.1,47
95,0,28475,Jeff Overton,276.0,21254.0,77
95,0,26289,Boo Weekley,276.0,13524.8,49
98,0,23788,D.J. Trahan,275.7,10753.5,39
99,0,28259,Sangmoon Bae,275.5,13774.3,50
100,0,27933,John Merrick,275.4,15697.5,57
101,0,28093,Miguel Angel Carballo,275.3,11837.3,43
102,0,23621,Rory Sabbatini,275.2,15962.8,58
102,0,27649,Brandt Snedeker,275.2,15136.2,55
104,0,29420,Billy Horschel,275.1,11552.4,42
105,0,29926,Danny Lee,274.8,10991.2,40
106,0,30852,Ryo Ishikawa,274.5,6861.6,25
106,0,32150,Michael Thompson,274.5,14546.4,53
108,0,26758,David Hearn,274.1,18090.5,66
109,0,28307,Matt Every,274.0,12332.1,45
110,0,23548,Bill Lunde,273.3,15032.7,55
111,0,10885,Robert Allenby,273.2,13385.4,49
112,0,01766,Billy Mayfair,272.9,18287.3,67
112,0,25396,Kevin Na,272.9,14192.9,52
114,0,34174,John Huh,272.8,19095.2,70
115,0,24846,Ricky Barnes,272.3,15792.6,58
116,0,12510,Chad Campbell,272.2,16604.6,61
117,0,27895,Jonas Blixt,271.7,14402.6,53
117,0,23638,Brendon de Jonge,271.7,21461.2,79
117,0,26476,Chez Reavie,271.7,15213.7,56
120,0,22378,Trevor Immelman,271.5,12489.4,46
121,0,23325,Vaughn Taylor,271.4,13570.9,50
121,0,20160,Charlie Wi,271.4,14385.1,53
123,0,28455,Will Claxton,271.3,18991.5,70
123,0,27644,Brian Harman,271.3,19806.9,73
123,0,27974,Sung Kang,271.3,12210.7,45
126,0,25686,Jason Dufner,271.2,14642.4,54
127,0,25892,Steve Wheatcroft,270.9,8941.1,33
128,0,29479,Scott Brown,270.7,10288.5,38
129,0,27963,Chris Stroud,270.3,15134.2,56
130,0,31202,William McGirt,270.2,17560.6,65
130,0,24138,Ian Poulter,270.2,9727.8,36
132,0,23542,Tommy Biershenk,270.0,12152.2,45
133,0,20098,Stuart Appleby,269.8,14298.9,53
134,0,26596,Ryan Moore,269.7,20229.4,75
134,0,24663,Y.E. Yang,269.7,8900.8,33
136,0,29478,Kevin Kisner,269.5,12397.0,46
136,0,25457,Alexandre Rocha,269.5,9970.2,37
138,0,29910,Blake Adams,269.4,14276.3,53
139,0,06034,Marco Dawson,269.2,8885.2,33
140,0,21407,Arjun Atwal,268.1,14478.1,54
141,0,35139,Richard Lee,268.0,11791.3,44
141,0,20572,Rod Pampling,268.0,15545.5,58
143,0,08725,Tom Gillis,267.7,15525.6,58
143,0,30927,Brendon Todd,267.7,13115.9,49
145,0,23983,Luke Donald,267.3,12028.1,45
145,0,25572,Graeme McDowell,267.3,9888.3,37
147,0,26951,Johnson Wagner,267.2,17365.7,65
148,0,23800,Bryce Molder,266.9,16545.4,62
149,0,25240,D.A. Points,266.8,17072.7,64
150,0,28087,Kris Blanks,266.6,12527.9,47
150,0,01320,Bob Estes,266.6,13327.7,50
150,0,10213,Dicky Pride,266.6,11462.9,43
153,0,23718,Nathan Green,266.5,9326.1,35
154,0,21731,Freddie Jacobson,266.2,10116.3,38
155,0,22621,Ben Curtis,265.2,12996.8,49
156,0,24507,Jason Bohn,264.8,14299.9,54
157,0,01724,Jeff Maggert,264.2,17701.0,67
157,0,21878,Mark Wilson,264.2,15061.8,57
159,0,21350,Ryuji Imada,264.0,12406.7,47
159,0,27466,Spencer Levin,264.0,13991.9,53
161,0,12652,Cameron Beckman,263.8,14508.2,55
161,0,23108,Matt Kuchar,263.8,17149.2,65
163,0,01797,Rocco Mediate,263.7,12922.1,49
164,0,24024,Zach Johnson,263.6,17927.7,68
165,0,24604,Hunter Haas,263.5,9221.8,35
166,0,33122,Russell Knox,263.4,12641.9,48
166,0,22582,Kyle Thompson,263.4,7639.9,29
168,0,27060,John Mallinger,263.3,13954.4,53
169,0,10809,Jim Furyk,263.1,14207.1,54
170,0,23204,Gary Christian,262.8,14452.6,55
170,0,27556,Ted Potter Jr.,262.8,12879.3,49
172,0,24357,K.J. Choi,262.5,11549.6,44
173,0,02206,David Toms,261.9,9689.3,37
174,0,22548,Patrick Sheehan,261.5,8631.0,33
175,0,20104,Ken Duke,261.0,19311.2,74
175,0,22293,Heath Slocum,261.0,16445.3,63
177,0,06036,Scott Dunlap,260.7,8602.6,33
178,0,01941,Tom Pernice Jr.,260.0,11181.0,43
179,0,20593,Greg Chalmers,259.6,17393.1,67
180,0,21753,Brian Davis,259.1,18657.8,72
181,0,19846,Brian Gay,258.2,18332.5,71
182,0,06004,Stephen Ames,257.7,7215.9,28
183,0,06251,Chris DiMarco,257.3,14406.1,56
184,0,22961,David Mathis,257.1,14652.8,57
185,0,10860,Justin Leonard,256.9,13099.4,51
186,0,08075,Jerry Kelly,256.8,17205.6,67
187,0,30711,Colt Knost,256.1,14599.0,57
188,0,29222,Billy Hurley III,253.5,11155.7,44
189,0,23135,Tim Clark,252.6,12375.0,49
190,0,20623,Gavin Coles,248.7,10942.6,44
191,0,22348,Nick O'Hern,246.3,12314.0,50
