RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,26758,David Hearn,14.06,1124.65,80
2,0,02206,David Toms,13.99,559.68,40
3,0,23325,Vaughn Taylor,13.40,737.00,55
4,0,01766,Billy Mayfair,13.38,949.83,71
5,0,23320,Ryan Palmer,13.35,907.93,68
6,0,34021,Bud Cauley,13.32,1185.87,89
7,0,19846,Brian Gay,13.16,960.57,73
8,0,01724,Jeff Maggert,13.14,985.73,75
9,0,01249,John Daly,13.13,394.01,30
10,0,27120,Troy Matteson,13.10,903.89,69
11,0,27141,J.B. Holmes,12.97,920.91,71
12,0,21878,Mark Wilson,12.75,854.50,67
13,0,08075,Jerry Kelly,12.68,925.46,73
14,0,06522,Ernie Els,12.67,772.65,61
15,0,23542,Tommy Biershenk,12.64,682.68,54
16,0,33141,Keegan Bradley,12.61,731.53,58
16,0,27649,Brandt Snedeker,12.61,782.01,62
18,0,30110,Kyle Stanley,12.59,667.28,53
19,0,23135,Tim Clark,12.37,680.13,55
20,0,21805,Harrison Frazar,12.32,517.38,42
20,0,24358,Robert Garrigus,12.32,813.12,66
22,0,23541,Ben Crane,12.29,810.96,66
22,0,24024,Zach Johnson,12.29,909.77,74
24,0,26287,Roland Thatcher,12.27,453.96,37
25,0,30750,Tommy Gainey,12.26,1054.14,86
26,0,29420,Billy Horschel,12.20,561.01,46
27,0,21753,Brian Davis,12.12,981.36,81
28,0,24494,Erik Compton,12.05,650.62,54
29,0,22405,Justin Rose,11.99,599.75,50
30,0,29518,Brendan Steele,11.98,730.78,61
31,0,22621,Ben Curtis,11.96,621.74,52
32,0,27330,Josh Teater,11.94,955.26,80
33,0,32150,Michael Thompson,11.93,727.85,61
34,0,23623,Bo Van Pelt,11.91,750.27,63
35,0,27302,Garth Mulroy,11.89,475.73,40
36,0,28089,Jason Day,11.88,499.03,42
36,0,34174,John Huh,11.88,973.78,82
38,0,27974,Sung Kang,11.87,628.92,53
39,0,29479,Scott Brown,11.86,521.92,44
39,0,27436,Graham DeLaet,11.86,735.38,62
41,0,10885,Robert Allenby,11.79,719.40,61
41,0,25457,Alexandre Rocha,11.79,566.06,48
43,0,30926,Chris Kirk,11.75,963.47,82
43,0,01797,Rocco Mediate,11.75,634.45,54
43,0,26476,Chez Reavie,11.75,704.95,60
46,0,20850,Daniel Chopra,11.74,481.20,41
