RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,28089,Jason Day,67.9,19,28,-6.00
2,0,34306,John Chin,65.7,23,35,-4.00
2,0,34264,Hudson Swafford,65.7,23,35,-4.00
4,0,21209,Sergio Garcia,63.6,14,22,-1.00
5,0,33418,Shawn Stefani,63.4,26,41,-4.00
6,0,32839,Hideki Matsuyama,61.9,39,63,-5.00
7,0,23320,Ryan Palmer,61.8,34,55,-7.00
8,0,37189,Harold Varner III,61.7,37,60,-7.00
9,0,01810,Phil Mickelson,61.3,19,31,-7.00
10,0,36852,Jim Knous,61.1,22,36,-4.00
11,0,27330,Josh Teater,60.5,26,43,-2.00
12,0,29420,Billy Horschel,60.0,45,75,-4.00
12,0,21731,Freddie Jacobson,60.0,21,35,E
14,0,46501,Ollie Schniederjans,59.7,43,72,-13.00
15,0,29484,Peter Uihlein,59.6,34,57,-6.00
15,0,27064,Jhonattan Vegas,59.6,34,57,-4.00
17,0,32102,Rickie Fowler,58.9,33,56,-10.00
18,0,35449,Adam Long,58.2,39,67,-5.00
19,0,25804,Bubba Watson,58.1,18,31,-9.00
20,0,35732,Wes Roach,57.1,12,21,-1.00
20,0,35891,Cameron Smith,57.1,32,56,-8.00
22,0,29478,Kevin Kisner,56.9,29,51,+2.00
22,0,40115,Adam Svensson,56.9,29,51,-10.00
24,0,39324,J.J. Spaun,56.4,31,55,-8.00
25,0,36689,Brooks Koepka,56.1,23,41,-7.00
26,0,29725,Tony Finau,56.0,28,50,-3.00
27,0,23353,J.J. Henry,55.9,19,34,-1.00
27,0,47347,Adam Schenk,55.9,38,68,-6.00
29,0,40026,Daniel Berger,55.8,24,43,E
30,0,27349,Alex Noren,55.3,21,38,-7.00
31,0,34099,Harris English,55.2,32,58,-11.00
32,0,33399,Adam Hadwin,55.1,27,49,-2.00
33,0,30110,Kyle Stanley,54.8,23,42,-5.00
34,0,28775,Nate Lashley,54.7,29,53,-6.00
35,0,37380,Curtis Luck,54.5,18,33,-5.00
36,0,34046,Jordan Spieth,53.7,29,54,-7.00
37,0,20472,Alex Cejka,53.6,15,28,-2.00
37,0,39954,Cody Gribble,53.6,30,56,-6.00
39,0,32640,Troy Merritt,53.5,23,43,-6.00
40,0,34360,Patrick Reed,53.4,39,73,-14.00
40,0,32150,Michael Thompson,53.4,31,58,-2.00
42,0,52372,Cameron Champ,53.3,24,45,-4.00
43,0,39997,Corey Conners,53.2,25,47,-3.00
43,0,23108,Matt Kuchar,53.2,25,47,-7.00
43,0,22405,Justin Rose,53.2,33,62,-10.00
43,0,35617,Martin Trainer,53.2,25,47,-9.00
47,0,24361,Pat Perez,52.9,18,34,-7.00
47,0,27556,Ted Potter Jr.,52.9,27,51,-12.00
49,0,34563,Chesson Hadley,52.5,32,61,-7.00
50,0,24502,Adam Scott,52.4,22,42,-5.00
50,0,32139,Danny Willett,52.4,22,42,-3.00
52,0,24925,Jonathan Byrd,52.2,12,23,-2.00
53,0,30946,Alex Prugh,52.1,25,48,-2.00
54,0,47959,Bryson DeChambeau,52.0,26,50,-11.00
55,0,31646,Emiliano Grillo,51.8,29,56,-3.00
56,0,28237,Rory McIlroy,51.7,15,29,-7.00
56,0,25632,Jimmy Walker,51.7,30,58,E
58,0,39975,Michael Kim,51.2,22,43,-1.00
58,0,26596,Ryan Moore,51.2,21,41,-6.00
60,0,25364,Paul Casey,51.1,23,45,-6.00
60,0,33122,Russell Knox,51.1,23,45,-6.00
62,0,34021,Bud Cauley,50.8,31,61,-11.00
63,0,35461,Beau Hossler,50.6,39,77,-11.00
64,0,29479,Scott Brown,50.0,29,58,-6.00
64,0,47504,Sam Burns,50.0,23,46,-3.00
64,0,45157,Cam Davis,50.0,14,28,-2.00
64,0,25686,Jason Dufner,50.0,23,46,-4.00
64,0,40098,Matt Fitzpatrick,50.0,13,26,-3.00
64,0,19846,Brian Gay,50.0,28,56,-4.00
64,0,26758,David Hearn,50.0,10,20,-1.00
64,0,24024,Zach Johnson,50.0,25,50,-4.00
64,0,37454,Whee Kim,50.0,19,38,-2.00
64,0,30944,Jason Kokrak,50.0,26,52,-6.00
64,0,25818,Scott Piercy,50.0,32,64,-9.00
64,0,37275,Sam Ryder,50.0,28,56,-7.00
64,0,23325,Vaughn Taylor,50.0,35,70,-10.00
64,0,33419,Cameron Tringale,50.0,18,36,-4.00
64,0,26951,Johnson Wagner,50.0,16,32,-4.00
79,0,27958,Ryan Blaum,49.2,31,63,-13.00
79,0,48081,Xander Schauffele,49.2,31,63,-7.00
81,0,35421,Brandon Harkins,49.1,26,53,-9.00
82,0,24924,Bill Haas,49.0,25,51,-5.00
82,0,34363,Tyrrell Hatton,49.0,25,51,-3.00
82,0,24138,Ian Poulter,49.0,24,49,-8.00
85,0,30191,Julián Etulain,48.9,22,45,-3.00
86,0,25572,Graeme McDowell,48.8,21,43,-2.00
86,0,26329,Louis Oosthuizen,48.8,20,41,-4.00
88,0,49303,Anders Albertson,48.7,19,39,-3.00
89,0,29221,Webb Simpson,48.5,16,33,-1.00
90,0,27644,Brian Harman,48.4,31,64,-4.00
91,0,35450,Patrick Cantlay,47.8,22,46,-5.00
91,0,31420,Anirban Lahiri,47.8,32,67,-7.00
93,0,33448,Justin Thomas,47.6,20,42,-4.00
94,0,30786,Brady Schnell,47.1,16,34,-6.00
95,0,26300,Matt Jones,46.7,35,75,-9.00
96,0,32757,Patton Kizzire,46.5,20,43,-5.00
97,0,27095,Nick Watney,46.4,32,69,-5.00
98,0,27129,Luke List,46.3,25,54,-5.00
99,0,39971,Sungjae Im,46.2,42,91,-12.00
100,0,33141,Keegan Bradley,46.0,23,50,-3.00
100,0,25900,Lucas Glover,46.0,29,63,-6.00
102,0,26499,Rafa Cabrera Bello,45.9,17,37,-3.00
102,0,36799,Stephan Jaeger,45.9,17,37,-2.00
104,0,22371,Aaron Baddeley,45.7,16,35,-2.00
104,0,32816,Satoshi Kodaira,45.7,16,35,+3.00
106,0,48822,Sebastián Muñoz,45.3,24,53,-7.00
107,0,30978,Kiradech Aphibarnrat,45.2,14,31,-4.00
107,0,06522,Ernie Els,45.2,14,31,E
107,0,10809,Jim Furyk,45.2,14,31,-3.00
110,0,37455,Si Woo Kim,45.1,23,51,+1.00
110,0,37340,Chase Wright,45.1,23,51,-6.00
112,0,28259,Sangmoon Bae,44.8,13,29,-3.00
112,0,27649,Brandt Snedeker,44.8,30,67,-6.00
114,0,26851,Marc Leishman,44.7,17,38,-7.00
115,0,29926,Danny Lee,44.6,29,65,-7.00
116,0,45609,Tyler Duncan,44.4,20,45,-4.00
116,0,49766,Hank Lebioda,44.4,20,45,-4.00
116,0,20572,Rod Pampling,44.4,16,36,-1.00
116,0,25493,Nick Taylor,44.4,32,72,-7.00
120,0,30911,Tommy Fleetwood,44.2,19,43,-1.00
121,0,30692,Scott Stallings,44.0,22,50,-4.00
122,0,49960,Sepp Straka,43.8,14,32,E
123,0,33486,Roger Sloan,43.7,31,71,-3.00
124,0,35879,Kelly Kraft,43.5,27,62,-5.00
124,0,27214,Kevin Streelman,43.5,20,46,-4.00
126,0,46970,Jon Rahm,43.4,23,53,-10.00
127,0,33948,Byeong Hun An,43.2,19,44,-5.00
127,0,51766,Wyndham Clark,43.2,19,44,-4.00
127,0,25198,Francesco Molinari,43.2,16,37,+1.00
130,0,49771,J.T. Poston,42.9,36,84,-9.00
131,0,29535,Brice Garnett,42.5,17,40,-7.00
132,0,34076,Joel Dahmen,42.4,25,59,-4.00
133,0,29974,Branden Grace,42.2,19,45,-2.00
133,0,27974,Sung Kang,42.2,27,64,-2.00
135,0,32058,José de Jesús Rodríguez,42.1,16,38,-2.00
136,0,34098,Russell Henley,42.0,21,50,-5.00
136,0,39546,Keith Mitchell,42.0,21,50,-7.00
136,0,28252,Seamus Power,42.0,21,50,-4.00
139,0,33410,Andrew Landry,41.7,15,36,+1.00
139,0,47128,Richy Werenski,41.7,25,60,-5.00
141,0,34466,Peter Malnati,41.4,29,70,-2.00
141,0,33667,Carlos Ortiz,41.4,24,58,-4.00
143,0,23621,Rory Sabbatini,41.3,26,63,-3.00
144,0,35532,Tom Hoge,40.6,26,64,-4.00
145,0,34431,Robert Streb,40.4,19,47,-7.00
146,0,21961,Charles Howell III,40.3,29,72,-3.00
147,0,45526,Abraham Ancer,40.0,18,45,-2.00
147,0,29970,Dylan Frittelli,40.0,18,45,-5.00
147,0,39327,Ben Silverman,40.0,16,40,-5.00
147,0,21528,Henrik Stenson,40.0,10,25,-2.00
151,0,27141,J.B. Holmes,39.6,19,48,E
152,0,30925,Dustin Johnson,39.5,15,38,-5.00
153,0,36699,Patrick Rodgers,39.4,13,33,-5.00
153,0,29518,Brendan Steele,39.4,13,33,-1.00
155,0,35376,Roberto Díaz,39.3,11,28,-2.00
156,0,27936,Martin Laird,39.2,20,51,-2.00
157,0,46601,Trey Mullinax,39.1,25,64,-5.00
158,0,31323,Gary Woodland,39.0,23,59,-4.00
159,0,29268,Bronson Burgoon,38.9,14,36,-3.00
160,0,34256,Andrew Putnam,38.7,24,62,-7.00
161,0,12716,Charley Hoffman,38.6,17,44,-3.00
162,0,31560,Brian Stuard,38.1,16,42,-4.00
163,0,46402,Talor Gooch,37.8,14,37,-1.00
164,0,39977,Max Homa,37.7,26,69,-6.00
164,0,29223,Sam Saunders,37.7,23,61,-1.00
166,0,26476,Chez Reavie,37.2,16,43,E
167,0,47856,Seth Reeves,37.1,13,35,-1.00
168,0,47990,Kyle Jones,36.8,14,38,-1.00
169,0,45486,Joaquin Niemann,35.8,24,67,-8.00
170,0,32791,K.H. Lee,35.7,20,56,-3.00
171,0,47993,Denny McCarthy,35.1,20,57,-5.00
172,0,27963,Chris Stroud,34.5,20,58,-8.00
173,0,27895,Jonas Blixt,34.0,16,47,-4.00
174,0,40009,Dominic Bozzelli,33.3,16,48,-4.00
174,0,35506,Mackenzie Hughes,33.3,22,66,-1.00
174,0,34261,Scott Langley,33.3,12,36,-2.00
177,0,46435,Austin Cook,32.4,12,37,-1.00
178,0,25396,Kevin Na,32.3,10,31,E
