RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
1,0,01724,Jeff Maggert,354,23
2,0,01677,Tom Lehman,327,93
3,0,02010,Loren Roberts,285,92
4,0,01024,Billy Andrade,255,22
4,0,06527,Steve Stricker,255,63
6,0,02146,Payne Stewart,251,30
7,0,01040,Emlyn Aubrey,249,11
8,0,01139,Olin Browne,247,44
8,0,01475,Donnie Hammond,247,9
8,0,10860,Justin Leonard,247,27
11,0,01116,Michael Bradley,245,58
12,0,01701,Bob Lohr,240,6
12,0,01996,Mike Reid,240,22
14,0,10215,Charlie Rymer,222,13
15,0,01185,Brandel Chamblee,218,8
16,0,01219,John Cook,215,7
17,0,01060,Dave Barr,208,2
18,0,09011,David Duval,205,43
19,0,01132,Mark Brooks,201,34
20,0,01783,Mark McCumber,199,13
21,0,01093,Ronnie Black,198,10
21,0,01510,Nolan Henke,198,23
23,0,01938,David Peoples,197,39
24,0,02186,Brian Tennyson,195,8
25,0,01331,Rick Fehr,194,15
26,0,01142,Bart Bryant,193,20
26,0,01968,Nick Price,193,56
28,0,07235,John Morse,192,31
29,0,06066,Gary Rusnak,191,19
30,0,01690,Bruce Lietzke,190,11
31,0,06617,Brian Henninger,189,21
32,0,06332,Neal Lancaster,188,29
33,0,01569,Peter Jacobsen,187,11
34,0,02104,Jeff Sluman,186,39
35,0,01414,Bob Gilder,182,20
36,0,10649,Tom Scherrer,180,97
37,0,01468,Gary Hallberg,179,8
37,0,02008,Lee Rinker,179,19
39,0,01824,Yoshinori Mizumaki,176,31
39,0,01949,Mark Pfeil,176,61
41,0,01203,Russ Cochran,175,17
42,0,02007,Larry Rinker,174,4
43,0,01797,Rocco Mediate,173,22
44,0,20095,Carl Paulson,172,32
45,0,01196,Brian Claar,170,0
45,0,01378,David Frost,170,11
45,0,01958,Dan Pohl,170,53
48,0,01753,Rik Massengale,169,3
48,0,12660,Jesper Parnevik,169,2
50,0,02167,Mike Sullivan,166,3
51,0,06577,John Wilson,165,62
52,0,01571,Barry Jaeckel,164,24
53,0,01549,Mike Hulbert,163,39
53,0,02242,Lanny Wadkins,163,50
55,0,06214,Guy Boros,162,1
55,0,12626,Joey Gullion,162,0
55,0,08375,Paul Stankowski,162,23
58,0,02023,Clarence Rose,160,1
59,0,06012,Greg Kraft,159,16
60,0,01306,David Edwards,157,20
61,0,20098,Stuart Appleby,156,102
62,0,01133,Billy Ray Brown,155,10
62,0,01226,Fred Couples,155,90
62,0,10203,Bryan Gorman,155,10
65,0,01766,Billy Mayfair,154,67
66,0,01346,Ed Fiori,153,11
66,0,02099,Scott Simpson,153,46
68,0,02246,Duffy Waldorf,152,9
69,0,01161,Mark Calcavecchia,151,58
70,0,06315,Pete Jordan,150,3
70,0,01928,Corey Pavin,150,46
