RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,08075,Jerry Kelly,63' 1",63.083,1,63,63
2,0,12602,Dean Wilson,44' 2",88.333,2,51,38
3,0,06012,Greg Kraft,41' 3",82.417,2,41,41
4,0,21461,Kenneth Ferrie,39' 11",39.917,1,40,40
5,0,24924,Bill Haas,36' 0",143.833,4,64,12
6,0,02223,Bob Tway,34' 8",69.333,2,42,27
7,0,01320,Bob Estes,33' 6",100.583,3,60,6
8,0,23718,Nathan Green,33' 3",66.500,2,36,30
9,0,20157,Retief Goosen,31' 9",31.750,1,32,32
10,0,01766,Billy Mayfair,30' 1",120.417,4,58,4
11,0,22806,Doug LaBelle II,29' 11",29.917,1,30,30
12,0,10885,Robert Allenby,29' 10",59.667,2,34,26
13,0,24490,George McNeill,29' 4",146.750,5,61,6
14,0,27933,John Merrick,28' 6",113.917,4,45,16
15,0,20229,Stewart Cink,28' 3",254.583,9,61,4
16,0,23621,Rory Sabbatini,28' 0",112.000,4,62,12
17,0,08385,Omar Uresti,27' 9",27.750,1,28,28
18,0,12652,Cameron Beckman,27' 8",55.250,2,38,17
19,0,21878,Mark Wilson,27' 1",108.250,4,48,5
20,0,12309,Bob Sowards,26' 8",79.917,3,52,3
21,0,01142,Bart Bryant,25' 10",25.833,1,26,26
22,0,07457,Steve Flesch,25' 7",153.250,6,66,11
23,0,20160,Charlie Wi,24' 7",171.917,7,61,2
24,0,23497,Tag Ridings,24' 5",73.333,3,31,19
25,0,23797,Brett Rumford,24' 4",48.583,2,27,22
26,0,01724,Jeff Maggert,24' 3",48.417,2,39,10
27,0,01810,Phil Mickelson,23' 9",95.083,4,43,3
28,0,01677,Tom Lehman,23' 3",69.833,3,52,8
29,0,06004,Stephen Ames,23' 2",23.167,1,23,23
30,0,20663,Brenden Pappas,22' 11",160.500,7,38,10
31,0,20572,Rod Pampling,22' 7",45.167,2,25,21
32,0,01473,Todd Hamilton,22' 6",44.917,2,35,10
33,0,06621,Joe Durant,22' 2",132.750,6,48,6
34,0,30925,Dustin Johnson,21' 7",129.667,6,39,8
35,0,21209,Sergio Garcia,21' 6",21.500,1,22,22
36,0,01941,Tom Pernice Jr.,21' 4",149.167,7,45,8
37,0,20378,Mathias Grönberg,21' 2",190.333,9,39,5
38,0,01024,Billy Andrade,21' 0",21.000,1,21,21
38,0,26289,Boo Weekley,21' 0",62.917,3,35,11
40,0,01945,Kenny Perry,20' 11",20.917,1,21,21
41,0,19803,Ryan Armour,20' 10",62.417,3,28,6
42,0,27060,John Mallinger,20' 7",20.583,1,21,21
43,0,26476,Chez Reavie,20' 6",41.000,2,21,21
44,0,20850,Daniel Chopra,20' 3",101.083,5,48,5
45,0,01797,Rocco Mediate,20' 2",60.500,3,28,10
46,0,23778,Brad Adamonis,20' 1",80.167,4,44,7
47,0,23157,Richard Johnson,20' 0",80.000,4,52,3
47,0,27936,Martin Laird,20' 0",159.667,8,52,2
47,0,24449,Parker McLachlin,20' 0",100.000,5,43,2
50,0,22582,Kyle Thompson,19' 11",19.917,1,20,20
51,0,12823,Carlos Franco,19' 8",59.000,3,41,7
51,0,27963,Chris Stroud,19' 8",98.500,5,35,7
53,0,12826,Paul Claxton,19' 6",19.500,1,20,20
54,0,12510,Chad Campbell,19' 4",212.583,11,45,4
54,0,26300,Matt Jones,19' 4",115.917,6,40,3
56,0,24925,Jonathan Byrd,19' 2",95.917,5,40,2
57,0,20105,Jeff Gove,19' 1",38.167,2,32,6
58,0,23108,Matt Kuchar,18' 8",74.667,4,41,1"
59,0,26500,Alejandro Cañizares,18' 5",73.583,4,40,3
59,0,24361,Pat Perez,18' 5",129.000,7,46,3
61,0,06197,Michael Allen,18' 3",127.583,7,54,4
62,0,01226,Fred Couples,18' 0",54.000,3,22,16
62,0,22548,Patrick Sheehan,18' 0",54.083,3,25,10
62,0,27770,Camilo Villegas,18' 0",107.833,6,37,5
65,0,01707,Steve Lowery,17' 8",70.583,4,49,1"
66,0,10423,Mike Weir,17' 5",34.750,2,21,13
67,0,06034,Marco Dawson,17' 4",17.333,1,17,17
67,0,06573,Brandt Jobe,17' 4",52.000,3,29,3
67,0,02002,John Riegger,17' 4",86.500,5,35,3
70,0,27561,Nick Flanagan,17' 0",101.750,6,39,4
70,0,07749,Brett Quigley,17' 0",17.000,1,17,17
72,0,02206,David Toms,16' 11",33.833,2,24,10
73,0,28158,Steve Marino,16' 10",84.167,5,39,4
74,0,23614,Rich Beem,16' 8",116.583,7,32,8
74,0,01706,Davis Love III,16' 8",99.750,6,36,2
76,0,07547,Craig Kanada,16' 7",33.083,2,26,7
76,0,25396,Kevin Na,16' 7",66.333,4,25,8
78,0,26668,Marc Turnesa,16' 6",32.917,2,30,3
79,0,01553,John Huston,16' 2",16.167,1,16,16
80,0,20645,John Senden,16' 0",48.083,3,27,4
81,0,20127,Chris Riley,15' 9",15.750,1,16,16
82,0,07867,Woody Austin,15' 8",62.583,4,24,4
82,0,19913,Ron Whittaker,15' 8",47.000,3,30,3
84,0,11032,Frank Lickliter II,15' 7",124.417,8,26,2
85,0,27214,Kevin Streelman,15' 5",108.167,7,49,3
85,0,10425,Jay Williamson,15' 5",46.250,3,38,3
87,0,30750,Tommy Gainey,15' 4",61.167,4,34,3
88,0,20433,Mark Hensby,15' 2",60.583,4,34,5
89,0,20443,Jin Park,15' 1",45.250,3,38,2
90,0,27120,Troy Matteson,15' 0",59.833,4,36,6
91,0,06595,Kevin Sutherland,14' 10",44.583,3,21,8
92,0,26679,Kevin Stadler,14' 8",58.500,4,20,6
92,0,23623,Bo Van Pelt,14' 8",87.833,6,29,9
94,0,25720,Chad Collins,14' 7",29.167,2,22,7
95,0,24227,Justin Bolli,14' 6",72.417,5,32,5
96,0,20104,Ken Duke,14' 5",57.667,4,36,2
96,0,24663,Y.E. Yang,14' 5",86.417,6,36,5
98,0,23541,Ben Crane,14' 3",14.250,1,14,14
99,0,21633,Steve Allan,13' 11",41.667,3,20,8
100,0,24358,Robert Garrigus,13' 10",55.417,4,19,11
101,0,21961,Charles Howell III,13' 6",80.750,6,34,6
102,0,22371,Aaron Baddeley,13' 2",65.917,5,55,2
102,0,25349,Tim Wilkinson,13' 2",52.667,4,39,5"
104,0,25345,Carl Pettersson,13' 1",65.250,5,37,4
104,0,25190,Jeff Quinney,13' 1",52.417,4,31,6
104,0,06527,Steve Stricker,13' 1",13.083,1,13,13
107,0,20098,Stuart Appleby,12' 8",12.667,1,13,13
108,0,24140,Sean O'Hair,12' 5",74.250,6,28,3
108,0,23788,D.J. Trahan,12' 5",49.667,4,21,3
110,0,27141,J.B. Holmes,12' 2",60.833,5,24,5
111,0,20623,Gavin Coles,12' 1",12.083,1,12,12
111,0,10860,Justin Leonard,12' 1",24.167,2,19,5
111,0,25842,Jon Mills,12' 1",36.333,3,21,7
114,0,06575,Dudley Hart,12' 0",12.000,1,12,12
114,0,23349,Charles Warren,12' 0",47.917,4,30,2
116,0,06251,Chris DiMarco,11' 11",11.917,1,12,12
116,0,26420,Richard Johnson,11' 11",23.750,2,18,6
116,0,24024,Zach Johnson,11' 11",23.750,2,13,10
116,0,21949,Joe Ogilvie,11' 11",23.833,2,18,6
120,0,12782,Tim Herron,11' 10",35.583,3,20,5
121,0,25804,Bubba Watson,11' 5",68.333,6,17,6
122,0,20574,Mathew Goggin,11' 4",33.917,3,21,9"
123,0,12716,Charley Hoffman,11' 3",67.250,6,18,5
123,0,12660,Jesper Parnevik,11' 3",22.417,2,19,4
125,0,01161,Mark Calcavecchia,11' 2",22.250,2,13,9
125,0,22892,Jason Gore,11' 2",33.500,3,15,8
125,0,28475,Jeff Overton,11' 2",33.417,3,17,5"
128,0,10505,Shane Bertsch,11' 1",11.083,1,11,11
128,0,27095,Nick Watney,11' 1",77.417,7,22,1"
130,0,24781,Hunter Mahan,11' 0",55.083,5,27,1
131,0,25900,Lucas Glover,10' 11",43.667,4,15,3
131,0,24912,Will MacKenzie,10' 11",65.500,6,20,2
133,0,06090,Jim McGovern,10' 8",21.333,2,11,10
134,0,08845,Scott Sterling,10' 5",31.167,3,16,3
135,0,10733,Kent Jones,10' 3",20.417,2,16,4
136,0,01313,Steve Elkington,10' 2",10.167,1,10,10
137,0,09011,David Duval,10' 1",30.250,3,21,4
138,0,10875,Todd Demsey,10' 0",30.083,3,20,2
139,0,22046,Geoff Ogilvy,9' 10",19.667,2,13,7
140,0,23048,Eric Axley,9' 9",68.000,7,18,4
140,0,01388,Robert Gamez,9' 9",19.500,2,10,9
142,0,28089,Jason Day,9' 2",27.417,3,13,6
143,0,25632,Jimmy Walker,9' 1",36.333,4,13,5
144,0,22621,Ben Curtis,9' 0",36.083,4,19,4
144,0,24502,Adam Scott,9' 0",27.083,3,16,4
146,0,28780,Nicholas Thompson,8' 11",62.333,7,18,2
147,0,20634,Peter Lonard,8' 8",43.250,5,12,3
148,0,10809,Jim Furyk,8' 7",17.167,2,12,5
149,0,27613,David Lutterus,8' 4",16.667,2,15,2
149,0,27649,Brandt Snedeker,8' 4",33.417,4,17,3
151,0,20498,Briny Baird,8' 3",32.917,4,15,3
152,0,29718,Anthony Kim,8' 0",48.083,6,18,3
153,0,06643,Paul Goydos,7' 9",15.500,2,8,7
153,0,22913,John Rollins,7' 9",54.417,7,18,7"
155,0,23353,J.J. Henry,7' 6",14.917,2,10,5
156,0,23135,Tim Clark,7' 2",21.500,3,9,4
157,0,21731,Freddie Jacobson,7' 0",7.000,1,7,7
158,0,22378,Trevor Immelman,6' 11",6.917,1,7,7
