RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,23621,Rory Sabbatini,3,42
1,0,24502,Adam Scott,3,32
1,0,23623,Bo Van Pelt,3,34
4,0,22371,Aaron Baddeley,2,27
4,0,32366,Kevin Chappell,2,40
4,0,28679,Fabián Gómez,2,42
4,0,33399,Adam Hadwin,2,40
4,0,33461,Morgan Hoffmann,2,24
4,0,35532,Tom Hoge,2,38
4,0,27141,J.B. Holmes,2,36
4,0,29420,Billy Horschel,2,40
4,0,25396,Kevin Na,2,25
4,0,22046,Geoff Ogilvy,2,24
4,0,29221,Webb Simpson,2,42
4,0,28023,Byron Smith,2,26
4,0,32150,Michael Thompson,2,46
4,0,27770,Camilo Villegas,2,54
18,0,23048,Eric Axley,1,18
18,0,32334,Charlie Beljan,1,50
18,0,40058,Zac Blair,1,35
18,0,27895,Jonas Blixt,1,21
18,0,25369,Jamie Donaldson,1,11
18,0,20104,Ken Duke,1,53
18,0,34099,Harris English,1,30
18,0,28307,Matt Every,1,30
18,0,25191,Gonzalo Fernandez-Castaño,1,39
18,0,28500,Martin Flores,1,50
18,0,32102,Rickie Fowler,1,18
18,0,21209,Sergio Garcia,1,10
18,0,25900,Lucas Glover,1,69
18,0,34174,John Huh,1,44
18,0,30925,Dustin Johnson,1,19
18,0,37454,Whee Kim,1,23
18,0,30711,Colt Knost,1,24
18,0,36689,Brooks Koepka,1,28
18,0,30944,Jason Kokrak,1,41
18,0,29926,Danny Lee,1,42
18,0,33413,Ben Martin,1,39
18,0,32640,Troy Merritt,1,36
18,0,23800,Bryce Molder,1,27
18,0,23320,Ryan Palmer,1,22
18,0,34130,Sung Joon Park,1,41
18,0,25345,Carl Pettersson,1,44
18,0,25818,Scott Piercy,1,50
18,0,35451,Scott Pinckney,1,40
18,0,24138,Ian Poulter,1,22
18,0,30946,Alex Prugh,1,35
18,0,29476,Kyle Reifers,1,49
18,0,22405,Justin Rose,1,23
18,0,29223,Sam Saunders,1,33
18,0,20645,John Senden,1,30
18,0,22293,Heath Slocum,1,26
18,0,34046,Jordan Spieth,1,18
18,0,30692,Scott Stallings,1,35
18,0,27214,Kevin Streelman,1,28
18,0,27963,Chris Stroud,1,44
18,0,26951,Johnson Wagner,1,28
18,0,25804,Bubba Watson,1,29
18,0,31323,Gary Woodland,1,22
