RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,34098,Russell Henley,.99%,13,1314
2,0,48081,Xander Schauffele,1.05%,15,1422
3,0,45522,Christiaan Bezuidenhout,1.32%,18,1368
4,0,47679,Victor Perez,1.39%,18,1296
5,0,35506,Mackenzie Hughes,1.52%,26,1710
6,0,50525,Collin Morikawa,1.55%,22,1422
7,0,31646,Emiliano Grillo,1.70%,26,1530
8,0,47504,Sam Burns,1.75%,23,1314
9,0,52215,Robert MacIntyre,1.77%,23,1296
10,0,27644,Brian Harman,1.79%,28,1566
11,0,51997,Andrew Novak,1.81%,27,1494
12,0,22371,Aaron Baddeley,1.83%,24,1314
13,0,47993,Denny McCarthy,1.85%,29,1566
14,0,46046,Scottie Scheffler,1.88%,24,1278
14,0,24502,Adam Scott,1.88%,24,1278
16,0,55789,Taylor Montgomery,1.95%,19,972
17,0,57362,Austin Eckroat,1.98%,32,1620
17,0,34046,Jordan Spieth,1.98%,25,1260
19,0,46442,Maverick McNealy,1.99%,33,1656
19,0,33448,Justin Thomas,1.99%,24,1206
21,0,28089,Jason Day,2.01%,25,1242
21,0,51894,Vince Whaley,2.01%,26,1296
23,0,30911,Tommy Fleetwood,2.03%,26,1278
24,0,33141,Keegan Bradley,2.04%,29,1422
24,0,54421,Garrick Higgo,2.04%,29,1422
24,0,34256,Andrew Putnam,2.04%,29,1422
27,0,23108,Matt Kuchar,2.05%,27,1314
27,0,40250,Taylor Pendrith,2.05%,28,1368
29,0,48119,Ben Taylor,2.06%,23,1116
30,0,51766,Wyndham Clark,2.07%,25,1206
31,0,49960,Sepp Straka,2.09%,29,1386
32,0,37378,Min Woo Lee,2.10%,25,1188
33,0,56630,Akshay Bhatia,2.13%,33,1548
33,0,47591,Eric Cole,2.13%,41,1926
35,0,35450,Patrick Cantlay,2.14%,25,1170
35,0,46717,Viktor Hovland,2.14%,22,1026
35,0,39327,Ben Silverman,2.14%,30,1404
38,0,33653,Thomas Detry,2.16%,26,1206
39,0,52375,Doug Ghim,2.20%,36,1638
39,0,46414,Aaron Rai,2.20%,34,1548
41,0,37455,Si Woo Kim,2.21%,35,1584
42,0,59442,Parker Coody,2.22%,22,990
42,0,45609,Tyler Duncan,2.22%,28,1260
44,0,39971,Sungjae Im,2.23%,35,1566
45,0,36801,Mark Hubbard,2.24%,40,1782
45,0,59143,Mac Meissner,2.24%,29,1296
47,0,27214,Kevin Streelman,2.25%,28,1242
48,0,29420,Billy Horschel,2.27%,31,1368
49,0,36699,Patrick Rodgers,2.28%,41,1800
50,0,57975,Harry Hall,2.29%,33,1440
51,0,49947,Taylor Moore,2.30%,41,1782
52,0,32102,Rickie Fowler,2.31%,32,1386
52,0,28252,Seamus Power,2.31%,40,1728
52,0,32333,Kevin Tway,2.31%,25,1080
55,0,33399,Adam Hadwin,2.32%,33,1422
56,0,34099,Harris English,2.33%,39,1674
56,0,39975,Michael Kim,2.33%,34,1458
58,0,60004,Jacob Bridgeman,2.35%,33,1404
58,0,59836,Pierceson Coody,2.35%,33,1404
58,0,29908,C.T. Pan,2.35%,25,1062
61,0,39324,J.J. Spaun,2.36%,34,1440
62,0,52955,Ludvig Åberg,2.37%,32,1350
63,0,51977,Max Greyserman,2.38%,33,1386
63,0,54591,Ben Griffin,2.38%,48,2016
63,0,54628,Lee Hodges,2.38%,39,1638
66,0,25900,Lucas Glover,2.39%,40,1674
67,0,35461,Beau Hossler,2.42%,37,1530
67,0,28237,Rory McIlroy,2.42%,30,1242
67,0,27349,Alex Noren,2.42%,30,1242
67,0,49771,J.T. Poston,2.42%,37,1530
71,0,40098,Matt Fitzpatrick,2.43%,31,1278
72,0,45157,Cam Davis,2.45%,34,1386
73,0,51349,Nico Echavarria,2.46%,39,1584
73,0,22405,Justin Rose,2.46%,27,1098
75,0,34021,Bud Cauley,2.47%,24,972
