RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
404,0,54364,Stephen Stallings Jr.,22' 6",Barbasol,4,14 - Par 3
405,0,45242,Kevin Yu,22' 5",U.S. Open,1,7 - Par 3 -
406,0,46549,Craig Brischke,22' 5",3M Open,2,12 - Par 5
407,0,33155,James Allenby,22' 3",RBC Canadian,1,12 - Par 4
408,0,01388,Robert Gamez,22' 1",Arnold Palmer,2,3 - Par 4 -
409,0,28087,Kris Blanks,22' 1",Byron Nelson,1,16 - Par 4
410,0,57339,Étienne Brault,22' 0",RBC Canadian,1,10 - Par 4
411,0,35104,Tom Lewis,21' 10",WGC-Mexico,1,14 - Par 4
412,0,29370,Mikko Korhonen,21' 10",PGA Champ,1,9 - Par 4 -
413,0,55592,Joey Savoie,21' 7",RBC Canadian,2,5 - Par 4 -
414,0,21633,Steve Allan,21' 2",John Deere,1,15 - Par 4
415,0,54628,Lee Hodges,21' 1",The RSM Classic,1,6 - Par 3 -
416,0,24494,Erik Compton,21' 0",Honda Classic,1,9 - Par 4 -
417,0,24083,Marcus Fraser,20' 10",U.S. Open,2,15 - Par 4
418,0,31109,Richard Lee,20' 9",RBC Canadian,2,2 - Par 4 -
419,0,20574,Mathew Goggin,20' 6",Wells Fargo,1,15 - Par 5
420,0,57591,Cullan Brown,20' 5",Barbasol,2,1 - Par 4 -
421,0,30907,Rhys Enoch,20' 2",U.S. Open,4,12 - Par 3
422,0,47917,Takumi Kanaya,20' 1",Sony Open,1,16 - Par 4
423,0,06773,Lee Houtteman,20' 1",Rocket Mortgage,2,18 - Par 4
424,0,34296,Wes Homan,20' 0",Rocket Mortgage,2,18 - Par 4
425,0,54926,George Cunningham,19' 11",Shriners,3,10 - Par 4
426,0,32582,Eric Dugas,19' 11",Sony Open,1,2 - Par 4 -
427,0,39251,Ryan Ruffels,19' 10",Pebble Beach,3,15 - Par 4
428,0,09011,David Duval,19' 9",Pebble Beach,2,17 - Par 3
429,0,54687,Broc Everett,19' 8",Wells Fargo,2,18 - Par 4
430,0,40226,Andreas Halvorsen,19' 5",U.S. Open,2,11 - Par 4
431,0,21452,Steve Scott,19' 3",Wells Fargo,1,15 - Par 5
432,0,52144,Braden Thornberry,19' 1",Farmers,1,11 - Par 3
433,0,37212,Paul Barjon,19' 1",RBC Canadian,2,4 - Par 5 -
434,0,25345,Carl Pettersson,18' 11",Sanderson Farms,1,11 - Par 5
435,0,28483,Tyler Hall,18' 11",PGA Champ,2,14 - Par 3
436,0,35675,Nyasha Mauchaza,18' 11",3M Open,2,2 - Par 4 -
437,0,47983,Chad Ramey,18' 10",Sanderson Farms,2,2 - Par 4 -
438,0,52096,Adri Arnaus,18' 10",U.S. Open,4,11 - Par 4
439,0,55413,Luis Gagne,18' 10",U.S. Open,2,18 - Par 5
440,0,32367,Jorge Campillo,18' 9",PGA Champ,2,5 - Par 4 -
441,0,48699,Callum Tarren,18' 9",U.S. Open,1,9 - Par 4 -
442,0,36824,Paul Peterson,18' 9",Wyndham,4,11 - Par 4
443,0,26392,Chris Wilson,18' 6",Barbasol,2,18 - Par 4
444,0,46908,Mark Anguiano,18' 5",Safeway Open,2,15 - Par 3
445,0,52497,Darin Fisher,18' 2",John Deere,2,14 - Par 4
446,0,34449,Kevin O'Connell,18' 1",U.S. Open,1,3 - Par 4 -
447,0,56358,Hayden Shieh,18' 1",U.S. Open,2,13 - Par 4
448,0,48001,Zach Bauchou,18' 0",Rocket Mortgage,1,7 - Par 5 -
449,0,01200,Keith Clearwater,17' 10",Charles Schwab,2,13 - Par 3
450,0,33120,Mark Anderson,17' 8",RBC Heritage,2,11 - Par 4
451,0,10213,Dicky Pride,17' 7",John Deere,2,13 - Par 4
452,0,51863,Carter Page,17' 7",Wyndham,2,18 - Par 4
453,0,32662,Michael Gligic,17' 2",RBC Canadian,1,5 - Par 4 -
454,0,51563,Jovan Rebula,17' 2",U.S. Open,1,3 - Par 4 -
455,0,31559,Garrett Osborn,17' 1",Sanderson Farms,2,15 - Par 4
