RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,02206,David Toms,2.679,272.920,101.869,62,0235003029
2,0,06522,Ernie Els,2.671,295.295,110.543,38,0248103058
3,0,26596,Ryan Moore,2.652,288.810,108.888,68,0227503264
3,0,22293,Heath Slocum,2.652,274.759,103.595,44,0236002997
5,0,01706,Davis Love III,2.645,298.548,112.891,43,0208503147
6,0,23548,Bill Lunde,2.644,290.040,109.680,41,0238903047
7,0,26758,David Hearn,2.643,285.315,107.951,95,0232403419
8,0,31560,Brian Stuard,2.639,280.596,106.310,95,0225603149
9,0,25493,Nick Taylor,2.638,294.144,111.508,92,0228403031
10,0,25818,Scott Piercy,2.636,303.636,115.204,86,0217203214
11,0,25562,Andres Romero,2.635,300.777,114.141,50,0202502919
12,0,34409,David Lingmerth,2.633,290.668,110.379,86,0219503263
13,0,25804,Bubba Watson,2.632,325.042,123.515,53,0222203190
14,0,20771,Steven Alker,2.627,278.772,106.129,59,0200302920
15,0,10809,Jim Furyk,2.625,286.839,109.285,53,0235503063
15,0,20157,Retief Goosen,2.625,298.893,113.850,73,0175703143
17,0,29535,Brice Garnett,2.623,290.353,110.696,73,0221503001
18,0,30927,Brendon Todd,2.622,280.039,106.804,82,0218603065
19,0,30692,Scott Stallings,2.621,300.981,114.854,54,0225803165
20,0,21753,Brian Davis,2.620,276.416,105.493,85,0209303027
20,0,24140,Sean O'Hair,2.620,300.023,114.508,76,0198503364
22,0,26329,Louis Oosthuizen,2.619,300.008,114.569,45,0232603102
23,0,10885,Robert Allenby,2.618,287.950,109.973,60,0175503231
23,0,30736,Oscar Fraustro,2.618,290.150,110.827,43,0211403014
23,0,26476,Chez Reavie,2.618,286.188,109.321,60,0214902961
26,0,23353,J.J. Henry,2.616,297.823,113.840,73,0217403429
27,0,28089,Jason Day,2.615,314.211,120.158,61,0214403154
27,0,33461,Morgan Hoffmann,2.615,297.153,113.628,79,0230202908
29,0,10860,Justin Leonard,2.612,271.921,104.107,63,0199103203
30,0,22405,Justin Rose,2.611,305.711,117.098,54,0233603149
31,0,25349,Tim Wilkinson,2.609,280.928,107.692,60,0220503111
32,0,24924,Bill Haas,2.608,292.614,112.196,80,0209903305
32,0,29420,Billy Horschel,2.608,295.665,113.379,87,0173903096
32,0,24502,Adam Scott,2.608,313.645,120.267,37,0229403036
35,0,21878,Mark Wilson,2.605,279.450,107.254,83,0196403227
36,0,20848,Ángel Cabrera,2.604,305.092,117.143,51,0211003037
