RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,19846,Brian Gay,212,777,27.3
2,0,23718,Nathan Green,208,714,29.1
3,0,10733,Kent Jones,191,631,30.3
4,0,20850,Daniel Chopra,187,690,27.1
5,0,01139,Olin Browne,185,621,29.8
6,0,07457,Steve Flesch,183,737,24.8
7,0,07749,Brett Quigley,180,675,26.7
8,0,20121,Todd Fischer,179,657,27.2
9,0,28475,Jeff Overton,178,606,29.4
10,0,23497,Tag Ridings,177,658,26.9
11,0,07867,Woody Austin,173,688,25.1
12,0,01381,Fred Funk,171,592,28.9
12,0,12716,Charley Hoffman,171,624,27.4
14,0,25900,Lucas Glover,170,597,28.5
15,0,21350,Ryuji Imada,169,614,27.5
16,0,23048,Eric Axley,168,573,29.3
16,0,26360,Bubba Dickerson,168,569,29.5
18,0,27120,Troy Matteson,167,583,28.6
18,0,21949,Joe Ogilvie,167,578,28.9
18,0,02104,Jeff Sluman,167,592,28.2
21,0,10505,Shane Bertsch,166,647,25.7
21,0,01388,Robert Gamez,166,568,29.2
23,0,08123,Jeff Brehaut,165,562,29.4
23,0,01941,Tom Pernice Jr.,165,662,24.9
25,0,12645,Brent Geiberger,164,636,25.8
25,0,11032,Frank Lickliter II,164,603,27.2
25,0,24781,Hunter Mahan,164,600,27.3
25,0,12602,Dean Wilson,164,683,24.0
29,0,24507,Jason Bohn,163,606,26.9
29,0,12680,Shigeki Maruyama,163,604,27.0
29,0,01948,Tim Petrovic,163,589,27.7
32,0,06621,Joe Durant,162,631,25.7
32,0,26420,Richard Johnson,162,597,27.1
34,0,01042,Paul Azinger,161,587,27.4
35,0,23623,Bo Van Pelt,159,619,25.7
36,0,08075,Jerry Kelly,158,574,27.5
36,0,22405,Justin Rose,158,600,26.3
38,0,22946,Henrik Bjornstad,156,629,24.8
38,0,01329,Brad Faxon,156,545,28.6
38,0,24924,Bill Haas,156,608,25.7
38,0,07013,Wes Short Jr.,156,586,26.6
38,0,06567,Vijay Singh,156,617,25.3
38,0,27095,Nick Watney,156,612,25.5
44,0,19881,Robert Damron,155,589,26.3
45,0,08835,Kris Cox,154,492,31.3
45,0,21805,Harrison Frazar,154,562,27.4
45,0,21959,Ted Purdy,154,531,29.0
48,0,23320,Ryan Palmer,153,573,26.7
49,0,23409,James Driscoll,152,541,28.1
49,0,23325,Vaughn Taylor,152,579,26.3
51,0,21753,Brian Davis,151,552,27.4
51,0,22892,Jason Gore,151,502,30.1
51,0,01707,Steve Lowery,151,576,26.2
54,0,21646,David Branshaw,150,573,26.2
54,0,06595,Kevin Sutherland,150,583,25.7
56,0,24024,Zach Johnson,149,528,28.2
57,0,21407,Arjun Atwal,148,592,25.0
58,0,20229,Stewart Cink,146,541,27.0
59,0,20645,John Senden,145,505,28.7
59,0,23788,D.J. Trahan,145,533,27.2
61,0,02110,Jerry Smith,144,585,24.6
62,0,06197,Michael Allen,143,540,26.5
62,0,22371,Aaron Baddeley,143,533,26.8
64,0,06034,Marco Dawson,142,567,25.0
64,0,12660,Jesper Parnevik,142,533,26.6
64,0,25345,Carl Pettersson,142,547,26.0
64,0,23349,Charles Warren,142,518,27.4
68,0,20472,Alex Cejka,141,533,26.5
68,0,22548,Patrick Sheehan,141,602,23.4
70,0,20099,Doug Barron,140,513,27.3
71,0,01161,Mark Calcavecchia,139,567,24.5
71,0,01619,Skip Kendall,139,416,33.4
71,0,02246,Duffy Waldorf,139,554,25.1
74,0,06573,Brandt Jobe,138,458,30.1
75,0,01320,Bob Estes,137,514,26.7
75,0,20382,Stephen Leaney,137,554,24.7
75,0,02101,Joey Sindelar,137,492,27.8
78,0,20105,Jeff Gove,135,502,26.9
78,0,06515,Shaun Micheel,135,518,26.1
78,0,24140,Sean O'Hair,135,525,25.7
78,0,22913,John Rollins,135,508,26.6
78,0,10423,Mike Weir,135,456,29.6
83,0,20378,Mathias Grönberg,134,534,25.1
83,0,28780,Nicholas Thompson,134,500,26.8
85,0,24357,K.J. Choi,133,522,25.5
85,0,21961,Charles Howell III,133,523,25.4
85,0,20572,Rod Pampling,133,510,26.1
88,0,10809,Jim Furyk,132,485,27.2
89,0,20593,Greg Chalmers,131,425,30.8
89,0,01724,Jeff Maggert,131,441,29.7
89,0,27770,Camilo Villegas,131,574,22.8
92,0,23353,J.J. Henry,130,503,25.8
92,0,22378,Trevor Immelman,130,505,25.7
92,0,06012,Greg Kraft,130,470,27.7
92,0,10565,Ian Leggatt,130,482,27.0
92,0,23322,Brett Wetterich,130,498,26.1
97,0,12823,Carlos Franco,129,512,25.2
97,0,24358,Robert Garrigus,129,495,26.1
97,0,24912,Will MacKenzie,129,473,27.3
97,0,25240,D.A. Points,129,515,25.0
97,0,22293,Heath Slocum,129,527,24.5
97,0,02206,David Toms,129,448,28.8
97,0,19913,Ron Whittaker,129,474,27.2
104,0,06575,Dudley Hart,128,501,25.5
104,0,01766,Billy Mayfair,128,509,25.1
104,0,20127,Chris Riley,128,527,24.3
107,0,23614,Rich Beem,127,446,28.5
107,0,23135,Tim Clark,127,422,30.1
107,0,01553,John Huston,127,467,27.2
107,0,25804,Bubba Watson,127,482,26.3
107,0,21878,Mark Wilson,127,510,24.9
112,0,20098,Stuart Appleby,126,465,27.1
113,0,23541,Ben Crane,124,461,26.9
113,0,20094,Jonathan Kaye,124,538,23.0
113,0,02223,Bob Tway,124,460,27.0
116,0,11123,Chris Couch,121,418,28.9
116,0,12760,Danny Ellis,121,438,27.6
116,0,20631,David McKenzie,121,480,25.2
116,0,02239,Scott Verplank,121,497,24.3
120,0,20498,Briny Baird,120,457,26.3
120,0,01142,Bart Bryant,120,455,26.4
120,0,01706,Davis Love III,120,407,29.5
123,0,12782,Tim Herron,119,415,28.7
123,0,20628,Arron Oberholser,119,429,27.7
123,0,11011,Mike Sposa,119,416,28.6
126,0,01132,Mark Brooks,118,496,23.8
126,0,06643,Paul Goydos,118,443,26.6
126,0,21470,Daisuke Maruyama,118,478,24.7
126,0,23621,Rory Sabbatini,118,456,25.9
130,0,06251,Chris DiMarco,116,429,27.0
131,0,01035,Tommy Armour III,115,379,30.3
131,0,12510,Chad Campbell,115,453,25.4
131,0,01599,Steve Jones,115,474,24.3
131,0,01666,Bernhard Langer,115,428,26.9
135,0,01219,John Cook,114,394,28.9
136,0,25936,Alex Aragon,113,396,28.5
136,0,01577,Lee Janzen,113,489,23.1
138,0,01024,Billy Andrade,112,415,27.0
138,0,24925,Jonathan Byrd,112,386,29.0
138,0,22621,Ben Curtis,112,458,24.5
138,0,25632,Jimmy Walker,112,395,28.4
142,0,27141,J.B. Holmes,111,438,25.3
142,0,10860,Justin Leonard,111,454,24.4
144,0,08537,J.P. Hayes,110,382,28.8
145,0,25935,John Engler Jr.,109,429,25.4
145,0,20634,Peter Lonard,109,437,24.9
145,0,26596,Ryan Moore,109,420,26.0
145,0,12755,Vance Veazey,109,375,29.1
149,0,08375,Paul Stankowski,108,423,25.5
150,0,23616,Ryan Hietala,106,350,30.3
150,0,20691,Greg Owen,106,416,25.5
152,0,06350,Bob May,105,357,29.4
153,0,22046,Geoff Ogilvy,104,384,27.1
154,0,07223,Brian Bateman,102,402,25.4
154,0,21731,Freddie Jacobson,102,385,26.5
156,0,19824,Craig Barlow,100,395,25.3
156,0,09011,David Duval,100,381,26.2
156,0,01945,Kenny Perry,100,371,27.0
156,0,02214,Kirk Triplett,100,356,28.1
160,0,06527,Steve Stricker,99,397,24.9
161,0,10885,Robert Allenby,98,426,23.0
161,0,20548,Hidemichi Tanaka,98,444,22.1
163,0,01473,Todd Hamilton,97,408,23.8
163,0,01685,J.L. Lewis,97,356,27.2
165,0,08385,Omar Uresti,95,339,28.0
166,0,20157,Retief Goosen,94,330,28.5
166,0,01761,Len Mattiace,94,388,24.2
168,0,06522,Ernie Els,93,348,26.7
169,0,27943,Matt Hansen,92,391,23.5
170,0,06004,Stephen Ames,91,318,28.6
170,0,23983,Luke Donald,91,324,28.1
170,0,01928,Corey Pavin,91,390,23.3
170,0,21660,Jason Schultz,91,439,20.7
170,0,24502,Adam Scott,91,348,26.1
175,0,25842,Jon Mills,89,353,25.2
175,0,20812,Tjaart van der Walt,89,370,24.1
177,0,20574,Mathew Goggin,88,378,23.3
177,0,01810,Phil Mickelson,88,346,25.4
177,0,24138,Ian Poulter,88,305,28.9
180,0,20766,Padraig Harrington,87,282,30.9
180,0,01677,Tom Lehman,87,299,29.1
182,0,24361,Pat Perez,86,285,30.2
183,0,23307,Roger Tambellini,84,334,25.1
184,0,21209,Sergio Garcia,82,260,31.5
184,0,02106,Chris Smith,82,361,22.7
186,0,24980,Scott Gutschewski,80,294,27.2
187,0,12662,Thomas Levet,78,307,25.4
188,0,01249,John Daly,77,298,25.8
188,0,01887,Mark O'Meara,77,274,28.1
190,0,01823,Larry Mize,74,281,26.3
191,0,23673,Michael Connell,73,274,26.6
192,0,01226,Fred Couples,69,217,31.8
193,0,01313,Steve Elkington,67,295,22.7
194,0,20608,David Howell,63,219,28.8
195,0,06373,José María Olazábal,62,266,23.3
196,0,08793,Tiger Woods,61,252,24.2
