RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,08793,Tiger Woods,68.432,5217,- 84.613,75
2,0,09011,David Duval,69.172,5198,- 79.262,74
3,0,01706,Davis Love III,69.368,5477,- 66.266,78
4,0,10860,Justin Leonard,69.587,7324,- 86.919,104
5,0,02170,Hal Sutton,69.660,6352,- 82.625,90
6,0,10809,Jim Furyk,69.674,6792,- 103.265,96
7,0,01968,Nick Price,69.753,4389,- 64.300,62
8,0,06567,Vijay Singh,69.834,7137,- 83.752,101
9,0,06575,Dudley Hart,69.981,6245,- 86.686,88
10,0,02146,Payne Stewart,69.982,4842,- 83.218,68
11,0,01943,Chris Perry,69.995,8423,- 23.545,120
12,0,06522,Ernie Els,70.087,4265,- 59.769,60
13,0,01320,Bob Estes,70.123,7650,- 76.709,108
14,0,01381,Fred Funk,70.133,8318,- 42.292,118
15,0,01677,Tom Lehman,70.142,5666,- 54.677,80
16,0,01724,Jeff Maggert,70.150,5821,- 68.721,82
17,0,01810,Phil Mickelson,70.157,5543,- 70.748,78
18,0,12823,Carlos Franco,70.160,4905,- 63.959,69
19,0,01527,Scott Hoch,70.212,6994,- 43.038,99
20,0,20229,Stewart Cink,70.240,6514,- 51.906,92
21,0,12782,Tim Herron,70.243,6800,- 56.659,96
22,0,01920,Craig Parry,70.269,4584,- 86.773,64
23,0,02104,Jeff Sluman,70.315,7860,- 54.989,111
24,0,01887,Mark O'Meara,70.365,4219,- 67.474,59
25,0,12660,Jesper Parnevik,70.373,4717,- 72.353,66
26,0,02257,Brian Watts,70.380,5987,- 75.118,84
27,0,02010,Loren Roberts,70.478,6282,- 9.493,89
28,0,06527,Steve Stricker,70.479,4923,- 59.955,69
29,0,01553,John Huston,70.480,5411,- 54.548,76
30,0,02214,Kirk Triplett,70.500,6082,- 19.031,86
31,0,10423,Mike Weir,70.517,7181,- 58.833,101
32,0,01927,Dennis Paulson,70.535,7314,- 48.911,103
33,0,01823,Larry Mize,70.537,4972,- 34.388,70
34,0,02206,David Toms,70.538,7295,- 29.582,103
35,0,20094,Jonathan Kaye,70.550,7619,.450,108
36,0,01928,Corey Pavin,70.574,5860,- 72.953,82
37,0,01226,Fred Couples,70.584,3984,- 31.314,56
38,0,01577,Lee Janzen,70.590,6073,- 72.868,85
39,0,06595,Kevin Sutherland,70.609,6797,- 18.530,96
40,0,12645,Brent Geiberger,70.621,7302,- 28.028,103
41,0,11032,Frank Lickliter II,70.630,7354,- 8.496,104
42,0,10649,Tom Scherrer,70.637,6585,- 15.788,93
43,0,01619,Skip Kendall,70.640,7437,- 19.767,105
44,0,01797,Rocco Mediate,70.655,5769,- 45.915,81
45,0,06004,Stephen Ames,70.661,3873,13.331,55
45,0,01926,Steve Pate,70.661,6849,- 65.535,96
47,0,20098,Stuart Appleby,70.691,6412,- 49.808,90
48,0,01361,Dan Forsman,70.774,6519,- 7.762,92
49,0,02223,Bob Tway,70.817,6553,- 37.843,92
50,0,01040,Emlyn Aubrey,70.829,3631,- 18.729,51
51,0,06036,Scott Dunlap,70.840,6143,- 50.765,86
52,0,01945,Kenny Perry,70.842,5823,- 13.968,82
53,0,01996,Mike Reid,70.849,5312,1.685,75
54,0,02246,Duffy Waldorf,70.850,6419,- 42.485,90
55,0,02239,Scott Verplank,70.856,6365,- 58.852,89
56,0,08931,Glen Day,70.884,6626,- 33.763,93
57,0,01175,Jim Carter,70.891,6826,- 20.509,96
58,0,02133,Craig Stadler,70.893,3573,- 28.344,50
59,0,10585,Scott McCarron,70.901,6242,- 2.669,88
60,0,06643,Paul Goydos,70.906,6765,- 28.907,95
61,0,01042,Paul Azinger,70.907,5219,- 42.814,73
62,0,06044,Scott Gump,70.916,6782,- 45.006,95
63,0,20029,Notah Begay III,70.926,6892,- 12.210,97
64,0,08993,Franklin Langham,70.943,7047,- 23.691,99
65,0,01313,Steve Elkington,70.956,4878,- 52.980,68
66,0,20127,Chris Riley,70.965,5980,- 18.963,84
67,0,01323,Brad Fabel,70.969,6290,- 44.701,88
68,0,06078,Esteban Toledo,70.976,7626,- 31.563,107
69,0,01261,Jay Delsing,71.006,5395,1.444,76
70,0,08075,Jerry Kelly,71.013,7698,- 28.597,108
71,0,01766,Billy Mayfair,71.021,5933,- 38.280,83
72,0,02218,Ted Tryba,71.023,7843,- 30.469,110
73,0,08547,John Maginnes,71.031,6456,7.856,91
74,0,01569,Peter Jacobsen,71.037,5207,- 21.325,73
75,0,01161,Mark Calcavecchia,71.068,6799,- 47.574,95
76,0,01418,Bill Glasson,71.089,5425,- 22.242,76
77,0,10885,Robert Allenby,71.092,5979,- 7.299,84
78,0,01723,Andrew Magee,71.097,6013,- 40.855,84
79,0,02101,Joey Sindelar,71.099,5154,- 34.848,72
80,0,01098,Jay Don Blake,71.101,6539,2.337,92
81,0,01378,David Frost,71.106,5946,- 44.166,83
82,0,07457,Steve Flesch,71.113,6985,- 15.901,98
