RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PLAYOFF POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,35450,Patrick Cantlay,50.53,2021,4000,1,2
2,0,47483,Will Zalatoris,50.00,2000,4000,1,1
3,0,49960,Sepp Straka,32.88,1315,4000,0,2
4,0,30692,Scott Stallings,30.00,1200,4000,0,1
5,0,24502,Adam Scott,18.71,749,4000,0,2
6,0,27644,Brian Harman,17.95,718,4000,0,1
7,0,48081,Xander Schauffele,16.78,671,4000,0,2
8,0,25900,Lucas Glover,16.63,665,4000,0,1
9,0,46970,Jon Rahm,16.46,659,4000,0,2
10,0,46046,Scottie Scheffler,16.25,650,4000,0,2
11,0,46601,Trey Mullinax,14.78,591,4000,0,1
12,0,32791,K.H. Lee,13.84,554,4000,0,1
13,0,45486,Joaquin Niemann,13.06,523,4000,0,1
14,0,39997,Corey Conners,12.95,518,4000,0,1
15,0,34256,Andrew Putnam,12.27,491,4000,0,1
16,0,39971,Sungjae Im,11.70,468,4000,0,1
17,0,29725,Tony Finau,11.59,464,4000,0,2
18,0,54628,Lee Hodges,10.63,213,2000,0,0
18,0,35891,Cameron Smith,10.63,213,2000,0,0
20,0,51634,Sahith Theegala,10.51,421,4000,0,0
21,0,50525,Collin Morikawa,9.80,392,4000,0,1
22,0,40098,Matt Fitzpatrick,9.59,384,4000,0,1
23,0,47504,Sam Burns,8.24,330,4000,0,0
24,0,40250,Taylor Pendrith,8.09,324,4000,0,1
25,0,28237,Rory McIlroy,7.75,310,4000,1,2
26,0,29970,Dylan Frittelli,7.68,154,2000,0,0
26,0,23320,Ryan Palmer,7.68,154,2000,0,0
28,0,49964,Aaron Wise,7.23,289,4000,0,0
29,0,33204,Shane Lowry,7.02,281,4000,0,0
30,0,45157,Cam Davis,7.01,281,4000,0,0
31,0,47993,Denny McCarthy,6.71,269,4000,0,0
32,0,45522,Christiaan Bezuidenhout,6.47,259,4000,0,0
33,0,31646,Emiliano Grillo,6.43,257,4000,0,0
34,0,33448,Justin Thomas,6.04,242,4000,0,1
35,0,55182,Tom Kim,5.91,236,4000,0,0
36,0,34363,Tyrrell Hatton,5.59,223,4000,0,0
36,0,57366,Cameron Young,5.59,223,4000,0,0
38,0,46717,Viktor Hovland,5.54,222,4000,0,0
38,0,49771,J.T. Poston,5.54,222,4000,0,0
40,0,39058,Lucas Herbert,5.20,208,4000,0,0
41,0,39977,Max Homa,4.81,192,4000,0,1
41,0,39324,J.J. Spaun,4.81,192,4000,0,0
43,0,29478,Kevin Kisner,4.71,189,4000,0,0
44,0,48117,Kurt Kitayama,4.40,176,4000,0,0
44,0,34046,Jordan Spieth,4.40,176,4000,0,0
46,0,46442,Maverick McNealy,4.38,175,4000,0,0
46,0,39546,Keith Mitchell,4.38,175,4000,0,0
48,0,45609,Tyler Duncan,4.05,81,2000,0,0
48,0,47347,Adam Schenk,4.05,81,2000,0,0
48,0,32150,Michael Thompson,4.05,81,2000,0,0
51,0,32640,Troy Merritt,3.47,139,4000,0,0
52,0,32839,Hideki Matsuyama,3.40,68,2000,0,0
53,0,51766,Wyndham Clark,3.37,135,4000,0,0
54,0,26851,Marc Leishman,3.28,131,4000,0,0
55,0,49947,Taylor Moore,3.11,125,4000,0,0
56,0,48822,Sebastián Muñoz,2.65,106,4000,0,0
57,0,47995,Davis Riley,2.62,105,4000,0,0
58,0,29518,Brendan Steele,2.35,94,4000,0,0
59,0,36799,Stephan Jaeger,1.90,38,2000,0,0
59,0,36326,David Lipsky,1.90,38,2000,0,0
61,0,47529,Mito Pereira,1.85,74,4000,0,0
62,0,34098,Russell Henley,1.70,68,4000,0,0
62,0,29420,Billy Horschel,1.70,68,4000,0,0
62,0,23108,Matt Kuchar,1.70,68,4000,0,0
65,0,37455,Si Woo Kim,1.61,64,4000,0,0
66,0,35506,Mackenzie Hughes,1.47,59,4000,0,0
67,0,33399,Adam Hadwin,1.41,56,4000,0,0
68,0,46414,Aaron Rai,1.36,27,2000,0,0
68,0,37275,Sam Ryder,1.36,27,2000,0,0
68,0,34431,Robert Streb,1.36,27,2000,0,0
68,0,40115,Adam Svensson,1.36,27,2000,0,0
68,0,31323,Gary Woodland,1.36,27,2000,0,0
73,0,26476,Chez Reavie,1.28,51,4000,0,0
74,0,46340,Alex Smalley,1.09,44,4000,0,0
75,0,35461,Beau Hossler,1.06,21,2000,0,0
75,0,27936,Martin Laird,1.06,21,2000,0,0
77,0,55708,Hayden Buckley,.92,18,2000,0,0
77,0,32448,James Hahn,.92,18,2000,0,0
77,0,51890,Greyson Sigg,.92,18,2000,0,0
80,0,35532,Tom Hoge,.88,35,4000,0,1
80,0,37189,Harold Varner III,.88,35,4000,0,0
82,0,32102,Rickie Fowler,.80,16,2000,0,0
83,0,27349,Alex Noren,.73,29,4000,0,0
84,0,30927,Brendon Todd,.72,14,2000,0,0
85,0,33141,Keegan Bradley,.52,21,4000,0,0
86,0,30926,Chris Kirk,.47,19,4000,0,0
86,0,27129,Luke List,.47,19,4000,0,0
88,0,33419,Cameron Tringale,.44,18,4000,0,0
89,0,28252,Seamus Power,.40,16,4000,0,0
