RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S,FEDEXCUP STROKES
1,0,28237,Rory McIlroy,-21,3,10,-4
2,0,39971,Sungjae Im,-20,1,9,-4
2,0,46046,Scottie Scheffler,-20,4,11,-10
4,0,48081,Xander Schauffele,-18,3,7,-6
5,0,39977,Max Homa,-17,2,5,-2
5,0,33448,Justin Thomas,-17,1,10,-3
7,0,35450,Patrick Cantlay,-16,2,12,-8
7,0,49960,Sepp Straka,-16,1,5,-4
9,0,29725,Tony Finau,-15,2,7,-4
10,0,35532,Tom Hoge,-14,1,6,-1
11,0,32839,Hideki Matsuyama,-13,2,6,-2
11,0,45486,Joaquin Niemann,-13,1,5,-2
13,0,34046,Jordan Spieth,-12,1,6,-2
13,0,49964,Aaron Wise,-12,0,4
15,0,40098,Matt Fitzpatrick,-11,1,10,-3
15,0,46717,Viktor Hovland,-11,1,5,-2
15,0,49771,J.T. Poston,-11,1,4,E
15,0,46970,Jon Rahm,-11,1,8,-3
19,0,57366,Cameron Young,-10,0,7,-3
20,0,35891,Cameron Smith,-9,3,7,-4
21,0,27644,Brian Harman,-8,0,6,-1
21,0,29420,Billy Horschel,-8,1,5,-1
21,0,50525,Collin Morikawa,-8,0,8,-1
24,0,47504,Sam Burns,-7,3,8,-5
25,0,24502,Adam Scott,-4,0,5,E
26,0,39997,Corey Conners,-3,0,4,-1
27,0,32791,K.H. Lee,-1,1,2,E
28,0,51634,Sahith Theegala,+1,0,5,E
29,0,30692,Scott Stallings,+3,0,7,-3
30,0,46402,Talor Gooch,E,1,4,E
30,0,47483,Will Zalatoris,E,1,9,-7
32,0,33204,Shane Lowry,1222,0,4,0
33,0,46601,Trey Mullinax,1181,1,3,0
34,0,39324,J.J. Spaun,1177,1,3,0
35,0,55182,Tom Kim,1154,1,3,0
36,0,47995,Davis Riley,1150,0,6,0
37,0,47993,Denny McCarthy,1111,0,5,0
38,0,46442,Maverick McNealy,1111,0,4,0
39,0,29478,Kevin Kisner,1095,0,5,0
40,0,39546,Keith Mitchell,1063,0,6,0
41,0,48117,Kurt Kitayama,1015,0,3,0
42,0,25900,Lucas Glover,1014,0,2,0
43,0,28252,Seamus Power,1006,0,5,0
44,0,39058,Lucas Herbert,1004,1,2,0
45,0,34098,Russell Henley,1002,0,4,0
46,0,34256,Andrew Putnam,989,0,2,0
47,0,40250,Taylor Pendrith,987,0,3,0
48,0,33419,Cameron Tringale,974,0,5,0
49,0,34363,Tyrrell Hatton,972,0,3,0
50,0,47529,Mito Pereira,962,0,3,0
51,0,45522,Christiaan Bezuidenhout,957,0,1,0
52,0,27129,Luke List,957,1,3,0
53,0,31646,Emiliano Grillo,948,0,2,0
54,0,33141,Keegan Bradley,946,0,6,0
