RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,46046,Scottie Scheffler,13180
2,0,35450,Patrick Cantlay,11068
3,0,48081,Xander Schauffele,9340
4,0,47504,Sam Burns,9130
5,0,33448,Justin Thomas,8718
6,0,29725,Tony Finau,8575
7,0,47483,Will Zalatoris,7986
8,0,34046,Jordan Spieth,7214
9,0,50525,Collin Morikawa,6727
10,0,39977,Max Homa,6539
11,0,29420,Billy Horschel,6047
12,0,57366,Cameron Young,5511
13,0,35532,Tom Hoge,5295
14,0,49771,J.T. Poston,4593
15,0,29478,Kevin Kisner,4519
16,0,33419,Cameron Tringale,4126
17,0,46442,Maverick McNealy,4095
18,0,30692,Scott Stallings,4095
19,0,34098,Russell Henley,4045
20,0,27644,Brian Harman,4042
21,0,49964,Aaron Wise,4016
22,0,33141,Keegan Bradley,3972
23,0,40026,Daniel Berger,3864
24,0,39546,Keith Mitchell,3602
25,0,47993,Denny McCarthy,3544
26,0,27129,Luke List,3513
27,0,39324,J.J. Spaun,3348
28,0,47995,Davis Riley,3249
29,0,37189,Harold Varner III,3109
30,0,51634,Sahith Theegala,3101
31,0,30926,Chris Kirk,3045
32,0,30927,Brendon Todd,3036
33,0,29518,Brendan Steele,3034
34,0,29221,Webb Simpson,3022
35,0,35310,Lanto Griffin,2994
36,0,34099,Harris English,2971
37,0,32640,Troy Merritt,2956
38,0,23108,Matt Kuchar,2880
39,0,26476,Chez Reavie,2876
40,0,27214,Kevin Streelman,2837
41,0,35449,Adam Long,2791
42,0,25900,Lucas Glover,2781
43,0,20229,Stewart Cink,2737
44,0,34256,Andrew Putnam,2635
45,0,34076,Joel Dahmen,2625
46,0,31323,Gary Woodland,2612
47,0,23320,Ryan Palmer,2590
48,0,51766,Wyndham Clark,2457
49,0,36871,Matthew NeSmith,2399
50,0,46601,Trey Mullinax,2240
51,0,34466,Peter Malnati,2232
52,0,36801,Mark Hubbard,2229
53,0,52372,Cameron Champ,2218
54,0,36699,Patrick Rodgers,2200
55,0,35461,Beau Hossler,2196
56,0,47347,Adam Schenk,2164
57,0,34174,John Huh,2133
58,0,34431,Robert Streb,2051
59,0,32150,Michael Thompson,2018
60,0,12716,Charley Hoffman,1993
61,0,49947,Taylor Moore,1975
62,0,32757,Patton Kizzire,1948
63,0,37275,Sam Ryder,1932
64,0,28775,Nate Lashley,1887
65,0,25818,Scott Piercy,1864
66,0,52374,Brandon Wu,1842
67,0,52375,Doug Ghim,1815
68,0,32448,James Hahn,1790
69,0,33597,Harry Higgs,1773
70,0,34563,Chesson Hadley,1771
71,0,53165,Doc Redman,1749
72,0,45609,Tyler Duncan,1749
73,0,51894,Vince Whaley,1740
74,0,47983,Chad Ramey,1703
75,0,31560,Brian Stuard,1666
