RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,46046,Scottie Scheffler,30.52,3556,11650,4,9
2,0,28237,Rory McIlroy,29.42,2104,7150,2,8
3,0,35891,Cameron Smith,27.15,2335,8600,3,7
4,0,35450,Patrick Cantlay,23.04,2108,9150,1,10
5,0,48081,Xander Schauffele,22.31,2153,9650,3,5
6,0,47504,Sam Burns,20.50,2275,11100,3,8
7,0,55182,Tom Kim,19.11,917,4800,1,3
8,0,33448,Justin Thomas,18.57,1783,9600,1,9
9,0,40098,Matt Fitzpatrick,17.44,1596,9150,1,9
10,0,32839,Hideki Matsuyama,16.89,1697,10050,2,6
11,0,46970,Jon Rahm,16.66,1449,8700,1,6
12,0,29725,Tony Finau,16.48,1912,11600,2,5
13,0,34046,Jordan Spieth,15.51,1574,10150,1,6
14,0,57366,Cameron Young,15.16,1774,11700,0,7
15,0,39977,Max Homa,14.51,1625,11200,2,4
16,0,47483,Will Zalatoris,14.36,1680,11700,0,8
17,0,39971,Sungjae Im,14.32,1733,12100,1,8
18,0,29420,Billy Horschel,13.82,1403,10150,1,5
19,0,46717,Viktor Hovland,13.55,1314,9700,1,5
20,0,50525,Collin Morikawa,12.59,1089,8650,0,7
21,0,46402,Talor Gooch,11.17,1302,11650,1,4
22,0,45486,Joaquin Niemann,11.01,1228,11150,1,4
23,0,33204,Shane Lowry,10.95,942,8600,0,4
24,0,35532,Tom Hoge,9.37,1424,15200,1,5
25,0,34098,Russell Henley,8.77,934,10650,0,4
26,0,49964,Aaron Wise,8.61,952,11050,0,4
27,0,30911,Tommy Fleetwood,8.42,766,9100,0,5
28,0,49771,J.T. Poston,8.30,1146,13800,1,4
29,0,39058,Lucas Herbert,8.25,796,9650,1,2
30,0,34363,Tyrrell Hatton,8.23,749,9100,0,3
31,0,40026,Daniel Berger,8.14,529,6500,0,3
32,0,25364,Paul Casey,8.06,310,3850,0,1
33,0,39997,Corey Conners,8.00,936,11700,0,3
34,0,30944,Jason Kokrak,7.89,801,10150,1,1
35,0,29478,Kevin Kisner,7.81,906,11600,0,5
36,0,28252,Seamus Power,7.80,990,12700,0,5
37,0,48117,Kurt Kitayama,7.73,839,10850,0,3
38,0,33141,Keegan Bradley,7.64,925,12100,0,6
39,0,47995,Davis Riley,7.57,1045,13800,0,6
40,0,23108,Matt Kuchar,7.48,696,9300,0,3
41,0,46442,Maverick McNealy,7.40,936,12650,0,4
42,0,39546,Keith Mitchell,7.13,888,12450,0,6
42,0,40250,Taylor Pendrith,7.13,663,9300,0,2
44,0,39324,J.J. Spaun,7.09,985,13900,1,3
45,0,27129,Luke List,6.85,938,13700,1,3
46,0,47529,Mito Pereira,6.83,888,13000,0,3
47,0,33419,Cameron Tringale,6.79,957,14100,0,5
48,0,56278,Matthew Wolff,6.77,572,8450,0,2
49,0,27349,Alex Noren,6.64,681,10250,0,3
50,0,48822,Sebastián Muñoz,6.59,795,12050,0,3
51,0,32791,K.H. Lee,6.49,853,13150,1,1
52,0,29518,Brendan Steele,6.35,689,10850,0,4
53,0,26300,Matt Jones,6.31,653,10350,0,2
54,0,37189,Harold Varner III,6.14,682,11100,0,3
55,0,45522,Christiaan Bezuidenhout,6.10,698,11450,0,1
56,0,47993,Denny McCarthy,6.06,842,13900,0,5
57,0,51634,Sahith Theegala,6.05,886,14650,0,5
58,0,24502,Adam Scott,5.98,551,9200,0,3
58,0,34264,Hudson Swafford,5.98,640,10700,1,1
60,0,35506,Mackenzie Hughes,5.95,783,13150,0,3
61,0,30926,Chris Kirk,5.94,707,11900,0,4
62,0,30692,Scott Stallings,5.89,852,14450,0,6
63,0,26851,Marc Leishman,5.86,656,11200,0,3
64,0,33399,Adam Hadwin,5.81,721,12400,0,5
65,0,49960,Sepp Straka,5.79,909,15700,1,3
66,0,27644,Brian Harman,5.51,694,12600,0,5
67,0,26476,Chez Reavie,5.50,715,13000,1,3
68,0,31420,Anirban Lahiri,5.42,642,11850,0,3
69,0,45526,Abraham Ancer,5.34,510,9550,0,3
70,0,37455,Si Woo Kim,5.29,751,14200,0,1
71,0,31646,Emiliano Grillo,5.28,691,13100,0,2
72,0,36801,Mark Hubbard,5.24,508,9700,0,2
73,0,45157,Cam Davis,5.23,614,11750,0,5
73,0,34174,John Huh,5.23,612,11700,0,2
75,0,32640,Troy Merritt,5.13,639,12450,0,2
76,0,22405,Justin Rose,5.09,458,9000,0,2
77,0,35461,Beau Hossler,4.99,572,11450,0,2
78,0,35310,Lanto Griffin,4.95,592,11950,0,4
79,0,21961,Charles Howell III,4.94,400,8100,0,1
79,0,31323,Gary Woodland,4.94,573,11600,0,5
81,0,30927,Brendon Todd,4.87,592,12150,0,2
82,0,49947,Taylor Moore,4.85,623,12850,0,4
83,0,36689,Brooks Koepka,4.79,412,8600,0,2
84,0,52374,Brandon Wu,4.78,586,12250,0,4
85,0,46340,Alex Smalley,4.71,658,13950,0,3
86,0,46601,Trey Mullinax,4.63,590,12750,1,2
87,0,28420,Ryan Brehm,4.58,359,7850,1,1
88,0,29926,Danny Lee,4.52,490,10850,0,3
89,0,47983,Chad Ramey,4.35,568,13050,1,2
90,0,36871,Matthew NeSmith,4.17,576,13800,0,2
91,0,28089,Jason Day,4.16,385,9250,0,2
92,0,34076,Joel Dahmen,4.13,524,12700,0,3
93,0,35449,Adam Long,4.10,564,13750,0,0
94,0,29908,C.T. Pan,4.04,473,11700,0,2
95,0,27064,Jhonattan Vegas,4.03,428,10600,0,1
96,0,33667,Carlos Ortiz,4.00,414,10350,0,1
97,0,27936,Martin Laird,3.99,421,10550,0,1
98,0,39975,Michael Kim,3.98,84,2100,0,1
99,0,36699,Patrick Rodgers,3.93,517,13150,0,3
100,0,27214,Kevin Streelman,3.89,509,13100,0,2
101,0,33122,Russell Knox,3.73,514,13800,0,2
102,0,51766,Wyndham Clark,3.71,527,14200,0,3
103,0,46414,Aaron Rai,3.63,491,13550,0,2
104,0,36326,David Lipsky,3.62,505,13950,0,3
105,0,23320,Ryan Palmer,3.59,391,10900,0,1
106,0,24361,Pat Perez,3.54,345,9750,0,2
107,0,34256,Andrew Putnam,3.52,498,14150,0,1
108,0,28775,Nate Lashley,3.51,427,12150,0,1
109,0,29221,Webb Simpson,3.44,346,10050,0,1
110,0,34610,Matthias Schwab,3.39,353,10400,0,3
111,0,48699,Callum Tarren,3.37,405,12000,0,3
112,0,32150,Michael Thompson,3.32,406,12250,0,2
113,0,40115,Adam Svensson,3.29,483,14700,0,3
114,0,34466,Peter Malnati,3.28,501,15250,0,2
115,0,32448,James Hahn,3.26,400,12250,0,3
116,0,51894,Vince Whaley,3.25,438,13500,0,2
117,0,36799,Stephan Jaeger,3.21,480,14950,0,2
118,0,55708,Hayden Buckley,3.18,456,14350,0,2
118,0,51950,Max McGreevy,3.18,404,12700,0,2
120,0,22056,Cameron Percy,3.11,240,7700,0,3
121,0,47959,Bryson DeChambeau,3.05,134,4400,0,1
122,0,25818,Scott Piercy,3.04,410,13500,0,1
123,0,54628,Lee Hodges,3.03,424,14000,0,2
124,0,34563,Chesson Hadley,3.02,404,13350,0,4
125,0,32102,Rickie Fowler,3.01,324,10750,0,1
126,0,20229,Stewart Cink,3.00,376,12550,0,2
127,0,25198,Francesco Molinari,2.99,272,9100,0,1
128,0,40006,Erik van Rooyen,2.95,269,9100,0,1
128,0,48887,Matt Wallace,2.95,316,10700,0,2
130,0,47347,Adam Schenk,2.93,461,15750,0,3
131,0,29970,Dylan Frittelli,2.90,401,13800,0,1
132,0,52372,Cameron Champ,2.89,288,9950,0,2
133,0,47988,Nick Hardy,2.88,288,10000,0,1
134,0,45609,Tyler Duncan,2.86,355,12400,0,0
134,0,32139,Danny Willett,2.86,304,10600,0,1
136,0,51890,Greyson Sigg,2.84,397,13950,0,1
137,0,37275,Sam Ryder,2.83,412,14550,0,3
138,0,40162,Justin Lower,2.77,311,11250,0,2
139,0,52375,Doug Ghim,2.74,385,14050,0,1
140,0,33413,Ben Martin,2.73,197,7200,0,1
141,0,23621,Rory Sabbatini,2.69,244,9050,0,1
141,0,50095,Austin Smotherman,2.69,315,11700,0,1
143,0,34431,Robert Streb,2.66,385,14500,0,3
143,0,27095,Nick Watney,2.66,387,14550,0,1
145,0,25900,Lucas Glover,2.60,349,13400,0,1
146,0,32662,Michael Gligic,2.53,283,11200,0,1
146,0,33410,Andrew Landry,2.53,191,7550,0,2
