RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,25364,Paul Casey,243.2,560287.000,64
2,0,08845,Scott Sterling,245.0,776309.000,88
3,0,01226,Fred Couples,248.1,1027219.000,115
4,0,27649,Brandt Snedeker,248.9,860028.000,96
5,0,10649,Tom Scherrer,249.6,619968.000,69
6,0,22892,Jason Gore,250.6,1587796.000,176
7,0,08075,Jerry Kelly,250.7,830328.000,92
7,0,06527,Steve Stricker,250.7,721954.000,80
9,0,26289,Boo Weekley,251.2,1148383.000,127
10,0,06522,Ernie Els,251.4,488729.000,54
11,0,06004,Stephen Ames,251.5,787797.000,87
12,0,22806,Doug LaBelle II,251.8,462295.000,51
13,0,24490,George McNeill,253.0,1648782.000,181
14,0,01706,Davis Love III,253.1,1230013.000,135
15,0,01142,Bart Bryant,253.4,611145.000,67
16,0,19913,Ron Whittaker,253.5,355940.000,39
17,0,06012,Greg Kraft,253.9,438694.000,48
18,0,09011,David Duval,254.0,612590.000,67
19,0,20157,Retief Goosen,254.1,631136.000,69
20,0,26420,Richard Johnson,254.2,512562.000,56
21,0,27770,Camilo Villegas,254.3,1180973.000,129
22,0,20229,Stewart Cink,254.8,1247521.000,136
23,0,20850,Daniel Chopra,255.2,1331906.000,145
23,0,24912,Will MacKenzie,255.2,872644.000,95
25,0,26668,Marc Turnesa,255.4,993140.000,108
26,0,01161,Mark Calcavecchia,255.5,873963.000,95
26,0,10809,Jim Furyk,255.5,993362.000,108
26,0,25594,Travis Perkins,255.5,680759.000,74
29,0,24138,Ian Poulter,255.7,377464.000,41
30,0,20098,Stuart Appleby,255.8,939188.000,102
30,0,12510,Chad Campbell,255.8,1224684.000,133
32,0,01024,Billy Andrade,255.9,718583.000,78
32,0,06567,Vijay Singh,255.9,1326397.000,144
34,0,25632,Jimmy Walker,256.2,1254464.000,136
35,0,06197,Michael Allen,256.4,1199837.000,130
36,0,20623,Gavin Coles,256.6,314019.000,34
37,0,01553,John Huston,256.7,924195.000,100
38,0,26631,Cody Freeman,256.8,785809.000,85
39,0,22378,Trevor Immelman,256.9,582695.000,63
39,0,26695,Michael Letzig,256.9,1415234.000,153
41,0,01139,Olin Browne,257.0,518192.000,56
41,0,25349,Tim Wilkinson,257.0,1026825.000,111
43,0,24357,K.J. Choi,257.2,814710.000,88
44,0,10733,Kent Jones,257.4,824668.000,89
44,0,07547,Craig Kanada,257.4,481802.000,52
46,0,25190,Jeff Quinney,257.5,732459.000,79
46,0,02002,John Riegger,257.5,1038099.000,112
48,0,20104,Ken Duke,257.6,1613513.000,174
48,0,06621,Joe Durant,257.6,1316724.000,142
48,0,27963,Chris Stroud,257.6,1019916.000,110
48,0,08385,Omar Uresti,257.6,760288.000,82
52,0,23135,Tim Clark,257.7,686509.000,74
52,0,27141,J.B. Holmes,257.7,1660463.000,179
