RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,26679,Kevin Stadler,36.4,124,341,+0.97
2,0,24507,Jason Bohn,38.5,111,288,+2.43
3,0,29420,Billy Horschel,39.8,106,266,+1.98
4,0,20436,Garrett Willis,40.0,106,265,+3.77
5,0,22621,Ben Curtis,40.3,93,231,+1.61
6,0,20766,Padraig Harrington,41.7,108,259,+1.30
7,0,21407,Arjun Atwal,41.9,189,451,+2.49
8,0,23325,Vaughn Taylor,42.6,169,397,+1.01
9,0,25900,Lucas Glover,42.7,132,309,+1.97
10,0,12602,Dean Wilson,42.8,110,257,+1.91
11,0,01706,Davis Love III,42.9,109,254,+1.83
12,0,09011,David Duval,43.1,154,357,+1.36
12,0,24663,Y.E. Yang,43.1,88,204,+2.27
14,0,01577,Lee Janzen,43.8,102,233,+2.35
15,0,10585,Scott McCarron,44.0,113,257,+3.10
16,0,25274,Steven Bowditch,44.1,190,431,+2.00
17,0,24924,Bill Haas,44.3,151,341,+0.93
18,0,23983,Luke Donald,44.4,104,234,E
18,0,29221,Webb Simpson,44.4,182,410,+0.66
20,0,29718,Anthony Kim,44.5,166,373,+1.14
21,0,01116,Michael Bradley,44.6,149,334,+1.74
22,0,23673,Michael Connell,44.8,145,324,+3.52
22,0,08375,Paul Stankowski,44.8,155,346,+2.26
24,0,20848,Ángel Cabrera,45.0,95,211,+2.32
25,0,26420,Richard Johnson,45.1,119,264,+2.77
26,0,27649,Brandt Snedeker,45.2,145,321,+0.90
27,0,27797,Derek Lamely,45.3,159,351,+2.26
27,0,25562,Andres Romero,45.3,162,358,+2.59
29,0,27466,Spencer Levin,45.6,205,450,+1.41
30,0,25396,Kevin Na,45.8,171,373,+0.70
31,0,01810,Phil Mickelson,46.0,161,350,+0.31
32,0,06527,Steve Stricker,46.1,113,245,+0.09
33,0,21805,Harrison Frazar,46.2,114,247,+0.53
33,0,06643,Paul Goydos,46.2,141,305,+2.70
35,0,19970,Robert Karlsson,46.4,115,248,+0.96
35,0,30946,Alex Prugh,46.4,181,390,+2.71
37,0,26287,Roland Thatcher,46.6,146,313,+2.26
38,0,21949,Joe Ogilvie,46.8,156,333,+1.03
39,0,33141,Keegan Bradley,46.9,183,390,+1.31
39,0,24502,Adam Scott,46.9,92,196,+0.76
41,0,20572,Rod Pampling,47.0,119,253,+1.76
42,0,23108,Matt Kuchar,47.6,160,336,+2.06
43,0,25572,Graeme McDowell,47.7,73,153,+0.82
44,0,07457,Steve Flesch,48.0,197,410,+1.47
44,0,25444,Justin Hicks,48.0,85,177,+4.35
44,0,32876,Martin Piller,48.0,145,302,+2.55
47,0,07867,Woody Austin,48.1,102,212,+0.88
47,0,24140,Sean O'Hair,48.1,166,345,+2.71
49,0,24846,Ricky Barnes,48.2,164,340,+2.01
49,0,25345,Carl Pettersson,48.2,214,444,+1.31
51,0,20070,Matt Bettencourt,48.4,209,432,+1.87
52,0,26596,Ryan Moore,48.6,138,284,+2.46
53,0,23353,J.J. Henry,48.7,165,339,+2.67
54,0,12652,Cameron Beckman,48.8,156,320,+2.18
55,0,31323,Gary Woodland,49.0,179,365,+0.78
56,0,22348,Nick O'Hern,49.1,137,279,+1.61
56,0,27095,Nick Watney,49.1,165,336,+0.48
58,0,20098,Stuart Appleby,49.2,164,333,+1.59
59,0,20127,Chris Riley,49.4,132,267,+2.12
60,0,06515,Shaun Micheel,49.5,181,366,+2.38
61,0,10809,Jim Furyk,49.6,137,276,+1.68
62,0,24980,Scott Gutschewski,49.7,147,296,+2.45
62,0,26951,Johnson Wagner,49.7,152,306,+2.11
64,0,23409,James Driscoll,49.9,168,337,+2.80
64,0,27064,Jhonattan Vegas,49.9,194,389,+1.91
66,0,08537,J.P. Hayes,50.0,112,224,+1.61
