RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,02206,David Toms,17' 0",3925.083,231
2,0,22348,Nick O'Hern,18' 4",5164.333,282
3,0,01797,Rocco Mediate,18' 9",3614.500,193
4,0,22621,Ben Curtis,19' 2",4398.500,229
5,0,08725,Tom Gillis,19' 9",4638.417,235
6,0,22293,Heath Slocum,19' 10",5010.583,253
7,0,26289,Boo Weekley,20' 1",4928.417,245
8,0,06621,Joe Durant,20' 3",4238.417,209
8,0,27649,Brandt Snedeker,20' 3",6288.167,310
10,0,08075,Jerry Kelly,20' 4",4964.250,244
11,0,25686,Jason Dufner,20' 8",6233.167,302
12,0,06643,Paul Goydos,21' 0",6413.417,305
13,0,24024,Zach Johnson,21' 2",5081.083,240
14,0,26476,Chez Reavie,21' 4",7695.333,361
15,0,25572,Graeme McDowell,21' 6",3312.750,154
15,0,26951,Johnson Wagner,21' 6",6532.000,304
17,0,20436,Garrett Willis,21' 8",5820.417,269
18,0,28620,Aron Price,21' 11",4294.500,196
19,0,27933,John Merrick,22' 0",5763.667,262
19,0,20127,Chris Riley,22' 0",5906.167,268
21,0,27466,Spencer Levin,22' 1",9791.333,443
21,0,24781,Hunter Mahan,22' 1",7696.833,348
23,0,10505,Shane Bertsch,22' 2",4918.000,222
23,0,23108,Matt Kuchar,22' 2",7473.000,337
23,0,21878,Mark Wilson,22' 2",6597.583,298
26,0,24361,Pat Perez,22' 3",7437.500,334
27,0,19846,Brian Gay,22' 4",6261.833,280
28,0,08537,J.P. Hayes,22' 5",5158.000,230
29,0,25444,Justin Hicks,22' 6",4066.167,181
30,0,10860,Justin Leonard,22' 7",7520.250,333
30,0,20572,Rod Pampling,22' 7",5979.333,265
32,0,26758,David Hearn,22' 11",8486.500,370
33,0,29910,Blake Adams,23' 0",10776.000,468
33,0,30711,Colt Knost,23' 0",7005.500,305
33,0,01766,Billy Mayfair,23' 0",7672.583,334
36,0,21753,Brian Davis,23' 1",7904.750,343
36,0,06527,Steve Stricker,23' 1",6061.250,263
38,0,10809,Jim Furyk,23' 2",6432.250,278
39,0,26420,Richard Johnson,23' 5",6057.333,259
39,0,23623,Bo Van Pelt,23' 5",7810.083,334
41,0,25345,Carl Pettersson,23' 6",10328.417,440
42,0,23718,Nathan Green,23' 8",8727.583,369
43,0,01313,Steve Elkington,23' 9",3968.833,167
43,0,26668,Marc Turnesa,23' 9",5510.750,232
45,0,24507,Jason Bohn,23' 10",6882.750,289
45,0,25900,Lucas Glover,23' 10",7245.250,304
45,0,23353,J.J. Henry,23' 10",8145.917,342
45,0,25457,Alexandre Rocha,23' 10",5854.417,246
49,0,06004,Stephen Ames,23' 11",6255.250,262
49,0,24357,K.J. Choi,23' 11",6906.833,289
49,0,06251,Chris DiMarco,23' 11",8799.333,368
49,0,27214,Kevin Streelman,23' 11",7761.000,324
53,0,22961,David Mathis,24' 0",7394.000,308
53,0,26596,Ryan Moore,24' 0",6800.000,283
55,0,22913,John Rollins,24' 1",7332.250,304
55,0,22405,Justin Rose,24' 1",7084.667,294
57,0,10585,Scott McCarron,24' 3",6260.167,258
57,0,23325,Vaughn Taylor,24' 3",9367.833,386
59,0,20498,Briny Baird,24' 4",4969.750,204
59,0,27939,Matt McQuillan,24' 4",5448.333,224
59,0,24140,Sean O'Hair,24' 4",8211.083,337
59,0,29221,Webb Simpson,24' 4",9989.583,411
63,0,23638,Brendon de Jonge,24' 6",10587.750,432
63,0,31557,Jim Herman,24' 6",8171.917,333
65,0,23614,Rich Beem,24' 7",5261.500,214
65,0,12510,Chad Campbell,24' 7",9671.083,394
65,0,24924,Bill Haas,24' 7",8501.833,346
68,0,10885,Robert Allenby,24' 8",7825.750,317
68,0,31202,William McGirt,24' 8",11855.250,481
68,0,33419,Cameron Tringale,24' 8",12228.417,496
71,0,06522,Ernie Els,24' 9",7382.583,298
71,0,21350,Ryuji Imada,24' 9",9759.333,394
73,0,24663,Y.E. Yang,24' 10",5167.667,208
74,0,27963,Chris Stroud,24' 11",10308.833,414
74,0,26287,Roland Thatcher,24' 11",7925.000,318
74,0,20160,Charlie Wi,24' 11",9552.250,383
77,0,20593,Greg Chalmers,25' 2",10174.083,404
77,0,27095,Nick Watney,25' 2",8342.167,331
79,0,24604,Hunter Haas,25' 4",10279.417,406
79,0,01948,Tim Petrovic,25' 4",9165.917,362
79,0,25240,D.A. Points,25' 4",8601.000,339
79,0,20645,John Senden,25' 4",8862.750,350
83,0,06573,Brandt Jobe,25' 5",9219.583,363
83,0,29478,Kevin Kisner,25' 5",7471.250,294
83,0,23548,Bill Lunde,25' 5",9803.000,386
86,0,23541,Ben Crane,25' 6",6679.417,262
86,0,29420,Billy Horschel,25' 6",6792.750,266
88,0,32640,Troy Merritt,25' 7",7204.500,282
88,0,12602,Dean Wilson,25' 7",6682.750,261
90,0,23673,Michael Connell,25' 9",8380.750,325
90,0,26679,Kevin Stadler,25' 9",8777.000,341
92,0,30750,Tommy Gainey,25' 10",12347.083,478
