RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,25632,Jimmy Walker,68.83,826,12
1,0,08793,Tiger Woods,68.83,2891,42
3,0,27060,John Mallinger,69.45,1528,22
4,0,28089,Jason Day,69.50,1668,24
5,0,21753,Brian Davis,69.57,2087,30
6,0,20127,Chris Riley,69.71,1464,21
7,0,06004,Stephen Ames,69.74,1883,27
8,0,26596,Ryan Moore,69.76,2023,29
9,0,23497,Tag Ridings,69.77,907,13
10,0,19846,Brian Gay,69.79,1954,28
11,0,08075,Jerry Kelly,69.81,1885,27
12,0,06527,Steve Stricker,69.82,3072,44
12,0,02206,David Toms,69.82,3072,44
14,0,01810,Phil Mickelson,69.86,1956,28
15,0,24024,Zach Johnson,69.87,3214,46
16,0,10809,Jim Furyk,69.88,2865,41
16,0,24781,Hunter Mahan,69.88,2795,40
18,0,25686,Jason Dufner,69.92,1748,25
19,0,22293,Heath Slocum,69.93,1958,28
20,0,01677,Tom Lehman,69.94,1189,17
21,0,10860,Justin Leonard,69.95,3008,43
22,0,06197,Michael Allen,69.96,1749,25
23,0,24503,Jeff Klauk,69.97,2169,31
24,0,23135,Tim Clark,70.00,1960,28
25,0,01941,Tom Pernice Jr.,70.04,1961,28
26,0,21805,Harrison Frazar,70.06,2172,31
27,0,26695,Michael Letzig,70.07,1892,27
28,0,23983,Luke Donald,70.13,1683,24
28,0,23108,Matt Kuchar,70.13,2244,32
30,0,24924,Bill Haas,70.15,2315,33
31,0,23800,Bryce Molder,70.17,1684,24
32,0,01945,Kenny Perry,70.18,3158,45
32,0,12602,Dean Wilson,70.18,1193,17
34,0,12510,Chad Campbell,70.20,1755,25
34,0,27214,Kevin Streelman,70.20,2106,30
36,0,06643,Paul Goydos,70.21,1334,19
36,0,21731,Freddie Jacobson,70.21,1685,24
36,0,29221,Webb Simpson,70.21,2317,33
36,0,23788,D.J. Trahan,70.21,1966,28
40,0,20766,Padraig Harrington,70.23,2177,31
41,0,08931,Glen Day,70.24,1475,21
42,0,24490,George McNeill,70.28,2038,29
42,0,27933,John Merrick,70.28,2249,32
44,0,20645,John Senden,70.31,2250,32
45,0,20160,Charlie Wi,70.32,1969,28
46,0,20593,Greg Chalmers,70.34,2040,29
47,0,01577,Lee Janzen,70.35,1618,23
48,0,02214,Kirk Triplett,70.36,985,14
49,0,20498,Briny Baird,70.37,2885,41
49,0,25396,Kevin Na,70.37,2463,35
51,0,02239,Scott Verplank,70.38,2252,32
