RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,23325,Vaughn Taylor,9.08,78,859,+0.08
2,0,26476,Chez Reavie,9.17,91,992,+0.24
3,0,19803,Ryan Armour,9.23,86,932,+0.07
4,0,30927,Brendon Todd,9.66,96,994,+0.25
5,0,34076,Joel Dahmen,9.92,91,917,+0.11
6,0,31646,Emiliano Grillo,10.11,97,959,+0.03
7,0,46046,Scottie Scheffler,10.13,118,1165,+0.14
8,0,52375,Doug Ghim,10.37,104,1003,+0.03
9,0,32816,Satoshi Kodaira,10.40,89,856,+0.06
10,0,29221,Webb Simpson,10.58,90,851,+0.10
11,0,50525,Collin Morikawa,10.61,98,924,+0.03
12,0,29535,Brice Garnett,10.64,102,959,+0.10
13,0,34098,Russell Henley,10.76,116,1078,+0.15
14,0,46435,Austin Cook,10.77,97,901,+0.19
15,0,31560,Brian Stuard,10.79,132,1223,+0.03
16,0,34363,Tyrrell Hatton,10.82,70,647,+0.06
17,0,39997,Corey Conners,10.83,126,1163,+0.10
18,0,22405,Justin Rose,11.13,63,566,+0.16
19,0,34431,Robert Streb,11.19,109,974,+0.04
19,0,25493,Nick Taylor,11.19,129,1153,+0.12
21,0,27330,Josh Teater,11.28,52,461,-0.06
22,0,19846,Brian Gay,11.41,98,859,-0.01
23,0,28775,Nate Lashley,11.49,94,818,+0.12
24,0,26329,Louis Oosthuizen,11.50,96,835,-0.08
25,0,29420,Billy Horschel,11.51,111,964,+0.07
26,0,28089,Jason Day,11.57,89,769,+0.01
27,0,32102,Rickie Fowler,11.62,104,895,+0.09
28,0,25364,Paul Casey,11.63,93,800,+0.01
29,0,29478,Kevin Kisner,11.65,112,961,+0.18
30,0,40098,Matt Fitzpatrick,11.68,86,736,E
31,0,27214,Kevin Streelman,11.85,138,1165,+0.07
32,0,26758,David Hearn,11.89,76,639,+0.12
33,0,33141,Keegan Bradley,12.09,130,1075,+0.02
34,0,23108,Matt Kuchar,12.10,99,818,+0.02
35,0,35449,Adam Long,12.12,119,982,+0.21
36,0,48887,Matt Wallace,12.17,64,526,+0.02
37,0,25396,Kevin Na,12.19,132,1083,+0.15
38,0,29518,Brendan Steele,12.24,114,931,+0.07
39,0,34360,Patrick Reed,12.27,112,913,+0.11
40,0,34264,Hudson Swafford,12.38,114,921,+0.21
41,0,32448,James Hahn,12.41,107,862,+0.07
42,0,27064,Jhonattan Vegas,12.42,114,918,-0.02
43,0,24361,Pat Perez,12.43,134,1078,+0.07
44,0,32150,Michael Thompson,12.57,119,947,+0.10
45,0,26499,Rafa Cabrera Bello,12.68,106,836,+0.09
46,0,39953,Chase Seiffert,12.69,99,780,+0.07
47,0,30926,Chris Kirk,12.70,132,1039,-0.02
48,0,24357,K.J. Choi,12.71,76,598,+0.14
48,0,33413,Ben Martin,12.71,60,472,-0.03
50,0,34099,Harris English,12.75,139,1090,+0.01
51,0,32791,K.H. Lee,12.77,165,1292,+0.01
52,0,33399,Adam Hadwin,12.85,141,1097,+0.11
53,0,30163,Henrik Norlander,12.88,134,1040,+0.07
54,0,23983,Luke Donald,12.94,80,618,+0.18
55,0,22056,Cameron Percy,12.97,108,833,+0.06
56,0,46970,Jon Rahm,13.09,117,894,-0.02
57,0,27770,Camilo Villegas,13.15,118,897,+0.04
58,0,45609,Tyler Duncan,13.21,139,1052,+0.12
58,0,47128,Richy Werenski,13.21,152,1151,+0.18
60,0,27644,Brian Harman,13.22,156,1180,+0.13
61,0,33204,Shane Lowry,13.27,116,874,+0.04
62,0,32839,Hideki Matsuyama,13.30,155,1165,-0.05
63,0,48045,Michael Gellerman,13.36,58,434,E
64,0,24024,Zach Johnson,13.39,141,1053,+0.06
65,0,34563,Chesson Hadley,13.40,108,806,-0.08
66,0,48081,Xander Schauffele,13.42,117,872,E
67,0,39971,Sungjae Im,13.45,211,1569,+0.01
68,0,45526,Abraham Ancer,13.46,152,1129,+0.05
68,0,34174,John Huh,13.46,95,706,+0.08
70,0,35230,Nelson Ledesma,13.51,65,481,+0.03
71,0,29926,Danny Lee,13.57,106,781,+0.08
72,0,53165,Doc Redman,13.68,130,950,+0.16
73,0,25686,Jason Dufner,13.73,141,1027,+0.12
74,0,33667,Carlos Ortiz,13.86,160,1154,+0.03
75,0,20229,Stewart Cink,13.91,150,1078,+0.02
75,0,33122,Russell Knox,13.91,154,1107,+0.16
77,0,30925,Dustin Johnson,13.93,119,854,+0.06
78,0,31557,Jim Herman,13.94,114,818,+0.20
78,0,47347,Adam Schenk,13.94,154,1105,+0.01
80,0,46717,Viktor Hovland,13.95,135,968,+0.01
81,0,30944,Jason Kokrak,13.97,147,1052,+0.11
82,0,36801,Mark Hubbard,14.11,174,1233,+0.17
83,0,24138,Ian Poulter,14.15,108,763,+0.16
84,0,01810,Phil Mickelson,14.22,118,830,-0.02
85,0,20396,Lee Westwood,14.29,101,707,+0.10
86,0,25900,Lucas Glover,14.31,161,1125,+0.07
87,0,33419,Cameron Tringale,14.39,163,1133,E
88,0,49964,Aaron Wise,14.43,140,970,+0.05
89,0,49298,Kramer Hickok,14.49,112,773,+0.06
90,0,23623,Bo Van Pelt,14.51,110,758,+0.03
91,0,27936,Martin Laird,14.52,140,964,+0.13
92,0,39977,Max Homa,14.67,136,927,+0.05
93,0,33120,Mark Anderson,14.71,70,476,-0.07
94,0,32662,Michael Gligic,14.72,122,829,+0.06
95,0,30110,Kyle Stanley,14.74,152,1031,+0.07
96,0,40026,Daniel Berger,14.76,150,1016,-0.03
96,0,35891,Cameron Smith,14.76,142,962,+0.01
98,0,34256,Andrew Putnam,14.77,152,1029,+0.08
99,0,37189,Harold Varner III,14.78,161,1089,+0.04
100,0,21209,Sergio Garcia,14.81,141,952,+0.06
101,0,23320,Ryan Palmer,14.85,138,929,-0.06
102,0,27649,Brandt Snedeker,14.86,148,996,+0.03
103,0,28420,Ryan Brehm,14.88,71,477,-0.04
103,0,30911,Tommy Fleetwood,14.88,97,652,+0.08
103,0,33410,Andrew Landry,14.88,126,847,+0.18
103,0,39324,J.J. Spaun,14.88,108,726,+0.04
107,0,51894,Vince Whaley,14.89,119,799,E
108,0,35461,Beau Hossler,14.91,144,966,-0.01
109,0,47993,Denny McCarthy,14.95,165,1104,+0.08
110,0,39546,Keith Mitchell,15.00,138,920,+0.03
111,0,33490,Bo Hoag,15.07,157,1042,-0.10
112,0,33404,Chris Baker,15.09,80,530,+0.04
113,0,27129,Luke List,15.24,158,1037,-0.03
114,0,28252,Seamus Power,15.27,89,583,-0.13
115,0,36699,Patrick Rodgers,15.28,164,1073,+0.09
116,0,56762,Will Gordon,15.29,142,929,+0.04
117,0,24781,Hunter Mahan,15.34,87,567,+0.08
118,0,46441,Robby Shelton,15.41,151,980,+0.10
119,0,37275,Sam Ryder,15.43,146,946,+0.08
120,0,35450,Patrick Cantlay,15.45,146,945,-0.05
121,0,24140,Sean O'Hair,15.46,94,608,-0.02
122,0,48822,Sebastián Muñoz,15.48,192,1240,+0.03
123,0,35532,Tom Hoge,15.49,188,1214,+0.11
123,0,35617,Martin Trainer,15.49,101,652,+0.10
125,0,29725,Tony Finau,15.52,154,992,-0.01
126,0,49960,Sepp Straka,15.60,166,1064,+0.17
127,0,27095,Nick Watney,15.65,90,575,+0.11
128,0,45486,Joaquin Niemann,15.68,193,1231,+0.05
129,0,27554,Scott Harrington,15.69,136,867,+0.16
129,0,33486,Roger Sloan,15.69,134,854,+0.04
131,0,27556,Ted Potter Jr.,15.71,126,802,+0.16
132,0,32618,Rhein Gibson,15.79,81,513,-0.02
132,0,36689,Brooks Koepka,15.79,114,722,-0.02
134,0,27942,Rob Oppenheim,15.83,123,777,+0.01
134,0,23788,D.J. Trahan,15.83,101,638,-0.04
136,0,25804,Bubba Watson,15.86,131,826,+0.06
137,0,28237,Rory McIlroy,15.88,138,869,-0.09
138,0,40042,Tyler McCumber,15.89,119,749,+0.10
139,0,26331,Charl Schwartzel,16.00,165,1031,-0.01
140,0,40006,Erik van Rooyen,16.10,151,938,+0.05
141,0,32757,Patton Kizzire,16.11,202,1254,-0.05
142,0,35506,Mackenzie Hughes,16.13,169,1048,+0.12
142,0,49766,Hank Lebioda,16.13,120,744,+0.05
144,0,35310,Lanto Griffin,16.20,179,1105,+0.01
145,0,29908,C.T. Pan,16.24,146,899,+0.02
146,0,35658,Kris Ventura,16.34,116,710,+0.02
147,0,29970,Dylan Frittelli,16.36,135,825,+0.10
148,0,36871,Matthew NeSmith,16.39,181,1104,+0.15
149,0,21961,Charles Howell III,16.42,121,737,+0.17
150,0,37455,Si Woo Kim,16.54,191,1155,+0.02
151,0,46402,Talor Gooch,16.56,190,1147,+0.08
152,0,27974,Sung Kang,16.59,171,1031,+0.05
152,0,32640,Troy Merritt,16.59,184,1109,+0.13
154,0,47504,Sam Burns,16.60,167,1006,-0.09
155,0,27141,J.B. Holmes,16.64,99,595,-0.07
156,0,34466,Peter Malnati,16.79,153,911,+0.05
157,0,29479,Scott Brown,16.80,148,881,-0.07
158,0,30692,Scott Stallings,16.84,158,938,-0.06
159,0,32139,Danny Willett,16.88,65,385,+0.11
160,0,33448,Justin Thomas,16.91,160,946,-0.01
161,0,29268,Bronson Burgoon,17.14,132,770,+0.05
162,0,47959,Bryson DeChambeau,17.20,162,942,-0.02
163,0,31420,Anirban Lahiri,17.22,129,749,-0.04
164,0,52372,Cameron Champ,17.35,156,899,+0.15
165,0,34255,Joseph Bramlett,17.38,134,771,-0.11
166,0,12716,Charley Hoffman,17.42,190,1091,+0.01
167,0,28679,Fabián Gómez,17.45,82,470,+0.20
167,0,46442,Maverick McNealy,17.45,160,917,+0.13
169,0,56278,Matthew Wolff,17.50,122,697,E
170,0,48119,Ben Taylor,17.52,75,428,+0.12
171,0,24502,Adam Scott,17.55,143,815,+0.24
172,0,26300,Matt Jones,17.66,205,1161,+0.08
173,0,32254,Xinjun Zhang,17.68,122,690,+0.03
174,0,24924,Bill Haas,17.78,77,433,-0.03
175,0,34046,Jordan Spieth,17.80,181,1017,+0.07
176,0,33597,Harry Higgs,17.87,185,1035,-0.02
177,0,23621,Rory Sabbatini,17.90,167,933,+0.14
178,0,26851,Marc Leishman,18.05,159,881,+0.03
179,0,35104,Tom Lewis,18.13,175,965,+0.08
180,0,31323,Gary Woodland,18.17,145,798,+0.10
181,0,45157,Cam Davis,18.21,226,1241,+0.04
182,0,49771,J.T. Poston,18.32,200,1092,+0.07
183,0,22371,Aaron Baddeley,18.35,91,496,-0.02
184,0,25818,Scott Piercy,18.40,173,940,+0.01
185,0,32070,Rafael Campos,18.58,105,565,+0.14
186,0,34314,Sebastian Cappelen,18.73,97,518,+0.12
187,0,47483,Will Zalatoris,18.90,178,942,+0.10
188,0,33948,Byeong Hun An,19.50,186,954,+0.11
189,0,39975,Michael Kim,19.51,142,728,+0.08
190,0,27349,Alex Noren,19.78,202,1021,+0.22
191,0,32333,Kevin Tway,19.83,139,701,-0.09
192,0,46550,Brandon Hagy,20.48,162,791,+0.02
193,0,29974,Branden Grace,20.86,180,863,+0.06
194,0,34213,Grayson Murray,20.93,104,497,+0.28
195,0,51766,Wyndham Clark,22.25,214,962,-0.01
196,0,25632,Jimmy Walker,22.65,195,861,+0.07
