RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,21528,Henrik Stenson,89.69,705,786
2,0,19803,Ryan Armour,88.39,1325,1499
3,0,26596,Ryan Moore,88.03,963,1094
4,0,26476,Chez Reavie,87.86,1057,1203
5,0,27214,Kevin Streelman,87.63,1126,1285
6,0,24781,Hunter Mahan,86.83,765,881
7,0,25818,Scott Piercy,86.51,968,1119
8,0,30110,Kyle Stanley,86.37,1071,1240
9,0,37275,Sam Ryder,86.10,960,1115
10,0,29420,Billy Horschel,86.07,989,1149
11,0,29908,C.T. Pan,86.06,1179,1370
12,0,23325,Vaughn Taylor,85.88,949,1105
13,0,34098,Russell Henley,85.78,893,1041
14,0,33122,Russell Knox,85.76,1078,1257
15,0,31646,Emiliano Grillo,85.66,1105,1290
16,0,25892,Steve Wheatcroft,85.57,694,811
17,0,26499,Rafa Cabrera Bello,85.55,841,983
18,0,31560,Brian Stuard,85.46,1158,1355
19,0,34076,Joel Dahmen,85.37,1015,1189
20,0,23353,J.J. Henry,85.26,891,1045
21,0,47959,Bryson DeChambeau,85.24,1115,1308
22,0,27644,Brian Harman,85.23,1079,1266
23,0,34264,Hudson Swafford,85.21,801,940
24,0,45526,Abraham Ancer,85.10,1142,1342
25,0,31323,Gary Woodland,85.02,1084,1275
26,0,25198,Francesco Molinari,84.86,835,984
27,0,22405,Justin Rose,84.85,784,924
28,0,19846,Brian Gay,84.83,1197,1411
29,0,24138,Ian Poulter,84.82,760,896
30,0,39324,J.J. Spaun,84.81,938,1106
31,0,35545,Blayne Barber,84.80,792,934
32,0,12510,Chad Campbell,84.66,933,1102
32,0,34046,Jordan Spieth,84.66,905,1069
34,0,32102,Rickie Fowler,84.58,883,1044
35,0,26758,David Hearn,84.51,709,839
36,0,32448,James Hahn,84.48,969,1147
37,0,45609,Tyler Duncan,84.45,1097,1299
38,0,28679,Fabián Gómez,84.37,988,1171
39,0,46435,Austin Cook,84.34,1266,1501
40,0,26329,Louis Oosthuizen,84.26,637,756
41,0,29221,Webb Simpson,84.24,1085,1288
42,0,25900,Lucas Glover,84.12,715,850
43,0,34409,David Lingmerth,84.01,914,1088
44,0,30926,Chris Kirk,83.98,1242,1479
45,0,40058,Zac Blair,83.97,681,811
45,0,29268,Bronson Burgoon,83.97,812,967
47,0,23621,Rory Sabbatini,83.96,1042,1241
48,0,24502,Adam Scott,83.87,915,1091
49,0,30925,Dustin Johnson,83.86,873,1041
50,0,35450,Patrick Cantlay,83.85,945,1127
51,0,34256,Andrew Putnam,83.83,1042,1243
51,0,29518,Brendan Steele,83.83,793,946
51,0,26951,Johnson Wagner,83.83,809,965
54,0,39997,Corey Conners,83.81,1087,1297
55,0,33141,Keegan Bradley,83.79,1091,1302
56,0,32254,Xinjun Zhang,83.76,877,1047
57,0,32839,Hideki Matsuyama,83.53,847,1014
58,0,29535,Brice Garnett,83.47,1106,1325
59,0,20472,Alex Cejka,83.45,802,961
60,0,33399,Adam Hadwin,83.44,1043,1250
61,0,24361,Pat Perez,83.35,881,1057
62,0,30911,Tommy Fleetwood,83.30,773,928
63,0,27556,Ted Potter Jr.,83.29,1012,1215
63,0,39327,Ben Silverman,83.29,977,1173
65,0,32640,Troy Merritt,83.24,988,1187
66,0,35532,Tom Hoge,83.14,1080,1299
67,0,21961,Charles Howell III,83.05,1161,1398
68,0,32366,Kevin Chappell,83.03,866,1043
69,0,33448,Justin Thomas,83.02,958,1154
70,0,32150,Michael Thompson,83.00,674,812
71,0,40026,Daniel Berger,82.99,888,1070
72,0,22056,Cameron Percy,82.98,580,699
73,0,29725,Tony Finau,82.97,1140,1374
73,0,36799,Stephan Jaeger,82.97,867,1045
75,0,34174,John Huh,82.91,1043,1258
76,0,49964,Aaron Wise,82.89,1017,1227
77,0,47128,Richy Werenski,82.88,1065,1285
78,0,30978,Kiradech Aphibarnrat,82.87,537,648
79,0,30944,Jason Kokrak,82.86,1146,1383
80,0,35461,Beau Hossler,82.84,1207,1457
81,0,25572,Graeme McDowell,82.83,680,821
82,0,23541,Ben Crane,82.79,683,825
83,0,25364,Paul Casey,82.78,822,993
84,0,34363,Tyrrell Hatton,82.76,629,760
85,0,29974,Branden Grace,82.75,739,893
86,0,35879,Kelly Kraft,82.72,1063,1285
87,0,25686,Jason Dufner,82.71,746,902
87,0,29478,Kevin Kisner,82.71,909,1099
87,0,27649,Brandt Snedeker,82.71,947,1145
90,0,24925,Jonathan Byrd,82.70,717,867
91,0,46970,Jon Rahm,82.67,768,929
92,0,25493,Nick Taylor,82.66,1039,1257
